ID,Date,Element,Data_Value
KZ000028676,2013-03-01,TMIN,-241
RSM00028588,2006-04-16,TMAX,78
RSM00028588,2009-05-06,TMAX,150
RSM00028588,2009-08-06,TMAX,249
KZ000028676,2008-05-17,TMIN,54
RSM00028588,2008-01-22,TMAX,-178
RSM00028588,2011-06-09,TMAX,284
KZ000028676,2013-01-02,TMAX,-114
RSM00028588,2012-03-20,TMAX,7
KZ000028676,2015-03-06,TMAX,-45
KZ000028676,2015-10-24,TMIN,-94
KZ000028676,2014-02-22,TMAX,-268
RSM00028588,2010-01-12,TMIN,-278
KZ000028676,2013-11-22,TMAX,23
KZ000028676,2005-08-16,TMAX,324
RSM00028588,2010-04-09,TMAX,45
RSM00028588,2010-08-05,TMIN,155
RSM00028588,2014-03-08,TMIN,-146
KZ000028676,2013-03-01,TMAX,-131
RSM00028588,2006-05-23,TMAX,244
KZ000028676,2014-06-22,TMIN,95
RSM00028588,2015-11-14,TMAX,-86
KZ000028676,2011-08-20,TMIN,107
RSM00028588,2009-12-04,TMAX,5
KZ000028676,2014-03-08,TMIN,-147
KZ000028676,2009-06-20,TMIN,150
KZ000028676,2015-10-01,TMAX,139
RSM00028588,2006-03-15,TMIN,-138
RSM00028588,2015-04-06,TMAX,51
KZ000028676,2011-11-04,TMAX,51
RSM00028588,2007-09-10,TMIN,146
KZ000028676,2015-03-08,TMAX,-120
RSM00028588,2008-06-27,TMAX,280
RSM00028588,2010-11-14,TMIN,24
RSM00028588,2006-02-19,TMAX,-106
RSM00028588,2010-11-03,TMAX,56
RSM00028588,2008-06-27,TMIN,145
KZ000028676,2010-05-21,TMIN,24
RSM00028588,2010-12-15,TMAX,-110
RSM00028588,2006-03-09,TMIN,-93
RSM00028588,2005-12-11,TMIN,-230
KZ000028676,2010-05-21,TMAX,120
RSM00028588,2013-09-13,TMIN,-1
RSM00028588,2007-06-29,TMAX,225
RSM00028588,2015-07-07,TMAX,217
RSM00028588,2015-03-30,TMIN,-153
KZ000028676,2011-03-27,TMAX,13
KZ000028676,2005-08-16,TMIN,158
RSM00028588,2015-06-13,TMAX,190
RSM00028588,2013-09-18,TMIN,23
RSM00028588,2011-04-23,TMAX,62
RSM00028588,2009-02-04,TMAX,-94
RSM00028588,2010-04-09,TMIN,-68
RSM00028588,2010-12-15,TMIN,-167
RSM00028588,2008-01-22,TMIN,-237
RSM00028588,2005-11-12,TMAX,-45
RSM00028588,2006-04-16,TMIN,-9
KZ000028676,2011-03-27,TMIN,-98
KZ000028676,2006-05-08,TMAX,182
RSM00028588,2006-02-19,TMIN,-235
KZ000028676,2009-09-07,TMAX,220
RSM00028588,2009-02-04,TMIN,-143
KZ000028676,2015-09-03,TMAX,171
KZ000028676,2012-06-07,TMIN,101
RSM00028588,2010-11-14,TMAX,85
KZ000028676,2015-09-03,TMIN,33
RSM00028588,2007-12-11,TMIN,-166
RSM00028588,2010-08-05,TMAX,304
KZ000028676,2015-04-23,TMIN,45
KZ000028676,2008-08-25,TMAX,194
KZ000028676,2011-08-20,TMAX,181
RSM00028588,2006-08-19,TMIN,127
KZ000028676,2015-11-06,TMAX,15
RSM00028588,2009-03-15,TMAX,-26
RSM00028588,2009-03-15,TMIN,-83
RSM00028588,2005-12-11,TMAX,-150
KZ000028676,2008-05-17,TMAX,221
RSM00028588,2011-06-03,TMAX,228
KZ000028676,2015-05-12,TMIN,47
RSM00028588,2009-03-19,TMIN,-117
RSM00028588,2010-07-26,TMAX,223
