ID,Date,Element,Data_Value
KSM00047168,2009-03-18,TMAX,184
KSM00047168,2008-07-05,TMAX,261
KSM00047168,2015-01-06,TMAX,118
KSM00047168,2010-07-25,TMAX,294
KSM00047168,2006-02-05,TMAX,27
KSM00047168,2008-02-08,TMAX,53
KSM00047168,2014-04-13,TMAX,158
KSM00047168,2009-10-03,TMAX,240
KSM00047168,2006-02-05,TMIN,-56
KSM00047168,2005-12-27,TMAX,31
KSM00047168,2009-12-20,TMAX,54
KSM00047168,2009-03-18,TMIN,135
KSM00047168,2014-07-28,TMAX,249
KSM00047168,2011-05-21,TMAX,230
KSM00047168,2009-01-25,TMIN,-30
KSM00047168,2007-12-01,TMAX,106
KSM00047168,2009-01-25,TMAX,38
KSM00047168,2015-09-30,TMAX,206
KSM00047168,2014-03-04,TMIN,44
KSM00047168,2010-06-15,TMAX,262
KSM00047168,2007-11-13,TMAX,195
KSM00047168,2011-05-10,TMAX,201
KSM00047168,2010-03-13,TMIN,76
KSM00047168,2007-03-22,TMAX,151
KSM00047168,2007-11-02,TMAX,148
KSM00047168,2013-04-21,TMIN,55
KSM00047168,2011-12-15,TMAX,82
KSM00047168,2012-10-22,TMAX,211
KSM00047168,2007-07-03,TMAX,265
KSM00047168,2009-06-19,TMIN,206
KSM00047168,2012-06-15,TMIN,194
KSM00047168,2014-08-27,TMAX,248
KSM00047168,2010-03-13,TMAX,152
KSM00047168,2012-06-15,TMAX,210
KSM00047168,2008-07-06,TMAX,263
KSM00047168,2015-04-29,TMIN,146
KSM00047168,2014-09-03,TMAX,254
KSM00047168,2008-07-06,TMIN,222
KSM00047168,2009-06-19,TMAX,271
KSM00047168,2006-03-23,TMAX,141
KSM00047168,2005-05-29,TMAX,209
KSM00047168,2012-10-08,TMAX,214
KSM00047168,2015-01-14,TMIN,51
KSM00047168,2015-03-21,TMAX,177
KSM00047168,2015-03-21,TMIN,96
KSM00047168,2006-12-11,TMAX,93
KSM00047168,2009-07-14,TMAX,272
KSM00047168,2013-07-03,TMAX,252
KSM00047168,2008-10-11,TMAX,228
KSM00047168,2006-12-16,TMAX,103
KSM00047168,2007-01-25,TMAX,95
KSM00047168,2013-10-20,TMAX,234
KSM00047168,2013-05-26,TMIN,171
KSM00047168,2015-05-20,TMAX,240
KSM00047168,2013-04-21,TMAX,171
KSM00047168,2013-05-26,TMAX,227
KSM00047168,2009-10-03,TMIN,164
KSM00047168,2012-12-30,TMAX,34
KSM00047168,2014-06-29,TMIN,214
KSM00047168,2008-09-05,TMIN,205
KSM00047168,2008-09-05,TMAX,272
KSM00047168,2012-01-25,TMAX,0
KSM00047168,2014-06-29,TMAX,274
KSM00047168,2014-05-14,TMAX,178
KSM00047168,2011-03-03,TMIN,-28
KSM00047168,2007-01-25,TMIN,0
KSM00047168,2015-12-22,TMIN,58
KSM00047168,2013-07-28,TMAX,296
KSM00047168,2011-03-03,TMAX,44
KSM00047168,2007-12-01,TMIN,30
KSM00047168,2015-01-05,TMIN,30
KSM00047168,2014-08-19,TMAX,263
KSM00047168,2010-11-23,TMAX,135
KSM00047168,2015-11-11,TMIN,124
KSM00047168,2015-04-21,TMAX,179
KSM00047168,2015-04-21,TMIN,102
KSM00047168,2008-09-06,TMAX,251
KSM00047168,2007-04-06,TMIN,85
KSM00047168,2007-04-06,TMAX,151
KSM00047168,2013-02-16,TMAX,58
KSM00047168,2012-10-30,TMAX,176
KSM00047168,2012-03-26,TMIN,7
KSM00047168,2010-11-23,TMIN,71
KSM00047168,2005-11-04,TMAX,222
KSM00047168,2006-03-21,TMIN,59
KSM00047168,2014-03-22,TMAX,130
KSM00047168,2009-12-21,TMAX,54
KSM00047168,2005-11-04,TMIN,142
KSM00047168,2007-03-22,TMIN,68
KSM00047168,2013-02-16,TMIN,-33
KSM00047168,2006-04-27,TMIN,98
KSM00047168,2007-02-27,TMIN,55
KSM00047168,2007-02-18,TMAX,125
KSM00047168,2014-07-24,TMAX,304
KSM00047168,2008-08-13,TMAX,295
KSM00047168,2012-01-04,TMAX,11
KSM00047168,2008-08-13,TMIN,249
KSM00047168,2006-04-27,TMAX,191
KSM00047168,2008-05-20,TMAX,211
KSM00047168,2012-06-19,TMIN,193
KSM00047168,2008-09-20,TMAX,274
KSM00047168,2011-09-26,TMAX,244
KSM00047168,2008-12-01,TMIN,41
KSM00047168,2012-09-09,TMAX,238
KSM00047168,2009-12-21,TMIN,-18
KSM00047168,2007-02-27,TMAX,146
KSM00047168,2008-02-20,TMAX,110
KSM00047168,2010-04-14,TMAX,95
KSM00047168,2014-07-24,TMIN,255
KSM00047168,2010-06-15,TMIN,200
KSM00047168,2013-02-02,TMAX,106
KSM00047168,2014-04-17,TMAX,156
KSM00047168,2010-02-09,TMAX,104
KSM00047168,2010-09-08,TMAX,242
KSM00047168,2014-01-19,TMAX,53
KSM00047168,2010-07-18,TMAX,277
KSM00047168,2006-12-24,TMIN,40
KSM00047168,2011-06-26,TMAX,234
KSM00047168,2006-03-06,TMAX,150
KSM00047168,2010-07-18,TMIN,236
KSM00047168,2013-03-04,TMIN,12
KSM00047168,2014-08-19,TMIN,231
