ID,Date,Element,Data_Value
RSM00024802,2010-03-19,TMIN,-314
RSM00024802,2009-04-14,TMIN,-202
RSM00024802,2011-08-19,TMIN,20
RSM00024802,2007-08-29,TMAX,173
RSM00024802,2006-01-28,TMIN,-463
RSM00024802,2010-06-19,TMIN,-9
RSM00024802,2006-08-13,TMAX,210
RSM00024802,2010-01-06,TMAX,-381
RSM00024802,2013-09-03,TMAX,133
RSM00024802,2011-08-09,TMIN,80
RSM00024802,2010-01-06,TMIN,-476
RSM00024802,2007-09-28,TMAX,48
RSM00024802,2013-02-01,TMIN,-468
RSM00024802,2009-10-25,TMAX,-124
RSM00024802,2005-01-31,TMIN,-396
RSM00024802,2007-05-22,TMIN,-61
RSM00024802,2009-10-25,TMIN,-207
RSM00024802,2006-08-13,TMIN,-31
RSM00024802,2006-05-11,TMIN,19
RSM00024802,2012-11-06,TMIN,-200
RSM00024802,2005-10-27,TMAX,46
RSM00024802,2012-03-16,TMAX,-101
RSM00024802,2006-07-18,TMAX,262
RSM00024802,2006-08-20,TMIN,40
RSM00024802,2006-08-20,TMAX,97
RSM00024802,2011-07-01,TMIN,-4
RSM00024802,2013-01-13,TMAX,-310
RSM00024802,2011-07-01,TMAX,221
RSM00024802,2010-02-21,TMIN,-481
RSM00024802,2013-05-26,TMAX,126
RSM00024802,2012-03-16,TMIN,-398
RSM00024802,2013-01-13,TMIN,-377
RSM00024802,2010-06-19,TMAX,180
RSM00024802,2008-07-06,TMAX,163
RSM00024802,2007-07-22,TMIN,140
RSM00024802,2008-07-06,TMIN,90
RSM00024802,2007-07-22,TMAX,277
RSM00024802,2009-08-20,TMAX,221
RSM00024802,2010-03-19,TMAX,-21
RSM00024802,2005-03-15,TMIN,-369
RSM00024802,2011-04-22,TMAX,110
RSM00024802,2013-01-03,TMAX,-234
RSM00024802,2013-05-26,TMIN,-78
RSM00024802,2011-09-29,TMIN,10
RSM00024802,2013-03-08,TMIN,-496
RSM00024802,2012-08-13,TMAX,167
RSM00024802,2007-11-21,TMAX,-178
RSM00024802,2013-01-04,TMIN,-430
RSM00024802,2012-11-02,TMIN,-225
RSM00024802,2005-10-27,TMIN,15
RSM00024802,2005-01-31,TMAX,-203
RSM00024802,2007-09-28,TMIN,-34
RSM00024802,2012-11-06,TMAX,-170
RSM00024802,2007-07-23,TMIN,88
RSM00024802,2006-02-14,TMIN,-491
