ID,Date,Element,Data_Value
LH000026713,2014-08-20,TMAX,202
LH000026713,2014-07-27,TMIN,179
LH000026713,2014-09-05,TMAX,210
LH000026713,2014-07-27,TMAX,311
LH000026713,2014-07-16,TMAX,257
LH000026713,2014-08-14,TMAX,221
LH000026713,2014-08-01,TMAX,226
LH000026713,2014-08-02,TMIN,176
LH000026713,2014-07-03,TMIN,86
LH000026713,2014-07-08,TMAX,293
LH000026713,2014-08-02,TMAX,321
LH000026713,2014-09-06,TMAX,222
LH000026713,2014-07-23,TMAX,268
LH000026713,2014-07-23,TMIN,118
LH000026713,2014-09-06,TMIN,78
LH000026713,2014-07-18,TMAX,243
LH000026713,2014-08-06,TMAX,278
LH000026713,2014-07-18,TMIN,117
LH000026713,2014-08-01,TMIN,179
LH000026713,2014-07-31,TMAX,293
LH000026713,2014-08-24,TMIN,104
LH000026713,2014-07-03,TMAX,202
LH000026713,2014-08-09,TMAX,238
LH000026713,2014-07-17,TMAX,260
LH000026713,2014-07-17,TMIN,124
LH000026713,2014-08-09,TMIN,171
LH000026713,2014-07-08,TMIN,158
LH000026713,2014-08-04,TMAX,345
LH000026713,2014-07-16,TMIN,143
LH000026713,2014-08-04,TMIN,174
LH000026713,2014-08-31,TMAX,187
LH000026713,2014-08-24,TMAX,163
LH000026713,2014-09-07,TMIN,92
LH000026713,2014-07-25,TMIN,127
LH000026713,2014-08-22,TMAX,207
LH000026713,2014-07-04,TMAX,219
LH000026713,2014-08-10,TMIN,134
LH000026713,2014-08-16,TMIN,119
LH000026713,2014-07-04,TMIN,120
LH000026713,2014-08-16,TMAX,209
LH000026713,2014-09-04,TMIN,75
LH000026713,2014-09-03,TMIN,53
LH000026713,2014-08-30,TMIN,68
LH000026713,2014-08-30,TMAX,218
LH000026713,2014-08-21,TMIN,91
LH000026713,2014-08-21,TMAX,174
LH000026713,2014-07-20,TMIN,124
LH000026713,2014-07-01,TMAX,199
LH000026713,2014-08-28,TMIN,109
LH000026713,2014-09-04,TMAX,199
LH000026713,2014-09-03,TMAX,181
LH000026713,2014-07-02,TMIN,97
LH000026713,2014-07-02,TMAX,194
LH000026713,2014-08-17,TMIN,113
LH000026713,2014-09-07,TMAX,243
LH000026713,2014-08-10,TMAX,284
LH000026713,2014-07-22,TMAX,265
LH000026713,2014-07-22,TMIN,119
LH000026713,2014-08-19,TMAX,207
LH000026713,2014-09-08,TMIN,98
LH000026713,2014-07-19,TMAX,269
LH000026713,2014-07-19,TMIN,127
LH000026713,2014-07-06,TMIN,160
LH000026713,2014-08-19,TMIN,122
LH000026713,2014-08-17,TMAX,210
LH000026713,2014-07-06,TMAX,277
LH000026713,2014-07-09,TMAX,285
LH000026713,2014-07-09,TMIN,151
LH000026713,2014-07-24,TMIN,104
LH000026713,2014-08-28,TMAX,197
LH000026713,2014-07-01,TMIN,131
LH000026713,2014-07-20,TMAX,274
LH000026713,2014-08-08,TMIN,159
LH000026713,2014-08-03,TMIN,173
LH000026713,2014-07-28,TMAX,304
LH000026713,2014-07-28,TMIN,183
LH000026713,2014-08-18,TMAX,219
LH000026713,2014-08-18,TMIN,127
LH000026713,2014-07-15,TMIN,173
LH000026713,2014-07-15,TMAX,271
LH000026713,2014-08-13,TMAX,246
LH000026713,2014-08-13,TMIN,119
LH000026713,2014-07-05,TMIN,124
LH000026713,2014-09-05,TMIN,72
LH000026713,2014-07-26,TMIN,158
LH000026713,2014-07-26,TMAX,310
LH000026713,2014-07-05,TMAX,271
LH000026713,2014-08-03,TMAX,343
LH000026713,2014-08-22,TMIN,79
LH000026713,2014-08-11,TMAX,308
LH000026713,2014-08-11,TMIN,152
LH000026713,2014-08-05,TMAX,298
LH000026713,2014-07-24,TMAX,276
LH000026713,2014-07-12,TMIN,133
LH000026713,2014-08-05,TMIN,190
LH000026713,2014-08-12,TMAX,228
LH000026713,2014-08-12,TMIN,159
LH000026713,2014-07-10,TMIN,132
LH000026713,2014-07-10,TMAX,275
LH000026713,2014-08-29,TMAX,211
LH000026713,2014-08-29,TMIN,97
LH000026713,2014-07-07,TMAX,288
LH000026713,2014-09-02,TMIN,49
LH000026713,2014-09-02,TMAX,170
LH000026713,2014-08-23,TMAX,210
LH000026713,2014-08-08,TMAX,269
LH000026713,2014-07-25,TMAX,294
LH000026713,2014-08-27,TMIN,82
LH000026713,2014-07-07,TMIN,162
LH000026713,2014-07-21,TMIN,96
LH000026713,2014-08-07,TMAX,242
LH000026713,2014-08-26,TMIN,83
LH000026713,2014-08-27,TMAX,183
LH000026713,2014-07-21,TMAX,252
LH000026713,2014-07-29,TMAX,323
LH000026713,2014-08-15,TMIN,136
LH000026713,2014-07-29,TMIN,172
LH000026713,2014-09-01,TMIN,66
LH000026713,2014-07-11,TMIN,124
LH000026713,2014-08-25,TMAX,178
LH000026713,2014-09-01,TMAX,184
LH000026713,2014-08-26,TMAX,180
LH000026713,2014-08-15,TMAX,232
LH000026713,2014-07-14,TMAX,268
LH000026713,2014-07-30,TMAX,312
LH000026713,2014-07-30,TMIN,157
LH000026713,2014-07-11,TMAX,166
LH000026713,2014-07-14,TMIN,125
