ID,Date,Element,Data_Value
BMM00048112,2012-02-27,TMIN,195
BMM00048112,2014-09-30,TMIN,215
BMM00048112,2008-03-26,TMAX,345
BMM00048112,2010-09-26,TMIN,181
BMM00048112,2010-10-02,TMAX,297
BMM00048112,2009-12-06,TMIN,254
BMM00048112,2015-12-29,TMAX,322
BMM00048112,2010-10-28,TMIN,154
BMM00048112,2007-02-22,TMIN,246
BMM00048112,2011-07-21,TMIN,256
BMM00048112,2010-10-24,TMAX,330
BMM00048112,2013-07-17,TMAX,270
BMM00048112,2013-03-24,TMIN,235
BMM00048112,2011-02-12,TMAX,354
BMM00048112,2010-10-28,TMAX,317
BMM00048112,2009-03-24,TMAX,330
BMM00048112,2014-07-02,TMAX,332
BMM00048112,2008-10-29,TMAX,270
BMM00048112,2015-04-12,TMIN,205
BMM00048112,2012-08-10,TMAX,321
BMM00048112,2010-07-24,TMIN,205
BMM00048112,2015-12-31,TMIN,195
BMM00048112,2009-02-23,TMAX,355
BMM00048112,2010-12-16,TMAX,315
BMM00048112,2014-11-01,TMAX,318
BMM00048112,2011-12-06,TMAX,305
BMM00048112,2014-04-13,TMAX,358
BMM00048112,2014-10-05,TMIN,196
BMM00048112,2011-05-10,TMIN,205
BMM00048112,2013-06-25,TMIN,225
BMM00048112,2012-02-27,TMAX,365
BMM00048112,2014-10-05,TMAX,260
BMM00048112,2011-03-30,TMAX,212
BMM00048112,2011-12-06,TMIN,186
BMM00048112,2007-02-22,TMAX,345
BMM00048112,2013-05-16,TMAX,355
BMM00048112,2012-12-03,TMIN,200
BMM00048112,2013-05-16,TMIN,260
BMM00048112,2011-08-30,TMIN,202
BMM00048112,2011-04-15,TMAX,352
BMM00048112,2008-03-26,TMIN,246
BMM00048112,2012-12-03,TMAX,322
BMM00048112,2013-02-17,TMIN,220
BMM00048112,2009-08-15,TMIN,254
BMM00048112,2014-11-01,TMIN,205
BMM00048112,2014-09-30,TMAX,310
BMM00048112,2010-12-16,TMIN,220
BMM00048112,2014-06-30,TMAX,329
BMM00048112,2014-02-10,TMAX,312
BMM00048112,2009-08-15,TMAX,330
BMM00048112,2014-07-25,TMAX,265
BMM00048112,2007-06-03,TMAX,300
BMM00048112,2015-09-13,TMAX,317
BMM00048112,2005-09-18,TMAX,295
BMM00048112,2010-10-29,TMIN,165
BMM00048112,2015-04-16,TMAX,357
BMM00048112,2013-01-01,TMIN,195
BMM00048112,2012-03-21,TMIN,185
BMM00048112,2009-12-30,TMAX,325
BMM00048112,2007-07-11,TMIN,235
BMM00048112,2011-03-11,TMAX,312
BMM00048112,2009-10-12,TMAX,280
BMM00048112,2009-04-06,TMAX,322
BMM00048112,2013-01-01,TMAX,300
BMM00048112,2012-05-17,TMAX,295
BMM00048112,2014-11-24,TMIN,208
BMM00048112,2012-05-17,TMIN,195
BMM00048112,2013-08-12,TMAX,295
BMM00048112,2012-03-21,TMAX,345
BMM00048112,2009-12-30,TMIN,246
BMM00048112,2015-05-08,TMIN,238
BMM00048112,2006-08-07,TMAX,262
BMM00048112,2014-09-19,TMIN,202
BMM00048112,2011-11-15,TMIN,199
BMM00048112,2009-04-21,TMAX,322
BMM00048112,2013-02-17,TMAX,330
BMM00048112,2010-09-29,TMIN,182
BMM00048112,2013-02-20,TMIN,220
BMM00048112,2011-09-28,TMAX,306
BMM00048112,2013-07-17,TMIN,219
BMM00048112,2009-04-08,TMAX,345
BMM00048112,2012-03-05,TMIN,185
BMM00048112,2010-09-29,TMAX,325
BMM00048112,2012-01-18,TMIN,184
BMM00048112,2010-09-14,TMIN,185
BMM00048112,2014-11-24,TMAX,318
BMM00048112,2012-12-21,TMIN,217
BMM00048112,2014-06-30,TMIN,240
BMM00048112,2011-09-27,TMAX,262
BMM00048112,2008-11-11,TMAX,255
BMM00048112,2009-12-13,TMAX,321
BMM00048112,2009-10-12,TMIN,241
BMM00048112,2012-08-10,TMIN,220
BMM00048112,2012-09-07,TMIN,220
BMM00048112,2011-07-23,TMIN,210
BMM00048112,2012-09-07,TMAX,290
BMM00048112,2009-12-13,TMIN,242
BMM00048112,2012-03-24,TMIN,186
BMM00048112,2013-03-10,TMIN,231
BMM00048112,2013-06-25,TMAX,323
BMM00048112,2011-09-27,TMIN,190
BMM00048112,2013-09-11,TMAX,292
BMM00048112,2011-10-26,TMIN,195
BMM00048112,2009-06-07,TMAX,345
BMM00048112,2011-10-26,TMAX,272
BMM00048112,2008-08-02,TMAX,305
BMM00048112,2010-06-08,TMIN,246
BMM00048112,2013-03-26,TMIN,240
BMM00048112,2012-01-18,TMAX,314
BMM00048112,2012-06-06,TMAX,295
BMM00048112,2011-11-15,TMAX,303
BMM00048112,2013-03-26,TMAX,361
BMM00048112,2015-02-05,TMIN,200
BMM00048112,2009-06-07,TMIN,274
BMM00048112,2015-07-26,TMIN,205
BMM00048112,2011-03-25,TMAX,271
BMM00048112,2015-02-05,TMAX,326
BMM00048112,2011-07-21,TMAX,335
BMM00048112,2012-06-06,TMIN,175
BMM00048112,2013-09-11,TMIN,220
BMM00048112,2009-04-08,TMIN,262
BMM00048112,2013-02-20,TMAX,342
BMM00048112,2015-03-28,TMAX,372
BMM00048112,2009-02-23,TMIN,246
BMM00048112,2010-10-14,TMIN,150
BMM00048112,2013-03-17,TMAX,367
BMM00048112,2011-03-11,TMIN,221
BMM00048112,2011-09-09,TMIN,211
BMM00048112,2011-09-09,TMAX,317
BMM00048112,2015-05-12,TMAX,362
BMM00048112,2010-10-02,TMIN,165
BMM00048112,2011-08-30,TMAX,306
BMM00048112,2012-06-03,TMIN,195
BMM00048112,2013-12-14,TMIN,224
BMM00048112,2013-01-30,TMAX,330
BMM00048112,2014-12-02,TMAX,308
BMM00048112,2013-01-30,TMIN,210
BMM00048112,2011-07-11,TMAX,270
BMM00048112,2013-08-05,TMAX,320
BMM00048112,2014-07-02,TMIN,209
BMM00048112,2009-04-06,TMIN,251
BMM00048112,2012-11-22,TMIN,198
BMM00048112,2013-05-26,TMAX,280
BMM00048112,2007-03-22,TMAX,310
BMM00048112,2012-03-05,TMAX,320
BMM00048112,2014-02-10,TMIN,208
BMM00048112,2014-09-01,TMIN,215
BMM00048112,2015-08-20,TMAX,305
BMM00048112,2011-12-15,TMIN,185
BMM00048112,2011-12-15,TMAX,293
BMM00048112,2013-05-26,TMIN,231
BMM00048112,2014-08-11,TMAX,333
BMM00048112,2010-07-24,TMAX,290
BMM00048112,2015-12-13,TMIN,210
BMM00048112,2013-01-12,TMIN,180
BMM00048112,2014-09-01,TMAX,310
BMM00048112,2008-07-11,TMIN,234
BMM00048112,2008-10-29,TMIN,232
BMM00048112,2007-07-01,TMIN,279
BMM00048112,2007-07-19,TMAX,310
BMM00048112,2009-11-14,TMAX,310
BMM00048112,2009-11-14,TMIN,248
BMM00048112,2015-03-28,TMIN,225
