ID,Date,Element,Data_Value
CA007103536,2010-06-08,TMIN,26
CA007103536,2011-02-01,TMAX,-203
CA007103536,2013-07-02,TMAX,252
CA007103536,2013-08-09,TMAX,174
CA007103536,2011-06-15,TMIN,80
CA007103536,2010-09-02,TMIN,78
CA007103536,2010-10-09,TMIN,21
CA007103536,2008-07-28,TMAX,158
CA007103536,2009-09-29,TMAX,46
CA007103536,2008-07-25,TMAX,252
CA007103536,2010-04-14,TMIN,-59
CA007103536,2012-07-05,TMIN,35
CA007103536,2011-02-01,TMIN,-292
CA007103536,2010-11-05,TMIN,-22
CA007103536,2005-04-25,TMIN,22
CA007103536,2009-05-15,TMAX,-28
CA007103536,2008-02-10,TMIN,-208
CA007103536,2008-07-25,TMIN,180
CA007103536,2011-05-19,TMAX,100
CA007103536,2011-11-13,TMAX,48
CA007103536,2012-03-25,TMIN,-163
CA007103536,2007-07-23,TMAX,229
CA007103536,2013-10-14,TMIN,17
CA007103536,2008-12-12,TMIN,-242
CA007103536,2012-09-28,TMAX,88
CA007103536,2014-02-09,TMIN,-237
CA007103536,2014-01-29,TMIN,-257
CA007103536,2010-11-06,TMIN,-34
CA007103536,2013-05-17,TMAX,162
CA007103536,2012-11-23,TMIN,-43
CA007103536,2010-08-27,TMIN,71
CA007103536,2012-11-23,TMAX,-13
CA007103536,2005-10-06,TMIN,-12
CA007103536,2005-04-25,TMAX,119
CA007103536,2005-06-16,TMAX,221
CA007103536,2008-10-14,TMIN,35
CA007103536,2011-07-02,TMAX,202
CA007103536,2013-08-01,TMAX,235
CA007103536,2010-07-07,TMIN,146
CA007103536,2006-03-22,TMAX,66
CA007103536,2011-02-10,TMAX,-275
CA007103536,2006-08-01,TMAX,190
CA007103536,2014-02-09,TMAX,-211
CA007103536,2012-11-26,TMIN,-68
CA007103536,2006-10-06,TMIN,50
CA007103536,2008-07-27,TMIN,155
CA007103536,2011-10-04,TMIN,-18
CA007103536,2010-01-08,TMIN,-227
CA007103536,2011-02-10,TMIN,-308
CA007103536,2013-07-02,TMIN,65
CA007103536,2007-02-27,TMAX,-227
CA007103536,2013-02-22,TMIN,-223
CA007103536,2006-03-02,TMIN,-271
CA007103536,2010-04-14,TMAX,-14
CA007103536,2011-06-08,TMAX,32
CA007103536,2009-03-10,TMAX,-124
CA007103536,2006-11-11,TMIN,-53
CA007103536,2006-11-11,TMAX,-6
CA007103536,2007-07-08,TMAX,145
CA007103536,2011-07-12,TMAX,174
CA007103536,2008-12-12,TMAX,-120
CA007103536,2008-07-28,TMIN,118
CA007103536,2005-12-07,TMAX,-38
CA007103536,2008-03-16,TMAX,-166
CA007103536,2013-08-01,TMIN,163
CA007103536,2014-03-24,TMAX,-94
CA007103536,2012-07-05,TMAX,229
CA007103536,2007-12-22,TMIN,-132
CA007103536,2008-12-31,TMAX,-163
CA007103536,2009-05-15,TMIN,-72
