ID,Date,Element,Data_Value
LYE00147751,2007-10-23,TMAX,250
LYE00147751,2007-07-10,TMIN,235
LYE00147751,2006-04-26,TMIN,145
LYE00147751,2007-05-21,TMAX,236
LYE00147751,2010-11-17,TMAX,245
LYE00147751,2009-03-28,TMIN,100
LYE00147751,2009-09-09,TMAX,282
LYE00147751,2009-05-17,TMIN,190
LYE00147751,2008-05-19,TMIN,235
LYE00147751,2008-06-07,TMIN,200
LYE00147751,2007-06-14,TMIN,195
LYE00147751,2008-05-19,TMAX,345
LYE00147751,2010-02-07,TMAX,167
LYE00147751,2005-09-30,TMIN,235
LYE00147751,2007-10-23,TMIN,170
LYE00147751,2007-10-20,TMIN,200
LYE00147751,2009-09-03,TMAX,299
LYE00147751,2008-01-10,TMIN,106
LYE00147751,2008-02-05,TMIN,130
LYE00147751,2010-11-15,TMAX,220
LYE00147751,2009-02-26,TMAX,135
LYE00147751,2007-01-09,TMAX,188
LYE00147751,2010-10-12,TMIN,235
LYE00147751,2009-05-28,TMIN,200
LYE00147751,2010-11-22,TMIN,170
LYE00147751,2008-11-13,TMIN,152
LYE00147751,2005-02-13,TMAX,147
LYE00147751,2010-11-22,TMAX,260
LYE00147751,2010-01-10,TMAX,194
LYE00147751,2008-11-28,TMAX,224
LYE00147751,2009-05-17,TMAX,235
LYE00147751,2009-04-05,TMAX,175
LYE00147751,2009-06-30,TMAX,275
LYE00147751,2007-03-14,TMAX,170
LYE00147751,2007-09-01,TMAX,310
LYE00147751,2007-03-31,TMAX,190
LYE00147751,2010-07-02,TMAX,262
LYE00147751,2010-01-01,TMAX,265
LYE00147751,2007-06-18,TMAX,266
LYE00147751,2006-07-15,TMAX,272
LYE00147751,2009-06-08,TMIN,210
LYE00147751,2007-09-23,TMIN,220
LYE00147751,2006-04-06,TMAX,288
LYE00147751,2007-05-30,TMIN,185
LYE00147751,2008-11-28,TMIN,140
LYE00147751,2010-01-29,TMIN,124
LYE00147751,2008-07-08,TMIN,250
LYE00147751,2010-05-01,TMIN,160
LYE00147751,2010-11-15,TMIN,168
LYE00147751,2008-07-08,TMAX,310
LYE00147751,2010-01-29,TMAX,190
LYE00147751,2008-07-19,TMAX,278
LYE00147751,2006-09-03,TMIN,233
LYE00147751,2006-09-04,TMAX,274
LYE00147751,2007-07-29,TMAX,290
LYE00147751,2005-05-22,TMAX,234
LYE00147751,2006-07-17,TMAX,276
LYE00147751,2010-11-25,TMIN,174
LYE00147751,2008-10-16,TMAX,250
LYE00147751,2010-06-17,TMAX,305
LYE00147751,2007-06-18,TMIN,235
LYE00147751,2010-04-06,TMIN,148
LYE00147751,2010-04-06,TMAX,190
LYE00147751,2010-09-15,TMIN,240
LYE00147751,2007-10-15,TMAX,270
LYE00147751,2009-11-09,TMIN,170
LYE00147751,2009-02-06,TMAX,235
LYE00147751,2007-01-02,TMAX,175
LYE00147751,2011-01-22,TMIN,130
LYE00147751,2008-06-07,TMAX,270
LYE00147751,2008-10-16,TMIN,195
LYE00147751,2007-06-14,TMAX,254
LYE00147751,2007-12-31,TMAX,200
LYE00147751,2010-05-18,TMIN,182
LYE00147751,2009-08-29,TMIN,240
LYE00147751,2007-11-26,TMAX,230
LYE00147751,2010-05-18,TMAX,210
LYE00147751,2009-07-11,TMIN,256
LYE00147751,2009-08-29,TMAX,295
LYE00147751,2007-05-02,TMIN,168
LYE00147751,2009-12-25,TMIN,165
LYE00147751,2007-01-12,TMAX,180
LYE00147751,2008-12-30,TMAX,150
LYE00147751,2009-11-09,TMAX,250
LYE00147751,2007-11-26,TMIN,105
LYE00147751,2005-01-17,TMIN,75
LYE00147751,2008-11-12,TMIN,165
LYE00147751,2007-05-01,TMIN,148
LYE00147751,2008-04-05,TMIN,142
LYE00147751,2009-09-22,TMAX,270
LYE00147751,2010-05-04,TMIN,190
LYE00147751,2005-10-26,TMIN,210
LYE00147751,2005-04-30,TMAX,210
LYE00147751,2008-09-08,TMAX,293
LYE00147751,2008-03-09,TMIN,110
LYE00147751,2008-08-23,TMIN,250
LYE00147751,2008-07-25,TMIN,240
LYE00147751,2007-08-24,TMAX,310
LYE00147751,2007-06-17,TMIN,215
LYE00147751,2009-08-17,TMIN,258
LYE00147751,2010-12-09,TMIN,140
LYE00147751,2009-02-02,TMAX,225
LYE00147751,2007-03-27,TMAX,260
LYE00147751,2006-04-25,TMAX,215
LYE00147751,2007-01-16,TMIN,138
LYE00147751,2008-04-07,TMAX,210
LYE00147751,2006-09-03,TMAX,280
LYE00147751,2007-06-17,TMAX,296
LYE00147751,2009-08-17,TMAX,290
LYE00147751,2010-09-15,TMAX,278
LYE00147751,2010-11-25,TMAX,234
LYE00147751,2006-06-20,TMAX,270
LYE00147751,2009-11-30,TMAX,233
LYE00147751,2007-01-12,TMIN,145
LYE00147751,2005-03-30,TMIN,160
LYE00147751,2008-03-09,TMAX,198
LYE00147751,2008-07-09,TMIN,250
LYE00147751,2007-01-30,TMAX,185
LYE00147751,2010-03-05,TMAX,195
LYE00147751,2009-06-22,TMAX,295
LYE00147751,2007-08-08,TMIN,240
LYE00147751,2007-09-01,TMIN,230
LYE00147751,2005-04-30,TMIN,165
LYE00147751,2007-04-22,TMIN,160
LYE00147751,2008-04-07,TMIN,120
LYE00147751,2007-04-21,TMIN,170
LYE00147751,2010-01-10,TMIN,150
LYE00147751,2009-07-30,TMIN,245
LYE00147751,2009-11-08,TMIN,182
LYE00147751,2009-05-28,TMAX,255
LYE00147751,2006-07-17,TMIN,246
LYE00147751,2008-02-11,TMIN,120
LYE00147751,2009-06-23,TMAX,280
LYE00147751,2006-09-20,TMAX,280
LYE00147751,2006-04-16,TMAX,202
LYE00147751,2007-01-16,TMAX,170
LYE00147751,2009-09-22,TMIN,220
LYE00147751,2006-12-11,TMIN,134
LYE00147751,2009-12-25,TMAX,238
LYE00147751,2010-03-28,TMAX,185
LYE00147751,2010-03-05,TMIN,162
LYE00147751,2009-11-08,TMAX,225
LYE00147751,2008-12-02,TMAX,240
LYE00147751,2006-06-20,TMIN,225
LYE00147751,2009-11-04,TMIN,185
LYE00147751,2009-10-17,TMIN,220
LYE00147751,2006-12-24,TMAX,175
LYE00147751,2006-12-11,TMAX,198
LYE00147751,2005-09-06,TMAX,280
LYE00147751,2006-03-17,TMAX,215
LYE00147751,2011-01-22,TMAX,200
LYE00147751,2009-03-21,TMIN,115
LYE00147751,2009-03-25,TMAX,227
LYE00147751,2009-07-30,TMAX,285
LYE00147751,2008-07-09,TMAX,317
LYE00147751,2007-01-30,TMIN,120
LYE00147751,2008-12-02,TMIN,194
LYE00147751,2010-02-23,TMIN,115
LYE00147751,2009-02-02,TMIN,148
LYE00147751,2007-11-17,TMAX,278
LYE00147751,2009-03-28,TMAX,180
LYE00147751,2010-04-07,TMAX,183
LYE00147751,2005-09-16,TMAX,271
LYE00147751,2008-11-12,TMAX,210
LYE00147751,2005-09-16,TMIN,205
LYE00147751,2008-05-30,TMIN,220
LYE00147751,2007-05-30,TMAX,260
LYE00147751,2009-11-03,TMAX,220
LYE00147751,2008-05-30,TMAX,270
LYE00147751,2006-12-24,TMIN,130
LYE00147751,2006-09-20,TMIN,235
LYE00147751,2009-05-05,TMAX,195
LYE00147751,2009-06-22,TMIN,240
LYE00147751,2007-09-23,TMAX,250
LYE00147751,2009-10-17,TMAX,248
LYE00147751,2005-07-17,TMAX,285
LYE00147751,2005-09-04,TMAX,282
LYE00147751,2008-06-17,TMIN,215
LYE00147751,2009-03-11,TMIN,134
LYE00147751,2008-11-23,TMIN,188
LYE00147751,2008-10-06,TMIN,205
LYE00147751,2010-02-22,TMIN,145
LYE00147751,2006-12-14,TMIN,146
LYE00147751,2008-10-06,TMAX,250
LYE00147751,2005-12-03,TMIN,195
LYE00147751,2006-02-17,TMAX,176
LYE00147751,2009-01-24,TMAX,220
LYE00147751,2008-12-04,TMAX,210
LYE00147751,2009-01-24,TMIN,128
LYE00147751,2010-02-03,TMAX,140
LYE00147751,2008-12-25,TMAX,167
LYE00147751,2010-02-22,TMAX,176
LYE00147751,2007-04-04,TMIN,108
LYE00147751,2009-07-28,TMAX,288
LYE00147751,2005-04-03,TMIN,120
LYE00147751,2006-12-14,TMAX,180
LYE00147751,2010-02-03,TMIN,100
LYE00147751,2010-09-18,TMIN,240
LYE00147751,2008-10-13,TMAX,235
LYE00147751,2011-01-28,TMAX,220
LYE00147751,2008-06-17,TMAX,270
LYE00147751,2009-12-23,TMAX,200
LYE00147751,2010-09-18,TMAX,280
LYE00147751,2009-01-05,TMAX,200
LYE00147751,2010-04-30,TMIN,163
LYE00147751,2009-08-12,TMAX,295
LYE00147751,2008-05-20,TMAX,285
LYE00147751,2008-03-07,TMAX,170
LYE00147751,2008-07-01,TMAX,290
LYE00147751,2010-11-09,TMIN,185
LYE00147751,2007-04-09,TMIN,155
LYE00147751,2008-07-01,TMIN,230
LYE00147751,2006-10-29,TMAX,230
LYE00147751,2008-02-06,TMIN,120
LYE00147751,2008-01-06,TMIN,120
LYE00147751,2005-09-19,TMIN,234
LYE00147751,2005-09-13,TMAX,290
LYE00147751,2005-09-13,TMIN,215
LYE00147751,2005-09-14,TMIN,235
LYE00147751,2008-12-28,TMAX,182
LYE00147751,2011-02-05,TMAX,165
LYE00147751,2009-08-23,TMAX,293
LYE00147751,2009-04-20,TMIN,155
LYE00147751,2008-02-07,TMIN,130
LYE00147751,2008-09-20,TMAX,305
