ID,Date,Element,Data_Value
AGM00060686,2012-09-01,TMIN,268
AGM00060686,2007-10-26,TMAX,365
AGM00060686,2007-10-26,TMIN,185
AGM00060686,2007-11-16,TMAX,336
AGM00060686,2012-11-24,TMIN,130
AGM00060686,2012-07-08,TMIN,285
AGM00060686,2011-04-07,TMIN,195
AGM00060686,2006-09-25,TMIN,276
AGM00060686,2008-06-18,TMIN,326
AGM00060686,2008-11-08,TMAX,288
AGM00060686,2011-04-24,TMIN,234
AGM00060686,2011-04-24,TMAX,353
AGM00060686,2008-04-25,TMIN,227
AGM00060686,2012-09-01,TMAX,405
AGM00060686,2008-04-25,TMAX,415
AGM00060686,2011-04-07,TMAX,387
AGM00060686,2007-09-24,TMIN,173
AGM00060686,2013-10-27,TMAX,352
AGM00060686,2008-03-23,TMAX,307
AGM00060686,2012-11-24,TMAX,267
AGM00060686,2006-08-15,TMAX,465
AGM00060686,2009-11-22,TMIN,133
AGM00060686,2009-11-22,TMAX,295
AGM00060686,2006-09-25,TMAX,430
AGM00060686,2008-03-23,TMIN,119
AGM00060686,2008-06-26,TMIN,260
AGM00060686,2006-07-02,TMIN,258
AGM00060686,2008-06-25,TMAX,419
AGM00060686,2009-05-31,TMIN,288
AGM00060686,2009-05-31,TMAX,444
AGM00060686,2011-11-03,TMAX,344
AGM00060686,2009-08-12,TMIN,274
AGM00060686,2006-10-10,TMAX,380
AGM00060686,2009-08-12,TMAX,435
AGM00060686,2006-10-10,TMIN,208
AGM00060686,2012-06-26,TMIN,301
AGM00060686,2011-08-06,TMAX,425
AGM00060686,2011-02-09,TMIN,101
AGM00060686,2008-10-12,TMIN,256
AGM00060686,2008-06-08,TMIN,263
AGM00060686,2006-08-21,TMIN,298
AGM00060686,2006-08-21,TMAX,445
AGM00060686,2012-12-24,TMIN,104
AGM00060686,2012-12-24,TMAX,299
AGM00060686,2013-10-19,TMAX,388
AGM00060686,2011-07-06,TMIN,328
AGM00060686,2012-06-28,TMAX,452
AGM00060686,2012-06-26,TMAX,446
AGM00060686,2011-08-06,TMIN,255
AGM00060686,2011-08-22,TMIN,281
AGM00060686,2012-09-11,TMIN,305
AGM00060686,2013-10-27,TMIN,186
AGM00060686,2008-06-25,TMIN,314
AGM00060686,2008-10-12,TMAX,400
AGM00060686,2006-10-13,TMAX,412
