ID,Date,Element,Data_Value
ROE00100901,2008-06-18,TMAX,331
ROE00100901,2009-09-16,TMIN,127
ROE00100901,2009-08-25,TMIN,135
ROE00100901,2009-01-09,TMAX,-34
ROE00100901,2007-02-02,TMAX,72
ROE00100901,2005-06-03,TMIN,108
ROE00100901,2005-01-08,TMAX,116
ROE00100901,2006-01-24,TMIN,-184
ROE00100901,2009-03-31,TMAX,208
ROE00100901,2005-02-04,TMAX,-36
ROE00100901,2007-07-27,TMIN,133
ROE00100901,2005-06-03,TMAX,247
ROE00100901,2007-06-03,TMAX,313
ROE00100901,2009-03-05,TMIN,56
ROE00100901,2009-11-15,TMAX,114
ROE00100901,2007-02-02,TMIN,10
ROE00100901,2008-04-26,TMIN,27
ROE00100901,2006-08-23,TMIN,138
ROE00100901,2008-07-17,TMAX,291
ROE00100901,2005-05-11,TMAX,220
ROE00100901,2005-05-11,TMIN,134
ROE00100901,2005-12-30,TMAX,146
ROE00100901,2008-10-12,TMAX,207
ROE00100901,2005-06-05,TMAX,262
ROE00100901,2009-04-30,TMIN,103
ROE00100901,2008-07-17,TMIN,166
ROE00100901,2007-01-15,TMIN,36
ROE00100901,2009-01-06,TMIN,-95
ROE00100901,2006-12-07,TMAX,66
ROE00100901,2006-03-20,TMAX,134
ROE00100901,2006-12-07,TMIN,33
ROE00100901,2009-06-16,TMIN,146
ROE00100901,2006-05-21,TMIN,159
ROE00100901,2009-11-15,TMIN,62
ROE00100901,2009-04-29,TMAX,233
ROE00100901,2005-08-01,TMIN,205
ROE00100901,2007-06-03,TMIN,137
ROE00100901,2008-01-21,TMAX,95
ROE00100901,2006-08-23,TMAX,297
ROE00100901,2007-09-11,TMAX,281
ROE00100901,2006-03-19,TMIN,30
ROE00100901,2008-06-18,TMIN,162
ROE00100901,2008-09-05,TMIN,113
ROE00100901,2009-04-29,TMIN,46
ROE00100901,2007-10-31,TMAX,170
ROE00100901,2009-08-06,TMIN,183
ROE00100901,2007-03-10,TMAX,68
ROE00100901,2007-11-02,TMIN,71
ROE00100901,2009-01-11,TMAX,-16
ROE00100901,2007-03-10,TMIN,-18
ROE00100901,2006-05-16,TMAX,245
ROE00100901,2006-11-02,TMIN,46
ROE00100901,2008-01-19,TMIN,-10
ROE00100901,2009-01-11,TMIN,-117
ROE00100901,2007-06-15,TMIN,163
ROE00100901,2009-03-14,TMIN,20
ROE00100901,2007-10-11,TMAX,218
ROE00100901,2009-12-20,TMIN,-82
ROE00100901,2006-05-16,TMIN,124
ROE00100901,2007-06-09,TMIN,129
ROE00100901,2005-03-02,TMAX,-6
ROE00100901,2005-11-29,TMIN,9
ROE00100901,2005-11-29,TMAX,84
ROE00100901,2008-07-14,TMIN,139
ROE00100901,2006-11-19,TMAX,115
ROE00100901,2008-01-19,TMAX,5
ROE00100901,2005-01-11,TMIN,24
ROE00100901,2009-08-06,TMAX,330
ROE00100901,2008-09-17,TMIN,113
ROE00100901,2005-12-06,TMAX,144
ROE00100901,2009-03-31,TMIN,83
ROE00100901,2005-04-27,TMAX,196
ROE00100901,2007-10-31,TMIN,25
ROE00100901,2008-01-05,TMIN,-169
