ID,Date,Element,Data_Value
CHM00057461,2007-06-04,TMAX,270
CHM00057461,2007-06-13,TMIN,229
CHM00057461,2011-06-16,TMAX,292
CHM00057461,2005-04-29,TMAX,321
CHM00057461,2007-06-04,TMIN,227
CHM00057461,2007-01-25,TMIN,35
CHM00057461,2015-08-13,TMIN,235
CHM00057461,2009-12-03,TMIN,47
CHM00057461,2005-01-07,TMAX,70
CHM00057461,2011-07-04,TMAX,340
CHM00057461,2007-10-25,TMIN,159
CHM00057461,2012-04-14,TMAX,196
CHM00057461,2007-10-17,TMAX,225
CHM00057461,2013-04-12,TMIN,131
CHM00057461,2011-06-16,TMIN,219
CHM00057461,2005-07-29,TMIN,269
CHM00057461,2010-08-13,TMAX,380
CHM00057461,2014-09-14,TMAX,238
CHM00057461,2012-05-04,TMAX,280
CHM00057461,2012-05-04,TMIN,181
CHM00057461,2012-04-14,TMIN,133
CHM00057461,2005-07-29,TMAX,346
CHM00057461,2014-01-11,TMAX,51
CHM00057461,2013-02-23,TMAX,179
CHM00057461,2005-09-22,TMIN,178
CHM00057461,2007-12-09,TMAX,91
CHM00057461,2011-05-29,TMIN,198
CHM00057461,2008-01-07,TMIN,42
CHM00057461,2011-03-19,TMAX,146
CHM00057461,2012-10-27,TMIN,130
CHM00057461,2005-10-21,TMIN,156
CHM00057461,2008-06-26,TMAX,331
CHM00057461,2007-05-02,TMIN,161
CHM00057461,2013-01-28,TMIN,47
CHM00057461,2010-07-15,TMIN,250
CHM00057461,2007-05-02,TMAX,304
CHM00057461,2006-04-21,TMIN,151
CHM00057461,2005-02-10,TMIN,8
CHM00057461,2013-01-28,TMAX,123
CHM00057461,2011-05-29,TMAX,326
CHM00057461,2008-12-30,TMAX,93
CHM00057461,2008-01-07,TMAX,147
CHM00057461,2006-04-21,TMAX,169
CHM00057461,2008-09-04,TMAX,283
CHM00057461,2009-11-27,TMIN,84
CHM00057461,2013-02-23,TMIN,35
CHM00057461,2008-09-04,TMIN,194
CHM00057461,2007-10-25,TMAX,250
CHM00057461,2012-09-25,TMAX,261
CHM00057461,2015-10-24,TMIN,185
CHM00057461,2014-01-11,TMIN,17
CHM00057461,2007-06-13,TMAX,310
CHM00057461,2012-11-30,TMIN,47
CHM00057461,2013-07-23,TMIN,260
CHM00057461,2010-08-13,TMIN,282
CHM00057461,2010-08-05,TMIN,250
CHM00057461,2005-04-05,TMIN,149
CHM00057461,2006-12-19,TMAX,153
CHM00057461,2009-10-08,TMIN,194
CHM00057461,2012-12-06,TMIN,37
CHM00057461,2009-10-08,TMAX,222
CHM00057461,2011-10-09,TMIN,157
CHM00057461,2011-09-04,TMIN,259
CHM00057461,2010-08-05,TMAX,376
CHM00057461,2011-09-04,TMAX,338
CHM00057461,2012-12-06,TMAX,131
CHM00057461,2013-12-15,TMAX,127
CHM00057461,2011-12-13,TMIN,21
CHM00057461,2013-11-25,TMAX,188
CHM00057461,2012-10-08,TMAX,186
CHM00057461,2006-03-20,TMAX,195
CHM00057461,2013-11-25,TMIN,58
CHM00057461,2009-05-27,TMIN,157
CHM00057461,2006-12-19,TMIN,32
CHM00057461,2009-05-27,TMAX,174
CHM00057461,2007-10-23,TMIN,157
CHM00057461,2006-07-20,TMAX,371
CHM00057461,2008-01-17,TMAX,8
CHM00057461,2014-06-27,TMIN,208
CHM00057461,2011-03-27,TMAX,213
CHM00057461,2008-10-28,TMIN,158
CHM00057461,2005-02-10,TMAX,32
CHM00057461,2009-12-07,TMAX,104
CHM00057461,2011-11-17,TMAX,188
CHM00057461,2010-10-10,TMIN,161
CHM00057461,2011-02-24,TMAX,218
CHM00057461,2013-07-30,TMIN,250
CHM00057461,2015-12-03,TMIN,58
CHM00057461,2010-10-10,TMAX,234
CHM00057461,2005-12-03,TMAX,130
CHM00057461,2005-04-05,TMAX,284
CHM00057461,2011-11-17,TMIN,147
CHM00057461,2006-01-19,TMAX,53
CHM00057461,2014-01-23,TMIN,23
CHM00057461,2015-07-24,TMIN,223
CHM00057461,2008-01-17,TMIN,-12
CHM00057461,2009-09-14,TMAX,252
CHM00057461,2006-06-06,TMIN,203
CHM00057461,2009-04-03,TMAX,102
CHM00057461,2010-09-19,TMAX,355
CHM00057461,2012-01-03,TMAX,54
CHM00057461,2009-09-14,TMIN,212
CHM00057461,2014-01-23,TMAX,141
CHM00057461,2011-03-27,TMIN,74
CHM00057461,2014-09-14,TMIN,181
CHM00057461,2010-08-19,TMIN,247
CHM00057461,2006-09-16,TMAX,301
CHM00057461,2010-08-19,TMAX,365
CHM00057461,2011-11-24,TMIN,117
CHM00057461,2009-11-27,TMAX,135
CHM00057461,2006-06-27,TMIN,263
CHM00057461,2007-01-25,TMAX,122
CHM00057461,2011-12-21,TMAX,92
CHM00057461,2006-06-27,TMAX,333
CHM00057461,2007-07-23,TMAX,274
CHM00057461,2015-10-27,TMIN,117
CHM00057461,2010-07-11,TMIN,234
CHM00057461,2012-03-21,TMIN,55
CHM00057461,2009-02-06,TMIN,83
CHM00057461,2012-03-21,TMAX,78
CHM00057461,2011-10-26,TMIN,109
CHM00057461,2012-08-18,TMAX,378
CHM00057461,2012-10-09,TMAX,269
CHM00057461,2012-10-09,TMIN,166
CHM00057461,2011-10-26,TMAX,155
CHM00057461,2014-05-28,TMIN,194
CHM00057461,2015-07-28,TMIN,235
CHM00057461,2011-02-16,TMAX,80
CHM00057461,2006-07-20,TMIN,279
CHM00057461,2013-08-27,TMIN,268
CHM00057461,2014-05-28,TMAX,311
CHM00057461,2011-02-16,TMIN,28
CHM00057461,2010-07-11,TMAX,256
CHM00057461,2011-08-02,TMAX,265
CHM00057461,2008-07-12,TMAX,341
CHM00057461,2014-11-05,TMAX,150
CHM00057461,2009-04-11,TMAX,210
CHM00057461,2014-01-16,TMAX,93
CHM00057461,2008-03-26,TMIN,99
CHM00057461,2014-01-16,TMIN,41
CHM00057461,2011-03-06,TMIN,76
CHM00057461,2009-01-13,TMAX,84
CHM00057461,2009-01-13,TMIN,-23
CHM00057461,2011-10-04,TMIN,144
CHM00057461,2009-09-25,TMAX,261
CHM00057461,2014-01-14,TMAX,96
CHM00057461,2010-08-25,TMAX,216
CHM00057461,2013-03-02,TMAX,98
CHM00057461,2008-12-24,TMIN,-13
CHM00057461,2015-04-16,TMIN,138
CHM00057461,2012-08-22,TMAX,304
CHM00057461,2013-11-06,TMIN,114
CHM00057461,2009-10-27,TMAX,215
CHM00057461,2015-04-23,TMIN,148
CHM00057461,2009-09-25,TMIN,215
CHM00057461,2011-11-01,TMIN,149
CHM00057461,2005-06-11,TMAX,289
CHM00057461,2014-08-10,TMIN,195
CHM00057461,2013-03-02,TMIN,59
CHM00057461,2010-05-04,TMIN,202
CHM00057461,2009-04-25,TMAX,232
CHM00057461,2010-05-04,TMAX,277
CHM00057461,2007-08-12,TMIN,225
CHM00057461,2007-08-12,TMAX,354
CHM00057461,2011-03-06,TMAX,140
CHM00057461,2011-10-04,TMAX,217
CHM00057461,2012-08-22,TMIN,221
CHM00057461,2008-03-28,TMIN,159
CHM00057461,2010-08-01,TMIN,237
CHM00057461,2008-11-14,TMAX,183
CHM00057461,2007-12-09,TMIN,69
CHM00057461,2005-06-11,TMIN,194
CHM00057461,2015-06-16,TMIN,198
CHM00057461,2005-06-14,TMIN,222
CHM00057461,2008-07-10,TMIN,252
CHM00057461,2009-02-06,TMAX,124
CHM00057461,2009-04-27,TMAX,200
CHM00057461,2007-08-16,TMAX,322
CHM00057461,2008-07-10,TMAX,313
CHM00057461,2007-07-26,TMIN,231
CHM00057461,2007-07-26,TMAX,284
CHM00057461,2007-07-23,TMIN,224
CHM00057461,2006-01-12,TMIN,60
CHM00057461,2006-01-12,TMAX,108
CHM00057461,2008-12-27,TMIN,41
CHM00057461,2008-06-26,TMIN,234
CHM00057461,2009-04-09,TMIN,154
CHM00057461,2009-04-03,TMIN,82
CHM00057461,2011-03-19,TMIN,109
CHM00057461,2013-03-12,TMAX,121
CHM00057461,2014-07-14,TMAX,277
CHM00057461,2005-04-29,TMIN,222
CHM00057461,2009-12-03,TMAX,142
CHM00057461,2010-06-02,TMIN,181
CHM00057461,2013-03-12,TMIN,98
CHM00057461,2006-04-02,TMIN,168
CHM00057461,2010-08-01,TMAX,345
CHM00057461,2006-04-30,TMAX,345
CHM00057461,2011-07-04,TMIN,275
CHM00057461,2014-01-14,TMIN,1
CHM00057461,2011-02-19,TMIN,53
CHM00057461,2010-07-15,TMAX,309
CHM00057461,2008-12-24,TMAX,117
CHM00057461,2012-05-08,TMAX,256
CHM00057461,2011-06-10,TMAX,317
CHM00057461,2008-03-28,TMAX,203
CHM00057461,2011-02-19,TMAX,131
CHM00057461,2011-06-10,TMIN,235
CHM00057461,2008-11-14,TMIN,111
CHM00057461,2012-11-30,TMAX,94
CHM00057461,2014-08-10,TMAX,257
CHM00057461,2012-08-17,TMAX,352
CHM00057461,2012-08-17,TMIN,253
CHM00057461,2008-03-26,TMAX,300
CHM00057461,2010-02-02,TMAX,79
CHM00057461,2011-08-02,TMIN,227
CHM00057461,2009-04-27,TMIN,159
CHM00057461,2010-02-02,TMIN,58
CHM00057461,2006-03-09,TMIN,120
CHM00057461,2005-06-17,TMIN,245
CHM00057461,2007-08-16,TMIN,237
CHM00057461,2006-04-30,TMIN,188
CHM00057461,2010-08-25,TMIN,203
CHM00057461,2012-05-08,TMIN,209
CHM00057461,2008-07-12,TMIN,255
CHM00057461,2012-01-11,TMIN,52
CHM00057461,2009-08-08,TMAX,327
CHM00057461,2012-10-19,TMAX,237
CHM00057461,2015-12-14,TMIN,57
CHM00057461,2015-03-06,TMIN,24
CHM00057461,2006-11-28,TMAX,116
CHM00057461,2006-09-19,TMIN,221
CHM00057461,2011-10-09,TMAX,280
CHM00057461,2012-02-01,TMIN,26
CHM00057461,2015-03-06,TMAX,111
CHM00057461,2015-10-29,TMIN,114
CHM00057461,2010-12-25,TMAX,33
CHM00057461,2011-09-05,TMIN,245
CHM00057461,2015-02-16,TMAX,163
CHM00057461,2009-12-08,TMAX,102
CHM00057461,2010-12-25,TMIN,-4
CHM00057461,2010-09-29,TMIN,165
CHM00057461,2009-06-10,TMIN,236
CHM00057461,2010-01-03,TMIN,43
CHM00057461,2010-09-29,TMAX,250
CHM00057461,2011-07-13,TMIN,231
CHM00057461,2013-07-25,TMIN,267
CHM00057461,2011-03-10,TMIN,66
CHM00057461,2014-01-27,TMIN,34
CHM00057461,2007-03-20,TMAX,195
CHM00057461,2007-02-15,TMIN,63
CHM00057461,2007-02-15,TMAX,104
CHM00057461,2014-10-05,TMAX,283
CHM00057461,2014-09-18,TMAX,192
CHM00057461,2006-09-19,TMAX,302
CHM00057461,2005-06-01,TMAX,340
CHM00057461,2013-11-14,TMAX,202
CHM00057461,2006-01-24,TMAX,67
CHM00057461,2011-03-10,TMAX,180
CHM00057461,2005-11-29,TMAX,172
CHM00057461,2011-12-27,TMIN,57
CHM00057461,2006-01-03,TMIN,57
CHM00057461,2010-04-09,TMIN,110
CHM00057461,2008-08-09,TMIN,256
CHM00057461,2008-11-20,TMIN,48
CHM00057461,2005-11-29,TMIN,75
CHM00057461,2012-04-22,TMIN,159
CHM00057461,2012-04-22,TMAX,284
CHM00057461,2005-10-03,TMIN,176
CHM00057461,2007-09-20,TMIN,175
CHM00057461,2008-04-11,TMIN,131
CHM00057461,2011-07-13,TMAX,284
CHM00057461,2014-01-04,TMAX,141
CHM00057461,2014-03-29,TMIN,153
CHM00057461,2005-05-12,TMIN,208
CHM00057461,2014-06-22,TMAX,301
CHM00057461,2007-10-22,TMIN,146
CHM00057461,2014-06-22,TMIN,210
CHM00057461,2015-03-16,TMIN,87
CHM00057461,2006-06-18,TMAX,356
CHM00057461,2005-06-01,TMIN,222
CHM00057461,2011-04-20,TMAX,220
CHM00057461,2012-02-22,TMAX,123
CHM00057461,2006-11-28,TMIN,73
CHM00057461,2005-06-20,TMIN,245
CHM00057461,2010-01-03,TMAX,151
CHM00057461,2009-02-09,TMAX,164
CHM00057461,2006-02-02,TMIN,46
CHM00057461,2015-01-20,TMAX,156
CHM00057461,2014-01-27,TMAX,142
CHM00057461,2014-09-18,TMIN,169
CHM00057461,2009-02-10,TMIN,90
CHM00057461,2011-06-14,TMAX,221
CHM00057461,2006-03-01,TMAX,136
CHM00057461,2015-02-24,TMAX,88
CHM00057461,2009-02-16,TMIN,66
CHM00057461,2014-11-02,TMAX,162
CHM00057461,2006-10-16,TMAX,256
CHM00057461,2006-08-01,TMIN,236
CHM00057461,2009-12-09,TMIN,78
CHM00057461,2009-07-01,TMAX,327
CHM00057461,2013-07-22,TMIN,260
CHM00057461,2013-05-18,TMIN,166
CHM00057461,2006-03-01,TMIN,4
CHM00057461,2011-02-17,TMIN,41
CHM00057461,2009-07-01,TMIN,195
CHM00057461,2007-05-28,TMAX,334
CHM00057461,2012-04-04,TMAX,150
CHM00057461,2013-04-02,TMIN,144
CHM00057461,2013-04-02,TMAX,237
CHM00057461,2007-05-28,TMIN,240
CHM00057461,2007-05-25,TMIN,210
CHM00057461,2014-08-05,TMIN,266
CHM00057461,2012-04-04,TMIN,118
CHM00057461,2011-09-05,TMAX,301
CHM00057461,2014-08-05,TMAX,362
CHM00057461,2010-04-30,TMAX,258
CHM00057461,2009-10-11,TMAX,218
CHM00057461,2012-02-04,TMAX,83
