ID,Date,Element,Data_Value
CD000064754,2010-01-20,TMIN,156
CD000064754,2013-07-11,TMIN,155
CD000064754,2011-09-17,TMIN,195
CD000064754,2014-09-12,TMIN,212
CD000064754,2010-10-01,TMIN,217
CD000064754,2006-07-13,TMIN,220
CD000064754,2010-02-02,TMIN,190
CD000064754,2010-10-26,TMIN,220
CD000064754,2012-10-19,TMIN,185
CD000064754,2008-08-08,TMIN,230
CD000064754,2015-09-28,TMIN,209
CD000064754,2013-10-29,TMIN,154
CD000064754,2015-06-03,TMIN,244
CD000064754,2009-09-03,TMIN,205
CD000064754,2015-08-12,TMIN,241
CD000064754,2010-06-01,TMIN,214
CD000064754,2009-07-15,TMIN,240
CD000064754,2006-10-10,TMIN,230
CD000064754,2010-10-02,TMIN,215
CD000064754,2011-03-16,TMIN,170
CD000064754,2011-05-26,TMIN,190
CD000064754,2011-05-31,TMIN,190
CD000064754,2012-02-02,TMIN,150
CD000064754,2010-07-02,TMIN,215
CD000064754,2005-10-28,TMIN,210
CD000064754,2009-07-11,TMIN,210
CD000064754,2011-02-23,TMIN,215
CD000064754,2014-09-16,TMIN,203
CD000064754,2006-09-30,TMIN,210
CD000064754,2015-12-10,TMIN,145
CD000064754,2013-07-10,TMIN,156
CD000064754,2007-01-18,TMIN,125
CD000064754,2011-10-01,TMIN,203
CD000064754,2011-12-05,TMIN,137
CD000064754,2006-03-14,TMIN,230
CD000064754,2012-06-14,TMIN,200
CD000064754,2012-01-10,TMIN,135
CD000064754,2015-01-07,TMIN,100
CD000064754,2012-08-14,TMIN,200
CD000064754,2015-01-19,TMIN,141
CD000064754,2014-08-15,TMIN,214
CD000064754,2006-08-22,TMIN,216
CD000064754,2009-01-15,TMIN,155
CD000064754,2011-01-17,TMIN,135
CD000064754,2012-06-26,TMIN,190
CD000064754,2009-03-21,TMIN,205
CD000064754,2006-09-19,TMIN,225
CD000064754,2010-01-23,TMIN,186
CD000064754,2009-11-07,TMIN,225
CD000064754,2010-08-18,TMIN,220
CD000064754,2013-10-18,TMIN,162
CD000064754,2011-06-13,TMIN,200
CD000064754,2005-09-14,TMIN,230
CD000064754,2009-10-09,TMIN,210
CD000064754,2011-03-15,TMIN,172
CD000064754,2006-11-10,TMIN,190
CD000064754,2012-09-24,TMIN,195
CD000064754,2009-09-10,TMIN,232
CD000064754,2008-11-03,TMIN,170
CD000064754,2008-06-06,TMIN,265
CD000064754,2011-02-07,TMIN,180
CD000064754,2012-07-23,TMIN,180
CD000064754,2012-11-07,TMIN,180
CD000064754,2006-07-20,TMIN,180
CD000064754,2011-11-17,TMIN,170
CD000064754,2009-07-19,TMIN,210
CD000064754,2008-11-08,TMIN,150
CD000064754,2009-12-26,TMIN,150
