ID,Date,Element,Data_Value
WA006490640,2013-06-14,TMIN,85
WA006490640,2013-01-27,TMIN,173
WA006490640,2012-08-05,TMAX,264
WA006490640,2013-11-08,TMIN,120
WA006490640,2012-08-17,TMIN,77
WA006490640,2013-05-07,TMAX,382
WA006490640,2013-06-10,TMAX,361
WA006490640,2013-09-06,TMAX,412
WA006490640,2013-06-30,TMIN,65
WA006490640,2012-10-21,TMAX,341
WA006490640,2014-03-05,TMIN,130
WA006490640,2012-07-14,TMAX,246
WA006490640,2013-04-04,TMIN,166
WA006490640,2012-03-26,TMAX,349
WA006490640,2013-05-26,TMIN,174
WA006490640,2013-11-08,TMAX,346
WA006490640,2012-08-11,TMIN,73
WA006490640,2013-07-03,TMAX,268
WA006490640,2013-10-29,TMAX,352
WA006490640,2012-05-24,TMAX,337
WA006490640,2013-09-19,TMIN,98
WA006490640,2014-04-19,TMIN,201
WA006490640,2013-05-26,TMAX,370
WA006490640,2014-01-26,TMAX,365
WA006490640,2012-03-25,TMIN,176
WA006490640,2012-10-31,TMAX,338
WA006490640,2012-07-20,TMIN,69
WA006490640,2014-03-04,TMAX,329
WA006490640,2014-02-07,TMAX,318
WA006490640,2012-12-05,TMAX,325
WA006490640,2014-03-04,TMIN,145
WA006490640,2013-11-14,TMAX,333
WA006490640,2012-12-05,TMIN,112
WA006490640,2013-06-30,TMAX,318
WA006490640,2014-04-19,TMAX,408
WA006490640,2013-01-30,TMIN,174
WA006490640,2013-01-30,TMAX,350
WA006490640,2012-03-30,TMAX,310
WA006490640,2013-11-14,TMIN,123
WA006490640,2012-03-30,TMIN,153
WA006490640,2012-11-03,TMIN,124
WA006490640,2013-10-29,TMIN,117
WA006490640,2013-10-15,TMIN,106
WA006490640,2013-08-30,TMAX,287
WA006490640,2012-08-11,TMAX,293
WA006490640,2012-10-21,TMIN,87
WA006490640,2013-06-10,TMIN,101
WA006490640,2013-10-15,TMAX,344
WA006490640,2013-07-04,TMAX,206
WA006490640,2014-03-14,TMIN,110
WA006490640,2012-03-26,TMIN,179
WA006490640,2013-10-01,TMIN,110
WA006490640,2013-08-24,TMIN,40
WA006490640,2013-08-24,TMAX,294
WA006490640,2012-03-25,TMAX,413
WA006490640,2013-07-03,TMIN,61
WA006490640,2012-10-31,TMIN,109
WA006490640,2013-07-04,TMIN,70
WA006490640,2013-10-30,TMIN,118
WA006490640,2012-09-20,TMIN,76
WA006490640,2012-12-02,TMAX,313
WA006490640,2013-10-01,TMAX,385
WA006490640,2013-08-30,TMIN,69
WA006490640,2012-11-16,TMIN,118
WA006490640,2013-08-29,TMIN,70
WA006490640,2012-05-22,TMAX,347
WA006490640,2013-04-09,TMAX,364
WA006490640,2014-03-08,TMAX,347
WA006490640,2012-05-22,TMIN,125
WA006490640,2012-06-21,TMIN,70
WA006490640,2013-05-23,TMIN,116
WA006490640,2013-03-12,TMIN,170
WA006490640,2013-11-11,TMAX,362
WA006490640,2014-01-29,TMAX,310
WA006490640,2012-08-09,TMIN,75
WA006490640,2013-10-19,TMAX,360
WA006490640,2014-03-08,TMIN,153
WA006490640,2013-11-22,TMIN,114
WA006490640,2014-02-25,TMIN,197
WA006490640,2013-06-25,TMIN,75
WA006490640,2013-10-17,TMIN,137
WA006490640,2013-06-19,TMIN,143
WA006490640,2012-10-06,TMIN,125
WA006490640,2013-09-14,TMIN,60
WA006490640,2013-08-18,TMIN,90
WA006490640,2013-06-25,TMAX,329
WA006490640,2013-07-05,TMIN,60
WA006490640,2014-01-29,TMIN,168
WA006490640,2012-08-27,TMIN,54
WA006490640,2013-07-01,TMIN,65
WA006490640,2012-04-11,TMIN,151
WA006490640,2013-03-24,TMIN,148
WA006490640,2012-04-02,TMIN,160
WA006490640,2013-10-24,TMAX,332
WA006490640,2013-10-28,TMIN,110
WA006490640,2013-10-24,TMIN,90
WA006490640,2013-09-30,TMIN,113
WA006490640,2013-07-02,TMAX,268
WA006490640,2013-05-05,TMIN,189
WA006490640,2012-09-20,TMAX,292
WA006490640,2013-03-24,TMAX,374
WA006490640,2012-12-18,TMIN,150
WA006490640,2012-11-16,TMAX,324
WA006490640,2013-06-28,TMIN,73
WA006490640,2013-02-15,TMAX,339
WA006490640,2013-12-03,TMIN,180
WA006490640,2013-03-19,TMIN,136
WA006490640,2013-07-01,TMAX,318
WA006490640,2013-02-23,TMIN,153
WA006490640,2014-01-30,TMIN,170
WA006490640,2012-08-09,TMAX,300
WA006490640,2013-02-15,TMIN,160
WA006490640,2012-11-19,TMIN,158
WA006490640,2013-11-17,TMIN,114
WA006490640,2012-03-12,TMIN,189
WA006490640,2013-03-01,TMIN,144
WA006490640,2013-06-19,TMAX,350
WA006490640,2013-08-16,TMIN,63
WA006490640,2013-05-30,TMIN,143
WA006490640,2012-09-19,TMIN,76
WA006490640,2012-08-02,TMAX,275
WA006490640,2012-03-23,TMAX,421
WA006490640,2013-12-01,TMIN,125
WA006490640,2013-05-30,TMAX,343
WA006490640,2012-05-24,TMIN,110
WA006490640,2012-10-12,TMIN,97
WA006490640,2013-04-16,TMAX,417
WA006490640,2013-04-16,TMIN,202
WA006490640,2012-08-02,TMIN,66
WA006490640,2012-05-06,TMIN,151
WA006490640,2013-01-10,TMAX,335
WA006490640,2012-07-13,TMIN,69
WA006490640,2012-03-23,TMIN,240
WA006490640,2013-05-07,TMIN,205
WA006490640,2013-02-20,TMIN,158
WA006490640,2013-02-25,TMIN,179
WA006490640,2013-08-05,TMAX,356
WA006490640,2014-04-14,TMIN,202
WA006490640,2013-02-25,TMAX,464
WA006490640,2014-04-18,TMIN,200
WA006490640,2014-04-14,TMAX,360
WA006490640,2012-10-03,TMAX,401
WA006490640,2012-09-28,TMAX,271
WA006490640,2012-10-03,TMIN,131
WA006490640,2013-01-09,TMAX,335
WA006490640,2014-02-15,TMIN,189
WA006490640,2013-03-02,TMIN,130
WA006490640,2013-07-10,TMIN,113
WA006490640,2012-03-12,TMAX,425
WA006490640,2013-03-10,TMAX,349
WA006490640,2013-03-10,TMIN,139
WA006490640,2013-08-17,TMIN,75
WA006490640,2014-03-11,TMIN,136
WA006490640,2013-04-26,TMIN,195
WA006490640,2012-05-19,TMIN,128
WA006490640,2014-03-27,TMIN,124
WA006490640,2013-04-26,TMAX,424
WA006490640,2012-05-19,TMAX,368
WA006490640,2013-04-19,TMIN,106
WA006490640,2014-01-15,TMAX,379
WA006490640,2012-11-27,TMAX,430
WA006490640,2013-04-19,TMAX,296
WA006490640,2014-03-11,TMAX,321
WA006490640,2014-03-26,TMIN,120
WA006490640,2014-03-29,TMAX,410
WA006490640,2014-01-15,TMIN,154
WA006490640,2014-02-19,TMAX,373
WA006490640,2013-01-09,TMIN,161
WA006490640,2013-08-17,TMAX,311
WA006490640,2012-03-02,TMIN,160
WA006490640,2013-03-23,TMIN,148
WA006490640,2012-12-21,TMAX,350
WA006490640,2014-01-16,TMAX,370
WA006490640,2012-05-01,TMIN,142
WA006490640,2013-06-17,TMIN,180
WA006490640,2013-06-17,TMAX,357
WA006490640,2013-06-11,TMAX,366
WA006490640,2013-06-08,TMIN,96
WA006490640,2014-01-16,TMIN,170
WA006490640,2012-08-16,TMIN,29
WA006490640,2013-06-27,TMIN,64
WA006490640,2013-06-27,TMAX,261
WA006490640,2013-05-15,TMIN,95
WA006490640,2014-04-23,TMAX,362
WA006490640,2012-05-16,TMIN,166
WA006490640,2014-01-08,TMIN,123
WA006490640,2014-02-08,TMIN,150
WA006490640,2014-03-01,TMAX,330
WA006490640,2013-07-12,TMAX,347
WA006490640,2013-07-12,TMIN,166
WA006490640,2013-08-06,TMIN,106
WA006490640,2014-04-05,TMIN,156
WA006490640,2013-11-19,TMIN,130
WA006490640,2013-11-19,TMAX,317
WA006490640,2012-05-16,TMAX,381
WA006490640,2012-11-06,TMAX,340
WA006490640,2012-06-09,TMIN,54
WA006490640,2013-04-24,TMIN,211
WA006490640,2013-08-12,TMIN,60
WA006490640,2013-09-27,TMIN,138
WA006490640,2013-09-27,TMAX,280
WA006490640,2013-03-18,TMIN,129
WA006490640,2013-03-18,TMAX,376
WA006490640,2012-11-30,TMIN,147
WA006490640,2012-10-07,TMIN,110
WA006490640,2013-10-06,TMAX,376
WA006490640,2012-10-07,TMAX,334
WA006490640,2013-02-01,TMAX,349
WA006490640,2014-01-19,TMAX,367
WA006490640,2012-06-10,TMIN,73
WA006490640,2014-02-24,TMIN,137
WA006490640,2013-11-04,TMIN,113
WA006490640,2013-09-11,TMAX,299
WA006490640,2013-09-11,TMIN,110
WA006490640,2013-06-01,TMIN,105
WA006490640,2012-11-28,TMIN,152
WA006490640,2012-11-08,TMIN,119
WA006490640,2012-11-08,TMAX,332
WA006490640,2012-11-28,TMAX,430
WA006490640,2013-04-24,TMAX,416
WA006490640,2012-11-06,TMIN,132
WA006490640,2013-10-02,TMIN,113
WA006490640,2013-08-13,TMAX,268
WA006490640,2013-04-25,TMIN,199
WA006490640,2013-06-24,TMAX,343
WA006490640,2013-09-26,TMAX,260
WA006490640,2012-11-18,TMAX,408
WA006490640,2013-07-24,TMIN,50
WA006490640,2012-11-18,TMIN,145
WA006490640,2013-01-11,TMAX,321
WA006490640,2013-01-11,TMIN,136
WA006490640,2012-03-21,TMIN,237
WA006490640,2014-04-20,TMIN,232
WA006490640,2013-08-08,TMAX,279
WA006490640,2013-10-04,TMAX,391
WA006490640,2013-09-26,TMIN,125
WA006490640,2013-10-04,TMIN,150
WA006490640,2013-08-08,TMIN,61
WA006490640,2013-08-11,TMAX,310
WA006490640,2013-08-11,TMIN,80
WA006490640,2013-11-27,TMIN,166
WA006490640,2014-04-20,TMAX,408
WA006490640,2013-04-02,TMIN,128
WA006490640,2012-06-01,TMIN,192
WA006490640,2012-06-05,TMIN,160
WA006490640,2012-06-05,TMAX,342
WA006490640,2013-09-18,TMIN,82
WA006490640,2013-06-29,TMIN,88
WA006490640,2014-02-18,TMIN,190
WA006490640,2014-02-18,TMAX,381
WA006490640,2014-01-21,TMAX,356
WA006490640,2013-06-24,TMIN,126
WA006490640,2012-11-24,TMIN,140
WA006490640,2013-10-11,TMIN,141
WA006490640,2013-10-11,TMAX,396
WA006490640,2013-02-04,TMAX,302
WA006490640,2013-08-02,TMAX,361
WA006490640,2013-08-02,TMIN,145
WA006490640,2012-11-02,TMAX,286
WA006490640,2012-11-02,TMIN,124
WA006490640,2013-08-10,TMAX,310
WA006490640,2014-02-13,TMIN,191
WA006490640,2012-07-18,TMAX,332
WA006490640,2012-07-18,TMIN,145
WA006490640,2013-08-10,TMIN,73
WA006490640,2014-03-20,TMAX,390
WA006490640,2012-03-08,TMIN,144
WA006490640,2012-03-08,TMAX,370
WA006490640,2013-02-05,TMIN,165
WA006490640,2012-08-22,TMIN,88
WA006490640,2012-03-24,TMAX,411
WA006490640,2012-03-24,TMIN,240
WA006490640,2014-01-21,TMIN,153
WA006490640,2012-05-17,TMAX,385
