ID,Date,Element,Data_Value
VEM00080420,2009-09-28,TMIN,224
VEM00080420,2013-01-13,TMIN,235
VEM00080421,2014-04-30,TMIN,256
VEM00080421,2006-07-30,TMAX,322
VEM00080420,2014-04-11,TMIN,245
VEM00080420,2015-10-24,TMAX,344
VEM00080420,2012-01-13,TMAX,323
VEM00080420,2015-02-23,TMIN,223
VEM00080421,2006-08-05,TMIN,249
VEM00080420,2012-08-23,TMAX,338
VEM00080420,2011-07-02,TMAX,331
VEM00080421,2008-09-30,TMIN,270
VEM00080420,2012-10-24,TMIN,233
VEM00080420,2015-05-26,TMAX,330
VEM00080421,2006-05-08,TMAX,334
VEM00080421,2008-10-09,TMIN,250
VEM00080420,2010-09-25,TMAX,344
VEM00080420,2012-05-07,TMAX,334
VEM00080420,2009-12-19,TMAX,353
VEM00080420,2008-01-22,TMIN,197
VEM00080420,2013-03-05,TMAX,326
VEM00080420,2013-03-22,TMIN,208
VEM00080420,2013-01-22,TMIN,123
VEM00080420,2008-02-11,TMIN,215
VEM00080421,2005-02-27,TMIN,248
VEM00080420,2005-01-13,TMIN,250
VEM00080420,2008-06-20,TMIN,257
VEM00080420,2014-12-31,TMIN,220
VEM00080421,2005-03-31,TMAX,329
VEM00080420,2009-10-01,TMAX,354
VEM00080420,2011-09-06,TMAX,350
VEM00080420,2008-05-05,TMIN,250
VEM00080420,2010-05-08,TMIN,232
VEM00080421,2008-11-14,TMAX,337
VEM00080420,2015-11-18,TMAX,334
VEM00080420,2009-08-03,TMIN,216
VEM00080420,2012-03-13,TMIN,242
VEM00080421,2008-10-09,TMAX,317
VEM00080421,2013-10-22,TMIN,265
VEM00080421,2005-12-17,TMAX,300
VEM00080420,2008-12-15,TMIN,229
VEM00080420,2008-03-20,TMIN,190
VEM00080420,2012-07-20,TMIN,235
VEM00080420,2011-11-09,TMIN,240
VEM00080420,2008-06-09,TMAX,355
VEM00080421,2012-10-31,TMAX,345
VEM00080420,2015-08-30,TMAX,334
VEM00080420,2012-07-20,TMAX,340
VEM00080420,2014-06-05,TMAX,327
VEM00080421,2006-07-16,TMIN,252
VEM00080420,2013-12-23,TMAX,317
VEM00080420,2011-07-02,TMIN,234
VEM00080420,2014-02-08,TMAX,326
VEM00080420,2014-09-18,TMAX,326
VEM00080420,2008-06-20,TMAX,347
VEM00080420,2009-12-04,TMAX,344
VEM00080420,2012-04-16,TMIN,217
VEM00080421,2012-10-31,TMIN,263
VEM00080420,2012-12-12,TMIN,219
VEM00080420,2011-01-25,TMIN,240
VEM00080420,2013-06-11,TMIN,257
VEM00080420,2013-07-25,TMAX,323
VEM00080421,2008-10-11,TMAX,309
VEM00080420,2011-10-12,TMAX,342
VEM00080420,2006-12-01,TMAX,328
VEM00080420,2013-07-07,TMIN,205
VEM00080420,2011-10-17,TMIN,229
VEM00080420,2006-12-02,TMIN,223
VEM00080420,2013-01-07,TMAX,321
VEM00080420,2015-06-09,TMAX,320
VEM00080420,2006-12-02,TMAX,332
VEM00080420,2013-03-24,TMAX,311
VEM00080421,2013-08-27,TMAX,338
VEM00080421,2009-02-25,TMAX,303
VEM00080420,2010-04-08,TMAX,328
VEM00080420,2009-09-18,TMIN,206
VEM00080420,2009-05-16,TMIN,212
VEM00080420,2010-12-31,TMIN,244
VEM00080420,2011-01-25,TMAX,310
VEM00080420,2010-10-10,TMAX,345
VEM00080420,2009-09-23,TMIN,215
VEM00080421,2006-03-27,TMIN,246
VEM00080421,2014-04-27,TMAX,326
VEM00080421,2013-12-19,TMIN,237
VEM00080420,2005-04-11,TMAX,342
VEM00080420,2008-02-11,TMAX,309
VEM00080421,2007-05-28,TMAX,338
VEM00080420,2011-10-31,TMAX,325
VEM00080421,2008-09-30,TMAX,346
VEM00080420,2011-02-20,TMIN,220
VEM00080421,2005-09-27,TMIN,248
VEM00080421,2006-03-30,TMIN,239
VEM00080420,2008-12-15,TMAX,335
VEM00080421,2015-08-18,TMIN,253
VEM00080421,2009-02-25,TMIN,230
VEM00080420,2005-05-21,TMIN,240
