ID,Date,Element,Data_Value
SU000062600,2011-09-23,TMAX,375
SU000062600,2006-06-13,TMAX,440
SU000062600,2009-02-21,TMIN,160
SU000062600,2009-10-08,TMIN,225
SU000062600,2009-10-30,TMAX,355
SU000062600,2007-06-14,TMAX,385
SU000062600,2008-09-14,TMAX,425
SU000062600,2009-07-08,TMAX,420
SU000062600,2009-02-21,TMAX,290
SU000062600,2010-03-15,TMIN,220
SU000062600,2009-06-09,TMIN,240
SU000062600,2007-06-27,TMIN,230
SU000062600,2005-12-12,TMIN,188
SU000062600,2008-08-19,TMIN,245
SU000062600,2011-06-01,TMIN,235
SU000062600,2007-05-01,TMAX,415
SU000062600,2007-06-27,TMAX,445
SU000062600,2011-06-01,TMAX,440
SU000062600,2009-09-29,TMAX,405
SU000062600,2006-09-06,TMIN,255
SU000062600,2010-06-06,TMAX,420
SU000062600,2011-05-26,TMAX,435
SU000062600,2013-05-21,TMIN,240
SU000062600,2011-05-26,TMIN,255
SU000062600,2005-12-05,TMAX,322
SU000062600,2008-04-21,TMIN,210
SU000062600,2008-12-20,TMIN,110
SU000062600,2009-03-04,TMAX,280
SU000062600,2012-08-30,TMAX,415
SU000062600,2010-03-25,TMAX,295
SU000062600,2008-03-11,TMAX,400
SU000062600,2008-06-01,TMIN,235
SU000062600,2011-01-12,TMAX,235
SU000062600,2006-05-20,TMAX,370
SU000062600,2008-03-29,TMAX,380
SU000062600,2008-03-11,TMIN,215
SU000062600,2010-03-25,TMIN,170
SU000062600,2008-07-26,TMIN,260
SU000062600,2005-08-13,TMIN,257
SU000062600,2008-09-22,TMAX,420
SU000062600,2009-06-25,TMIN,260
SU000062600,2007-11-18,TMAX,320
SU000062600,2014-04-03,TMAX,285
SU000062600,2009-06-09,TMAX,385
SU000062600,2005-11-30,TMAX,330
SU000062600,2005-01-24,TMIN,55
SU000062600,2008-05-16,TMAX,410
SU000062600,2009-10-08,TMAX,336
SU000062600,2008-11-24,TMIN,120
SU000062600,2014-02-07,TMIN,126
SU000062600,2008-05-16,TMIN,220
SU000062600,2013-04-26,TMIN,235
SU000062600,2010-01-16,TMAX,290
SU000062600,2010-03-15,TMAX,415
SU000062600,2007-02-12,TMIN,80
SU000062600,2007-02-12,TMAX,265
SU000062600,2006-09-29,TMIN,195
SU000062600,2009-07-28,TMIN,250
SU000062600,2008-09-14,TMIN,237
SU000062600,2006-09-06,TMAX,375
SU000062600,2010-11-07,TMAX,364
SU000062600,2005-11-11,TMIN,155
SU000062600,2010-01-16,TMIN,130
SU000062600,2010-06-06,TMIN,245
SU000062600,2006-09-29,TMAX,395
SU000062600,2008-08-19,TMAX,420
SU000062600,2006-09-30,TMIN,205
SU000062600,2007-01-22,TMIN,90
SU000062600,2010-02-02,TMIN,155
SU000062600,2005-12-30,TMIN,135
SU000062600,2006-01-13,TMAX,215
SU000062600,2009-07-03,TMAX,440
SU000062600,2012-07-17,TMIN,260
SU000062600,2006-10-23,TMIN,225
SU000062600,2012-07-17,TMAX,445
SU000062600,2013-05-04,TMIN,240
SU000062600,2013-07-12,TMIN,255
SU000062600,2012-06-02,TMAX,410
SU000062600,2008-06-23,TMAX,440
