ID,Date,Element,Data_Value
MG000044239,2007-01-05,TMAX,-126
MG000044239,2007-06-22,TMIN,103
MG000044239,2008-01-14,TMAX,-194
MG000044239,2010-09-04,TMAX,243
MG000044239,2008-04-30,TMAX,119
MG000044239,2015-03-13,TMIN,-151
MG000044239,2009-12-18,TMAX,-224
MG000044239,2005-04-18,TMAX,15
MG000044239,2015-11-24,TMAX,-214
MG000044239,2014-04-11,TMIN,-23
MG000044239,2008-01-27,TMAX,-134
MG000044239,2014-02-24,TMAX,51
MG000044239,2009-06-29,TMAX,282
MG000044239,2013-12-11,TMAX,-101
MG000044239,2006-05-01,TMAX,179
MG000044239,2013-05-15,TMAX,136
MG000044239,2010-08-23,TMIN,57
MG000044239,2006-09-07,TMAX,28
MG000044239,2015-10-12,TMIN,-57
MG000044239,2005-12-23,TMIN,-178
MG000044239,2009-08-10,TMAX,259
MG000044239,2006-06-20,TMAX,235
MG000044239,2012-08-03,TMAX,289
MG000044239,2007-01-03,TMIN,-175
MG000044239,2012-07-10,TMAX,244
MG000044239,2006-04-15,TMIN,-147
MG000044239,2015-09-22,TMIN,-13
MG000044239,2014-05-20,TMIN,-34
MG000044239,2011-11-13,TMAX,-145
MG000044239,2014-06-14,TMAX,185
MG000044239,2012-07-10,TMIN,111
MG000044239,2005-07-16,TMIN,164
MG000044239,2010-01-25,TMIN,-233
MG000044239,2014-11-09,TMIN,-115
MG000044239,2008-07-17,TMAX,283
MG000044239,2006-02-28,TMAX,-37
MG000044239,2012-05-07,TMAX,261
MG000044239,2006-10-23,TMAX,130
MG000044239,2005-05-10,TMAX,158
MG000044239,2010-03-20,TMAX,-41
MG000044239,2010-10-17,TMIN,-74
MG000044239,2010-08-23,TMAX,259
MG000044239,2015-12-14,TMIN,-216
MG000044239,2006-09-11,TMIN,6
MG000044239,2010-05-28,TMAX,243
MG000044239,2008-12-15,TMIN,-162
MG000044239,2007-07-29,TMIN,160
MG000044239,2014-07-16,TMAX,226
MG000044239,2009-01-28,TMAX,-93
MG000044239,2013-06-02,TMIN,2
MG000044239,2007-01-13,TMAX,-147
MG000044239,2007-03-09,TMAX,-84
MG000044239,2007-09-05,TMAX,233
MG000044239,2007-09-20,TMIN,2
MG000044239,2006-11-24,TMAX,-60
MG000044239,2013-09-03,TMAX,151
MG000044239,2007-07-28,TMAX,354
MG000044239,2009-04-16,TMIN,-43
MG000044239,2014-09-22,TMAX,141
MG000044239,2010-03-20,TMIN,-165
MG000044239,2013-11-26,TMIN,-189
MG000044239,2006-06-20,TMIN,71
MG000044239,2011-07-12,TMIN,62
MG000044239,2011-05-16,TMIN,13
MG000044239,2011-12-05,TMAX,-161
MG000044239,2008-12-06,TMAX,-59
MG000044239,2013-02-07,TMAX,-192
MG000044239,2015-12-11,TMAX,-80
MG000044239,2015-04-09,TMIN,-94
MG000044239,2005-04-02,TMAX,160
MG000044239,2007-04-03,TMAX,95
MG000044239,2011-05-30,TMAX,164
MG000044239,2013-06-21,TMAX,265
MG000044239,2006-07-26,TMAX,195
MG000044239,2011-12-31,TMIN,-254
MG000044239,2013-03-22,TMAX,12
MG000044239,2014-11-12,TMAX,-23
MG000044239,2007-07-28,TMIN,145
MG000044239,2011-03-30,TMAX,50
MG000044239,2015-05-30,TMIN,42
MG000044239,2012-10-30,TMIN,-93
MG000044239,2012-06-05,TMIN,58
MG000044239,2015-10-04,TMAX,189
MG000044239,2015-10-12,TMAX,211
MG000044239,2007-07-29,TMAX,357
MG000044239,2012-03-08,TMIN,-265
MG000044239,2013-02-04,TMAX,-137
MG000044239,2012-10-09,TMAX,109
MG000044239,2005-05-13,TMAX,165
MG000044239,2006-04-27,TMIN,-22
MG000044239,2013-11-19,TMIN,-148
MG000044239,2006-06-11,TMAX,160
MG000044239,2007-01-04,TMAX,-122
MG000044239,2005-08-08,TMAX,315
MG000044239,2005-11-04,TMAX,47
MG000044239,2005-12-22,TMAX,0
MG000044239,2012-03-17,TMIN,-230
MG000044239,2011-11-12,TMAX,-100
MG000044239,2013-05-15,TMIN,18
MG000044239,2006-07-26,TMIN,85
MG000044239,2010-02-03,TMAX,-174
MG000044239,2011-07-12,TMAX,250
MG000044239,2008-12-06,TMIN,-218
MG000044239,2008-10-25,TMAX,69
MG000044239,2010-12-02,TMAX,-104
MG000044239,2011-12-05,TMIN,-265
MG000044239,2015-10-04,TMIN,-29
MG000044239,2008-01-07,TMAX,-121
MG000044239,2008-04-30,TMIN,-19
MG000044239,2015-07-14,TMAX,213
MG000044239,2010-02-03,TMIN,-346
MG000044239,2009-03-10,TMIN,-169
MG000044239,2015-11-28,TMAX,-36
MG000044239,2013-02-03,TMAX,-145
MG000044239,2006-09-07,TMIN,-43
MG000044239,2011-06-23,TMIN,66
MG000044239,2011-06-23,TMAX,235
MG000044239,2007-09-08,TMAX,183
MG000044239,2014-03-15,TMIN,-83
MG000044239,2009-05-18,TMIN,-19
MG000044239,2015-03-25,TMIN,-75
MG000044239,2013-06-02,TMAX,191
MG000044239,2007-08-11,TMIN,88
MG000044239,2009-02-28,TMAX,-27
MG000044239,2011-12-14,TMIN,-315
MG000044239,2012-03-17,TMAX,-65
MG000044239,2006-06-09,TMAX,264
MG000044239,2014-12-29,TMIN,-212
MG000044239,2005-11-11,TMAX,-14
MG000044239,2013-02-04,TMIN,-308
MG000044239,2012-03-08,TMAX,-82
MG000044239,2007-08-11,TMAX,321
MG000044239,2013-11-26,TMAX,-90
MG000044239,2015-04-25,TMAX,274
MG000044239,2006-09-02,TMAX,111
MG000044239,2015-12-13,TMAX,-79
MG000044239,2005-05-14,TMAX,162
MG000044239,2012-12-20,TMAX,-183
MG000044239,2008-05-25,TMAX,275
MG000044239,2007-02-19,TMIN,-220
MG000044239,2011-09-11,TMAX,241
MG000044239,2013-01-12,TMAX,-142
MG000044239,2013-09-28,TMIN,-29
MG000044239,2005-04-12,TMIN,-55
MG000044239,2007-05-28,TMAX,271
MG000044239,2005-04-12,TMAX,115
MG000044239,2015-06-27,TMAX,213
MG000044239,2009-12-28,TMAX,-139
MG000044239,2014-12-27,TMIN,-222
MG000044239,2005-05-30,TMAX,108
MG000044239,2012-08-13,TMAX,184
MG000044239,2007-02-14,TMIN,-215
MG000044239,2013-07-27,TMAX,280
MG000044239,2006-03-14,TMAX,60
MG000044239,2006-04-29,TMIN,-26
MG000044239,2006-12-17,TMAX,-55
MG000044239,2011-09-11,TMIN,-5
MG000044239,2005-06-29,TMIN,82
MG000044239,2009-10-18,TMAX,32
MG000044239,2011-12-14,TMAX,-199
MG000044239,2008-06-23,TMIN,95
MG000044239,2013-07-27,TMIN,115
MG000044239,2006-12-17,TMIN,-195
MG000044239,2010-11-15,TMAX,65
MG000044239,2008-04-26,TMAX,189
MG000044239,2008-11-25,TMAX,-36
MG000044239,2009-10-18,TMIN,-120
MG000044239,2012-12-20,TMIN,-342
MG000044239,2010-12-22,TMAX,-268
MG000044239,2005-06-29,TMAX,210
MG000044239,2014-08-27,TMIN,65
MG000044239,2008-05-16,TMIN,-24
MG000044239,2015-08-07,TMAX,303
MG000044239,2015-12-20,TMAX,-51
MG000044239,2009-12-18,TMIN,-351
MG000044239,2010-05-02,TMAX,164
MG000044239,2010-05-17,TMAX,162
MG000044239,2005-01-28,TMAX,-173
MG000044239,2013-07-19,TMAX,218
MG000044239,2008-12-10,TMAX,-38
MG000044239,2013-05-22,TMAX,205
MG000044239,2009-12-25,TMIN,-376
MG000044239,2007-07-01,TMIN,163
MG000044239,2010-12-09,TMAX,-58
MG000044239,2015-09-27,TMAX,81
MG000044239,2010-09-22,TMAX,188
MG000044239,2013-10-17,TMAX,98
MG000044239,2012-07-12,TMAX,239
MG000044239,2013-01-22,TMIN,-273
MG000044239,2009-06-12,TMAX,246
MG000044239,2008-01-02,TMIN,-227
MG000044239,2012-03-13,TMAX,-10
MG000044239,2009-06-22,TMIN,71
MG000044239,2013-11-19,TMAX,-29
MG000044239,2015-04-30,TMAX,147
MG000044239,2012-09-25,TMAX,120
MG000044239,2007-10-13,TMIN,-89
MG000044239,2009-04-12,TMAX,151
MG000044239,2006-09-11,TMAX,249
MG000044239,2014-07-12,TMIN,87
MG000044239,2006-04-27,TMAX,138
MG000044239,2009-11-26,TMAX,-91
MG000044239,2015-05-08,TMIN,-38
MG000044239,2005-12-31,TMAX,-66
MG000044239,2013-01-20,TMAX,-148
MG000044239,2011-11-13,TMIN,-288
MG000044239,2010-03-10,TMAX,-7
MG000044239,2014-07-12,TMAX,275
MG000044239,2013-04-02,TMAX,-1
MG000044239,2011-07-01,TMIN,16
MG000044239,2010-03-10,TMIN,-168
MG000044239,2006-08-21,TMIN,84
MG000044239,2007-10-22,TMIN,-63
MG000044239,2007-02-14,TMAX,-47
MG000044239,2005-05-30,TMIN,62
MG000044239,2005-11-11,TMIN,-182
MG000044239,2010-12-26,TMIN,-260
MG000044239,2015-12-31,TMAX,-38
MG000044239,2011-01-25,TMAX,-200
MG000044239,2009-06-29,TMIN,64
MG000044239,2005-06-25,TMAX,330
MG000044239,2008-06-23,TMAX,181
MG000044239,2006-12-25,TMAX,-105
MG000044239,2015-06-27,TMIN,-2
MG000044239,2007-06-09,TMAX,328
MG000044239,2013-01-12,TMIN,-289
MG000044239,2014-11-09,TMAX,45
MG000044239,2007-02-15,TMAX,-46
MG000044239,2015-03-25,TMAX,189
MG000044239,2013-02-07,TMIN,-337
MG000044239,2009-09-10,TMAX,102
MG000044239,2009-11-08,TMAX,-151
MG000044239,2007-04-06,TMIN,-59
MG000044239,2015-03-07,TMAX,-101
MG000044239,2015-12-21,TMIN,-246
MG000044239,2014-12-08,TMAX,-102
MG000044239,2005-07-16,TMAX,286
MG000044239,2010-10-17,TMAX,94
MG000044239,2012-08-03,TMIN,102
MG000044239,2011-01-21,TMAX,-202
MG000044239,2012-10-30,TMAX,55
MG000044239,2007-05-08,TMIN,-44
MG000044239,2013-12-18,TMAX,-140
MG000044239,2005-04-02,TMIN,-78
MG000044239,2008-11-21,TMAX,35
MG000044239,2009-10-23,TMAX,146
MG000044239,2009-04-16,TMAX,202
MG000044239,2008-07-17,TMIN,83
MG000044239,2012-02-28,TMAX,-84
MG000044239,2012-09-22,TMAX,222
MG000044239,2015-05-08,TMAX,98
MG000044239,2012-05-03,TMAX,240
MG000044239,2005-02-28,TMIN,-255
MG000044239,2006-04-15,TMAX,94
MG000044239,2010-05-28,TMIN,48
MG000044239,2007-09-05,TMIN,95
MG000044239,2008-05-28,TMAX,68
MG000044239,2007-07-01,TMAX,320
MG000044239,2007-08-08,TMAX,253
MG000044239,2013-07-10,TMIN,103
MG000044239,2014-12-08,TMIN,-244
MG000044239,2006-07-24,TMIN,98
MG000044239,2013-08-01,TMAX,181
MG000044239,2015-08-07,TMIN,80
MG000044239,2008-01-10,TMAX,-117
MG000044239,2013-10-09,TMAX,93
MG000044239,2013-09-28,TMAX,170
MG000044239,2007-02-19,TMAX,-48
MG000044239,2006-05-29,TMAX,106
MG000044239,2009-07-14,TMIN,123
MG000044239,2006-04-29,TMAX,21
