ID,Date,Element,Data_Value
RSM00022383,2014-12-20,TMIN,-55
RSM00022383,2015-03-14,TMIN,-34
RSM00022383,2014-12-21,TMAX,-12
RSM00022383,2015-01-08,TMIN,-362
RSM00022383,2014-05-11,TMIN,12
RSM00022383,2014-12-20,TMAX,-21
RSM00022383,2015-04-14,TMAX,25
RSM00022383,2012-11-07,TMAX,22
RSM00022383,2015-02-06,TMIN,-382
RSM00022383,2012-08-14,TMIN,90
RSM00022383,2012-12-11,TMAX,-112
RSM00022383,2013-03-19,TMIN,-301
RSM00022383,2012-08-04,TMIN,81
RSM00022383,2012-04-11,TMIN,-139
RSM00022383,2014-06-06,TMIN,-7
RSM00022383,2012-05-15,TMIN,-25
RSM00022383,2014-11-19,TMIN,-9
RSM00022383,2013-01-28,TMIN,-270
RSM00022383,2012-05-15,TMAX,151
RSM00022383,2015-11-07,TMAX,-24
RSM00022383,2014-10-05,TMIN,-9
RSM00022383,2015-04-14,TMIN,-85
RSM00022383,2015-05-11,TMAX,132
RSM00022383,2013-04-13,TMAX,74
RSM00022383,2015-06-12,TMIN,32
RSM00022383,2013-01-28,TMAX,-77
RSM00022383,2012-11-19,TMIN,-17
RSM00022383,2013-07-29,TMIN,97
RSM00022383,2012-11-07,TMIN,-79
RSM00022383,2015-04-08,TMIN,-47
RSM00022383,2015-12-31,TMIN,-265
RSM00022383,2013-10-29,TMAX,32
RSM00022383,2015-12-25,TMIN,-236
RSM00022383,2012-08-15,TMAX,114
RSM00022383,2012-12-29,TMIN,-168
RSM00022383,2012-06-24,TMIN,61
RSM00022383,2013-10-29,TMIN,7
RSM00022383,2015-05-13,TMIN,26
RSM00022383,2012-07-25,TMAX,185
RSM00022383,2012-12-29,TMAX,-105
RSM00022383,2012-07-03,TMAX,247
RSM00022383,2014-12-21,TMIN,-42
RSM00022383,2015-04-08,TMAX,19
RSM00022383,2013-04-30,TMIN,-20
RSM00022383,2015-03-08,TMAX,13
RSM00022383,2013-10-27,TMIN,-197
RSM00022383,2013-05-19,TMIN,-8
RSM00022383,2013-10-21,TMIN,-65
RSM00022383,2015-01-16,TMIN,-291
RSM00022383,2015-03-08,TMIN,-9
RSM00022383,2012-12-23,TMIN,-219
RSM00022383,2015-08-21,TMAX,155
RSM00022383,2012-06-12,TMIN,53
RSM00022383,2014-05-08,TMIN,-60
RSM00022383,2014-03-23,TMIN,-131
RSM00022383,2014-08-25,TMIN,56
RSM00022383,2015-08-09,TMIN,73
RSM00022383,2013-07-07,TMIN,117
RSM00022383,2013-04-13,TMIN,-89
RSM00022383,2013-04-30,TMAX,58
RSM00022383,2014-01-12,TMIN,-259
RSM00022383,2015-03-28,TMAX,3
RSM00022383,2014-02-03,TMIN,-247
RSM00022383,2013-01-04,TMAX,-26
RSM00022383,2015-06-12,TMAX,120
RSM00022383,2012-05-05,TMAX,7
RSM00022383,2012-07-23,TMAX,188
RSM00022383,2015-04-24,TMAX,-47
RSM00022383,2012-07-23,TMIN,80
RSM00022383,2013-02-28,TMIN,-386
RSM00022383,2013-02-28,TMAX,-142
RSM00022383,2015-08-10,TMAX,214
RSM00022383,2015-09-07,TMIN,72
RSM00022383,2013-12-03,TMIN,-107
RSM00022383,2015-09-14,TMAX,84
RSM00022383,2012-12-28,TMIN,-249
RSM00022383,2012-09-22,TMIN,25
RSM00022383,2015-10-07,TMIN,-57
RSM00022383,2013-10-03,TMIN,0
RSM00022383,2013-02-18,TMAX,-95
RSM00022383,2015-01-08,TMAX,-320
RSM00022383,2015-04-15,TMAX,35
RSM00022383,2015-04-15,TMIN,-71
RSM00022383,2012-12-15,TMAX,-157
RSM00022383,2015-01-09,TMAX,-280
RSM00022383,2015-05-05,TMAX,26
RSM00022383,2013-01-19,TMIN,-120
RSM00022383,2015-02-15,TMAX,-82
RSM00022383,2015-05-11,TMIN,8
RSM00022383,2012-12-02,TMAX,-95
RSM00022383,2015-03-28,TMIN,-204
RSM00022383,2013-07-27,TMIN,114
RSM00022383,2013-01-04,TMIN,-88
RSM00022383,2012-07-22,TMIN,57
RSM00022383,2015-03-06,TMIN,-30
RSM00022383,2012-08-02,TMIN,82
RSM00022383,2015-09-07,TMAX,148
RSM00022383,2015-06-25,TMAX,280
RSM00022383,2015-03-06,TMAX,5
RSM00022383,2013-04-06,TMAX,6
RSM00022383,2013-08-14,TMIN,18
RSM00022383,2013-04-06,TMIN,-182
RSM00022383,2012-06-06,TMAX,102
RSM00022383,2015-08-01,TMIN,127
RSM00022383,2012-08-14,TMAX,192
RSM00022383,2013-01-16,TMIN,-292
RSM00022383,2013-01-16,TMAX,-65
RSM00022383,2012-08-19,TMAX,112
RSM00022383,2012-05-29,TMAX,145
RSM00022383,2013-02-23,TMAX,-103
RSM00022383,2015-01-25,TMIN,-199
RSM00022383,2015-06-25,TMIN,125
RSM00022383,2012-05-28,TMIN,52
RSM00022383,2012-07-22,TMAX,206
RSM00022383,2015-11-05,TMIN,-1
RSM00022383,2015-11-05,TMAX,16
RSM00022383,2012-06-12,TMAX,204
RSM00022383,2012-05-28,TMAX,203
RSM00022383,2015-08-09,TMAX,217
RSM00022383,2014-07-07,TMAX,145
RSM00022383,2014-03-07,TMIN,-27
RSM00022383,2014-06-26,TMIN,23
RSM00022383,2013-06-13,TMIN,15
RSM00022383,2015-09-22,TMAX,112
RSM00022383,2014-02-22,TMIN,-313
RSM00022383,2012-07-15,TMIN,141
RSM00022383,2014-10-24,TMIN,-156
RSM00022383,2015-10-10,TMIN,-8
RSM00022383,2012-04-05,TMAX,-2
RSM00022383,2012-08-23,TMIN,80
