ID,Date,Element,Data_Value
WA010517310,2013-08-18,TMAX,339
WA010517310,2008-03-11,TMIN,192
WA010517310,2013-12-04,TMIN,198
WA010517310,2010-12-29,TMIN,177
WA010517310,2015-01-06,TMAX,404
WA010517310,2010-11-24,TMAX,349
WA010517310,2011-11-15,TMIN,139
WA010517310,2010-10-10,TMIN,215
WA010517310,2011-05-15,TMAX,288
WA010517310,2010-10-22,TMAX,382
WA010517310,2015-12-28,TMAX,328
WA010517310,2015-05-10,TMAX,324
WA010517310,2012-08-30,TMIN,129
WA010517310,2012-12-03,TMAX,356
WA010517310,2015-10-11,TMAX,401
WA010517310,2015-09-08,TMAX,340
WA010517310,2010-10-04,TMIN,201
WA010517310,2012-10-16,TMAX,401
WA010517310,2013-09-22,TMAX,304
WA010517310,2013-11-16,TMAX,361
WA010517310,2013-09-18,TMAX,387
WA010517310,2011-08-02,TMIN,73
WA010517310,2010-10-04,TMAX,390
WA010517310,2011-11-15,TMAX,392
WA010517310,2008-03-20,TMIN,187
WA010517310,2015-08-09,TMIN,221
WA010517310,2015-11-15,TMAX,407
WA010517310,2011-05-27,TMAX,217
WA010517310,2015-11-15,TMIN,188
WA010517310,2013-10-10,TMAX,381
WA010517310,2013-02-11,TMIN,176
WA010517310,2013-02-11,TMAX,389
WA010517310,2013-12-04,TMAX,346
WA010517310,2011-08-09,TMIN,148
WA010517310,2008-03-11,TMAX,308
WA010517310,2011-04-18,TMAX,278
WA010517310,2015-04-01,TMAX,331
WA010517310,2010-10-20,TMIN,197
WA010517310,2015-01-06,TMIN,197
WA010517310,2015-08-29,TMAX,355
WA010517310,2015-04-12,TMAX,346
WA010517310,2014-02-17,TMAX,352
WA010517310,2011-07-02,TMAX,281
WA010517310,2010-12-08,TMAX,353
WA010517310,2013-01-19,TMAX,381
WA010517310,2011-01-04,TMAX,292
WA010517310,2013-09-19,TMAX,387
WA010517310,2011-08-01,TMIN,37
WA010517310,2015-11-08,TMAX,383
WA010517310,2010-12-08,TMIN,173
WA010517310,2015-09-12,TMAX,369
WA010517310,2015-05-14,TMIN,120
WA010517310,2011-08-01,TMAX,250
WA010517310,2013-01-08,TMAX,348
WA010517310,2011-08-20,TMAX,312
WA010517310,2010-12-23,TMIN,176
WA010517310,2013-02-12,TMIN,209
WA010517310,2013-11-13,TMAX,393
WA010517310,2012-10-24,TMAX,391
WA010517310,2014-11-03,TMAX,355
WA010517310,2015-11-08,TMIN,199
WA010517310,2011-02-20,TMAX,338
WA010517310,2013-03-01,TMAX,391
WA010517310,2011-02-18,TMIN,193
WA010517310,2011-07-02,TMIN,24
WA010517310,2015-04-18,TMAX,356
WA010517310,2013-12-08,TMAX,313
WA010517310,2013-10-17,TMAX,374
WA010517310,2014-12-31,TMAX,401
WA010517310,2011-03-19,TMAX,309
WA010517310,2013-02-12,TMAX,389
WA010517310,2011-02-18,TMAX,351
WA010517310,2011-06-26,TMIN,-3
WA010517310,2014-10-16,TMAX,392
WA010517310,2013-01-24,TMIN,206
WA010517310,2014-08-10,TMIN,215
WA010517310,2013-10-17,TMIN,217
WA010517310,2010-10-20,TMAX,396
WA010517310,2014-01-15,TMAX,326
WA010517310,2015-10-26,TMAX,394
WA010517310,2015-04-12,TMIN,179
WA010517310,2010-09-09,TMIN,129
WA010517310,2013-11-27,TMAX,371
WA010517310,2011-03-19,TMIN,188
WA010517310,2013-02-25,TMAX,379
WA010517310,2011-02-04,TMAX,316
WA010517310,2013-11-21,TMAX,372
WA010517310,2015-10-26,TMIN,217
WA010517310,2011-06-26,TMAX,194
WA010517310,2013-01-24,TMAX,379
WA010517310,2011-01-19,TMAX,284
WA010517310,2011-01-04,TMIN,191
WA010517310,2014-01-15,TMIN,196
WA010517310,2014-09-22,TMAX,360
WA010517310,2015-11-29,TMAX,384
WA010517310,2012-12-28,TMAX,355
WA010517310,2011-01-01,TMIN,176
WA010517310,2014-05-26,TMIN,193
WA010517310,2014-01-22,TMAX,376
WA010517310,2014-03-16,TMAX,326
WA010517310,2014-12-03,TMAX,354
WA010517310,2014-01-22,TMIN,220
WA010517310,2015-12-13,TMAX,353
WA010517310,2012-09-10,TMAX,342
WA010517310,2014-11-01,TMAX,372
WA010517310,2014-01-11,TMIN,174
WA010517310,2014-10-09,TMAX,379
WA010517310,2014-10-08,TMAX,379
WA010517310,2014-01-05,TMAX,360
WA010517310,2011-02-25,TMAX,312
WA010517310,2014-02-11,TMAX,292
WA010517310,2010-12-29,TMAX,342
WA010517310,2008-03-31,TMAX,293
WA010517310,2008-03-31,TMIN,158
WA010517310,2008-03-07,TMIN,184
WA010517310,2011-02-17,TMIN,193
WA010517310,2011-02-17,TMAX,348
WA010517310,2015-07-23,TMIN,209
WA010517310,2011-08-02,TMAX,261
WA010517310,2014-11-03,TMIN,159
WA010517310,2013-01-11,TMAX,313
WA010517310,2010-11-03,TMAX,368
WA010517310,2013-09-15,TMIN,151
WA010517310,2011-01-01,TMAX,310
WA010517310,2011-05-22,TMAX,272
WA010517310,2011-05-31,TMAX,286
WA010517310,2011-06-28,TMIN,-18
WA010517310,2015-07-29,TMIN,221
WA010517310,2011-06-28,TMAX,247
WA010517310,2013-02-07,TMIN,209
WA010517310,2015-11-12,TMIN,210
WA010517310,2015-12-25,TMAX,355
WA010517310,2013-02-07,TMAX,379
WA010517310,2015-11-29,TMIN,174
WA010517310,2014-08-11,TMIN,219
WA010517310,2011-04-03,TMAX,316
WA010517310,2012-01-05,TMAX,385
WA010517310,2015-10-13,TMAX,375
WA010517310,2011-01-26,TMAX,326
WA010517310,2010-11-24,TMIN,182
WA010517310,2015-11-12,TMAX,411
WA010517310,2014-02-18,TMAX,352
WA010517310,2014-12-27,TMAX,367
WA010517310,2013-12-22,TMAX,403
WA010517310,2014-11-01,TMIN,193
WA010517310,2011-11-09,TMAX,383
WA010517310,2014-12-27,TMIN,164
WA010517310,2013-03-27,TMAX,360
WA010517310,2012-09-05,TMIN,116
WA010517310,2011-03-16,TMAX,325
WA010517310,2008-03-07,TMAX,316
WA010517310,2013-09-16,TMAX,379
WA010517310,2011-04-18,TMIN,169
WA010517310,2012-08-29,TMIN,133
WA010517310,2008-04-04,TMAX,300
WA010517310,2013-12-29,TMIN,171
WA010517310,2011-12-15,TMIN,149
WA010517310,2013-11-25,TMAX,365
WA010517310,2013-12-29,TMAX,363
WA010517310,2008-04-04,TMIN,150
WA010517310,2013-12-24,TMAX,361
WA010517310,2014-05-17,TMIN,202
WA010517310,2013-03-26,TMAX,360
WA010517310,2015-10-25,TMAX,387
WA010517310,2013-01-31,TMAX,393
WA010517310,2014-10-13,TMIN,215
WA010517310,2010-10-10,TMAX,395
WA010517310,2015-11-11,TMIN,234
WA010517310,2011-04-07,TMAX,305
WA010517310,2010-09-20,TMAX,355
WA010517310,2013-04-07,TMIN,135
WA010517310,2013-03-25,TMAX,375
WA010517310,2012-12-04,TMAX,356
WA010517310,2011-12-15,TMAX,341
WA010517310,2012-09-29,TMAX,340
WA010517310,2012-10-17,TMAX,401
WA010517310,2010-10-25,TMAX,378
WA010517310,2013-01-12,TMIN,160
WA010517310,2010-10-25,TMIN,135
WA010517310,2011-07-25,TMAX,258
WA010517310,2012-12-01,TMIN,198
WA010517310,2011-05-11,TMAX,282
WA010517310,2011-03-31,TMAX,304
WA010517310,2011-02-14,TMIN,186
WA010517310,2010-12-17,TMIN,148
WA010517310,2010-12-17,TMAX,343
WA010517310,2011-05-29,TMAX,288
WA010517310,2011-02-14,TMAX,325
WA010517310,2012-11-09,TMAX,413
WA010517310,2012-09-26,TMIN,158
WA010517310,2012-08-29,TMAX,337
WA010517310,2015-06-16,TMIN,287
WA010517310,2012-11-09,TMIN,180
WA010517310,2010-11-09,TMAX,379
WA010517310,2013-04-07,TMAX,336
WA010517310,2013-08-04,TMAX,289
WA010517310,2015-11-11,TMAX,411
WA010517310,2010-12-15,TMIN,177
WA010517310,2013-10-07,TMAX,390
WA010517310,2013-10-09,TMIN,226
WA010517310,2013-10-09,TMAX,393
WA010517310,2014-09-17,TMAX,380
WA010517310,2014-12-05,TMAX,326
WA010517310,2014-10-13,TMAX,382
WA010517310,2014-12-05,TMIN,220
WA010517310,2015-11-10,TMAX,411
WA010517310,2015-10-30,TMIN,210
WA010517310,2010-12-09,TMAX,346
WA010517310,2010-12-09,TMIN,188
WA010517310,2014-04-18,TMIN,168
WA010517310,2015-02-10,TMAX,393
WA010517310,2011-03-01,TMAX,303
WA010517310,2014-06-14,TMIN,160
WA010517310,2015-04-14,TMIN,186
WA010517310,2012-10-01,TMIN,125
WA010517310,2015-04-14,TMAX,331
WA010517310,2014-11-12,TMAX,344
WA010517310,2010-10-06,TMAX,393
WA010517310,2010-10-06,TMIN,210
WA010517310,2011-05-14,TMIN,88
WA010517310,2015-10-25,TMIN,196
WA010517310,2013-08-11,TMIN,84
WA010517310,2011-03-18,TMAX,309
WA010517310,2014-09-18,TMIN,170
WA010517310,2008-03-03,TMIN,198
WA010517310,2015-03-17,TMAX,382
WA010517310,2013-11-04,TMIN,165
WA010517310,2013-01-22,TMAX,405
WA010517310,2013-10-07,TMIN,188
WA010517310,2013-10-30,TMAX,371
WA010517310,2013-12-26,TMAX,331
WA010517310,2010-09-24,TMAX,374
WA010517310,2014-09-12,TMAX,350
WA010517310,2013-12-24,TMIN,219
WA010517310,2011-05-14,TMAX,289
WA010517310,2011-03-01,TMIN,190
WA010517310,2015-11-01,TMAX,391
WA010517310,2015-01-09,TMAX,381
WA010517310,2008-03-03,TMAX,302
WA010517310,2013-08-11,TMAX,304
WA010517310,2014-04-16,TMAX,328
WA010517310,2014-04-16,TMIN,169
WA010517310,2014-04-12,TMAX,276
WA010517310,2015-12-04,TMAX,378
WA010517310,2013-08-30,TMAX,335
WA010517310,2014-03-14,TMAX,295
WA010517310,2011-09-28,TMAX,334
WA010517310,2010-11-18,TMAX,324
WA010517310,2014-01-17,TMIN,210
WA010517310,2010-12-19,TMAX,368
