ID,Date,Element,Data_Value
RSM00021802,2007-08-08,TMIN,7
RSM00021802,2009-06-21,TMIN,1
RSM00021802,2013-12-02,TMAX,-170
RSM00021802,2008-10-25,TMIN,-42
RSM00021802,2009-07-20,TMIN,120
RSM00021802,2007-03-27,TMIN,-110
RSM00021802,2005-07-15,TMAX,194
RSM00021802,2010-04-26,TMIN,-199
RSM00021802,2006-05-21,TMAX,40
RSM00021802,2009-07-20,TMAX,247
RSM00021802,2006-05-07,TMIN,-66
RSM00021802,2013-12-02,TMIN,-236
RSM00021802,2013-05-25,TMAX,-27
RSM00021802,2012-12-08,TMAX,-356
RSM00021802,2005-01-11,TMAX,-252
RSM00021802,2005-01-11,TMIN,-288
RSM00021802,2007-01-02,TMAX,-220
RSM00021802,2013-05-25,TMIN,-65
RSM00021802,2010-04-26,TMAX,-66
RSM00021802,2005-07-15,TMIN,79
RSM00021802,2010-01-07,TMIN,-204
RSM00021802,2013-07-28,TMAX,212
RSM00021802,2012-12-25,TMIN,-402
RSM00021802,2014-10-02,TMAX,-10
RSM00021802,2009-05-25,TMAX,-14
RSM00021802,2005-03-06,TMIN,-330
RSM00021802,2006-07-03,TMAX,90
RSM00021802,2007-03-27,TMAX,-88
RSM00021802,2005-01-07,TMIN,-268
RSM00021802,2006-06-27,TMIN,44
RSM00021802,2014-10-30,TMIN,-208
RSM00021802,2008-11-02,TMAX,-161
RSM00021802,2013-07-01,TMAX,92
RSM00021802,2015-04-05,TMAX,-123
RSM00021802,2013-06-04,TMIN,-25
RSM00021802,2006-03-21,TMIN,-393
RSM00021802,2008-01-02,TMIN,-362
RSM00021802,2013-06-27,TMAX,110
RSM00021802,2005-09-11,TMAX,148
RSM00021802,2011-08-11,TMAX,160
RSM00021802,2010-08-02,TMAX,164
RSM00021802,2006-08-27,TMAX,91
RSM00021802,2008-01-02,TMAX,-254
RSM00021802,2011-04-23,TMIN,-22
RSM00021802,2010-08-02,TMIN,47
RSM00021802,2005-08-31,TMAX,122
RSM00021802,2008-07-18,TMAX,112
RSM00021802,2006-05-07,TMAX,-30
RSM00021802,2011-08-11,TMIN,105
RSM00021802,2010-01-07,TMAX,-136
RSM00021802,2013-06-04,TMAX,76
RSM00021802,2007-03-01,TMIN,-464
RSM00021802,2006-06-14,TMIN,88
RSM00021802,2008-01-27,TMAX,-167
RSM00021802,2006-03-14,TMAX,-232
RSM00021802,2011-04-23,TMAX,71
RSM00021802,2007-03-01,TMAX,-416
RSM00021802,2006-03-14,TMIN,-310
RSM00021802,2005-08-31,TMIN,-31
RSM00021802,2014-01-20,TMIN,-493
RSM00021802,2006-10-04,TMAX,-25
RSM00021802,2007-09-28,TMAX,12
RSM00021802,2014-10-30,TMAX,-175
RSM00021802,2010-10-13,TMAX,-214
RSM00021802,2006-03-21,TMAX,-284
RSM00021802,2012-05-14,TMIN,21
RSM00021802,2013-07-01,TMIN,16
RSM00021802,2009-03-17,TMAX,-206
