ID,Date,Element,Data_Value
ASN00011045,2009-09-11,TMAX,280
ASN00011045,2008-08-03,TMIN,70
ASN00011045,2006-07-16,TMIN,71
ASN00011045,2008-08-02,TMIN,20
ASN00011045,2011-02-24,TMIN,148
ASN00011045,2005-01-14,TMIN,156
ASN00011045,2005-11-28,TMAX,385
ASN00011045,2007-08-05,TMIN,43
ASN00011045,2006-05-15,TMIN,57
ASN00011045,2008-05-19,TMIN,72
ASN00011045,2008-12-16,TMAX,345
ASN00011045,2008-07-30,TMIN,70
ASN00011045,2009-06-11,TMAX,222
ASN00011045,2005-02-27,TMIN,258
ASN00011045,2011-04-15,TMIN,104
ASN00011045,2006-03-27,TMIN,82
ASN00011045,2006-09-17,TMAX,300
ASN00011045,2011-02-24,TMAX,216
ASN00011045,2007-09-26,TMIN,69
ASN00011045,2005-01-29,TMAX,309
ASN00011045,2009-05-18,TMIN,70
ASN00011045,2006-05-15,TMAX,259
ASN00011045,2006-09-17,TMIN,135
ASN00011045,2008-08-03,TMAX,170
ASN00011045,2005-08-06,TMAX,204
ASN00011045,2005-03-13,TMIN,144
ASN00011045,2006-01-25,TMAX,367
ASN00011045,2006-01-24,TMAX,298
ASN00011045,2009-09-22,TMAX,165
ASN00011045,2012-04-05,TMIN,145
ASN00011045,2007-06-17,TMAX,162
ASN00011045,2005-11-29,TMIN,182
ASN00011045,2005-11-29,TMAX,309
ASN00011045,2012-04-05,TMAX,330
ASN00011045,2005-04-30,TMAX,218
ASN00011045,2008-11-29,TMIN,110
ASN00011045,2007-06-10,TMAX,176
ASN00011045,2009-04-22,TMIN,110
ASN00011045,2006-01-25,TMIN,153
ASN00011045,2006-11-29,TMIN,228
ASN00011045,2006-03-27,TMAX,260
ASN00011045,2005-02-27,TMAX,435
ASN00011045,2006-07-21,TMIN,97
ASN00011045,2006-11-29,TMAX,410
ASN00011045,2012-03-29,TMAX,325
ASN00011045,2006-07-15,TMIN,27
ASN00011045,2009-03-08,TMIN,75
ASN00011045,2005-01-14,TMAX,265
ASN00011045,2007-08-05,TMAX,226
ASN00011045,2009-10-16,TMAX,224
ASN00011045,2006-07-15,TMAX,154
ASN00011045,2005-05-11,TMIN,94
ASN00011045,2006-01-24,TMIN,133
ASN00011045,2005-03-13,TMAX,336
ASN00011045,2007-06-17,TMIN,49
ASN00011045,2009-03-08,TMAX,250
ASN00011045,2008-11-29,TMAX,290
ASN00011045,2011-05-16,TMAX,215
ASN00011045,2012-03-29,TMIN,170
ASN00011045,2005-05-11,TMAX,245
ASN00011045,2011-04-15,TMAX,240
ASN00011045,2009-06-11,TMIN,85
ASN00011045,2006-09-26,TMAX,270
ASN00011045,2005-11-28,TMIN,166
ASN00011045,2011-05-16,TMIN,100
ASN00011045,2008-12-16,TMIN,195
ASN00011045,2007-06-10,TMIN,71
ASN00011045,2008-02-24,TMAX,242
ASN00011045,2007-09-21,TMIN,110
ASN00011045,2006-10-14,TMAX,240
ASN00011045,2005-10-18,TMIN,107
ASN00011045,2005-01-23,TMAX,348
ASN00011045,2005-01-23,TMIN,162
ASN00011045,2011-05-04,TMIN,65
ASN00011045,2006-03-03,TMAX,312
ASN00011045,2006-09-20,TMIN,87
ASN00011045,2005-09-22,TMIN,81
ASN00011045,2006-03-03,TMIN,160
ASN00011045,2005-08-22,TMAX,200
ASN00011045,2007-05-24,TMIN,57
ASN00011045,2007-05-24,TMAX,231
ASN00011045,2005-10-18,TMAX,172
ASN00011045,2008-03-09,TMAX,380
ASN00011045,2006-09-20,TMAX,248
ASN00011045,2007-10-04,TMAX,336
ASN00011045,2005-08-22,TMIN,56
ASN00011045,2007-10-04,TMIN,104
ASN00011045,2005-06-18,TMAX,162
ASN00011045,2009-08-31,TMIN,35
ASN00011045,2005-06-18,TMIN,66
ASN00011045,2006-03-18,TMIN,118
ASN00011045,2005-09-12,TMIN,87
ASN00011045,2005-05-05,TMAX,181
ASN00011045,2005-05-05,TMIN,152
ASN00011045,2005-06-13,TMIN,54
ASN00011045,2005-08-05,TMIN,21
ASN00011045,2006-01-20,TMAX,366
ASN00011045,2005-09-12,TMAX,246
ASN00011045,2010-03-20,TMAX,335
ASN00011045,2005-06-13,TMAX,160
ASN00011045,2007-01-03,TMIN,215
ASN00011045,2006-08-30,TMAX,306
ASN00011045,2007-04-24,TMIN,150
ASN00011045,2007-04-24,TMAX,288
ASN00011045,2011-02-02,TMAX,324
ASN00011045,2008-08-29,TMAX,173
ASN00011045,2011-07-10,TMIN,70
ASN00011045,2011-02-02,TMIN,155
ASN00011045,2011-10-29,TMIN,95
ASN00011045,2008-08-19,TMAX,225
ASN00011045,2006-08-18,TMIN,48
ASN00011045,2006-10-14,TMIN,96
ASN00011045,2007-09-04,TMIN,62
ASN00011045,2006-05-14,TMAX,227
ASN00011045,2011-09-11,TMIN,41
ASN00011045,2006-12-01,TMIN,128
ASN00011045,2006-12-01,TMAX,262
ASN00011045,2006-07-09,TMIN,69
ASN00011045,2007-09-04,TMAX,290
ASN00011045,2008-02-27,TMIN,148
ASN00011045,2007-08-25,TMAX,246
ASN00011045,2008-02-27,TMAX,310
ASN00011045,2006-05-14,TMIN,57
ASN00011045,2006-10-10,TMIN,128
ASN00011045,2006-10-10,TMAX,399
ASN00011045,2007-01-03,TMAX,320
ASN00011045,2006-08-18,TMAX,240
