ID,Date,Element,Data_Value
WQW00041606,2015-12-16,TMAX,282
WQW00041606,2014-11-20,TMAX,300
WQW00041606,2015-01-15,TMIN,220
WQW00041606,2015-12-31,TMIN,238
WQW00041606,2014-11-20,TMIN,255
WQW00041606,2015-01-15,TMAX,262
WQW00041606,2014-12-17,TMAX,295
WQW00041606,2014-12-09,TMIN,255
WQW00041606,2014-11-22,TMIN,260
WQW00041606,2014-10-29,TMAX,307
WQW00041606,2015-02-19,TMAX,266
WQW00041606,2015-04-12,TMAX,278
WQW00041606,2015-02-10,TMAX,253
WQW00041606,2015-01-21,TMIN,230
WQW00041606,2015-03-04,TMIN,227
WQW00041606,2015-02-10,TMIN,216
WQW00041606,2015-03-04,TMAX,276
WQW00041606,2015-12-25,TMAX,290
WQW00041606,2015-12-25,TMIN,238
WQW00041606,2014-12-09,TMAX,299
WQW00041606,2015-01-31,TMIN,235
WQW00041606,2015-02-13,TMAX,284
WQW00041606,2015-09-16,TMIN,271
WQW00041606,2014-11-14,TMIN,259
WQW00041606,2015-01-21,TMAX,269
WQW00041606,2014-08-07,TMIN,276
WQW00041606,2014-08-07,TMAX,328
WQW00041606,2015-02-11,TMIN,239
WQW00041606,2014-11-06,TMIN,258
WQW00041606,2014-11-14,TMAX,299
WQW00041606,2015-02-19,TMIN,213
WQW00041606,2014-12-17,TMIN,255
WQW00041606,2015-02-03,TMAX,276
WQW00041606,2015-02-04,TMAX,267
WQW00041606,2015-03-14,TMAX,289
WQW00041606,2015-12-16,TMIN,244
WQW00041606,2015-02-04,TMIN,205
WQW00041606,2015-02-03,TMIN,222
WQW00041606,2015-09-16,TMAX,319
WQW00041606,2015-02-24,TMAX,247
WQW00041606,2015-02-08,TMAX,266
WQW00041606,2015-03-09,TMIN,238
WQW00041606,2014-10-12,TMIN,272
WQW00041606,2015-02-24,TMIN,213
WQW00041606,2015-03-22,TMAX,286
WQW00041606,2015-03-22,TMIN,247
WQW00041606,2015-02-08,TMIN,209
WQW00041606,2015-05-24,TMAX,304
WQW00041606,2015-02-13,TMIN,243
WQW00041606,2014-10-29,TMIN,259
WQW00041606,2014-11-22,TMAX,302
WQW00041606,2015-02-11,TMAX,280
WQW00041606,2014-10-12,TMAX,312
WQW00041606,2015-04-23,TMAX,283
WQW00041606,2014-09-10,TMIN,256
WQW00041606,2015-01-02,TMIN,241
WQW00041606,2015-04-12,TMIN,215
WQW00041606,2014-09-10,TMAX,321
WQW00041606,2014-10-22,TMAX,303
WQW00041606,2015-05-24,TMIN,252
WQW00041606,2015-01-31,TMAX,281
WQW00041606,2015-03-09,TMAX,286
WQW00041606,2014-10-22,TMIN,241
WQW00041606,2014-12-04,TMIN,248
WQW00041606,2015-12-31,TMAX,283
WQW00041606,2015-03-14,TMIN,233
WQW00041606,2015-01-02,TMAX,293
WQW00041606,2014-11-06,TMAX,307
WQW00041606,2015-04-23,TMIN,230
WQW00041606,2014-12-04,TMAX,288
WQW00041606,2015-01-27,TMAX,280
WQW00041606,2014-12-01,TMAX,297
WQW00041606,2015-05-02,TMAX,299
WQW00041606,2015-04-08,TMAX,256
WQW00041606,2014-11-12,TMIN,255
WQW00041606,2015-04-08,TMIN,218
WQW00041606,2015-03-25,TMAX,295
WQW00041606,2014-11-12,TMAX,303
WQW00041606,2015-05-02,TMIN,242
WQW00041606,2015-02-16,TMIN,227
WQW00041606,2015-02-16,TMAX,277
WQW00041606,2014-10-27,TMAX,300
WQW00041606,2014-10-27,TMIN,249
WQW00041606,2014-12-23,TMAX,298
WQW00041606,2014-12-23,TMIN,257
WQW00041606,2015-02-22,TMIN,214
WQW00041606,2015-02-22,TMAX,263
WQW00041606,2015-01-22,TMIN,230
WQW00041606,2015-01-22,TMAX,265
WQW00041606,2014-11-29,TMAX,296
WQW00041606,2014-12-22,TMAX,292
WQW00041606,2014-07-21,TMAX,323
WQW00041606,2014-07-21,TMIN,268
WQW00041606,2014-12-22,TMIN,250
WQW00041606,2014-11-16,TMIN,248
WQW00041606,2014-11-29,TMIN,258
WQW00041606,2014-11-16,TMAX,300
WQW00041606,2015-01-09,TMIN,233
WQW00041606,2015-01-09,TMAX,280
