ID,Date,Element,Data_Value
COM00080210,2011-06-01,TMAX,264
COM00080210,2010-09-16,TMIN,183
COM00080210,2011-12-27,TMIN,188
COM00080210,2014-12-23,TMIN,180
COM00080210,2015-11-23,TMIN,182
COM00080210,2007-04-16,TMAX,284
COM00080210,2010-01-14,TMAX,302
COM00080210,2015-08-23,TMIN,190
COM00080210,2005-10-27,TMIN,166
COM00080210,2013-08-29,TMAX,286
COM00080210,2006-07-05,TMIN,184
COM00080210,2014-08-28,TMIN,170
COM00080210,2005-01-16,TMIN,169
COM00080210,2015-09-09,TMIN,196
COM00080210,2015-05-04,TMIN,174
COM00080210,2005-10-09,TMIN,180
COM00080210,2014-01-05,TMIN,186
COM00080210,2015-04-03,TMIN,167
COM00080210,2013-04-10,TMIN,192
COM00080210,2011-06-01,TMIN,190
COM00080210,2013-05-26,TMAX,259
COM00080210,2007-01-07,TMIN,188
COM00080210,2007-05-03,TMAX,256
COM00080210,2006-10-19,TMAX,275
COM00080210,2013-05-12,TMIN,180
COM00080210,2013-04-10,TMAX,278
COM00080210,2014-12-08,TMAX,274
COM00080210,2015-05-13,TMIN,191
COM00080210,2014-12-08,TMIN,172
COM00080210,2010-08-16,TMIN,160
COM00080210,2015-09-09,TMAX,308
COM00080210,2015-05-13,TMAX,312
COM00080210,2010-07-21,TMIN,172
COM00080210,2005-01-16,TMAX,258
COM00080210,2007-04-06,TMIN,180
COM00080210,2014-07-05,TMIN,167
COM00080210,2010-04-11,TMIN,174
COM00080210,2014-08-29,TMIN,177
COM00080210,2011-10-27,TMIN,178
COM00080210,2007-08-10,TMAX,270
COM00080210,2013-05-18,TMIN,179
COM00080210,2015-11-27,TMAX,281
COM00080210,2015-02-10,TMAX,262
COM00080210,2010-04-11,TMAX,262
COM00080210,2013-05-31,TMAX,258
COM00080210,2013-10-14,TMIN,178
COM00080210,2015-11-27,TMIN,186
COM00080210,2006-04-22,TMIN,192
COM00080210,2015-02-10,TMIN,174
COM00080210,2013-11-11,TMIN,183
COM00080210,2013-08-29,TMIN,165
COM00080210,2014-07-28,TMIN,180
COM00080210,2015-04-03,TMAX,274
COM00080210,2013-04-08,TMAX,287
COM00080210,2007-08-10,TMIN,184
COM00080210,2012-08-25,TMIN,180
COM00080210,2013-12-25,TMIN,166
COM00080210,2012-03-28,TMAX,270
COM00080210,2006-09-30,TMAX,275
COM00080210,2012-03-08,TMIN,174
COM00080210,2014-07-31,TMIN,184
COM00080210,2007-09-27,TMAX,257
COM00080210,2014-01-01,TMAX,271
COM00080210,2014-01-01,TMIN,190
COM00080210,2011-07-09,TMAX,275
COM00080210,2011-07-09,TMIN,178
COM00080210,2010-12-07,TMAX,278
COM00080210,2007-03-12,TMIN,183
COM00080210,2014-10-17,TMIN,178
COM00080210,2013-03-20,TMIN,187
COM00080210,2015-02-23,TMAX,308
COM00080210,2010-02-19,TMAX,303
COM00080210,2010-02-19,TMIN,190
COM00080210,2015-02-23,TMIN,187
COM00080210,2005-03-01,TMIN,175
COM00080210,2012-02-24,TMIN,177
COM00080210,2015-10-28,TMIN,172
COM00080210,2011-08-05,TMIN,176
COM00080210,2014-10-17,TMAX,273
COM00080210,2014-02-07,TMIN,177
COM00080210,2015-04-05,TMAX,263
COM00080210,2005-07-08,TMIN,175
COM00080210,2010-08-26,TMAX,264
COM00080210,2015-03-26,TMAX,278
COM00080210,2006-03-17,TMIN,179
COM00080210,2006-04-10,TMAX,268
COM00080210,2010-07-09,TMIN,176
COM00080210,2015-03-29,TMAX,244
COM00080210,2015-02-11,TMIN,180
COM00080210,2015-03-06,TMIN,186
COM00080210,2007-07-05,TMIN,179
COM00080210,2010-09-25,TMAX,244
COM00080210,2010-09-03,TMIN,178
COM00080210,2013-03-15,TMIN,178
COM00080210,2006-10-15,TMIN,172
COM00080210,2010-09-25,TMIN,175
COM00080210,2015-06-28,TMIN,184
COM00080210,2012-06-16,TMIN,172
COM00080210,2015-06-28,TMAX,290
COM00080210,2015-05-09,TMAX,296
COM00080210,2015-01-24,TMAX,263
COM00080210,2015-01-24,TMIN,176
COM00080210,2005-07-08,TMAX,284
COM00080210,2013-03-15,TMAX,273
COM00080210,2014-06-09,TMIN,186
COM00080210,2014-10-26,TMAX,271
COM00080210,2012-10-25,TMIN,154
COM00080210,2006-10-18,TMIN,166
COM00080210,2011-06-22,TMAX,272
COM00080210,2013-06-27,TMAX,280
