ID,Date,Element,Data_Value
BE000006447,2012-06-24,TMAX,153
BE000006447,2009-07-09,TMIN,111
BE000006447,2013-09-25,TMIN,101
BE000006447,2014-12-16,TMAX,71
BE000006447,2005-08-28,TMIN,110
BE000006447,2011-07-15,TMAX,238
BE000006447,2006-09-24,TMAX,215
BE000006447,2009-09-04,TMIN,117
BE000006447,2015-03-10,TMAX,127
BE000006447,2010-04-27,TMIN,60
BE000006447,2012-03-24,TMIN,71
BE000006447,2012-03-20,TMAX,132
BE000006447,2008-12-26,TMAX,24
BE000006447,2009-07-09,TMAX,196
BE000006447,2011-09-02,TMAX,270
BE000006447,2012-04-28,TMIN,98
BE000006447,2009-09-04,TMAX,167
BE000006447,2012-03-24,TMAX,195
BE000006447,2010-01-12,TMAX,2
BE000006447,2011-09-02,TMIN,125
BE000006447,2005-03-01,TMAX,-10
BE000006447,2014-10-28,TMAX,135
BE000006447,2014-11-20,TMIN,41
BE000006447,2014-05-19,TMIN,121
BE000006447,2014-06-04,TMAX,157
BE000006447,2012-05-21,TMAX,205
BE000006447,2014-05-19,TMAX,257
BE000006447,2009-11-26,TMAX,105
BE000006447,2009-01-03,TMIN,-46
BE000006447,2007-05-11,TMAX,170
BE000006447,2005-06-25,TMIN,186
BE000006447,2014-02-25,TMAX,120
BE000006447,2012-02-20,TMAX,58
BE000006447,2011-12-03,TMAX,103
BE000006447,2011-07-15,TMIN,110
BE000006447,2012-06-29,TMAX,210
BE000006447,2012-02-26,TMAX,73
BE000006447,2012-02-26,TMIN,16
BE000006447,2009-11-26,TMIN,78
BE000006447,2012-04-28,TMAX,172
BE000006447,2007-11-29,TMIN,38
BE000006447,2012-05-21,TMIN,110
BE000006447,2009-01-03,TMAX,17
BE000006447,2010-05-14,TMIN,62
BE000006447,2009-03-11,TMAX,110
BE000006447,2012-06-18,TMAX,184
BE000006447,2011-12-03,TMIN,57
BE000006447,2010-05-14,TMAX,121
BE000006447,2014-12-30,TMAX,45
BE000006447,2006-07-27,TMIN,206
BE000006447,2007-02-13,TMAX,92
BE000006447,2006-07-27,TMAX,295
BE000006447,2013-01-08,TMAX,70
BE000006447,2006-02-10,TMIN,3
BE000006447,2008-05-20,TMIN,62
BE000006447,2012-01-10,TMAX,99
BE000006447,2007-03-13,TMAX,152
BE000006447,2013-10-30,TMIN,56
BE000006447,2015-12-16,TMIN,94
BE000006447,2008-01-03,TMAX,8
BE000006447,2005-06-28,TMIN,158
BE000006447,2012-02-09,TMAX,-13
BE000006447,2010-04-06,TMAX,184
BE000006447,2015-02-03,TMAX,35
BE000006447,2013-10-10,TMIN,54
BE000006447,2015-02-03,TMIN,-16
BE000006447,2005-06-28,TMAX,291
BE000006447,2013-10-10,TMAX,122
BE000006447,2010-04-06,TMIN,55
BE000006447,2011-08-29,TMIN,113
BE000006447,2014-06-11,TMAX,227
BE000006447,2014-06-11,TMIN,150
BE000006447,2005-03-20,TMIN,92
BE000006447,2015-07-30,TMIN,108
BE000006447,2007-11-24,TMIN,-6
BE000006447,2014-06-19,TMIN,118
BE000006447,2005-11-16,TMAX,81
BE000006447,2010-09-12,TMAX,190
BE000006447,2007-03-13,TMIN,37
BE000006447,2012-05-15,TMAX,104
BE000006447,2012-03-15,TMIN,32
BE000006447,2006-02-10,TMAX,58
BE000006447,2012-11-23,TMIN,57
BE000006447,2011-07-17,TMAX,191
BE000006447,2007-11-24,TMAX,70
BE000006447,2012-03-15,TMAX,203
BE000006447,2011-07-17,TMIN,130
BE000006447,2011-08-29,TMAX,174
BE000006447,2007-10-11,TMAX,121
BE000006447,2005-10-05,TMAX,145
BE000006447,2011-11-03,TMAX,178
BE000006447,2012-11-23,TMAX,83
BE000006447,2011-12-21,TMIN,33
BE000006447,2010-08-07,TMAX,245
BE000006447,2010-08-07,TMIN,153
BE000006447,2013-11-06,TMIN,78
BE000006447,2013-09-11,TMAX,177
BE000006447,2011-11-03,TMIN,132
BE000006447,2013-09-11,TMIN,113
BE000006447,2005-10-05,TMIN,111
BE000006447,2008-01-18,TMIN,76
BE000006447,2009-10-31,TMIN,83
