ID,Date,Element,Data_Value
IN023060800,2015-12-15,TMIN,88
IN023060800,2015-12-08,TMIN,118
IN023060800,2015-12-11,TMAX,252
IN023060800,2015-12-14,TMIN,80
IN023060800,2015-12-31,TMIN,84
IN023060800,2015-12-16,TMAX,212
IN023060800,2015-12-29,TMAX,240
IN023060800,2015-12-20,TMAX,230
IN023060800,2015-12-28,TMAX,240
IN023060800,2015-12-17,TMIN,72
IN023060800,2015-12-20,TMIN,62
IN023060800,2015-12-10,TMAX,252
IN023060800,2015-12-09,TMAX,246
IN023060800,2015-12-10,TMIN,140
IN023060800,2015-12-12,TMAX,242
IN023060800,2015-12-30,TMIN,66
IN023060800,2015-12-14,TMAX,216
IN023060800,2015-12-31,TMAX,250
IN023060800,2015-12-19,TMIN,64
IN023060800,2015-12-25,TMIN,45
IN023060800,2015-12-08,TMAX,256
IN023060800,2015-12-22,TMAX,222
IN023060800,2015-12-25,TMAX,224
IN023060800,2015-12-12,TMIN,120
IN023060800,2015-12-09,TMIN,114
IN023060800,2015-12-16,TMIN,52
IN023060800,2015-12-11,TMIN,142
IN023060800,2015-12-17,TMAX,220
IN023060800,2015-12-13,TMAX,242
IN023060800,2015-12-23,TMIN,64
IN023060800,2015-12-27,TMAX,232
IN023060800,2015-12-13,TMIN,102
IN023060800,2015-12-27,TMIN,64
IN023060800,2015-12-18,TMIN,80
IN023060800,2015-12-18,TMAX,220
IN023060800,2015-12-29,TMIN,70
IN023060800,2015-12-22,TMIN,64
IN023060800,2015-12-26,TMAX,224
IN023060800,2015-12-26,TMIN,52
IN023060800,2015-12-24,TMAX,216
IN023060800,2015-12-21,TMAX,230
IN023060800,2015-12-23,TMAX,226
IN023060800,2015-12-21,TMIN,56
IN023060800,2015-12-28,TMIN,76
IN023060800,2015-12-30,TMAX,240
IN023060800,2015-12-15,TMAX,210
