ID,Date,Element,Data_Value
CA003065492,2009-08-28,TMIN,120
CA003065492,2006-08-08,TMAX,260
CA003065492,2007-06-17,TMAX,220
CA003065492,2005-08-04,TMIN,90
CA003065492,2008-07-12,TMIN,90
CA003065492,2006-06-20,TMIN,145
CA003065492,2007-05-13,TMIN,40
CA003065492,2005-08-17,TMIN,85
CA003065492,2009-08-28,TMAX,250
CA003065492,2009-07-28,TMAX,220
CA003065492,2010-07-17,TMIN,90
CA003065492,2005-08-29,TMIN,100
CA003065492,2006-09-06,TMIN,140
CA003065492,2007-06-23,TMAX,200
CA003065492,2010-08-19,TMAX,190
CA003065492,2005-08-29,TMAX,115
CA003065492,2010-07-17,TMAX,225
CA003065492,2010-08-23,TMAX,180
CA003065492,2007-06-21,TMIN,80
CA003065492,2007-08-24,TMAX,135
CA003065492,2007-06-21,TMAX,175
CA003065492,2009-07-28,TMIN,85
CA003065492,2010-09-06,TMIN,70
CA003065492,2005-06-26,TMAX,200
CA003065492,2009-06-20,TMAX,225
CA003065492,2009-06-20,TMIN,80
CA003065492,2005-05-30,TMIN,80
CA003065492,2009-08-06,TMIN,90
CA003065492,2010-07-16,TMIN,100
CA003065492,2007-05-08,TMAX,150
CA003065492,2010-08-19,TMIN,100
CA003065492,2008-05-12,TMIN,-10
CA003065492,2006-06-30,TMAX,220
CA003065492,2006-06-30,TMIN,110
CA003065492,2007-08-16,TMIN,25
CA003065492,2010-07-16,TMAX,210
CA003065492,2010-07-19,TMIN,120
CA003065492,2007-06-18,TMIN,100
CA003065492,2006-08-01,TMIN,70
CA003065492,2007-08-26,TMIN,50
CA003065492,2005-09-12,TMAX,110
CA003065492,2005-08-01,TMAX,290
CA003065492,2007-06-29,TMIN,140
CA003065492,2008-06-19,TMAX,200
CA003065492,2007-05-13,TMAX,75
CA003065492,2009-07-18,TMIN,90
CA003065492,2009-07-18,TMAX,180
CA003065492,2008-06-22,TMIN,130
CA003065492,2005-08-17,TMAX,145
CA003065492,2009-05-13,TMIN,-100
CA003065492,2008-07-25,TMIN,140
CA003065492,2006-07-29,TMAX,220
CA003065492,2008-06-22,TMAX,280
CA003065492,2006-07-29,TMIN,100
CA003065492,2008-07-25,TMAX,275
CA003065492,2008-06-19,TMIN,80
CA003065492,2006-08-01,TMAX,135
CA003065492,2006-07-16,TMIN,110
CA003065492,2005-09-12,TMIN,50
CA003065492,2005-07-03,TMIN,130
CA003065492,2007-06-29,TMAX,240
CA003065492,2007-07-02,TMAX,270
CA003065492,2011-05-09,TMIN,20
CA003065492,2009-06-21,TMAX,260
CA003065492,2010-07-19,TMAX,225
CA003065492,2009-06-21,TMIN,95
CA003065492,2006-09-07,TMAX,170
CA003065492,2007-06-23,TMIN,100
CA003065492,2006-09-07,TMIN,100
CA003065492,2005-06-14,TMIN,105
CA003065492,2007-06-18,TMAX,190
CA003065492,2010-09-06,TMAX,130
CA003065492,2007-06-17,TMIN,80
CA003065492,2008-09-01,TMAX,160
CA003065492,2006-09-10,TMIN,130
CA003065492,2006-09-10,TMAX,250
CA003065492,2007-08-26,TMAX,170
CA003065492,2005-06-26,TMIN,70
CA003065492,2005-06-14,TMAX,140
CA003065492,2009-05-13,TMAX,60
CA003065492,2005-07-03,TMAX,250
CA003065492,2010-08-23,TMIN,80
CA003065492,2011-05-09,TMAX,210
CA003065492,2005-07-25,TMIN,70
CA003065492,2009-08-16,TMAX,250
CA003065492,2006-08-31,TMAX,140
CA003065492,2008-08-15,TMIN,130
CA003065492,2007-09-03,TMAX,215
CA003065492,2005-05-06,TMIN,0
CA003065492,2008-08-15,TMAX,295
CA003065492,2005-09-08,TMIN,50
CA003065492,2005-05-06,TMAX,135
CA003065492,2005-09-08,TMAX,190
CA003065492,2006-09-05,TMAX,260
CA003065492,2006-07-20,TMIN,130
CA003065492,2006-07-20,TMAX,260
CA003065492,2009-08-05,TMAX,220
CA003065492,2006-08-18,TMAX,275
CA003065492,2005-08-09,TMAX,170
CA003065492,2006-08-18,TMIN,60
CA003065492,2006-08-16,TMIN,115
CA003065492,2010-08-22,TMIN,40
CA003065492,2005-07-29,TMAX,240
CA003065492,2009-08-29,TMIN,120
CA003065492,2009-08-29,TMAX,290
CA003065492,2007-05-20,TMAX,110
CA003065492,2005-07-18,TMIN,125
CA003065492,2007-06-22,TMAX,180
CA003065492,2007-05-20,TMIN,20
CA003065492,2007-06-22,TMIN,100
CA003065492,2008-06-12,TMAX,245
CA003065492,2008-07-22,TMIN,125
CA003065492,2008-07-22,TMAX,260
CA003065492,2009-08-05,TMIN,75
CA003065492,2006-09-05,TMIN,130
CA003065492,2005-08-09,TMIN,70
CA003065492,2007-08-22,TMAX,100
CA003065492,2007-07-12,TMIN,160
CA003065492,2010-08-07,TMIN,130
CA003065492,2008-09-12,TMIN,60
CA003065492,2009-08-26,TMIN,65
CA003065492,2010-08-21,TMIN,30
CA003065492,2008-09-12,TMAX,140
CA003065492,2005-05-25,TMIN,0
CA003065492,2005-05-25,TMAX,60
CA003065492,2005-09-14,TMIN,-10
CA003065492,2010-06-14,TMIN,90
CA003065492,2007-07-15,TMAX,260
CA003065492,2007-06-28,TMAX,270
CA003065492,2007-07-15,TMIN,140
CA003065492,2007-08-22,TMIN,50
CA003065492,2005-05-15,TMAX,255
CA003065492,2006-08-10,TMIN,105
CA003065492,2009-07-22,TMAX,220
CA003065492,2005-05-15,TMIN,50
CA003065492,2010-07-03,TMAX,180
CA003065492,2008-06-05,TMIN,80
CA003065492,2007-06-28,TMIN,100
CA003065492,2009-07-22,TMIN,100
CA003065492,2006-08-16,TMAX,170
CA003065492,2010-07-03,TMIN,80
CA003065492,2007-08-01,TMAX,230
CA003065492,2007-09-03,TMIN,70
CA003065492,2007-08-01,TMIN,50
CA003065492,2006-08-31,TMIN,70
CA003065492,2009-08-26,TMAX,240
CA003065492,2009-08-06,TMAX,250
CA003065492,2009-06-23,TMIN,70
CA003065492,2009-05-06,TMIN,-50
CA003065492,2007-08-19,TMIN,105
CA003065492,2006-08-28,TMIN,95
CA003065492,2007-08-16,TMAX,200
CA003065492,2005-08-22,TMAX,215
CA003065492,2005-08-22,TMIN,130
CA003065492,2005-05-10,TMIN,-100
CA003065492,2010-08-18,TMAX,205
CA003065492,2005-08-04,TMAX,260
CA003065492,2006-07-19,TMAX,245
CA003065492,2005-08-13,TMAX,160
CA003065492,2006-08-28,TMAX,240
CA003065492,2009-06-23,TMAX,200
CA003065492,2006-07-19,TMIN,125
CA003065492,2007-05-18,TMAX,100
CA003065492,2006-07-13,TMIN,95
CA003065492,2005-07-25,TMAX,150
CA003065492,2005-07-18,TMAX,230
CA003065492,2005-07-23,TMAX,140
CA003065492,2007-08-24,TMIN,50
CA003065492,2005-05-18,TMAX,155
CA003065492,2005-07-23,TMIN,90
CA003065492,2010-08-18,TMIN,50
CA003065492,2009-08-16,TMIN,80
CA003065492,2005-05-10,TMAX,60
CA003065492,2007-06-16,TMIN,60
CA003065492,2007-06-16,TMAX,230
CA003065492,2007-09-13,TMAX,150
CA003065492,2007-09-13,TMIN,-20
CA003065492,2006-07-13,TMAX,210
CA003065492,2005-07-29,TMIN,100
CA003065492,2008-06-12,TMIN,80
CA003065492,2007-08-19,TMAX,220
CA003065492,2005-08-08,TMIN,90
CA003065492,2005-08-08,TMAX,180
CA003065492,2008-09-11,TMAX,200
CA003065492,2007-07-31,TMIN,100
CA003065492,2009-05-06,TMAX,95
CA003065492,2008-06-05,TMAX,260
CA003065492,2006-05-17,TMIN,70
CA003065492,2006-05-17,TMAX,220
CA003065492,2009-07-10,TMIN,25
CA003065492,2010-07-08,TMIN,100
CA003065492,2007-07-31,TMAX,240
CA003065492,2005-07-20,TMAX,195
CA003065492,2005-07-20,TMIN,100
CA003065492,2007-05-18,TMIN,-10
CA003065492,2006-08-10,TMAX,245
CA003065492,2006-05-14,TMIN,55
CA003065492,2006-06-23,TMAX,250
CA003065492,2006-05-14,TMAX,175
CA003065492,2008-07-05,TMAX,205
CA003065492,2008-07-05,TMIN,100
CA003065492,2009-07-10,TMAX,200
CA003065492,2009-08-30,TMIN,130
CA003065492,2010-08-22,TMAX,200
CA003065492,2005-08-13,TMIN,70
CA003065492,2005-07-31,TMAX,235
CA003065492,2009-08-30,TMAX,315
CA003065492,2006-06-23,TMIN,125
CA003065492,2005-07-31,TMIN,120
CA003065492,2010-07-08,TMAX,265
CA003065492,2007-06-06,TMAX,160
CA003065492,2007-07-24,TMIN,135
CA003065492,2007-06-06,TMIN,30
CA003065492,2006-08-03,TMAX,195
CA003065492,2005-05-09,TMAX,40
CA003065492,2010-05-20,TMIN,70
CA003065492,2005-07-14,TMIN,120
CA003065492,2007-09-20,TMIN,0
CA003065492,2008-08-29,TMAX,170
CA003065492,2005-05-29,TMAX,250
CA003065492,2008-08-29,TMIN,50
CA003065492,2007-09-04,TMAX,175
CA003065492,2007-09-04,TMIN,90
CA003065492,2007-09-20,TMAX,60
CA003065492,2009-08-25,TMAX,180
CA003065492,2010-07-04,TMIN,80
CA003065492,2008-06-17,TMIN,85
CA003065492,2005-07-14,TMAX,235
CA003065492,2007-07-16,TMAX,270
CA003065492,2006-05-28,TMAX,190
CA003065492,2008-08-02,TMAX,150
CA003065492,2005-09-02,TMAX,160
CA003065492,2006-06-05,TMAX,220
CA003065492,2005-09-02,TMIN,75
CA003065492,2005-08-03,TMAX,210
CA003065492,2010-05-29,TMAX,210
CA003065492,2009-07-05,TMAX,230
CA003065492,2005-09-11,TMAX,140
CA003065492,2009-08-25,TMIN,90
CA003065492,2010-05-29,TMIN,80
CA003065492,2005-05-29,TMIN,75
CA003065492,2010-07-04,TMAX,220
CA003065492,2010-06-24,TMAX,240
CA003065492,2010-06-24,TMIN,110
CA003065492,2006-09-14,TMIN,40
CA003065492,2009-08-18,TMAX,185
CA003065492,2009-05-04,TMAX,170
CA003065492,2005-05-09,TMIN,10
CA003065492,2007-05-22,TMAX,170
CA003065492,2005-08-12,TMIN,60
CA003065492,2008-06-16,TMIN,70
CA003065492,2005-08-12,TMAX,170
CA003065492,2008-06-16,TMAX,195
CA003065492,2006-05-15,TMAX,210
CA003065492,2008-07-10,TMAX,210
CA003065492,2005-08-15,TMAX,110
CA003065492,2005-08-11,TMAX,140
CA003065492,2007-08-18,TMIN,80
CA003065492,2007-06-24,TMIN,100
CA003065492,2007-08-31,TMAX,200
CA003065492,2007-08-31,TMIN,20
CA003065492,2005-06-21,TMIN,75
CA003065492,2006-05-30,TMIN,60
CA003065492,2007-08-18,TMAX,240
CA003065492,2006-05-30,TMAX,160
CA003065492,2007-06-24,TMAX,230
CA003065492,2007-05-22,TMIN,40
CA003065492,2005-09-13,TMIN,10
CA003065492,2008-06-08,TMIN,80
CA003065492,2005-05-22,TMIN,50
CA003065492,2008-06-17,TMAX,200
CA003065492,2008-06-08,TMAX,220
CA003065492,2007-09-09,TMIN,30
