ID,Date,Element,Data_Value
NZM00093929,2015-12-12,TMAX,101
NZM00093929,2015-12-26,TMAX,134
NZM00093929,2015-12-30,TMIN,82
NZM00093929,2015-12-21,TMAX,116
NZM00093929,2015-12-11,TMIN,86
NZM00093929,2015-12-23,TMAX,119
NZM00093929,2015-12-19,TMIN,55
NZM00093929,2015-12-08,TMIN,64
NZM00093929,2015-12-29,TMIN,70
NZM00093929,2015-12-23,TMIN,79
NZM00093929,2015-12-08,TMAX,109
NZM00093929,2015-12-30,TMAX,131
NZM00093929,2015-12-25,TMIN,89
NZM00093929,2015-12-07,TMIN,40
NZM00093929,2015-12-14,TMIN,73
NZM00093929,2015-12-10,TMAX,120
NZM00093929,2015-12-31,TMIN,97
NZM00093929,2015-12-15,TMAX,110
NZM00093929,2015-12-14,TMAX,138
NZM00093929,2015-12-18,TMIN,62
NZM00093929,2015-12-20,TMAX,127
NZM00093929,2015-12-18,TMAX,114
NZM00093929,2015-12-31,TMAX,128
NZM00093929,2015-12-11,TMAX,129
NZM00093929,2015-12-10,TMIN,83
NZM00093929,2015-12-25,TMAX,125
NZM00093929,2015-12-22,TMAX,94
NZM00093929,2015-12-15,TMIN,73
NZM00093929,2015-12-09,TMIN,82
NZM00093929,2015-12-27,TMIN,100
NZM00093929,2015-12-24,TMIN,66
NZM00093929,2015-12-28,TMAX,119
NZM00093929,2015-12-22,TMIN,55
NZM00093929,2015-12-13,TMIN,62
NZM00093929,2015-12-20,TMIN,90
NZM00093929,2015-12-13,TMAX,107
NZM00093929,2015-12-21,TMIN,56
NZM00093929,2015-12-28,TMIN,67
NZM00093929,2015-12-12,TMIN,58
NZM00093929,2015-12-26,TMIN,97
NZM00093929,2015-12-27,TMAX,142
NZM00093929,2015-12-29,TMAX,116
