ID,Date,Element,Data_Value
SF003211100,2015-08-11,TMIN,1
SF003211100,2010-04-23,TMAX,223
SF003211100,2015-02-19,TMIN,158
SF003211100,2015-05-05,TMAX,300
SF003211100,2011-08-10,TMAX,236
SF003211100,2012-04-30,TMIN,91
SF003211100,2014-01-13,TMAX,367
SF003211100,2015-12-10,TMAX,353
SF003211100,2010-07-25,TMIN,43
SF003211100,2009-05-10,TMAX,223
SF003211100,2015-10-20,TMAX,350
SF003211100,2005-04-08,TMIN,108
SF003211100,2009-05-10,TMIN,57
SF003211100,2014-05-24,TMAX,214
SF003211100,2012-03-17,TMIN,108
SF003211100,2006-02-05,TMAX,316
SF003211100,2005-03-23,TMIN,135
SF003211100,2015-12-10,TMIN,144
SF003211100,2012-10-29,TMAX,354
SF003211100,2006-07-22,TMAX,189
SF003211100,2014-12-10,TMIN,176
SF003211100,2010-01-31,TMIN,202
SF003211100,2005-07-10,TMAX,200
SF003211100,2006-06-21,TMIN,8
SF003211100,2006-10-18,TMAX,313
SF003211100,2006-10-29,TMAX,313
SF003211100,2010-01-31,TMAX,327
SF003211100,2005-09-14,TMAX,316
SF003211100,2009-12-04,TMIN,135
SF003211100,2015-11-17,TMAX,344
SF003211100,2006-10-06,TMIN,104
SF003211100,2011-08-19,TMIN,58
SF003211100,2007-05-31,TMIN,44
SF003211100,2005-04-03,TMIN,86
SF003211100,2006-06-10,TMAX,207
SF003211100,2015-09-07,TMIN,84
SF003211100,2014-08-06,TMAX,187
SF003211100,2010-08-24,TMAX,227
SF003211100,2009-10-03,TMAX,185
SF003211100,2008-03-02,TMIN,168
SF003211100,2009-07-20,TMAX,203
SF003211100,2006-04-10,TMIN,133
SF003211100,2014-05-23,TMAX,214
SF003211100,2006-02-25,TMAX,214
SF003211100,2012-04-07,TMIN,150
SF003211100,2006-12-04,TMAX,302
SF003211100,2013-10-17,TMIN,79
SF003211100,2011-08-10,TMIN,11
SF003211100,2008-11-19,TMIN,146
SF003211100,2006-07-22,TMIN,-15
SF003211100,2008-01-30,TMAX,366
SF003211100,2014-04-25,TMIN,32
SF003211100,2010-03-28,TMIN,68
SF003211100,2008-08-24,TMIN,102
SF003211100,2014-09-13,TMAX,320
SF003211100,2009-06-21,TMIN,88
SF003211100,2014-01-12,TMIN,134
SF003211100,2012-03-15,TMIN,166
SF003211100,2009-06-13,TMIN,95
SF003211100,2010-03-19,TMIN,159
SF003211100,2005-06-22,TMIN,0
SF003211100,2008-03-01,TMAX,330
SF003211100,2014-07-26,TMAX,171
SF003211100,2014-06-19,TMAX,187
SF003211100,2013-10-13,TMAX,258
SF003211100,2014-10-16,TMIN,77
SF003211100,2015-02-23,TMIN,171
SF003211100,2014-02-22,TMAX,329
SF003211100,2015-06-19,TMAX,221
SF003211100,2010-11-30,TMAX,333
SF003211100,2010-11-16,TMIN,178
SF003211100,2014-12-28,TMIN,151
SF003211100,2010-05-19,TMAX,255
SF003211100,2011-12-24,TMAX,343
SF003211100,2010-12-25,TMAX,325
SF003211100,2013-10-17,TMAX,317
SF003211100,2005-04-08,TMAX,228
SF003211100,2005-08-13,TMAX,242
SF003211100,2014-11-09,TMIN,132
SF003211100,2014-10-01,TMAX,230
SF003211100,2015-11-14,TMIN,85
SF003211100,2015-02-23,TMAX,356
SF003211100,2007-08-20,TMIN,72
SF003211100,2012-06-20,TMIN,68
SF003211100,2010-11-18,TMAX,317
SF003211100,2010-11-30,TMIN,129
SF003211100,2014-09-23,TMAX,286
SF003211100,2013-12-21,TMAX,326
SF003211100,2009-11-26,TMAX,345
SF003211100,2009-12-04,TMAX,358
SF003211100,2010-03-08,TMIN,185
SF003211100,2005-05-13,TMAX,233
SF003211100,2012-02-24,TMIN,127
SF003211100,2014-11-21,TMIN,105
SF003211100,2014-06-13,TMAX,204
SF003211100,2006-08-22,TMAX,232
SF003211100,2010-06-28,TMIN,58
SF003211100,2009-04-25,TMAX,229
SF003211100,2006-07-24,TMIN,-52
SF003211100,2006-03-09,TMIN,130
SF003211100,2014-06-13,TMIN,-11
SF003211100,2010-12-25,TMIN,113
SF003211100,2010-06-28,TMAX,259
SF003211100,2005-06-26,TMAX,214
SF003211100,2008-06-26,TMIN,15
SF003211100,2005-08-13,TMIN,9
SF003211100,2012-12-15,TMAX,290
SF003211100,2010-03-12,TMAX,339
SF003211100,2010-07-16,TMAX,149
SF003211100,2010-12-30,TMAX,326
SF003211100,2011-03-29,TMAX,320
SF003211100,2008-06-26,TMAX,204
SF003211100,2005-09-14,TMIN,128
SF003211100,2015-07-17,TMAX,189
SF003211100,2006-09-21,TMIN,52
SF003211100,2011-07-09,TMIN,20
SF003211100,2010-05-19,TMIN,67
SF003211100,2012-03-17,TMAX,261
SF003211100,2015-12-28,TMIN,193
SF003211100,2014-05-24,TMIN,72
SF003211100,2011-09-04,TMAX,257
SF003211100,2013-09-28,TMAX,246
SF003211100,2011-02-22,TMIN,165
SF003211100,2010-11-05,TMAX,283
SF003211100,2009-10-03,TMIN,152
SF003211100,2009-07-20,TMIN,-1
SF003211100,2014-09-13,TMIN,56
SF003211100,2011-05-14,TMAX,225
SF003211100,2011-04-16,TMIN,121
SF003211100,2011-06-29,TMIN,8
SF003211100,2014-09-09,TMAX,305
SF003211100,2014-11-09,TMAX,317
SF003211100,2009-06-21,TMAX,188
SF003211100,2010-12-30,TMIN,184
SF003211100,2009-05-02,TMIN,4
SF003211100,2014-08-25,TMIN,-17
SF003211100,2011-05-14,TMIN,93
SF003211100,2009-10-08,TMAX,290
SF003211100,2012-04-30,TMAX,288
SF003211100,2012-12-15,TMIN,169
SF003211100,2005-09-07,TMIN,62
SF003211100,2011-03-03,TMIN,175
SF003211100,2012-10-29,TMIN,139
SF003211100,2014-02-13,TMIN,177
SF003211100,2011-05-06,TMAX,223
SF003211100,2013-10-13,TMIN,34
SF003211100,2008-09-22,TMIN,22
SF003211100,2006-07-24,TMAX,186
SF003211100,2015-02-04,TMIN,124
SF003211100,2015-06-11,TMIN,63
SF003211100,2012-03-15,TMAX,215
SF003211100,2006-04-10,TMAX,284
SF003211100,2011-10-06,TMIN,50
SF003211100,2011-10-11,TMAX,329
SF003211100,2010-04-04,TMIN,169
SF003211100,2015-04-28,TMAX,316
SF003211100,2014-08-25,TMAX,226
SF003211100,2005-10-24,TMIN,142
SF003211100,2015-04-28,TMIN,92
