ID,Date,Element,Data_Value
CT000004661,2009-09-01,TMIN,208
CT000004661,2009-05-11,TMAX,305
CT000004661,2009-01-02,TMAX,336
CT000004661,2009-01-11,TMIN,107
CT000004661,2009-06-04,TMIN,210
CT000004661,2009-09-25,TMIN,198
CT000004661,2008-12-25,TMIN,120
CT000004661,2009-01-11,TMAX,355
CT000004661,2009-10-10,TMIN,196
CT000004661,2009-07-23,TMIN,196
CT000004661,2009-01-21,TMAX,360
CT000004661,2009-04-27,TMIN,210
CT000004661,2009-07-06,TMAX,300
CT000004661,2009-05-01,TMIN,198
CT000004661,2009-04-25,TMIN,202
CT000004661,2009-03-30,TMIN,142
CT000004661,2009-07-30,TMAX,315
CT000004661,2009-04-09,TMIN,215
CT000004661,2009-04-14,TMAX,355
CT000004661,2009-01-02,TMIN,122
CT000004661,2008-12-25,TMAX,343
CT000004661,2009-07-24,TMIN,196
CT000004661,2009-06-01,TMIN,206
CT000004661,2009-05-11,TMIN,214
CT000004661,2009-03-25,TMAX,356
CT000004661,2009-04-14,TMIN,205
CT000004661,2009-03-30,TMAX,370
CT000004661,2009-08-12,TMIN,195
CT000004661,2008-12-16,TMAX,362
CT000004661,2009-09-26,TMIN,200
CT000004661,2009-05-19,TMIN,196
CT000004661,2009-04-18,TMIN,195
CT000004661,2009-02-06,TMIN,148
CT000004661,2009-02-06,TMAX,372
CT000004661,2009-07-06,TMIN,184
CT000004661,2009-06-01,TMAX,332
CT000004661,2009-03-21,TMIN,220
CT000004661,2009-04-04,TMAX,305
CT000004661,2009-08-10,TMIN,207
CT000004661,2009-07-21,TMIN,205
CT000004661,2009-04-09,TMAX,350
CT000004661,2009-05-27,TMIN,206
CT000004661,2009-08-05,TMAX,323
CT000004661,2009-04-10,TMIN,200
CT000004661,2009-05-24,TMAX,323
CT000004661,2009-03-21,TMAX,348
CT000004661,2009-03-09,TMIN,204
CT000004661,2009-04-04,TMIN,205
CT000004661,2009-10-01,TMIN,204
CT000004661,2009-03-23,TMIN,194
CT000004661,2009-08-13,TMAX,314
CT000004661,2008-12-05,TMIN,185
CT000004661,2009-03-07,TMAX,390
CT000004661,2009-08-28,TMIN,200
CT000004661,2009-03-22,TMIN,208
CT000004661,2009-03-07,TMIN,148
CT000004661,2010-01-06,TMIN,110
CT000004661,2009-04-03,TMAX,355
CT000004661,2009-02-26,TMIN,202
CT000004661,2009-07-29,TMIN,197
CT000004661,2009-08-01,TMAX,300
CT000004661,2009-12-19,TMIN,108
CT000004661,2009-10-03,TMIN,181
CT000004661,2009-08-01,TMIN,210
CT000004661,2009-07-07,TMIN,184
CT000004661,2009-05-02,TMIN,205
CT000004661,2009-07-22,TMIN,206
CT000004661,2009-07-22,TMAX,306
CT000004661,2009-09-23,TMIN,178
CT000004661,2009-04-02,TMIN,198
CT000004661,2009-07-14,TMIN,185
CT000004661,2009-03-10,TMIN,204
CT000004661,2009-07-20,TMIN,176
CT000004661,2009-03-10,TMAX,344
CT000004661,2009-05-25,TMAX,325
CT000004661,2009-03-08,TMAX,345
CT000004661,2009-02-02,TMAX,365
CT000004661,2009-04-05,TMIN,176
CT000004661,2009-08-07,TMIN,195
CT000004661,2009-08-06,TMIN,190
CT000004661,2009-05-18,TMAX,339
CT000004661,2009-05-21,TMIN,199
CT000004661,2009-02-27,TMAX,372
CT000004661,2009-05-18,TMIN,204
CT000004661,2009-04-05,TMAX,355
CT000004661,2009-10-26,TMIN,200
CT000004661,2008-12-26,TMIN,97
CT000004661,2009-02-27,TMIN,214
CT000004661,2009-03-09,TMAX,374
CT000004661,2009-05-30,TMIN,190
CT000004661,2009-03-15,TMIN,140
CT000004661,2009-07-09,TMIN,185
CT000004661,2009-04-22,TMIN,205
CT000004661,2009-03-15,TMAX,350
CT000004661,2008-12-29,TMIN,113
CT000004661,2009-02-26,TMAX,365
CT000004661,2009-03-14,TMIN,135
CT000004661,2009-05-25,TMIN,198
CT000004661,2009-07-16,TMIN,193
CT000004661,2009-03-14,TMAX,372
CT000004661,2008-12-26,TMAX,350
CT000004661,2009-06-03,TMIN,215
CT000004661,2009-07-10,TMIN,214
CT000004661,2009-05-02,TMAX,340
CT000004661,2009-01-18,TMIN,150
CT000004661,2009-03-06,TMAX,390
CT000004661,2009-05-20,TMIN,201
CT000004661,2009-03-06,TMIN,136
CT000004661,2009-05-23,TMAX,300
CT000004661,2009-01-14,TMIN,90
CT000004661,2009-08-05,TMIN,191
CT000004661,2009-01-10,TMIN,104
CT000004661,2009-04-11,TMIN,214
CT000004661,2009-04-28,TMIN,216
CT000004661,2009-03-20,TMIN,200
CT000004661,2009-06-09,TMIN,195
CT000004661,2009-03-31,TMIN,154
CT000004661,2009-01-18,TMAX,375
CT000004661,2009-04-29,TMIN,202
CT000004661,2009-03-31,TMAX,338
CT000004661,2009-01-17,TMAX,380
CT000004661,2009-07-19,TMIN,195
CT000004661,2009-04-06,TMIN,192
CT000004661,2009-06-10,TMIN,194
CT000004661,2009-03-13,TMIN,140
CT000004661,2009-04-23,TMIN,205
CT000004661,2009-05-20,TMAX,319
CT000004661,2009-06-07,TMIN,195
CT000004661,2009-09-17,TMIN,195
