ID,Date,Element,Data_Value
CA002300902,2007-03-30,TMIN,-245
CA002300902,2010-02-26,TMAX,-259
CA002300902,2012-10-01,TMIN,7
CA002300904,2013-12-09,TMAX,-217
CA002300902,2012-10-01,TMAX,37
CA002300902,2009-06-03,TMIN,-6
CA002300902,2007-02-05,TMIN,-312
CA002300902,2009-02-05,TMIN,-299
CA002300904,2007-12-21,TMAX,-225
CA002300904,2009-02-06,TMAX,-283
CA002300904,2014-01-29,TMIN,-255
CA002300904,2009-02-06,TMIN,-359
CA002300904,2015-08-23,TMIN,69
CA002300904,2014-01-29,TMAX,-185
CA002300902,2010-02-26,TMIN,-306
CA002300902,2008-02-29,TMAX,-229
CA002300902,2012-04-02,TMAX,-83
CA002300904,2010-03-26,TMIN,-325
CA002300902,2009-07-14,TMAX,131
CA002300902,2009-02-05,TMAX,-211
CA002300902,2009-05-23,TMIN,-90
CA002300902,2012-04-02,TMIN,-129
CA002300902,2013-03-24,TMAX,-83
CA002300904,2012-04-29,TMAX,-95
CA002300904,2007-12-21,TMIN,-337
CA002300902,2014-01-23,TMIN,-316
CA002300902,2006-05-17,TMAX,25
CA002300902,2014-01-23,TMAX,-110
CA002300902,2014-09-30,TMIN,-43
CA002300902,2005-02-08,TMAX,-310
CA002300904,2012-08-27,TMIN,81
CA002300904,2012-04-29,TMIN,-123
CA002300904,2006-09-11,TMIN,50
CA002300904,2006-09-11,TMAX,112
CA002300902,2010-09-14,TMAX,81
CA002300904,2015-08-23,TMAX,94
CA002300902,2005-02-08,TMIN,-374
CA002300902,2007-04-16,TMAX,-51
CA002300902,2012-07-25,TMIN,76
CA002300904,2015-05-12,TMAX,65
CA002300902,2007-11-23,TMAX,-173
CA002300904,2006-07-02,TMAX,195
CA002300904,2007-09-13,TMAX,23
CA002300902,2008-09-15,TMIN,-27
CA002300902,2009-07-12,TMAX,122
CA002300902,2012-07-25,TMAX,164
CA002300902,2012-05-07,TMIN,-63
CA002300902,2013-03-16,TMIN,-267
CA002300902,2008-09-15,TMAX,23
CA002300904,2008-06-29,TMAX,82
CA002300902,2014-07-27,TMIN,89
CA002300904,2008-06-29,TMIN,31
CA002300904,2013-05-11,TMAX,-19
CA002300904,2005-08-26,TMIN,58
CA002300904,2007-09-13,TMIN,-17
CA002300904,2015-12-25,TMAX,-223
CA002300902,2007-10-22,TMAX,-52
CA002300904,2006-07-02,TMIN,100
CA002300902,2007-03-30,TMAX,-132
CA002300902,2009-05-23,TMAX,1
CA002300902,2015-05-23,TMAX,176
CA002300902,2008-11-20,TMAX,-140
CA002300902,2015-05-23,TMIN,-26
CA002300904,2015-12-25,TMIN,-315
CA002300902,2014-05-10,TMAX,10
CA002300904,2006-08-09,TMAX,238
CA002300902,2013-03-16,TMAX,-216
CA002300902,2008-09-10,TMAX,35
CA002300902,2007-02-05,TMAX,-248
CA002300902,2007-10-22,TMIN,-119
CA002300902,2008-02-28,TMIN,-335
CA002300904,2006-08-09,TMIN,94
CA002300902,2008-09-10,TMIN,3
CA002300902,2005-03-19,TMAX,-172
CA002300902,2010-12-26,TMAX,-157
CA002300902,2010-08-29,TMIN,24
