ID,Date,Element,Data_Value
USW00012944,2010-02-01,TMAX,172
USW00012944,2009-07-04,TMIN,272
USW00012944,2010-08-11,TMIN,289
USW00012944,2010-05-27,TMIN,239
USW00012944,2008-08-21,TMIN,222
USW00012944,2009-07-25,TMIN,233
USW00012944,2008-02-10,TMIN,128
USW00012944,2006-11-29,TMIN,178
USW00012944,2008-12-27,TMAX,267
USW00012944,2006-07-16,TMIN,267
USW00012944,2008-03-06,TMAX,217
USW00012944,2008-07-22,TMAX,339
USW00012944,2006-02-05,TMIN,89
USW00012944,2008-12-02,TMAX,139
USW00012944,2005-11-17,TMAX,139
USW00012944,2005-11-21,TMAX,161
USW00012944,2007-02-08,TMAX,206
USW00012944,2010-01-19,TMAX,156
USW00012944,2011-01-12,TMIN,-83
USW00012944,2006-02-05,TMAX,206
USW00012944,2007-04-23,TMIN,200
USW00012944,2006-04-08,TMIN,150
USW00012944,2006-10-25,TMIN,133
USW00012944,2007-08-20,TMAX,267
USW00012944,2006-07-01,TMAX,311
USW00012944,2009-04-28,TMAX,261
USW00012944,2005-04-17,TMIN,189
USW00012944,2010-06-30,TMAX,300
USW00012944,2008-06-03,TMAX,322
USW00012944,2007-02-08,TMIN,139
USW00012944,2010-03-19,TMIN,111
USW00012944,2009-03-12,TMIN,133
USW00012944,2006-10-25,TMAX,239
USW00012944,2006-02-14,TMAX,194
USW00012944,2010-08-15,TMIN,294
USW00012944,2010-05-27,TMAX,311
USW00012944,2008-02-10,TMAX,189
USW00012944,2007-03-13,TMAX,200
USW00012944,2010-11-07,TMAX,178
USW00012944,2008-03-04,TMIN,44
USW00012944,2006-12-14,TMIN,117
USW00012944,2009-04-24,TMAX,256
USW00012944,2009-01-04,TMIN,217
USW00012944,2009-03-03,TMIN,67
USW00012944,2009-02-15,TMAX,161
USW00012944,2008-12-23,TMAX,167
USW00012944,2008-01-14,TMAX,150
USW00012944,2010-08-11,TMAX,339
USW00012944,2008-03-09,TMAX,139
USW00012944,2005-05-18,TMIN,211
USW00012944,2008-10-25,TMAX,244
USW00012944,2009-07-26,TMIN,278
USW00012944,2009-07-04,TMAX,344
USW00012944,2008-03-09,TMIN,72
USW00012944,2005-11-04,TMIN,144
USW00012944,2009-08-14,TMAX,339
USW00012944,2009-06-04,TMAX,300
USW00012944,2006-04-13,TMIN,172
USW00012944,2009-07-08,TMIN,272
USW00012944,2006-02-14,TMIN,44
USW00012944,2009-03-02,TMAX,239
USW00012944,2008-05-11,TMAX,294
USW00012944,2010-02-10,TMIN,28
USW00012944,2008-06-24,TMAX,328
USW00012944,2010-03-09,TMIN,139
USW00012944,2008-05-31,TMIN,244
USW00012944,2009-09-23,TMIN,206
USW00012944,2007-01-30,TMIN,50
USW00012944,2006-07-02,TMIN,222
USW00012944,2010-03-09,TMAX,167
USW00012944,2005-04-30,TMAX,256
USW00012944,2009-11-22,TMIN,122
USW00012944,2009-06-19,TMAX,311
USW00012944,2007-03-28,TMIN,194
USW00012944,2007-10-27,TMIN,139
USW00012944,2009-05-30,TMIN,233
USW00012944,2008-05-11,TMIN,217
USW00012944,2009-05-30,TMAX,306
USW00012944,2009-04-07,TMIN,111
USW00012944,2009-11-22,TMAX,144
USW00012944,2010-01-19,TMIN,100
USW00012944,2005-04-30,TMIN,161
USW00012944,2010-05-21,TMAX,289
USW00012944,2010-11-07,TMIN,111
USW00012944,2008-08-30,TMIN,267
USW00012944,2009-07-08,TMAX,294
USW00012944,2010-02-01,TMIN,17
USW00012944,2005-11-18,TMIN,50
USW00012944,2009-01-04,TMAX,272
USW00012944,2009-04-19,TMIN,172
USW00012944,2009-03-24,TMAX,244
USW00012944,2005-04-17,TMAX,244
USW00012944,2007-11-05,TMIN,178
USW00012944,2008-04-23,TMAX,228
USW00012944,2007-04-23,TMAX,206
USW00012944,2007-09-30,TMAX,294
USW00012944,2005-11-21,TMIN,111
USW00012944,2009-02-15,TMIN,139
USW00012944,2010-04-01,TMAX,206
USW00012944,2007-03-28,TMAX,239
USW00012944,2010-09-02,TMIN,272
USW00012944,2010-06-30,TMIN,256
USW00012944,2010-09-02,TMAX,317
USW00012944,2007-07-24,TMIN,239
USW00012944,2008-07-09,TMIN,272
USW00012944,2009-09-19,TMIN,233
USW00012944,2009-06-04,TMIN,233
USW00012944,2006-04-13,TMAX,250
USW00012944,2007-10-20,TMAX,272
USW00012944,2009-12-24,TMIN,111
USW00012944,2009-12-24,TMAX,206
USW00012944,2008-06-24,TMIN,267
USW00012944,2010-02-16,TMAX,89
USW00012944,2006-11-02,TMAX,189
USW00012944,2009-02-28,TMAX,239
USW00012944,2007-10-05,TMIN,239
USW00012944,2009-02-28,TMIN,183
USW00012944,2006-06-29,TMAX,306
USW00012944,2005-11-24,TMAX,239
USW00012944,2006-11-29,TMAX,250
USW00012944,2009-12-31,TMIN,61
USW00012944,2006-12-16,TMAX,228
USW00012944,2007-11-28,TMAX,139
USW00012944,2009-08-30,TMAX,306
USW00012944,2010-02-10,TMAX,178
