ID,Date,Element,Data_Value
IN019070100,2012-04-11,TMIN,225
IN019070100,2011-02-18,TMAX,260
IN019070100,2015-07-04,TMIN,284
IN019070100,2012-07-19,TMAX,416
IN019070100,2010-11-07,TMAX,336
IN019070100,2015-05-09,TMAX,424
IN019070100,2009-02-28,TMIN,173
IN019070100,2007-02-01,TMAX,291
IN019070100,2006-08-16,TMAX,396
IN019070100,2015-03-03,TMIN,125
IN019070100,2005-03-26,TMIN,202
IN019070100,2015-05-09,TMIN,303
IN019070100,2007-03-02,TMAX,245
IN019070100,2015-03-13,TMAX,305
IN019070100,2014-12-18,TMAX,248
IN019070100,2013-11-22,TMAX,336
IN019070100,2015-07-04,TMAX,398
IN019070100,2011-02-25,TMAX,280
IN019070100,2007-03-02,TMIN,134
IN019070100,2011-11-02,TMIN,187
IN019070100,2005-04-03,TMIN,207
IN019070100,2011-11-02,TMAX,355
IN019070100,2014-10-06,TMIN,244
IN019070100,2015-03-03,TMAX,242
IN019070100,2015-03-13,TMIN,164
IN019070100,2009-02-28,TMAX,313
IN019070100,2006-08-16,TMIN,301
IN019070100,2012-12-10,TMIN,120
IN019070100,2012-04-11,TMAX,402
IN019070100,2005-03-26,TMAX,365
IN019070100,2011-11-04,TMIN,161
IN019070100,2014-12-18,TMIN,90
IN019070100,2014-06-01,TMAX,434
IN019070100,2007-12-29,TMIN,41
IN019070100,2013-11-22,TMIN,160
IN019070100,2005-04-03,TMAX,382
IN019070100,2012-09-02,TMAX,392
IN019070100,2012-12-10,TMAX,305
IN019070100,2006-12-18,TMIN,107
IN019070100,2011-11-04,TMAX,346
IN019070100,2011-02-18,TMIN,127
IN019070100,2014-10-06,TMAX,397
IN019070100,2011-02-25,TMIN,136
IN019070100,2012-07-19,TMIN,289
IN019070100,2006-12-18,TMAX,264
IN019070100,2007-12-29,TMAX,249
IN019070100,2015-08-28,TMAX,375
IN019070100,2007-09-29,TMIN,253
IN019070100,2009-07-22,TMAX,405
IN019070100,2011-05-11,TMAX,440
IN019070100,2014-05-15,TMIN,236
IN019070100,2012-02-04,TMAX,273
IN019070100,2009-03-17,TMIN,221
IN019070100,2009-03-17,TMAX,366
IN019070100,2014-05-15,TMAX,360
IN019070100,2008-08-31,TMIN,261
IN019070100,2009-10-21,TMIN,179
IN019070100,2014-11-04,TMAX,348
IN019070100,2014-11-04,TMIN,195
IN019070100,2007-09-10,TMIN,261
IN019070100,2009-11-27,TMAX,285
IN019070100,2006-05-15,TMIN,321
IN019070100,2006-05-15,TMAX,446
IN019070100,2007-09-10,TMAX,370
IN019070100,2009-10-21,TMAX,365
IN019070100,2015-05-03,TMAX,425
IN019070100,2013-10-13,TMIN,224
IN019070100,2013-10-13,TMAX,350
IN019070100,2014-03-24,TMAX,340
IN019070100,2014-03-24,TMIN,190
IN019070100,2010-11-06,TMIN,183
IN019070100,2007-03-31,TMAX,400
IN019070100,2012-10-02,TMAX,386
IN019070100,2012-10-02,TMIN,212
IN019070100,2007-03-31,TMIN,227
IN019070100,2008-08-31,TMAX,366
IN019070100,2010-11-06,TMAX,345
IN019070100,2008-11-07,TMAX,361
IN019070100,2012-05-31,TMAX,468
IN019070100,2012-05-31,TMIN,315
IN019070100,2014-05-10,TMAX,412
IN019070100,2014-05-10,TMIN,250
IN019070100,2009-09-13,TMIN,250
IN019070100,2009-07-22,TMIN,263
IN019070100,2008-11-07,TMIN,193
IN019070100,2009-12-06,TMAX,280
IN019070100,2012-08-07,TMIN,289
IN019070100,2009-11-27,TMIN,94
IN019070100,2008-03-16,TMAX,377
IN019070100,2012-07-01,TMIN,313
IN019070100,2005-07-31,TMIN,255
IN019070100,2008-08-24,TMIN,287
IN019070100,2008-08-24,TMAX,395
IN019070100,2005-07-31,TMAX,382
IN019070100,2011-10-08,TMAX,368
IN019070100,2011-04-17,TMIN,197
IN019070100,2007-06-13,TMIN,315
IN019070100,2005-02-04,TMIN,115
IN019070100,2011-10-08,TMIN,222
IN019070100,2005-02-04,TMAX,268
IN019070100,2009-05-18,TMIN,330
IN019070100,2009-05-18,TMAX,466
IN019070100,2012-06-08,TMIN,280
IN019070100,2012-06-08,TMAX,410
IN019070100,2011-11-03,TMAX,350
IN019070100,2015-05-03,TMIN,251
IN019070100,2011-04-17,TMAX,396
IN019070100,2005-08-15,TMAX,395
IN019070100,2012-08-07,TMAX,402
IN019070100,2014-12-12,TMIN,107
IN019070100,2012-08-30,TMIN,268
IN019070100,2012-08-30,TMAX,365
IN019070100,2010-08-16,TMAX,367
IN019070100,2014-09-23,TMIN,236
IN019070100,2014-09-23,TMAX,372
IN019070100,2012-07-01,TMAX,442
IN019070100,2010-08-16,TMIN,277
IN019070100,2009-04-15,TMAX,405
IN019070100,2006-10-02,TMAX,380
