ID,Date,Element,Data_Value
CA005061649,2012-09-11,TMAX,116
CA005061648,2012-03-02,TMAX,-174
CA005061649,2010-11-30,TMAX,-155
CA005061649,2015-10-06,TMIN,-16
CA005061648,2013-05-18,TMAX,210
CA005061648,2011-09-15,TMAX,167
CA005061648,2006-04-29,TMIN,8
CA005061648,2006-07-27,TMAX,150
CA005061648,2013-03-12,TMIN,-276
CA005061648,2008-12-12,TMIN,-318
CA005061648,2014-07-01,TMAX,214
CA005061649,2012-09-11,TMIN,76
CA005061648,2009-06-02,TMAX,158
CA005061648,2006-09-17,TMIN,2
CA005061648,2006-10-07,TMAX,42
CA005061648,2010-10-14,TMAX,56
CA005061649,2010-11-12,TMIN,-128
CA005061648,2009-02-18,TMAX,-120
CA005061649,2015-08-16,TMIN,66
CA005061648,2006-10-07,TMIN,5
CA005061648,2010-04-24,TMAX,-13
CA005061649,2013-03-22,TMAX,-83
CA005061648,2011-02-17,TMAX,-195
CA005061648,2008-05-28,TMIN,93
CA005061648,2012-11-12,TMIN,-185
CA005061649,2012-03-14,TMAX,44
CA005061648,2010-09-09,TMIN,26
CA005061648,2006-01-01,TMIN,-129
CA005061648,2009-06-02,TMIN,-33
CA005061649,2015-02-13,TMAX,-239
CA005061648,2007-03-14,TMAX,-167
CA005061648,2011-06-06,TMAX,143
CA005061648,2011-06-06,TMIN,1
CA005061648,2009-10-22,TMIN,-36
CA005061648,2011-01-27,TMAX,-201
CA005061649,2011-04-03,TMAX,-31
CA005061648,2014-03-04,TMIN,-352
CA005061648,2006-01-01,TMAX,-79
CA005061648,2009-03-20,TMIN,-200
CA005061648,2014-07-01,TMIN,73
CA005061648,2014-03-04,TMAX,-144
CA005061648,2012-07-31,TMAX,224
CA005061649,2015-02-13,TMIN,-379
CA005061648,2011-01-27,TMIN,-296
CA005061649,2010-11-06,TMAX,59
CA005061648,2009-03-20,TMAX,-87
CA005061648,2009-01-13,TMIN,-377
CA005061648,2010-03-14,TMAX,59
CA005061648,2006-04-29,TMAX,239
CA005061649,2012-08-09,TMAX,233
CA005061648,2009-01-03,TMAX,-237
CA005061648,2008-03-10,TMIN,-127
CA005061648,2008-11-25,TMIN,-64
CA005061648,2012-07-31,TMIN,110
CA005061649,2014-08-26,TMIN,5
CA005061646,2005-06-11,TMIN,74
CA005061648,2013-09-20,TMAX,73
CA005061648,2008-09-09,TMIN,49
CA005061649,2015-03-23,TMAX,-9
CA005061648,2011-08-16,TMIN,131
CA005061648,2007-12-23,TMAX,-134
CA005061649,2014-08-22,TMAX,131
CA005061649,2014-09-28,TMAX,71
CA005061649,2013-03-22,TMIN,-230
CA005061648,2005-10-16,TMIN,6
CA005061648,2014-03-18,TMAX,-65
CA005061648,2010-03-14,TMIN,-79
CA005061646,2005-07-31,TMAX,271
CA005061649,2015-02-16,TMAX,-197
CA005061649,2010-11-06,TMIN,-27
CA005061648,2013-05-18,TMIN,28
CA005061648,2006-07-12,TMIN,124
CA005061648,2011-04-25,TMIN,-207
CA005061648,2012-03-02,TMIN,-278
CA005061649,2015-05-12,TMIN,-18
CA005061648,2014-07-14,TMAX,189
CA005061649,2011-01-12,TMAX,-195
CA005061648,2015-03-30,TMAX,22
CA005061648,2013-06-08,TMAX,235
CA005061648,2007-03-14,TMIN,-273
CA005061649,2015-07-24,TMAX,240
CA005061648,2008-09-13,TMAX,97
CA005061648,2010-11-15,TMIN,-78
CA005061648,2014-07-14,TMIN,71
CA005061648,2010-09-14,TMIN,30
CA005061649,2011-01-12,TMIN,-212
CA005061648,2006-07-12,TMAX,215
CA005061646,2005-07-30,TMAX,241
CA005061648,2010-06-04,TMAX,193
CA005061646,2005-06-24,TMAX,160
CA005061648,2008-12-17,TMIN,-396
CA005061649,2013-05-12,TMIN,5
CA005061649,2010-11-12,TMAX,-33
CA005061648,2010-11-15,TMAX,-16
CA005061646,2005-04-14,TMIN,-13
CA005061646,2005-06-11,TMAX,117
CA005061649,2015-01-19,TMAX,-128
CA005061648,2011-09-15,TMIN,9
CA005061646,2005-07-30,TMIN,132
CA005061648,2007-11-27,TMAX,-195
CA005061648,2008-01-28,TMAX,-293
CA005061648,2005-12-29,TMIN,-124
CA005061648,2012-09-04,TMAX,113
CA005061648,2011-11-13,TMAX,-51
CA005061648,2010-10-14,TMIN,-2
CA005061648,2015-11-13,TMAX,2
CA005061648,2006-07-27,TMIN,84
CA005061648,2005-12-29,TMAX,-93
CA005061649,2011-12-04,TMAX,-230
CA005061648,2006-05-22,TMAX,220
CA005061648,2011-07-11,TMIN,72
CA005061649,2014-06-17,TMAX,224
CA005061649,2010-12-20,TMIN,-152
CA005061648,2006-02-21,TMIN,-206
CA005061649,2010-12-20,TMAX,-88
CA005061649,2011-01-13,TMIN,-212
CA005061648,2009-05-24,TMIN,-35
CA005061648,2010-11-24,TMAX,-135
CA005061648,2013-06-08,TMIN,79
CA005061649,2011-01-13,TMAX,-185
CA005061649,2015-10-07,TMAX,99
CA005061648,2006-09-24,TMAX,152
CA005061648,2005-06-28,TMIN,55
CA005061646,2005-04-14,TMAX,116
CA005061649,2013-10-08,TMIN,3
CA005061648,2008-01-28,TMIN,-311
CA005061648,2010-04-30,TMIN,-20
CA005061648,2011-08-16,TMAX,170
CA005061649,2011-01-24,TMAX,-130
CA005061648,2007-11-27,TMIN,-313
CA005061648,2013-11-16,TMAX,-52
CA005061646,2005-05-10,TMAX,-42
CA005061648,2011-03-24,TMIN,-257
CA005061648,2006-02-21,TMAX,-87
CA005061649,2015-02-16,TMIN,-276
CA005061649,2014-12-10,TMAX,11
CA005061648,2011-04-25,TMAX,3
CA005061648,2009-02-18,TMIN,-313
CA005061649,2014-07-06,TMIN,127
CA005061649,2013-10-05,TMAX,85
CA005061649,2010-07-28,TMAX,226
CA005061648,2009-05-24,TMAX,155
CA005061649,2013-10-08,TMAX,36
CA005061648,2010-05-10,TMIN,-33
CA005061646,2005-07-31,TMIN,124
CA005061649,2015-02-21,TMAX,-268
CA005061648,2008-08-07,TMIN,85
CA005061648,2010-04-24,TMIN,-55
CA005061649,2015-10-22,TMIN,-24
CA005061649,2010-07-28,TMIN,89
CA005061648,2008-09-09,TMAX,162
CA005061648,2013-11-16,TMIN,-242
CA005061649,2013-10-05,TMIN,-29
CA005061648,2010-09-09,TMAX,80
CA005061648,2008-03-10,TMAX,-18
CA005061648,2010-12-27,TMAX,-113
CA005061648,2010-09-14,TMAX,97
CA005061648,2010-12-27,TMIN,-146
CA005061648,2008-02-04,TMAX,-222
CA005061649,2011-04-29,TMIN,-44
CA005061648,2009-05-10,TMAX,114
CA005061649,2011-12-19,TMAX,-36
CA005061649,2015-10-07,TMIN,3
CA005061649,2012-10-17,TMIN,6
CA005061648,2008-12-17,TMAX,-318
CA005061649,2012-10-17,TMAX,46
CA005061649,2015-12-16,TMIN,-128
CA005061648,2013-03-08,TMIN,-283
CA005061648,2008-12-12,TMAX,-255
CA005061649,2014-07-06,TMAX,219
CA005061649,2013-05-12,TMAX,173
CA005061649,2015-12-16,TMAX,-60
CA005061649,2015-01-12,TMIN,-316
CA005061649,2013-11-27,TMIN,-253
CA005061649,2015-03-28,TMAX,50
CA005061649,2014-02-08,TMIN,-304
CA005061649,2014-02-08,TMAX,-238
CA005061649,2015-03-28,TMIN,-26
CA005061648,2012-11-12,TMAX,-69
CA005061649,2013-11-27,TMAX,-153
CA005061648,2009-05-10,TMIN,0
CA005061649,2011-07-21,TMIN,78
CA005061649,2015-03-23,TMIN,-225
CA005061648,2011-12-06,TMIN,-114
CA005061648,2008-01-19,TMAX,-261
CA005061649,2012-04-27,TMAX,73
CA005061649,2014-12-10,TMIN,-138
CA005061648,2011-02-18,TMAX,-219
CA005061648,2008-08-07,TMAX,283
CA005061649,2011-03-31,TMIN,-13
CA005061648,2009-01-12,TMAX,-302
CA005061648,2012-02-02,TMAX,-70
CA005061649,2015-12-19,TMIN,-291
CA005061648,2012-10-26,TMAX,-72
CA005061649,2015-12-19,TMAX,-203
CA005061648,2007-11-07,TMAX,-61
CA005061648,2005-09-04,TMAX,215
CA005061648,2008-02-28,TMIN,-232
CA005061649,2012-01-22,TMAX,-200
CA005061648,2015-04-22,TMIN,-94
CA005061649,2013-02-06,TMIN,-436
CA005061648,2010-03-03,TMIN,-75
CA005061648,2013-04-28,TMAX,28
CA005061648,2007-07-26,TMIN,127
CA005061648,2009-01-12,TMIN,-353
CA005061649,2015-08-16,TMAX,179
CA005061648,2015-04-22,TMAX,63
CA005061646,2005-02-08,TMAX,-133
CA005061646,2005-08-11,TMIN,98
CA005061648,2007-07-26,TMAX,225
CA005061648,2013-09-02,TMAX,277
CA005061648,2012-02-02,TMIN,-117
CA005061648,2012-10-26,TMIN,-116
CA005061648,2013-06-21,TMIN,64
CA005061648,2014-12-15,TMIN,-174
CA005061648,2011-02-19,TMIN,-340
CA005061649,2014-08-22,TMIN,84
CA005061648,2012-06-25,TMIN,134
CA005061648,2013-03-07,TMAX,-131
CA005061648,2009-01-03,TMIN,-303
CA005061649,2010-12-10,TMIN,-365
CA005061648,2014-05-13,TMAX,39
CA005061648,2009-04-02,TMAX,23
CA005061648,2009-04-02,TMIN,-117
CA005061648,2014-08-07,TMAX,300
CA005061648,2007-12-23,TMIN,-316
CA005061648,2008-02-29,TMIN,-311
CA005061646,2005-02-08,TMIN,-241
CA005061649,2015-01-23,TMIN,-250
CA005061648,2013-01-19,TMIN,-335
CA005061648,2013-04-28,TMIN,-109
CA005061649,2010-09-22,TMAX,89
CA005061646,2005-08-11,TMAX,174
CA005061649,2011-04-12,TMAX,19
CA005061649,2011-08-14,TMIN,129
CA005061648,2013-07-09,TMAX,248
CA005061646,2005-03-04,TMAX,-65
CA005061649,2013-02-06,TMAX,-230
CA005061649,2011-01-18,TMIN,-373
CA005061648,2011-02-19,TMAX,-183
CA005061648,2013-07-09,TMIN,75
CA005061648,2009-08-05,TMAX,202
CA005061648,2005-09-20,TMIN,73
CA005061648,2013-01-02,TMAX,-159
CA005061649,2011-12-22,TMAX,-181
CA005061648,2014-08-07,TMIN,128
CA005061648,2007-09-26,TMIN,3
CA005061648,2007-09-14,TMAX,131
CA005061649,2011-01-06,TMAX,-213
CA005061648,2007-06-21,TMIN,53
CA005061648,2013-01-03,TMIN,-163
CA005061648,2015-12-13,TMAX,-67
CA005061648,2011-05-09,TMIN,-6
CA005061649,2013-01-25,TMAX,-190
CA005061648,2014-05-13,TMIN,-33
CA005061648,2013-07-27,TMIN,91
CA005061648,2010-05-13,TMAX,139
CA005061649,2014-03-22,TMAX,-136
CA005061649,2011-07-30,TMIN,137
CA005061646,2005-05-10,TMIN,-118
CA005061648,2008-01-05,TMAX,-117
CA005061648,2011-12-07,TMAX,-99
CA005061649,2012-06-10,TMAX,80
CA005061649,2012-06-10,TMIN,30
CA005061648,2012-01-21,TMAX,-207
CA005061648,2005-09-20,TMAX,140
CA005061649,2012-04-27,TMIN,-80
CA005061648,2011-12-07,TMIN,-184
CA005061648,2011-06-28,TMIN,81
CA005061648,2015-12-13,TMIN,-124
CA005061648,2013-06-21,TMAX,254
CA005061649,2011-01-06,TMIN,-304
CA005061649,2014-03-22,TMIN,-290
CA005061649,2015-07-24,TMIN,111
CA005061648,2007-08-05,TMAX,209
CA005061649,2010-07-17,TMIN,84
CA005061649,2015-01-23,TMAX,-8
CA005061648,2005-06-29,TMAX,240
CA005061649,2015-08-10,TMIN,70
CA005061648,2011-02-18,TMIN,-308
CA005061648,2013-05-06,TMIN,-4
CA005061648,2008-02-29,TMAX,-144
CA005061648,2013-09-02,TMIN,94
CA005061649,2011-07-30,TMAX,227
CA005061648,2008-02-28,TMAX,-162
CA005061648,2007-09-26,TMAX,104
CA005061648,2013-05-06,TMAX,103
CA005061648,2007-08-05,TMIN,94
CA005061648,2010-02-23,TMAX,-148
CA005061649,2010-12-10,TMAX,-266
CA005061648,2013-07-27,TMAX,241
CA005061649,2015-06-26,TMAX,282
CA005061649,2011-11-21,TMIN,-284
CA005061649,2015-08-10,TMAX,256
CA005061649,2015-01-02,TMIN,-336
CA005061649,2015-12-06,TMIN,-188
CA005061648,2009-08-05,TMIN,69
CA005061648,2014-01-31,TMIN,-279
CA005061649,2015-12-06,TMAX,-109
CA005061648,2007-09-14,TMIN,4
CA005061648,2010-02-23,TMIN,-293
CA005061648,2014-01-31,TMAX,-191
CA005061648,2011-03-24,TMAX,-24
CA005061649,2011-08-11,TMIN,100
CA005061648,2009-02-05,TMAX,-16
CA005061648,2007-01-16,TMAX,-96
CA005061648,2010-12-03,TMIN,-189
CA005061649,2015-10-19,TMAX,42
CA005061649,2013-10-04,TMIN,-23
CA005061649,2013-10-21,TMIN,-111
CA005061648,2013-01-19,TMAX,-246
CA005061649,2010-11-30,TMIN,-244
CA005061649,2012-07-03,TMAX,278
CA005061649,2012-03-25,TMAX,-26
CA005061648,2007-04-11,TMIN,-197
CA005061648,2011-07-09,TMIN,132
CA005061648,2007-01-16,TMIN,-281
CA005061649,2015-06-24,TMAX,270
CA005061649,2013-10-21,TMAX,-30
CA005061648,2007-11-01,TMAX,37
CA005061648,2013-01-03,TMAX,-26
CA005061648,2012-01-20,TMAX,-245
CA005061648,2011-09-09,TMAX,311
CA005061648,2014-08-28,TMAX,261
CA005061648,2012-10-10,TMAX,6
CA005061648,2011-12-06,TMAX,-2
CA005061648,2014-12-15,TMAX,-109
CA005061649,2014-08-26,TMAX,188
CA005061648,2006-06-20,TMAX,269
CA005061648,2008-05-18,TMAX,106
CA005061648,2007-06-21,TMAX,186
CA005061649,2013-10-04,TMAX,22
CA005061649,2014-08-12,TMAX,205
CA005061648,2010-12-03,TMAX,-111
CA005061648,2010-12-28,TMIN,-236
CA005061648,2013-09-20,TMIN,3
CA005061646,2005-03-04,TMIN,-178
CA005061649,2015-10-19,TMIN,-84
CA005061648,2009-01-13,TMAX,-287
CA005061646,2005-04-24,TMIN,-6
CA005061649,2014-09-28,TMIN,-47
CA005061646,2005-04-24,TMAX,109
CA005061648,2015-03-30,TMIN,-93
CA005061648,2010-03-03,TMAX,51
CA005061649,2010-12-25,TMIN,-223
CA005061648,2012-06-05,TMIN,75
CA005061649,2014-10-12,TMIN,38
CA005061648,2009-01-22,TMIN,-281
CA005061648,2014-03-18,TMIN,-142
CA005061649,2012-07-03,TMIN,111
CA005061648,2012-01-21,TMIN,-307
CA005061648,2009-03-08,TMAX,-128
CA005061648,2009-11-04,TMIN,-196
CA005061648,2009-03-08,TMIN,-290
CA005061648,2013-04-03,TMAX,-8
CA005061648,2007-11-07,TMIN,-144
CA005061649,2010-12-25,TMAX,-98
CA005061648,2006-11-21,TMAX,-67
CA005061649,2015-08-14,TMAX,281
CA005061649,2014-08-12,TMIN,75
CA005061648,2006-09-17,TMAX,97
CA005061648,2013-10-01,TMIN,-4
CA005061648,2006-04-03,TMIN,-173
CA005061648,2012-05-30,TMIN,110
CA005061648,2005-08-01,TMIN,109
CA005061648,2006-11-21,TMIN,-155
CA005061649,2011-11-21,TMAX,-171
CA005061649,2012-09-18,TMAX,113
CA005061649,2015-05-17,TMIN,-97
CA005061648,2008-07-19,TMAX,261
CA005061648,2011-05-09,TMAX,49
CA005061648,2013-03-08,TMAX,-120
CA005061648,2006-04-03,TMAX,58
CA005061648,2014-04-06,TMIN,-204
CA005061648,2007-09-19,TMIN,-15
CA005061648,2007-11-01,TMIN,-41
CA005061648,2007-09-19,TMAX,67
CA005061648,2006-06-20,TMIN,90
CA005061648,2014-04-06,TMAX,-39
CA005061649,2012-09-18,TMIN,16
CA005061648,2010-06-04,TMIN,80
CA005061648,2005-12-06,TMIN,-305
CA005061648,2011-09-09,TMIN,135
CA005061649,2012-08-09,TMIN,97
CA005061649,2011-04-12,TMIN,-211
CA005061648,2013-03-07,TMIN,-245
CA005061648,2005-09-04,TMIN,90
CA005061649,2011-04-03,TMIN,-136
CA005061648,2013-10-01,TMAX,66
CA005061649,2012-11-11,TMIN,-237
CA005061648,2008-05-18,TMIN,-30
CA005061648,2012-06-25,TMAX,254
CA005061648,2008-07-19,TMIN,92
CA005061648,2011-06-28,TMAX,205
CA005061649,2015-07-12,TMAX,258
CA005061649,2015-07-12,TMIN,142
CA005061648,2012-05-30,TMAX,243
CA005061649,2012-03-25,TMIN,-214
CA005061648,2012-10-10,TMIN,-40
CA005061648,2009-05-07,TMAX,-33
CA005061648,2009-05-07,TMIN,-102
CA005061649,2015-01-12,TMAX,-145
CA005061649,2013-04-13,TMIN,-33
CA005061648,2005-12-06,TMAX,-223
CA005061649,2015-08-14,TMIN,135
CA005061648,2009-01-22,TMAX,-199
CA005061648,2005-08-01,TMAX,277
CA005061649,2012-03-14,TMIN,-132
CA005061648,2005-10-18,TMAX,-2
CA005061649,2010-09-22,TMIN,-25
CA005061648,2014-08-28,TMIN,83
CA005061649,2014-10-12,TMAX,106
CA005061648,2009-10-22,TMAX,-10
CA005061649,2015-10-06,TMAX,67
CA005061649,2015-05-17,TMAX,73
CA005061649,2013-04-13,TMAX,45
CA005061648,2010-12-28,TMAX,-133
CA005061649,2012-11-11,TMAX,-107
CA005061649,2011-01-18,TMAX,-257
CA005061648,2015-02-27,TMAX,-91
CA005061649,2012-08-14,TMAX,149
CA005061649,2013-05-13,TMIN,30
CA005061648,2012-09-04,TMIN,78
CA005061646,2005-02-27,TMIN,-202
CA005061648,2010-03-06,TMAX,84
CA005061649,2013-06-27,TMIN,111
CA005061648,2015-09-14,TMAX,124
CA005061648,2010-01-29,TMAX,-147
CA005061649,2014-10-06,TMAX,-16
CA005061648,2013-09-13,TMAX,218
CA005061646,2005-05-09,TMAX,105
