ID,Date,Element,Data_Value
IN020065100,2015-12-23,TMAX,317
IN020065100,2015-12-08,TMIN,216
IN020065100,2015-12-31,TMIN,227
IN020065100,2015-12-19,TMIN,235
IN020065100,2015-12-24,TMIN,229
IN020065100,2015-12-26,TMIN,233
IN020065100,2015-12-21,TMAX,313
IN020065100,2015-12-08,TMAX,295
IN020065100,2015-12-15,TMAX,324
IN020065100,2015-12-13,TMAX,310
IN020065100,2015-12-17,TMIN,235
IN020065100,2015-12-20,TMAX,313
IN020065100,2015-12-24,TMAX,317
IN020065100,2015-12-20,TMIN,225
IN020065100,2015-12-28,TMIN,215
IN020065100,2015-12-13,TMIN,225
IN020065100,2015-12-31,TMAX,313
IN020065100,2015-12-09,TMAX,304
IN020065100,2015-12-14,TMAX,324
IN020065100,2015-12-21,TMIN,240
IN020065100,2015-12-18,TMAX,316
IN020065100,2015-12-18,TMIN,224
IN020065100,2015-12-15,TMIN,245
IN020065100,2015-12-26,TMAX,318
IN020065100,2015-12-10,TMIN,243
IN020065100,2015-12-28,TMAX,318
IN020065100,2015-12-10,TMAX,304
IN020065100,2015-12-16,TMAX,315
IN020065100,2015-12-11,TMIN,224
IN020065100,2015-12-27,TMIN,243
IN020065100,2015-12-12,TMIN,234
IN020065100,2015-12-16,TMIN,239
IN020065100,2015-12-19,TMAX,276
IN020065100,2015-12-29,TMIN,236
IN020065100,2015-12-12,TMAX,303
IN020065100,2015-12-30,TMIN,234
IN020065100,2015-12-17,TMAX,316
IN020065100,2015-12-25,TMAX,318
IN020065100,2015-12-09,TMIN,213
IN020065100,2015-12-22,TMIN,230
IN020065100,2015-12-23,TMIN,228
IN020065100,2015-12-27,TMAX,318
IN020065100,2015-12-25,TMIN,229
IN020065100,2015-12-30,TMAX,310
IN020065100,2015-12-11,TMAX,301
IN020065100,2015-12-22,TMAX,312
IN020065100,2015-12-14,TMIN,240
