ID,Date,Element,Data_Value
CFM00064460,2015-10-29,TMAX,243
CFM00064460,2015-03-08,TMAX,333
CFM00064460,2014-08-02,TMAX,255
CFM00064460,2015-08-29,TMIN,210
CFM00064460,2015-03-24,TMAX,343
CFM00064460,2015-10-20,TMIN,209
CFM00064460,2015-04-06,TMIN,210
CFM00064460,2015-02-19,TMAX,353
CFM00064460,2014-09-21,TMIN,204
CFM00064460,2014-08-02,TMIN,200
CFM00064460,2015-06-03,TMIN,206
CFM00064460,2015-01-11,TMIN,124
CFM00064460,2015-03-24,TMIN,192
CFM00064460,2015-01-08,TMAX,305
CFM00064460,2015-10-20,TMAX,314
CFM00064460,2012-06-15,TMIN,203
CFM00064460,2012-06-15,TMAX,237
CFM00064460,2015-01-11,TMAX,297
CFM00064460,2015-01-08,TMIN,150
CFM00064460,2015-11-28,TMAX,310
CFM00064460,2015-01-29,TMAX,290
CFM00064460,2015-04-12,TMAX,294
CFM00064460,2015-10-27,TMIN,211
CFM00064460,2015-04-12,TMIN,210
CFM00064460,2014-09-21,TMAX,306
CFM00064460,2015-01-29,TMIN,202
CFM00064460,2015-11-28,TMIN,205
CFM00064460,2015-06-24,TMIN,210
CFM00064460,2015-02-20,TMIN,202
CFM00064460,2015-04-06,TMAX,340
CFM00064460,2015-07-05,TMIN,205
CFM00064460,2015-03-08,TMIN,202
CFM00064460,2015-09-06,TMIN,207
CFM00064460,2015-10-12,TMAX,307
CFM00064460,2014-06-17,TMIN,205
CFM00064460,2015-10-12,TMIN,204
CFM00064460,2012-05-06,TMIN,195
CFM00064460,2015-02-19,TMIN,195
CFM00064460,2015-06-23,TMIN,200
CFM00064460,2015-04-21,TMAX,338
CFM00064460,2014-08-06,TMAX,268
CFM00064460,2014-06-17,TMAX,305
CFM00064460,2014-10-01,TMIN,190
CFM00064460,2015-04-26,TMAX,304
CFM00064460,2015-02-20,TMAX,285
CFM00064460,2014-10-01,TMAX,315
CFM00064460,2015-04-21,TMIN,200
CFM00064460,2012-04-08,TMIN,189
CFM00064460,2015-07-06,TMIN,200
CFM00064460,2009-09-20,TMAX,272
CFM00064460,2014-08-27,TMAX,275
CFM00064460,2014-11-21,TMAX,324
CFM00064460,2014-08-05,TMAX,285
CFM00064460,2014-11-21,TMIN,194
CFM00064460,2015-06-22,TMIN,210
CFM00064460,2015-02-03,TMIN,195
CFM00064460,2014-09-15,TMIN,199
CFM00064460,2015-09-26,TMAX,292
CFM00064460,2015-09-26,TMIN,187
CFM00064460,2014-12-13,TMAX,324
CFM00064460,2015-11-14,TMIN,214
CFM00064460,2014-12-13,TMIN,195
CFM00064460,2015-12-17,TMAX,308
CFM00064460,2015-02-15,TMIN,185
CFM00064460,2015-02-15,TMAX,348
CFM00064460,2014-12-02,TMAX,310
CFM00064460,2008-12-05,TMIN,202
CFM00064460,2008-12-05,TMAX,274
CFM00064460,2011-09-13,TMIN,200
CFM00064460,2014-07-09,TMIN,193
CFM00064460,2015-07-28,TMAX,301
CFM00064460,2015-11-21,TMIN,195
CFM00064460,2015-12-17,TMIN,153
CFM00064460,2014-08-05,TMIN,185
CFM00064460,2015-01-03,TMIN,200
CFM00064460,2015-07-28,TMIN,213
CFM00064460,2014-08-13,TMAX,284
CFM00064460,2015-01-25,TMIN,193
CFM00064460,2014-07-25,TMIN,183
CFM00064460,2012-06-14,TMIN,195
CFM00064460,2012-06-14,TMAX,293
CFM00064460,2014-08-13,TMIN,190
CFM00064460,2014-12-19,TMAX,320
CFM00064460,2014-12-19,TMIN,204
CFM00064460,2014-09-08,TMAX,233
CFM00064460,2014-09-15,TMAX,300
CFM00064460,2015-07-29,TMIN,205
CFM00064460,2015-02-06,TMAX,325
CFM00064460,2015-10-13,TMAX,340
CFM00064460,2015-10-13,TMIN,200
CFM00064460,2015-07-21,TMIN,214
CFM00064460,2009-08-22,TMIN,220
CFM00064460,2009-08-22,TMAX,310
CFM00064460,2014-12-27,TMAX,300
CFM00064460,2014-12-27,TMIN,180
CFM00064460,2015-06-13,TMIN,203
CFM00064460,2015-07-29,TMAX,254
CFM00064460,2012-06-20,TMIN,215
CFM00064460,2015-01-03,TMAX,295
CFM00064460,2014-12-16,TMAX,302
CFM00064460,2014-12-16,TMIN,210
CFM00064460,2012-04-02,TMAX,356
CFM00064460,2015-03-05,TMIN,220
CFM00064460,2009-11-13,TMIN,170
CFM00064460,2014-10-14,TMIN,200
CFM00064460,2014-10-14,TMAX,320
CFM00064460,2012-05-07,TMIN,204
CFM00064460,2014-08-04,TMAX,254
CFM00064460,2014-10-31,TMIN,214
CFM00064460,2014-08-07,TMAX,257
CFM00064460,2014-09-14,TMIN,190
CFM00064460,2015-08-26,TMAX,293
CFM00064460,2015-08-26,TMIN,190
CFM00064460,2015-09-01,TMAX,310
CFM00064460,2015-09-01,TMIN,202
CFM00064460,2015-02-16,TMAX,361
CFM00064460,2015-02-16,TMIN,188
CFM00064460,2014-10-15,TMAX,326
CFM00064460,2014-10-15,TMIN,195
CFM00064460,2014-06-22,TMAX,279
CFM00064460,2015-05-31,TMIN,200
CFM00064460,2014-09-26,TMIN,194
CFM00064460,2014-09-26,TMAX,306
CFM00064460,2015-03-11,TMIN,191
CFM00064460,2015-03-11,TMAX,300
CFM00064460,2009-12-19,TMAX,310
CFM00064460,2009-11-13,TMAX,325
CFM00064460,2015-01-25,TMAX,288
CFM00064460,2015-01-05,TMAX,305
CFM00064460,2015-01-05,TMIN,164
CFM00064460,2015-11-21,TMAX,284
CFM00064460,2014-06-20,TMIN,204
CFM00064460,2012-04-02,TMIN,209
CFM00064460,2014-07-29,TMAX,275
CFM00064460,2014-07-29,TMIN,213
CFM00064460,2015-03-05,TMAX,315
CFM00064460,2011-09-04,TMIN,160
CFM00064460,2014-12-03,TMIN,194
CFM00064460,2011-09-04,TMAX,291
CFM00064460,2015-12-15,TMIN,165
CFM00064460,2015-12-15,TMAX,312
CFM00064460,2015-11-29,TMIN,200
CFM00064460,2015-11-29,TMAX,280
CFM00064460,2014-07-17,TMAX,253
CFM00064460,2014-07-17,TMIN,213
CFM00064460,2015-03-19,TMIN,194
CFM00064460,2014-11-10,TMIN,190
CFM00064460,2015-12-08,TMIN,177
CFM00064460,2014-11-30,TMIN,190
CFM00064460,2015-03-19,TMAX,298
CFM00064460,2014-11-30,TMAX,319
CFM00064460,2009-11-22,TMIN,180
CFM00064460,2009-11-22,TMAX,315
CFM00064460,2014-08-04,TMIN,211
CFM00064460,2009-12-19,TMIN,200
CFM00064460,2014-06-01,TMAX,310
CFM00064460,2015-10-31,TMAX,307
CFM00064460,2015-11-11,TMAX,316
CFM00064460,2014-10-27,TMAX,265
CFM00064460,2015-11-11,TMIN,170
CFM00064460,2014-12-05,TMAX,290
CFM00064460,2015-12-22,TMAX,320
CFM00064460,2014-12-05,TMIN,200
CFM00064460,2014-12-12,TMAX,315
CFM00064460,2015-12-13,TMIN,175
CFM00064460,2015-12-13,TMAX,310
CFM00064460,2014-10-29,TMIN,184
CFM00064460,2014-10-27,TMIN,190
CFM00064460,2015-08-04,TMIN,211
CFM00064460,2014-12-12,TMIN,200
CFM00064460,2014-10-28,TMAX,305
CFM00064460,2015-08-04,TMAX,305
CFM00064460,2014-10-28,TMIN,204
CFM00064460,2015-02-05,TMIN,179
CFM00064460,2015-02-05,TMAX,305
CFM00064460,2014-07-30,TMAX,255
CFM00064460,2014-07-14,TMAX,305
CFM00064460,2014-07-14,TMIN,200
CFM00064460,2015-02-09,TMAX,278
CFM00064460,2014-07-30,TMIN,195
CFM00064460,2015-07-03,TMIN,213
CFM00064460,2015-10-25,TMIN,214
CFM00064460,2014-12-30,TMAX,290
CFM00064460,2014-06-08,TMIN,206
CFM00064460,2014-11-08,TMIN,188
CFM00064460,2014-06-08,TMAX,302
CFM00064460,2014-11-08,TMAX,326
CFM00064460,2015-04-30,TMAX,295
CFM00064460,2015-04-30,TMIN,197
CFM00064460,2015-10-23,TMIN,205
CFM00064460,2014-08-11,TMIN,190
CFM00064460,2014-08-11,TMAX,274
CFM00064460,2015-02-14,TMIN,205
CFM00064460,2015-02-14,TMAX,315
CFM00064460,2014-12-30,TMIN,201
CFM00064460,2014-06-07,TMAX,260
CFM00064460,2015-12-18,TMAX,300
CFM00064460,2015-12-18,TMIN,157
CFM00064460,2015-10-28,TMIN,205
CFM00064460,2015-11-27,TMIN,184
CFM00064460,2015-11-27,TMAX,330
CFM00064460,2015-10-28,TMAX,320
CFM00064460,2015-01-19,TMIN,168
CFM00064460,2014-09-13,TMAX,310
CFM00064460,2015-10-23,TMAX,322
CFM00064460,2015-10-25,TMAX,330
CFM00064460,2015-12-11,TMIN,161
CFM00064460,2015-07-25,TMAX,280
CFM00064460,2015-12-11,TMAX,320
CFM00064460,2015-08-27,TMIN,196
CFM00064460,2014-07-28,TMAX,313
CFM00064460,2015-10-10,TMAX,286
CFM00064460,2015-08-05,TMAX,270
CFM00064460,2014-07-08,TMIN,173
CFM00064460,2014-07-08,TMAX,286
CFM00064460,2014-07-28,TMIN,179
CFM00064460,2015-01-22,TMAX,306
CFM00064460,2015-01-22,TMIN,186
CFM00064460,2014-07-02,TMIN,189
CFM00064460,2014-07-02,TMAX,316
CFM00064460,2015-10-10,TMIN,180
CFM00064460,2015-05-08,TMAX,325
CFM00064460,2015-05-08,TMIN,205
CFM00064460,2009-11-07,TMIN,195
CFM00064460,2014-05-28,TMIN,202
CFM00064460,2015-09-02,TMAX,307
CFM00064460,2015-09-02,TMIN,199
CFM00064460,2015-07-21,TMAX,286
CFM00064460,2015-07-22,TMAX,270
CFM00064460,2015-07-22,TMIN,210
CFM00064460,2015-11-05,TMAX,283
CFM00064460,2015-11-05,TMIN,210
CFM00064460,2015-10-31,TMIN,210
CFM00064460,2014-08-08,TMIN,200
CFM00064460,2014-06-01,TMIN,195
CFM00064460,2014-08-08,TMAX,286
CFM00064460,2014-10-13,TMAX,282
CFM00064460,2015-08-27,TMAX,312
CFM00064460,2015-07-13,TMIN,196
CFM00064460,2009-12-14,TMAX,285
CFM00064460,2009-12-14,TMIN,195
CFM00064460,2015-07-25,TMIN,190
CFM00064460,2015-04-04,TMIN,195
CFM00064460,2009-08-16,TMAX,303
CFM00064460,2015-06-19,TMIN,205
CFM00064460,2015-12-21,TMAX,322
CFM00064460,2015-02-04,TMAX,388
CFM00064460,2014-12-07,TMAX,290
CFM00064460,2015-12-21,TMIN,156
CFM00064460,2015-02-04,TMIN,173
CFM00064460,2014-12-21,TMIN,200
CFM00064460,2014-12-21,TMAX,300
CFM00064460,2015-04-20,TMAX,324
CFM00064460,2014-12-07,TMIN,209
CFM00064460,2015-06-20,TMIN,204
CFM00064460,2014-12-11,TMAX,245
CFM00064460,2015-11-15,TMIN,200
CFM00064460,2015-11-15,TMAX,287
