ID,Date,Element,Data_Value
RSM00034662,2012-08-07,TMIN,238
RSM00034662,2014-02-25,TMIN,-101
RSM00034662,2013-04-01,TMIN,35
RSM00034662,2013-05-28,TMIN,153
RSM00034662,2013-04-15,TMIN,5
RSM00034662,2013-04-18,TMAX,181
RSM00034662,2014-05-29,TMIN,171
RSM00034662,2015-06-20,TMIN,226
RSM00034662,2013-10-15,TMIN,30
RSM00034662,2015-05-04,TMIN,106
RSM00034662,2013-04-18,TMIN,6
RSM00034662,2013-04-01,TMAX,162
RSM00034662,2015-01-09,TMIN,-216
RSM00034662,2014-02-02,TMIN,-275
RSM00034662,2013-03-04,TMIN,-10
RSM00034662,2015-07-24,TMAX,331
RSM00034662,2012-09-28,TMIN,100
RSM00034662,2015-02-12,TMAX,4
RSM00034662,2015-08-01,TMIN,220
RSM00034662,2015-01-06,TMAX,-11
RSM00034662,2015-08-03,TMIN,187
RSM00034662,2013-02-14,TMAX,28
RSM00034662,2015-08-03,TMAX,332
RSM00034662,2012-12-08,TMIN,21
RSM00034662,2015-03-28,TMIN,-27
RSM00034662,2013-03-06,TMAX,-22
RSM00034662,2013-11-04,TMIN,45
RSM00034662,2015-08-07,TMIN,159
RSM00034662,2015-04-10,TMIN,36
RSM00034662,2015-06-13,TMAX,305
RSM00034662,2015-05-25,TMIN,113
RSM00034662,2014-05-20,TMIN,120
RSM00034662,2015-06-13,TMIN,170
RSM00034662,2015-07-03,TMIN,201
RSM00034662,2014-06-18,TMIN,151
RSM00034662,2014-05-30,TMIN,173
RSM00034662,2013-04-29,TMAX,295
RSM00034662,2015-04-14,TMIN,19
RSM00034662,2015-05-04,TMAX,247
RSM00034662,2013-01-27,TMIN,-85
RSM00034662,2014-10-14,TMIN,34
RSM00034662,2015-01-24,TMIN,-179
RSM00034662,2013-10-01,TMIN,23
RSM00034662,2014-07-30,TMIN,184
RSM00034662,2013-05-20,TMIN,77
RSM00034662,2012-08-25,TMIN,130
RSM00034662,2015-03-03,TMIN,-36
RSM00034662,2014-03-25,TMIN,-8
RSM00034662,2013-03-05,TMAX,9
RSM00034662,2015-04-14,TMAX,220
RSM00034662,2015-06-09,TMAX,320
RSM00034662,2015-06-09,TMIN,119
RSM00034662,2012-08-25,TMAX,313
RSM00034662,2013-09-07,TMIN,117
RSM00034662,2013-07-25,TMIN,156
RSM00034662,2013-03-06,TMIN,-93
RSM00034662,2013-01-09,TMIN,-96
RSM00034662,2012-08-07,TMAX,351
RSM00034662,2014-10-28,TMIN,-90
RSM00034662,2013-05-26,TMIN,140
RSM00034662,2014-10-11,TMIN,-16
RSM00034662,2014-08-03,TMIN,196
RSM00034662,2014-08-02,TMIN,158
RSM00034662,2014-10-15,TMIN,22
RSM00034662,2013-04-02,TMIN,31
RSM00034662,2013-09-01,TMIN,178
RSM00034662,2013-11-20,TMIN,-56
RSM00034662,2015-07-03,TMAX,306
RSM00034662,2014-07-20,TMIN,151
RSM00034662,2012-09-15,TMIN,88
RSM00034662,2015-07-13,TMAX,292
RSM00034662,2015-06-08,TMIN,118
RSM00034662,2015-04-07,TMIN,-4
RSM00034662,2012-09-15,TMAX,305
RSM00034662,2013-04-05,TMAX,218
RSM00034662,2013-04-05,TMIN,46
RSM00034662,2013-02-09,TMIN,-15
RSM00034662,2015-03-22,TMIN,11
RSM00034662,2015-06-25,TMIN,214
RSM00034662,2015-05-29,TMIN,169
RSM00034662,2013-03-19,TMIN,-30
RSM00034662,2014-01-16,TMIN,-88
RSM00034662,2015-03-22,TMAX,151
RSM00034662,2013-03-19,TMAX,51
RSM00034662,2013-01-06,TMIN,-6
RSM00034662,2014-09-05,TMIN,129
RSM00034662,2012-08-31,TMAX,208
RSM00034662,2015-08-01,TMAX,423
RSM00034662,2013-06-05,TMIN,136
RSM00034662,2015-03-18,TMIN,-26
RSM00034662,2015-03-18,TMAX,78
RSM00034662,2015-05-01,TMAX,195
RSM00034662,2013-07-23,TMIN,147
RSM00034662,2013-02-15,TMAX,40
RSM00034662,2013-01-08,TMAX,-27
RSM00034662,2014-01-22,TMIN,-133
RSM00034662,2013-07-08,TMIN,195
RSM00034662,2013-04-15,TMAX,129
RSM00034662,2015-07-13,TMIN,151
RSM00034662,2014-02-27,TMIN,-63
RSM00034662,2015-01-16,TMIN,-19
RSM00034662,2013-02-15,TMIN,-38
RSM00034662,2014-02-16,TMIN,-1
RSM00034662,2013-08-08,TMIN,156
RSM00034662,2015-05-14,TMIN,88
RSM00034662,2014-06-11,TMIN,141
RSM00034662,2015-02-05,TMIN,-17
RSM00034662,2014-10-24,TMIN,-46
RSM00034662,2014-08-04,TMIN,219
RSM00034662,2015-08-07,TMAX,293
RSM00034662,2014-01-03,TMIN,-33
RSM00034662,2012-09-25,TMAX,256
RSM00034662,2015-02-26,TMIN,-12
RSM00034662,2015-06-02,TMIN,162
RSM00034662,2013-11-23,TMIN,-55
RSM00034662,2013-05-16,TMIN,173
RSM00034662,2015-02-13,TMIN,-83
RSM00034662,2012-09-17,TMAX,243
RSM00034662,2014-08-31,TMIN,126
RSM00034662,2015-05-14,TMAX,228
RSM00034662,2013-10-05,TMIN,25
RSM00034662,2014-04-06,TMIN,-9
RSM00034662,2012-08-17,TMAX,291
RSM00034662,2013-07-03,TMIN,163
RSM00034662,2015-02-02,TMIN,4
RSM00034662,2013-07-10,TMIN,172
RSM00034662,2012-12-16,TMIN,-191
RSM00034662,2013-02-10,TMIN,1
RSM00034662,2014-03-14,TMIN,5
RSM00034662,2013-02-16,TMAX,9
RSM00034662,2013-02-02,TMIN,-9
RSM00034662,2015-07-01,TMAX,307
RSM00034662,2012-11-21,TMAX,56
RSM00034662,2013-05-12,TMIN,75
RSM00034662,2013-01-21,TMAX,36
RSM00034662,2012-12-13,TMAX,-45
RSM00034662,2013-01-21,TMIN,2
RSM00034662,2015-05-15,TMIN,77
RSM00034662,2014-05-31,TMIN,128
RSM00034662,2015-05-15,TMAX,266
RSM00034662,2015-07-02,TMAX,320
RSM00034662,2013-05-03,TMIN,134
RSM00034662,2015-03-17,TMIN,-16
RSM00034662,2013-03-17,TMAX,90
RSM00034662,2013-02-10,TMAX,14
RSM00034662,2012-09-03,TMIN,71
RSM00034662,2012-09-13,TMIN,56
RSM00034662,2015-04-11,TMIN,24
RSM00034662,2014-12-28,TMIN,-47
RSM00034662,2013-08-30,TMIN,105
RSM00034662,2012-08-20,TMAX,289
RSM00034662,2013-08-22,TMIN,173
RSM00034662,2013-05-29,TMIN,145
RSM00034662,2013-04-27,TMAX,220
RSM00034662,2015-02-21,TMIN,-144
RSM00034662,2013-11-07,TMIN,54
RSM00034662,2013-01-19,TMIN,2
RSM00034662,2013-04-27,TMIN,43
RSM00034662,2014-07-10,TMIN,167
RSM00034662,2015-07-01,TMIN,190
RSM00034662,2014-02-08,TMIN,-159
RSM00034662,2015-05-29,TMAX,339
RSM00034662,2012-09-13,TMAX,269
RSM00034662,2012-11-19,TMAX,65
RSM00034662,2013-01-19,TMAX,37
RSM00034662,2015-02-04,TMIN,10
RSM00034662,2012-09-03,TMAX,261
RSM00034662,2012-11-30,TMAX,163
RSM00034662,2014-12-11,TMIN,-109
RSM00034662,2013-07-31,TMIN,166
RSM00034662,2012-08-22,TMAX,216
RSM00034662,2015-01-11,TMIN,-43
RSM00034662,2014-02-22,TMIN,-32
RSM00034662,2015-04-12,TMAX,217
RSM00034662,2012-12-30,TMIN,-110
RSM00034662,2015-08-08,TMAX,319
RSM00034662,2015-01-27,TMIN,-97
RSM00034662,2014-08-24,TMIN,187
RSM00034662,2013-03-04,TMAX,60
RSM00034662,2013-06-15,TMIN,189
RSM00034662,2015-08-08,TMIN,167
RSM00034662,2012-10-04,TMIN,54
RSM00034662,2015-03-11,TMIN,-10
RSM00034662,2012-09-27,TMAX,270
RSM00034662,2015-02-18,TMIN,-143
RSM00034662,2015-04-08,TMIN,41
RSM00034662,2015-06-26,TMIN,228
RSM00034662,2012-08-22,TMIN,99
RSM00034662,2014-11-21,TMIN,-113
RSM00034662,2012-08-30,TMAX,225
RSM00034662,2015-07-02,TMIN,186
RSM00034662,2014-04-09,TMIN,53
RSM00034662,2013-05-10,TMIN,66
RSM00034662,2013-10-16,TMIN,48
RSM00034662,2015-02-11,TMIN,-50
RSM00034662,2015-08-13,TMIN,170
RSM00034662,2013-02-16,TMIN,-5
RSM00034662,2012-12-13,TMIN,-122
RSM00034662,2012-11-26,TMIN,-39
RSM00034662,2015-08-11,TMIN,190
RSM00034662,2014-11-11,TMIN,-16
RSM00034662,2014-03-23,TMIN,-25
RSM00034662,2012-08-30,TMIN,159
RSM00034662,2013-03-08,TMAX,108
RSM00034662,2013-07-18,TMIN,186
RSM00034662,2015-04-07,TMAX,173
RSM00034662,2015-02-01,TMIN,-35
RSM00034662,2013-11-03,TMIN,-20
RSM00034662,2015-08-11,TMAX,380
RSM00034662,2013-05-14,TMIN,154
RSM00034662,2015-03-20,TMAX,103
RSM00034662,2015-03-20,TMIN,-45
RSM00034662,2015-03-30,TMAX,74
RSM00034662,2013-01-13,TMIN,-40
RSM00034662,2013-01-11,TMIN,-192
RSM00034662,2012-12-08,TMAX,39
RSM00034662,2013-08-04,TMIN,150
RSM00034662,2015-05-25,TMAX,315
RSM00034662,2013-12-07,TMIN,-41
RSM00034662,2015-06-25,TMAX,403
RSM00034662,2014-08-10,TMIN,216
