ID,Date,Element,Data_Value
ARM00087395,2015-12-15,TMIN,190
ARM00087395,2014-09-02,TMAX,256
ARM00087395,2005-10-08,TMIN,122
ARM00087395,2012-11-04,TMAX,306
ARM00087395,2015-06-29,TMIN,144
ARM00087395,2011-04-01,TMIN,179
ARM00087395,2015-10-17,TMIN,93
ARM00087395,2005-09-04,TMAX,176
ARM00087395,2012-05-17,TMIN,110
ARM00087395,2013-05-28,TMIN,132
ARM00087395,2015-06-29,TMAX,250
ARM00087395,2015-10-17,TMAX,212
ARM00087395,2015-07-17,TMIN,52
ARM00087395,2010-06-16,TMIN,122
ARM00087395,2013-09-04,TMIN,40
ARM00087395,2015-04-18,TMIN,89
ARM00087395,2013-09-04,TMAX,185
ARM00087395,2010-04-08,TMIN,116
ARM00087395,2013-10-25,TMIN,95
ARM00087395,2013-10-26,TMAX,224
ARM00087395,2015-07-28,TMIN,136
ARM00087395,2014-09-02,TMIN,138
ARM00087395,2013-05-03,TMIN,172
ARM00087395,2010-10-24,TMAX,248
ARM00087395,2010-10-24,TMIN,112
ARM00087395,2014-10-07,TMAX,258
ARM00087395,2013-10-26,TMIN,113
ARM00087395,2013-10-25,TMAX,236
ARM00087395,2008-11-20,TMAX,292
ARM00087395,2007-11-07,TMIN,165
ARM00087395,2012-11-04,TMIN,155
ARM00087395,2009-06-11,TMIN,25
ARM00087395,2014-03-13,TMIN,155
ARM00087395,2010-01-08,TMIN,165
ARM00087395,2006-11-26,TMAX,305
ARM00087395,2011-03-08,TMIN,208
ARM00087395,2010-03-31,TMAX,302
ARM00087395,2012-05-18,TMIN,118
ARM00087395,2010-05-24,TMAX,232
ARM00087395,2012-05-18,TMAX,250
ARM00087395,2010-03-31,TMIN,169
ARM00087395,2013-03-21,TMIN,175
ARM00087395,2011-11-23,TMIN,151
ARM00087395,2010-05-24,TMIN,147
ARM00087395,2012-06-26,TMIN,60
ARM00087395,2015-01-15,TMIN,206
ARM00087395,2014-09-01,TMIN,84
ARM00087395,2014-03-13,TMAX,297
ARM00087395,2008-09-23,TMIN,102
ARM00087395,2015-01-15,TMAX,292
ARM00087395,2009-09-21,TMIN,60
ARM00087395,2008-09-23,TMAX,232
ARM00087395,2009-12-19,TMIN,240
ARM00087395,2014-03-10,TMAX,284
ARM00087395,2009-02-24,TMIN,165
ARM00087395,2006-01-04,TMIN,189
ARM00087395,2012-02-19,TMIN,270
ARM00087395,2006-01-04,TMAX,348
ARM00087395,2007-07-25,TMIN,-16
ARM00087395,2010-12-28,TMIN,196
ARM00087395,2010-12-28,TMAX,360
ARM00087395,2013-01-30,TMIN,208
ARM00087395,2012-05-21,TMIN,162
ARM00087395,2010-02-02,TMIN,230
ARM00087395,2012-02-19,TMAX,379
ARM00087395,2007-01-13,TMAX,324
ARM00087395,2012-12-23,TMIN,179
ARM00087395,2012-01-09,TMIN,203
ARM00087395,2011-02-27,TMIN,164
ARM00087395,2007-01-13,TMIN,195
ARM00087395,2007-07-25,TMAX,144
ARM00087395,2014-03-10,TMIN,152
ARM00087395,2014-11-10,TMIN,202
ARM00087395,2005-09-28,TMIN,99
ARM00087395,2007-07-03,TMIN,27
ARM00087395,2010-04-29,TMIN,45
ARM00087395,2010-06-16,TMAX,199
ARM00087395,2008-03-25,TMIN,156
ARM00087395,2012-12-24,TMIN,241
ARM00087395,2008-11-08,TMAX,314
ARM00087395,2005-11-09,TMIN,117
ARM00087395,2008-05-21,TMIN,216
ARM00087395,2014-01-18,TMIN,230
ARM00087395,2008-05-07,TMAX,234
ARM00087395,2014-04-29,TMIN,150
ARM00087395,2014-06-09,TMIN,24
ARM00087395,2007-12-02,TMAX,330
ARM00087395,2014-03-09,TMIN,155
ARM00087395,2005-03-07,TMIN,191
ARM00087395,2008-05-21,TMAX,319
ARM00087395,2010-02-27,TMIN,169
ARM00087395,2008-04-05,TMIN,94
ARM00087395,2009-03-26,TMIN,180
ARM00087395,2014-06-09,TMAX,198
ARM00087395,2014-03-09,TMAX,284
ARM00087395,2012-01-27,TMIN,184
ARM00087395,2015-06-04,TMIN,152
ARM00087395,2010-08-04,TMAX,110
ARM00087395,2008-11-20,TMIN,150
ARM00087395,2010-08-04,TMIN,2
ARM00087395,2008-12-06,TMIN,148
ARM00087395,2013-05-03,TMAX,202
ARM00087395,2006-04-16,TMIN,83
ARM00087395,2013-07-21,TMAX,99
ARM00087395,2011-02-25,TMIN,186
ARM00087395,2011-12-15,TMAX,277
ARM00087395,2014-04-28,TMAX,244
ARM00087395,2008-05-07,TMIN,69
ARM00087395,2009-05-21,TMIN,193
ARM00087395,2009-04-15,TMIN,96
ARM00087395,2014-04-28,TMIN,147
ARM00087395,2014-12-06,TMIN,187
ARM00087395,2008-09-30,TMIN,162
ARM00087395,2011-12-15,TMIN,150
ARM00087395,2011-01-25,TMAX,368
ARM00087395,2013-01-24,TMAX,343
ARM00087395,2012-03-15,TMIN,121
ARM00087395,2013-07-21,TMIN,3
ARM00087395,2011-01-25,TMIN,244
ARM00087395,2009-04-16,TMIN,118
ARM00087395,2014-04-29,TMAX,222
ARM00087395,2006-04-16,TMAX,213
ARM00087395,2005-02-18,TMIN,186
ARM00087395,2007-12-02,TMIN,191
ARM00087395,2012-03-15,TMAX,270
ARM00087395,2008-11-08,TMIN,184
ARM00087395,2006-11-09,TMIN,110
ARM00087395,2013-01-09,TMIN,225
ARM00087395,2011-07-16,TMAX,284
ARM00087395,2014-10-09,TMIN,213
ARM00087395,2008-12-23,TMIN,212
ARM00087395,2014-05-29,TMIN,78
ARM00087395,2015-02-28,TMIN,165
ARM00087395,2013-04-13,TMIN,60
ARM00087395,2013-04-13,TMAX,220
ARM00087395,2006-07-18,TMIN,147
ARM00087395,2006-02-27,TMIN,173
ARM00087395,2012-02-26,TMIN,181
ARM00087395,2014-05-14,TMIN,125
ARM00087395,2015-09-24,TMAX,213
ARM00087395,2012-02-26,TMAX,315
ARM00087395,2009-07-01,TMAX,192
ARM00087395,2009-07-01,TMIN,39
ARM00087395,2012-10-26,TMIN,146
ARM00087395,2008-09-03,TMAX,233
ARM00087395,2009-11-13,TMIN,222
ARM00087395,2008-12-23,TMAX,296
ARM00087395,2012-03-06,TMAX,348
ARM00087395,2012-03-06,TMIN,200
ARM00087395,2011-09-08,TMIN,70
ARM00087395,2006-09-22,TMIN,119
ARM00087395,2011-10-21,TMIN,145
ARM00087395,2011-10-21,TMAX,277
ARM00087395,2006-03-18,TMAX,291
ARM00087395,2015-07-07,TMAX,172
ARM00087395,2008-04-02,TMIN,133
ARM00087395,2014-11-23,TMIN,119
ARM00087395,2006-03-18,TMIN,172
ARM00087395,2009-11-13,TMAX,296
ARM00087395,2015-02-28,TMAX,314
ARM00087395,2011-01-13,TMIN,190
ARM00087395,2012-03-28,TMIN,56
ARM00087395,2007-12-04,TMAX,332
ARM00087395,2010-09-04,TMIN,60
ARM00087395,2011-09-08,TMAX,226
ARM00087395,2008-04-02,TMAX,278
ARM00087395,2006-03-19,TMIN,164
ARM00087395,2007-09-24,TMIN,56
ARM00087395,2007-12-04,TMIN,190
ARM00087395,2012-10-18,TMIN,100
ARM00087395,2013-07-06,TMAX,228
ARM00087395,2015-09-24,TMIN,153
ARM00087395,2013-02-16,TMIN,179
ARM00087395,2006-07-25,TMIN,90
ARM00087395,2009-10-24,TMAX,258
ARM00087395,2011-04-23,TMIN,150
ARM00087395,2010-08-13,TMIN,72
ARM00087395,2011-10-06,TMIN,118
ARM00087395,2011-04-23,TMAX,278
ARM00087395,2009-10-24,TMIN,125
ARM00087395,2014-01-21,TMIN,264
ARM00087395,2013-06-17,TMAX,185
ARM00087395,2010-11-12,TMIN,110
ARM00087395,2014-12-10,TMIN,180
ARM00087395,2015-06-03,TMIN,122
ARM00087395,2014-12-10,TMAX,330
ARM00087395,2007-04-24,TMIN,181
ARM00087395,2015-06-03,TMAX,229
ARM00087395,2013-07-20,TMIN,30
ARM00087395,2013-07-20,TMAX,108
ARM00087395,2013-06-17,TMIN,98
ARM00087395,2010-12-20,TMIN,190
ARM00087395,2015-03-20,TMIN,205
ARM00087395,2014-03-11,TMIN,102
ARM00087395,2007-10-29,TMIN,180
ARM00087395,2011-10-31,TMIN,90
ARM00087395,2011-10-31,TMAX,234
ARM00087395,2007-10-29,TMAX,231
ARM00087395,2009-08-22,TMIN,55
ARM00087395,2007-05-17,TMIN,33
ARM00087395,2008-09-03,TMIN,114
ARM00087395,2011-05-12,TMIN,134
ARM00087395,2015-03-20,TMAX,322
ARM00087395,2012-02-14,TMIN,175
ARM00087395,2015-02-19,TMAX,320
ARM00087395,2015-02-19,TMIN,195
ARM00087395,2008-01-31,TMAX,297
ARM00087395,2009-10-04,TMIN,106
ARM00087395,2012-08-07,TMIN,104
ARM00087395,2007-05-17,TMAX,187
ARM00087395,2005-04-02,TMAX,220
ARM00087395,2006-07-25,TMAX,204
ARM00087395,2008-01-31,TMIN,200
ARM00087395,2015-07-07,TMIN,100
ARM00087395,2007-08-12,TMIN,19
ARM00087395,2015-04-07,TMIN,110
ARM00087395,2006-11-08,TMAX,214
ARM00087395,2012-10-03,TMAX,210
ARM00087395,2015-03-08,TMAX,314
ARM00087395,2012-09-05,TMAX,266
ARM00087395,2006-01-03,TMIN,187
ARM00087395,2013-03-29,TMIN,145
ARM00087395,2013-03-29,TMAX,277
ARM00087395,2015-03-08,TMIN,175
ARM00087395,2012-06-28,TMIN,164
ARM00087395,2012-11-25,TMIN,140
ARM00087395,2006-11-08,TMIN,96
ARM00087395,2011-02-16,TMIN,165
ARM00087395,2011-02-07,TMAX,345
ARM00087395,2009-08-17,TMIN,52
ARM00087395,2012-11-25,TMAX,269
ARM00087395,2009-01-28,TMIN,189
ARM00087395,2006-01-03,TMAX,358
ARM00087395,2012-06-27,TMIN,98
ARM00087395,2012-10-03,TMIN,159
ARM00087395,2012-12-07,TMAX,375
ARM00087395,2010-09-24,TMIN,105
ARM00087395,2012-08-08,TMIN,88
ARM00087395,2007-07-07,TMIN,103
ARM00087395,2006-04-30,TMAX,229
ARM00087395,2006-04-30,TMIN,116
ARM00087395,2006-06-10,TMAX,189
ARM00087395,2013-09-22,TMAX,232
ARM00087395,2006-08-27,TMIN,112
ARM00087395,2012-08-08,TMAX,291
ARM00087395,2013-09-22,TMIN,104
ARM00087395,2007-06-17,TMIN,16
ARM00087395,2007-07-07,TMAX,194
ARM00087395,2015-11-13,TMAX,260
ARM00087395,2006-10-23,TMIN,161
ARM00087395,2015-04-13,TMIN,167
ARM00087395,2006-10-23,TMAX,313
ARM00087395,2012-09-05,TMIN,152
ARM00087395,2013-01-09,TMAX,332
ARM00087395,2006-08-27,TMAX,195
ARM00087395,2006-12-19,TMIN,195
ARM00087395,2015-11-13,TMIN,188
ARM00087395,2008-07-04,TMIN,136
ARM00087395,2015-11-22,TMIN,144
ARM00087395,2011-11-29,TMIN,213
ARM00087395,2007-04-18,TMIN,211
ARM00087395,2011-06-06,TMAX,149
ARM00087395,2005-03-02,TMIN,126
ARM00087395,2013-01-27,TMIN,157
ARM00087395,2005-03-15,TMAX,272
ARM00087395,2015-06-15,TMIN,0
ARM00087395,2015-06-26,TMAX,235
ARM00087395,2012-11-24,TMAX,262
ARM00087395,2011-06-06,TMIN,39
ARM00087395,2015-06-15,TMAX,183
ARM00087395,2006-12-20,TMIN,185
ARM00087395,2007-05-25,TMIN,13
ARM00087395,2015-03-02,TMAX,316
ARM00087395,2006-12-20,TMAX,284
ARM00087395,2011-09-22,TMIN,90
ARM00087395,2011-05-03,TMIN,57
ARM00087395,2007-09-24,TMAX,185
ARM00087395,2010-10-20,TMIN,125
ARM00087395,2006-04-22,TMIN,60
ARM00087395,2009-10-31,TMAX,369
ARM00087395,2008-08-09,TMIN,36
ARM00087395,2014-10-18,TMIN,190
ARM00087395,2009-10-14,TMAX,259
ARM00087395,2015-02-05,TMIN,222
ARM00087395,2008-02-04,TMIN,137
ARM00087395,2009-10-14,TMIN,148
ARM00087395,2011-02-07,TMIN,215
ARM00087395,2012-02-24,TMIN,151
ARM00087395,2008-12-24,TMIN,207
ARM00087395,2006-05-04,TMIN,45
ARM00087395,2009-07-13,TMIN,67
ARM00087395,2012-02-24,TMAX,290
ARM00087395,2007-02-05,TMAX,295
ARM00087395,2009-01-28,TMAX,335
ARM00087395,2007-02-05,TMIN,206
ARM00087395,2010-02-26,TMIN,139
ARM00087395,2009-08-08,TMAX,180
ARM00087395,2009-08-08,TMIN,90
ARM00087395,2014-10-18,TMAX,278
ARM00087395,2010-08-22,TMIN,100
ARM00087395,2013-08-25,TMIN,58
ARM00087395,2009-08-12,TMIN,75
ARM00087395,2010-08-13,TMAX,139
ARM00087395,2006-05-11,TMIN,58
ARM00087395,2007-07-19,TMIN,36
ARM00087395,2015-05-27,TMIN,139
ARM00087395,2011-05-23,TMIN,142
ARM00087395,2010-07-15,TMAX,131
ARM00087395,2006-05-19,TMIN,91
ARM00087395,2008-06-05,TMIN,94
ARM00087395,2010-07-15,TMIN,-10
ARM00087395,2005-09-30,TMAX,222
ARM00087395,2007-08-18,TMIN,40
ARM00087395,2014-08-20,TMIN,140
ARM00087395,2010-12-01,TMIN,139
ARM00087395,2011-06-25,TMAX,149
ARM00087395,2013-12-01,TMIN,171
ARM00087395,2013-12-01,TMAX,307
ARM00087395,2006-05-19,TMAX,188
ARM00087395,2011-11-01,TMIN,112
ARM00087395,2014-01-19,TMAX,384
ARM00087395,2014-01-19,TMIN,266
ARM00087395,2007-10-14,TMIN,100
ARM00087395,2011-06-25,TMIN,42
ARM00087395,2007-06-13,TMAX,198
ARM00087395,2011-05-23,TMAX,244
ARM00087395,2009-02-25,TMIN,165
ARM00087395,2012-05-20,TMAX,230
ARM00087395,2012-05-20,TMIN,139
ARM00087395,2012-05-19,TMAX,254
ARM00087395,2010-08-27,TMIN,94
