ID,Date,Element,Data_Value
NC000091577,2012-07-02,TMAX,245
NC000091577,2008-04-24,TMIN,211
NC000091577,2005-03-10,TMIN,217
NC000091577,2008-04-24,TMAX,298
NC000091577,2005-10-01,TMAX,274
NC000091577,2007-09-30,TMIN,169
NC000091577,2005-09-20,TMAX,251
NC000091577,2008-06-13,TMIN,173
NC000091577,2006-12-04,TMIN,212
NC000091577,2009-07-29,TMIN,152
NC000091577,2011-10-08,TMAX,256
NC000091577,2011-03-25,TMAX,308
NC000091577,2006-04-10,TMAX,307
NC000091577,2008-04-02,TMAX,288
NC000091577,2007-10-12,TMIN,214
NC000091577,2006-12-04,TMAX,290
NC000091577,2011-12-16,TMIN,235
NC000091577,2007-10-12,TMAX,301
NC000091577,2006-07-10,TMAX,242
NC000091577,2005-11-02,TMIN,184
NC000091577,2006-10-03,TMIN,177
NC000091577,2010-06-25,TMAX,245
NC000091577,2007-08-11,TMIN,162
NC000091577,2009-02-28,TMIN,240
NC000091577,2005-06-10,TMIN,184
NC000091577,2007-12-09,TMAX,283
NC000091577,2012-05-15,TMAX,273
NC000091577,2008-03-03,TMIN,241
NC000091577,2006-05-19,TMIN,168
NC000091577,2010-08-28,TMAX,284
NC000091577,2006-07-10,TMIN,148
NC000091577,2009-04-15,TMAX,314
NC000091577,2009-06-24,TMIN,187
NC000091577,2009-07-29,TMAX,236
NC000091577,2007-04-05,TMIN,213
NC000091577,2011-12-16,TMAX,287
NC000091577,2014-06-21,TMIN,180
NC000091577,2015-12-22,TMAX,285
NC000091577,2007-11-09,TMIN,228
NC000091577,2007-03-29,TMIN,236
NC000091577,2007-11-09,TMAX,307
NC000091577,2012-09-12,TMAX,245
NC000091577,2008-04-07,TMAX,270
NC000091577,2010-06-25,TMIN,140
NC000091577,2007-10-02,TMAX,268
NC000091577,2008-10-01,TMAX,266
NC000091577,2007-12-09,TMIN,200
NC000091577,2014-03-15,TMAX,287
NC000091577,2005-11-02,TMAX,280
NC000091577,2010-07-03,TMAX,267
NC000091577,2011-05-09,TMAX,257
NC000091577,2008-08-17,TMIN,201
NC000091577,2008-04-20,TMIN,183
NC000091577,2007-08-10,TMAX,256
NC000091577,2012-06-09,TMAX,253
NC000091577,2007-04-17,TMAX,294
NC000091577,2009-05-22,TMAX,240
NC000091577,2008-10-01,TMIN,195
NC000091577,2008-12-24,TMIN,200
NC000091577,2009-09-08,TMIN,168
NC000091577,2009-02-28,TMAX,285
NC000091577,2013-11-01,TMAX,276
NC000091577,2009-07-22,TMIN,142
NC000091577,2008-02-20,TMIN,242
NC000091577,2009-09-08,TMAX,289
NC000091577,2005-12-27,TMIN,227
NC000091577,2013-11-17,TMAX,291
NC000091577,2012-01-27,TMAX,292
NC000091577,2009-07-22,TMAX,265
NC000091577,2011-10-05,TMAX,241
NC000091577,2005-09-20,TMIN,166
NC000091577,2011-08-22,TMIN,183
NC000091577,2008-06-24,TMIN,174
NC000091577,2008-11-16,TMIN,212
NC000091577,2007-08-27,TMAX,247
NC000091577,2011-07-29,TMIN,175
NC000091577,2008-09-02,TMIN,175
NC000091577,2008-08-17,TMAX,244
NC000091577,2005-12-07,TMAX,311
NC000091577,2006-08-03,TMIN,171
NC000091577,2005-12-07,TMIN,213
NC000091577,2005-10-19,TMAX,274
NC000091577,2009-05-22,TMIN,200
NC000091577,2011-09-12,TMAX,226
NC000091577,2008-10-16,TMAX,264
NC000091577,2011-12-03,TMAX,300
NC000091577,2007-03-11,TMAX,299
NC000091577,2010-04-21,TMAX,269
NC000091577,2007-03-11,TMIN,246
NC000091577,2013-08-22,TMAX,245
NC000091577,2009-07-13,TMAX,235
NC000091577,2015-09-20,TMAX,262
NC000091577,2015-03-01,TMAX,327
NC000091577,2008-12-03,TMAX,304
NC000091577,2008-12-24,TMAX,288
NC000091577,2012-03-25,TMAX,300
NC000091577,2008-10-16,TMIN,186
NC000091577,2008-06-24,TMAX,241
NC000091577,2005-11-23,TMIN,212
NC000091577,2007-04-06,TMAX,276
NC000091577,2005-12-27,TMAX,308
NC000091577,2007-08-27,TMIN,183
NC000091577,2005-03-10,TMAX,297
NC000091577,2009-02-02,TMAX,308
NC000091577,2011-09-12,TMIN,191
NC000091577,2008-11-25,TMIN,229
NC000091577,2010-08-17,TMAX,261
NC000091577,2007-04-17,TMIN,210
NC000091577,2013-07-09,TMAX,240
NC000091577,2007-03-29,TMAX,294
NC000091577,2006-04-10,TMIN,239
NC000091577,2006-03-30,TMAX,299
NC000091577,2005-06-21,TMAX,288
NC000091577,2007-07-03,TMIN,177
NC000091577,2009-06-24,TMAX,278
NC000091577,2011-05-14,TMAX,260
NC000091577,2015-05-28,TMAX,254
NC000091577,2008-11-16,TMAX,298
NC000091577,2013-11-16,TMAX,295
NC000091577,2008-10-17,TMAX,266
NC000091577,2007-04-05,TMAX,282
NC000091577,2014-01-12,TMAX,300
NC000091577,2008-10-17,TMIN,202
NC000091577,2007-03-20,TMAX,302
NC000091577,2011-06-11,TMAX,255
NC000091577,2015-06-24,TMAX,236
NC000091577,2008-03-28,TMIN,234
NC000091577,2008-09-02,TMAX,255
NC000091577,2007-06-18,TMAX,257
NC000091577,2005-10-01,TMIN,199
NC000091577,2007-06-18,TMIN,187
NC000091577,2005-10-19,TMIN,195
NC000091577,2008-06-13,TMAX,257
NC000091577,2005-06-10,TMAX,254
NC000091577,2010-07-03,TMIN,167
NC000091577,2005-06-04,TMIN,153
NC000091577,2014-09-12,TMAX,252
NC000091577,2007-03-20,TMIN,225
NC000091577,2008-04-07,TMIN,213
NC000091577,2009-02-02,TMIN,239
NC000091577,2010-07-13,TMAX,248
NC000091577,2008-02-20,TMAX,296
NC000091577,2010-08-28,TMIN,179
NC000091577,2015-11-03,TMAX,250
NC000091577,2006-05-19,TMAX,265
NC000091577,2006-08-03,TMAX,272
NC000091577,2005-11-23,TMAX,296
NC000091577,2008-11-25,TMAX,302
NC000091577,2008-03-28,TMAX,303
NC000091577,2011-12-23,TMIN,233
NC000091577,2015-02-16,TMAX,289
NC000091577,2006-10-03,TMAX,251
NC000091577,2006-03-25,TMAX,288
NC000091577,2008-02-17,TMAX,307
NC000091577,2014-05-12,TMAX,267
NC000091577,2007-12-10,TMIN,198
NC000091577,2012-10-07,TMAX,254
NC000091577,2012-06-25,TMIN,190
NC000091577,2012-08-26,TMAX,251
NC000091577,2011-12-12,TMAX,328
NC000091577,2011-01-24,TMIN,229
NC000091577,2015-01-18,TMAX,313
NC000091577,2015-07-19,TMAX,230
NC000091577,2006-12-06,TMAX,295
NC000091577,2015-12-18,TMAX,290
NC000091577,2015-12-18,TMIN,218
NC000091577,2007-04-02,TMIN,237
NC000091577,2011-06-24,TMAX,248
NC000091577,2010-05-18,TMIN,191
NC000091577,2006-11-01,TMIN,190
NC000091577,2005-09-09,TMIN,147
NC000091577,2008-01-25,TMIN,230
NC000091577,2006-03-25,TMIN,248
NC000091577,2014-09-13,TMAX,248
NC000091577,2008-03-05,TMIN,227
NC000091577,2008-06-22,TMIN,169
NC000091577,2007-12-13,TMIN,202
NC000091577,2007-04-02,TMAX,277
NC000091577,2006-11-01,TMAX,283
NC000091577,2007-07-14,TMAX,237
NC000091577,2015-04-25,TMAX,298
NC000091577,2008-12-27,TMIN,225
NC000091577,2013-04-14,TMAX,310
NC000091577,2008-12-27,TMAX,290
NC000091577,2009-10-28,TMIN,185
NC000091577,2009-02-23,TMIN,236
NC000091577,2009-02-23,TMAX,306
NC000091577,2014-08-31,TMAX,244
NC000091577,2007-11-26,TMIN,231
NC000091577,2007-11-26,TMAX,275
