ID,Date,Element,Data_Value
JA000047402,2012-08-01,TMAX,147
JA000047402,2014-05-26,TMIN,22
JA000047402,2005-09-04,TMAX,233
JA000047402,2008-12-31,TMAX,12
JA000047402,2009-08-04,TMAX,204
JA000047402,2014-10-07,TMIN,47
JA000047402,2009-10-30,TMAX,107
JA000047402,2006-06-11,TMAX,104
JA000047402,2010-08-13,TMIN,183
JA000047402,2011-11-17,TMIN,-18
JA000047402,2015-05-02,TMIN,49
JA000047402,2011-11-17,TMAX,19
JA000047402,2010-03-13,TMAX,11
JA000047402,2005-08-26,TMIN,144
JA000047402,2009-11-01,TMAX,42
JA000047402,2006-08-25,TMIN,151
JA000047402,2008-02-02,TMAX,-34
JA000047402,2015-01-22,TMAX,11
JA000047402,2014-05-23,TMIN,2
JA000047402,2014-10-07,TMAX,154
JA000047402,2010-12-25,TMAX,-44
JA000047402,2013-03-17,TMIN,-96
JA000047402,2005-02-20,TMAX,-12
JA000047402,2013-10-11,TMIN,96
JA000047402,2011-07-11,TMIN,148
JA000047402,2011-08-24,TMAX,199
JA000047402,2011-02-19,TMIN,-108
JA000047402,2005-02-20,TMIN,-88
JA000047402,2010-04-09,TMAX,110
JA000047402,2006-05-05,TMIN,43
JA000047402,2015-07-04,TMAX,139
JA000047402,2005-09-04,TMIN,116
JA000047402,2013-09-14,TMAX,258
JA000047402,2008-03-08,TMAX,62
JA000047402,2007-06-14,TMAX,159
JA000047402,2006-06-25,TMAX,232
JA000047402,2014-01-24,TMAX,28
JA000047402,2010-11-17,TMAX,48
JA000047402,2014-10-17,TMAX,117
JA000047402,2008-09-15,TMIN,122
JA000047402,2012-04-28,TMIN,51
JA000047402,2010-08-21,TMAX,269
JA000047402,2015-03-29,TMIN,-5
JA000047402,2013-12-28,TMAX,-23
JA000047402,2015-02-19,TMAX,-2
JA000047402,2014-01-24,TMIN,-88
JA000047402,2005-12-20,TMAX,-3
JA000047402,2008-02-19,TMIN,-93
JA000047402,2006-05-26,TMIN,95
JA000047402,2006-07-27,TMAX,269
JA000047402,2006-12-23,TMAX,-3
JA000047402,2015-03-29,TMAX,97
JA000047402,2008-03-08,TMIN,-11
JA000047402,2008-09-15,TMAX,209
JA000047402,2012-11-14,TMAX,70
JA000047402,2007-04-12,TMAX,22
JA000047402,2008-02-02,TMIN,-116
JA000047402,2007-07-08,TMIN,122
JA000047402,2009-04-24,TMAX,95
JA000047402,2009-05-08,TMAX,196
JA000047402,2006-11-30,TMAX,-25
JA000047402,2010-08-21,TMIN,223
JA000047402,2008-04-06,TMAX,96
JA000047402,2011-03-19,TMAX,79
JA000047402,2007-12-20,TMAX,4
JA000047402,2011-05-11,TMIN,24
JA000047402,2007-07-08,TMAX,153
JA000047402,2010-06-22,TMAX,203
JA000047402,2015-01-22,TMIN,-52
JA000047402,2008-01-09,TMAX,-56
JA000047402,2007-12-20,TMIN,-53
JA000047402,2006-08-25,TMAX,282
JA000047402,2006-12-08,TMAX,-23
JA000047402,2005-07-25,TMIN,153
JA000047402,2008-02-19,TMAX,21
JA000047402,2008-12-31,TMIN,-25
JA000047402,2007-02-01,TMAX,5
JA000047402,2011-06-12,TMAX,106
JA000047402,2014-06-14,TMIN,75
JA000047402,2009-04-24,TMIN,-27
JA000047402,2013-03-01,TMIN,-66
JA000047402,2009-09-30,TMAX,223
JA000047402,2010-08-13,TMAX,267
JA000047402,2014-01-27,TMIN,-125
JA000047402,2015-01-06,TMAX,12
JA000047402,2007-01-25,TMAX,-32
JA000047402,2006-07-29,TMIN,164
JA000047402,2015-10-29,TMAX,81
JA000047402,2010-12-17,TMIN,-66
JA000047402,2005-07-31,TMAX,242
JA000047402,2009-08-04,TMIN,142
JA000047402,2012-05-29,TMIN,44
JA000047402,2006-06-25,TMIN,105
JA000047402,2012-07-31,TMAX,212
JA000047402,2006-03-28,TMAX,30
JA000047402,2010-04-07,TMAX,-3
JA000047402,2011-06-12,TMIN,75
JA000047402,2010-10-13,TMAX,133
JA000047402,2008-10-18,TMAX,148
JA000047402,2007-03-06,TMAX,44
JA000047402,2010-06-22,TMIN,130
JA000047402,2007-03-27,TMAX,25
JA000047402,2006-03-28,TMIN,-45
JA000047402,2014-02-17,TMAX,-33
JA000047402,2007-05-10,TMAX,121
JA000047402,2006-07-29,TMAX,221
JA000047402,2013-09-14,TMIN,163
JA000047402,2012-04-28,TMAX,140
JA000047402,2011-05-10,TMIN,20
JA000047402,2006-10-08,TMAX,114
JA000047402,2007-05-10,TMIN,22
JA000047402,2006-05-26,TMAX,182
JA000047402,2010-04-09,TMIN,12
JA000047402,2009-11-03,TMIN,-65
JA000047402,2011-10-04,TMIN,29
JA000047402,2010-08-09,TMIN,193
JA000047402,2011-09-05,TMAX,225
JA000047402,2006-10-19,TMIN,45
JA000047402,2008-06-28,TMAX,143
JA000047402,2010-04-16,TMIN,-19
JA000047402,2009-08-17,TMIN,146
JA000047402,2006-10-19,TMAX,151
JA000047402,2015-09-28,TMAX,156
JA000047402,2014-11-19,TMAX,25
JA000047402,2008-02-24,TMAX,-100
JA000047402,2010-07-16,TMIN,140
JA000047402,2009-11-19,TMAX,18
JA000047402,2010-08-24,TMIN,183
JA000047402,2015-11-25,TMAX,2
JA000047402,2014-11-19,TMIN,-22
JA000047402,2010-08-24,TMAX,254
JA000047402,2006-03-27,TMAX,27
JA000047402,2008-03-01,TMIN,-116
JA000047402,2009-08-17,TMAX,179
JA000047402,2008-06-17,TMIN,82
JA000047402,2008-06-28,TMIN,95
JA000047402,2014-02-26,TMIN,-56
JA000047402,2015-02-02,TMAX,-29
JA000047402,2007-07-02,TMAX,186
JA000047402,2006-08-07,TMAX,278
JA000047402,2007-02-08,TMIN,-94
JA000047402,2012-08-16,TMAX,197
JA000047402,2013-10-24,TMIN,29
JA000047402,2007-07-02,TMIN,88
JA000047402,2013-06-29,TMIN,50
JA000047402,2007-09-26,TMIN,68
JA000047402,2013-03-23,TMIN,-56
JA000047402,2007-09-26,TMAX,172
JA000047402,2006-08-07,TMIN,228
JA000047402,2011-11-01,TMAX,151
JA000047402,2014-02-26,TMAX,43
JA000047402,2010-03-20,TMAX,8
JA000047402,2009-12-15,TMAX,-51
JA000047402,2013-01-13,TMAX,-51
JA000047402,2010-03-20,TMIN,-6
JA000047402,2012-11-06,TMAX,103
JA000047402,2012-11-06,TMIN,23
JA000047402,2008-02-18,TMAX,-1
JA000047402,2008-03-22,TMAX,2
JA000047402,2012-02-24,TMAX,-89
