ID,Date,Element,Data_Value
MZM00067273,2009-10-05,TMIN,216
MZM00067273,2015-07-30,TMIN,180
MZM00067273,2009-06-05,TMIN,195
MZM00067273,2009-11-21,TMIN,240
MZM00067273,2009-04-18,TMIN,210
MZM00067273,2006-04-12,TMAX,291
MZM00067273,2007-02-19,TMIN,244
MZM00067273,2010-03-17,TMIN,245
MZM00067273,2006-07-25,TMIN,174
MZM00067273,2010-09-17,TMIN,191
MZM00067273,2006-12-09,TMIN,245
MZM00067273,2014-05-31,TMIN,202
MZM00067273,2006-09-14,TMAX,290
MZM00067273,2006-02-27,TMIN,251
MZM00067273,2014-10-28,TMIN,222
MZM00067273,2014-11-06,TMIN,239
MZM00067273,2007-01-09,TMIN,244
MZM00067273,2007-01-09,TMAX,308
MZM00067273,2009-08-04,TMIN,210
MZM00067273,2009-06-19,TMIN,190
MZM00067273,2009-09-29,TMIN,226
MZM00067273,2014-07-24,TMIN,171
MZM00067273,2006-08-09,TMAX,270
MZM00067273,2015-07-08,TMIN,200
MZM00067273,2008-01-29,TMIN,243
MZM00067273,2015-11-14,TMIN,226
MZM00067273,2015-07-01,TMIN,189
MZM00067273,2011-04-07,TMIN,245
MZM00067273,2009-12-02,TMIN,247
MZM00067273,2006-04-12,TMIN,211
MZM00067273,2009-07-16,TMIN,191
MZM00067273,2014-07-21,TMIN,200
MZM00067273,2007-06-01,TMIN,210
MZM00067273,2006-03-08,TMIN,246
MZM00067273,2006-12-09,TMAX,324
MZM00067273,2014-11-13,TMIN,243
MZM00067273,2007-08-29,TMIN,194
MZM00067273,2015-08-29,TMIN,198
MZM00067273,2007-10-09,TMIN,215
MZM00067273,2015-11-09,TMIN,228
MZM00067273,2015-08-26,TMIN,177
MZM00067273,2010-09-26,TMIN,220
MZM00067273,2005-05-07,TMIN,205
MZM00067273,2007-10-13,TMIN,226
MZM00067273,2010-03-26,TMAX,339
MZM00067273,2014-12-03,TMIN,208
MZM00067273,2015-10-24,TMIN,248
MZM00067273,2010-03-06,TMIN,236
MZM00067273,2006-03-11,TMAX,309
MZM00067273,2007-02-19,TMAX,338
