ID,Date,Element,Data_Value
RS000034561,2007-02-08,TMIN,3
RS000034561,2006-04-03,TMAX,146
RS000034561,2014-04-12,TMIN,-20
RS000034561,2015-01-31,TMAX,-19
RS000034561,2010-06-04,TMIN,195
RS000034561,2010-01-14,TMAX,-25
RS000034561,2007-09-22,TMIN,119
RS000034561,2006-04-20,TMAX,186
RS000034561,2009-06-11,TMAX,346
RS000034561,2005-10-29,TMAX,18
RS000034561,2014-04-12,TMAX,79
RS000034561,2006-06-25,TMIN,227
RS000034561,2013-02-23,TMIN,-109
RS000034561,2008-01-29,TMAX,0
RS000034561,2008-01-29,TMIN,-72
RS000034561,2005-04-30,TMAX,113
RS000034561,2005-03-20,TMAX,47
RS000034561,2010-05-28,TMIN,120
RS000034561,2011-07-14,TMIN,209
RS000034561,2007-08-13,TMIN,195
RS000034561,2009-07-08,TMIN,151
RS000034561,2011-06-13,TMIN,185
RS000034561,2007-01-12,TMIN,42
RS000034561,2006-07-22,TMAX,246
RS000034561,2013-07-25,TMIN,155
RS000034561,2014-06-24,TMAX,257
RS000034561,2010-01-15,TMAX,-41
RS000034561,2006-08-24,TMIN,192
RS000034561,2012-03-27,TMIN,-16
RS000034561,2009-09-24,TMIN,124
RS000034561,2011-10-07,TMIN,108
RS000034561,2009-11-18,TMAX,42
RS000034561,2011-10-07,TMAX,190
RS000034561,2011-04-29,TMIN,115
RS000034561,2010-04-11,TMAX,57
RS000034561,2008-08-13,TMAX,330
RS000034561,2005-02-04,TMAX,-58
RS000034561,2013-11-30,TMAX,26
RS000034561,2005-02-04,TMIN,-137
RS000034561,2010-05-23,TMAX,224
RS000034561,2009-06-11,TMIN,230
RS000034561,2009-09-02,TMIN,168
RS000034561,2011-06-13,TMAX,305
RS000034561,2013-10-02,TMAX,86
RS000034561,2007-09-22,TMAX,233
RS000034561,2010-01-23,TMAX,-168
RS000034561,2008-01-09,TMIN,-179
RS000034561,2010-04-15,TMAX,143
RS000034561,2009-04-16,TMAX,152
RS000034561,2013-07-04,TMAX,310
RS000034561,2007-05-14,TMIN,120
RS000034561,2005-08-11,TMIN,216
RS000034561,2008-04-14,TMIN,143
RS000034561,2008-10-07,TMIN,122
RS000034561,2005-11-26,TMAX,45
RS000034561,2007-06-29,TMIN,234
RS000034561,2009-07-08,TMAX,275
RS000034561,2006-11-15,TMAX,55
RS000034561,2008-08-09,TMIN,105
RS000034561,2015-10-11,TMAX,87
RS000034561,2006-05-01,TMAX,108
RS000034561,2005-03-20,TMIN,-62
RS000034561,2014-08-21,TMAX,303
RS000034561,2008-01-21,TMIN,-107
RS000034561,2014-09-01,TMAX,240
RS000034561,2015-03-13,TMAX,63
RS000034561,2009-07-14,TMIN,246
RS000034561,2010-10-09,TMAX,160
RS000034561,2014-09-30,TMAX,175
RS000034561,2013-09-23,TMIN,104
RS000034561,2013-05-18,TMIN,195
RS000034561,2006-11-15,TMIN,14
RS000034561,2015-03-24,TMIN,-90
RS000034561,2015-05-29,TMAX,314
RS000034561,2009-09-02,TMAX,270
RS000034561,2007-11-16,TMAX,48
RS000034561,2007-11-16,TMIN,-12
RS000034561,2009-09-24,TMAX,260
RS000034561,2010-02-18,TMIN,-58
RS000034561,2015-03-24,TMAX,36
RS000034561,2010-01-04,TMAX,-23
RS000034561,2014-09-30,TMIN,50
RS000034561,2012-05-17,TMIN,158
RS000034561,2010-04-11,TMIN,34
RS000034561,2013-09-23,TMAX,163
RS000034561,2015-10-11,TMIN,-16
RS000034561,2006-07-22,TMIN,115
RS000034561,2006-01-23,TMIN,-282
RS000034561,2007-05-14,TMAX,226
RS000034561,2013-08-16,TMIN,193
RS000034561,2006-04-03,TMIN,85
RS000034561,2006-05-25,TMAX,296
RS000034561,2008-10-07,TMAX,223
RS000034561,2013-05-22,TMIN,168
RS000034561,2006-10-09,TMIN,57
RS000034561,2012-09-13,TMAX,263
RS000034561,2008-08-09,TMAX,240
RS000034561,2010-01-04,TMIN,-116
RS000034561,2015-02-10,TMAX,-9
RS000034561,2012-03-27,TMAX,36
RS000034561,2013-08-16,TMAX,315
RS000034561,2007-03-15,TMAX,86
RS000034561,2012-05-17,TMAX,267
RS000034561,2007-08-13,TMAX,344
RS000034561,2013-09-14,TMAX,233
RS000034561,2010-02-18,TMAX,-19
RS000034561,2007-04-07,TMAX,126
RS000034561,2008-01-21,TMAX,-35
RS000034561,2010-12-26,TMIN,60
