ID,Date,Element,Data_Value
SU000062640,2013-08-24,TMAX,427
SU000062640,2009-05-13,TMIN,226
SU000062640,2009-10-21,TMIN,263
SU000062640,2008-03-19,TMIN,152
SU000062640,2010-06-17,TMAX,440
SU000062640,2013-07-26,TMIN,275
SU000062640,2014-05-15,TMAX,408
SU000062640,2007-12-28,TMIN,166
SU000062640,2010-05-01,TMIN,290
SU000062640,2006-07-13,TMAX,437
SU000062640,2006-10-14,TMAX,416
SU000062640,2006-07-13,TMIN,270
SU000062640,2006-04-08,TMIN,170
SU000062640,2008-05-23,TMAX,450
SU000062640,2006-10-07,TMIN,255
SU000062640,2009-05-15,TMAX,390
SU000062640,2006-03-12,TMAX,325
SU000062640,2006-02-09,TMAX,345
SU000062640,2008-07-21,TMAX,435
SU000062640,2010-12-25,TMAX,315
SU000062640,2007-06-13,TMIN,280
SU000062640,2011-01-02,TMAX,295
SU000062640,2009-02-23,TMIN,142
SU000062640,2010-06-02,TMAX,465
SU000062640,2007-01-24,TMIN,125
SU000062640,2005-05-09,TMIN,214
SU000062640,2011-05-24,TMIN,302
SU000062640,2010-12-25,TMIN,180
SU000062640,2011-10-13,TMAX,425
SU000062640,2007-04-08,TMAX,445
SU000062640,2005-12-20,TMAX,330
SU000062640,2009-04-09,TMAX,417
SU000062640,2007-04-09,TMAX,439
SU000062640,2008-08-24,TMIN,290
SU000062640,2006-02-09,TMIN,140
SU000062640,2013-10-26,TMIN,250
SU000062640,2008-05-30,TMAX,405
SU000062640,2010-09-26,TMAX,438
SU000062640,2006-10-14,TMIN,255
SU000062640,2007-03-05,TMIN,168
SU000062640,2008-08-24,TMAX,433
SU000062640,2006-05-04,TMAX,410
SU000062640,2008-04-03,TMIN,190
SU000062640,2006-06-23,TMAX,440
SU000062640,2013-07-26,TMAX,430
SU000062640,2007-11-17,TMAX,356
SU000062640,2005-11-08,TMIN,175
SU000062640,2008-12-26,TMAX,282
SU000062640,2007-06-03,TMIN,270
SU000062640,2006-11-21,TMAX,310
SU000062640,2005-11-13,TMAX,340
SU000062640,2009-05-23,TMAX,427
SU000062640,2008-03-05,TMAX,355
SU000062640,2007-11-22,TMAX,340
SU000062640,2009-05-23,TMIN,282
SU000062640,2008-06-01,TMAX,444
SU000062640,2007-03-05,TMAX,339
SU000062640,2007-03-25,TMIN,245
SU000062640,2005-05-12,TMAX,370
SU000062640,2006-12-10,TMAX,295
SU000062640,2007-12-11,TMIN,165
SU000062640,2007-03-25,TMAX,420
SU000062640,2005-05-09,TMAX,417
SU000062640,2013-10-25,TMAX,405
SU000062640,2008-05-30,TMIN,235
SU000062640,2007-12-07,TMIN,180
