ID,Date,Element,Data_Value
CA008200558,2009-01-01,TMIN,-86
CA008200558,2013-07-22,TMAX,193
CA008200558,2014-11-21,TMAX,33
CA008200558,2013-06-22,TMAX,131
CA008200558,2011-11-24,TMAX,40
CA008200558,2005-08-22,TMIN,172
CA008200558,2008-12-23,TMAX,-54
CA008203405,2006-10-03,TMIN,82
CA008200558,2011-06-02,TMAX,99
CA008200558,2010-04-19,TMIN,9
CA008203405,2007-02-14,TMAX,43
CA008200558,2009-03-21,TMIN,-57
CA008200558,2010-12-17,TMIN,-12
CA008200558,2007-07-05,TMIN,110
CA008200558,2015-01-13,TMIN,-128
CA008200558,2009-03-21,TMAX,17
CA008200558,2009-09-26,TMAX,150
CA008203405,2005-01-21,TMIN,-113
CA008200558,2008-12-23,TMIN,-85
CA008200558,2010-06-23,TMIN,102
CA008203405,2005-06-02,TMAX,311
CA008200558,2006-01-13,TMAX,60
CA008203405,2005-06-07,TMIN,91
CA008203405,2006-04-09,TMIN,-7
CA008200558,2013-07-22,TMIN,123
CA008200558,2009-09-26,TMIN,79
CA008200558,2007-07-05,TMAX,154
CA008200558,2005-03-23,TMIN,-21
CA008203405,2005-06-07,TMAX,149
CA008200558,2014-09-07,TMIN,123
CA008200558,2013-05-07,TMIN,52
CA008200558,2012-11-08,TMAX,110
CA008200558,2010-07-13,TMAX,184
CA008200558,2007-04-24,TMIN,28
CA008200558,2010-07-13,TMIN,109
CA008200558,2011-11-24,TMIN,-7
CA008200558,2005-08-15,TMAX,171
CA008200558,2012-06-21,TMIN,127
CA008200558,2010-07-07,TMIN,150
CA008200558,2009-02-18,TMAX,-14
CA008200558,2009-02-18,TMIN,-81
CA008200558,2015-07-28,TMAX,189
CA008203405,2005-09-09,TMIN,101
CA008200558,2005-10-17,TMAX,129
CA008200558,2010-03-19,TMAX,60
CA008200558,2005-03-23,TMAX,35
CA008200558,2014-09-07,TMAX,194
CA008200558,2010-07-07,TMAX,195
CA008203405,2007-02-14,TMIN,-176
CA008200558,2014-02-20,TMIN,-3
CA008200558,2010-04-07,TMIN,28
CA008200558,2010-04-07,TMAX,61
CA008203405,2007-06-05,TMIN,89
CA008200558,2010-01-21,TMIN,-23
CA008203405,2005-01-17,TMIN,-68
CA008200558,2014-11-21,TMIN,-41
CA008200558,2011-06-02,TMIN,51
CA008203405,2007-05-30,TMIN,68
CA008200558,2007-10-15,TMAX,101
CA008200558,2015-01-13,TMAX,-13
CA008200558,2012-06-21,TMAX,230
CA008200558,2015-09-15,TMAX,210
CA008200558,2013-10-10,TMIN,91
CA008200558,2008-07-23,TMAX,188
CA008200558,2014-10-15,TMAX,170
CA008203405,2007-05-30,TMAX,152
CA008203405,2007-06-05,TMAX,140
CA008200558,2009-01-01,TMAX,-8
CA008203405,2005-12-03,TMAX,52
CA008200558,2014-02-20,TMAX,18
CA008200558,2005-08-15,TMIN,145
CA008200558,2010-01-21,TMAX,-1
CA008200558,2011-04-01,TMIN,6
CA008203405,2007-01-23,TMAX,-16
CA008200558,2009-03-23,TMIN,-12
CA008200558,2012-10-07,TMIN,118
CA008203405,2006-12-10,TMAX,63
CA008200558,2015-07-28,TMIN,164
CA008200558,2011-06-11,TMAX,177
CA008200558,2008-11-30,TMIN,18
CA008203405,2005-05-02,TMAX,177
CA008203405,2005-01-17,TMAX,-26
CA008203405,2006-03-07,TMAX,71
CA008200558,2009-10-04,TMIN,125
CA008200558,2009-10-04,TMAX,145
CA008200558,2008-11-30,TMAX,68
CA008203405,2006-03-07,TMIN,-63
CA008203405,2005-07-16,TMAX,233
CA008200558,2010-11-17,TMIN,90
CA008200558,2009-10-20,TMAX,109
CA008200558,2011-06-15,TMIN,81
CA008200558,2009-01-11,TMIN,-102
CA008200558,2007-04-24,TMAX,80
CA008200558,2006-04-28,TMAX,76
CA008200558,2009-10-20,TMIN,61
CA008200558,2010-03-08,TMIN,3
CA008200558,2010-03-08,TMAX,35
CA008200558,2005-01-20,TMIN,-58
CA008203405,2005-01-21,TMAX,-91
CA008200558,2011-01-18,TMIN,-89
CA008203405,2005-05-02,TMIN,88
CA008200558,2013-03-06,TMIN,0
CA008200558,2006-09-22,TMIN,101
CA008200558,2012-11-08,TMIN,78
CA008200558,2009-05-06,TMIN,38
CA008200558,2012-10-07,TMAX,188
CA008200558,2009-05-06,TMAX,98
CA008200558,2010-05-26,TMIN,66
CA008200558,2012-11-29,TMAX,28
CA008200558,2012-11-04,TMIN,65
CA008200558,2010-05-26,TMAX,126
CA008200558,2015-02-28,TMAX,-26
CA008200558,2010-10-19,TMAX,113
CA008203405,2007-01-02,TMAX,87
CA008203405,2006-12-10,TMIN,-52
CA008203405,2007-01-23,TMIN,-161
CA008200558,2010-10-19,TMIN,67
CA008203405,2007-01-02,TMIN,-22
CA008200558,2013-11-17,TMAX,116
CA008200558,2006-06-19,TMIN,110
CA008200558,2014-07-08,TMIN,85
CA008200558,2006-04-28,TMIN,21
CA008203405,2007-02-21,TMIN,-65
CA008200558,2013-11-17,TMIN,63
CA008200558,2012-11-29,TMIN,-26
CA008200558,2011-06-11,TMIN,64
CA008200558,2010-11-17,TMAX,124
CA008200558,2012-11-04,TMAX,126
CA008200558,2006-07-18,TMIN,153
CA008203405,2006-04-10,TMIN,14
CA008203405,2006-05-12,TMIN,23
CA008203405,2006-04-10,TMAX,101
CA008200558,2007-10-07,TMIN,83
CA008200558,2011-06-15,TMAX,102
CA008200558,2011-04-01,TMAX,38
CA008200558,2013-07-20,TMAX,172
CA008203405,2007-07-08,TMAX,196
CA008200558,2011-03-21,TMIN,-62
CA008200558,2015-02-03,TMAX,74
CA008200558,2006-05-11,TMAX,63
CA008200558,2007-03-05,TMAX,8
CA008200558,2006-01-27,TMAX,-16
CA008203405,2007-06-26,TMIN,71
CA008200558,2013-06-02,TMIN,83
CA008200558,2008-07-23,TMIN,144
CA008200558,2007-03-05,TMIN,-18
CA008200558,2015-02-17,TMAX,-50
CA008203405,2005-06-02,TMIN,92
CA008200558,2005-07-21,TMIN,140
CA008200558,2013-03-06,TMAX,17
CA008203405,2006-04-09,TMAX,66
CA008200558,2005-10-05,TMAX,176
CA008200558,2013-06-02,TMAX,120
CA008203405,2005-08-10,TMAX,280
CA008200558,2005-10-17,TMIN,102
CA008200558,2009-03-23,TMAX,8
CA008200558,2005-07-21,TMAX,236
CA008200558,2010-12-17,TMAX,12
CA008200558,2011-11-29,TMIN,38
CA008200558,2010-11-25,TMIN,21
CA008200558,2010-06-23,TMAX,137
CA008200558,2006-01-27,TMIN,-73
CA008200558,2011-11-29,TMAX,85
CA008200558,2010-11-25,TMAX,65
CA008203405,2007-06-26,TMAX,230
CA008200558,2007-10-07,TMAX,120
CA008200558,2011-01-18,TMAX,39
CA008200558,2005-01-20,TMAX,5
CA008200558,2009-11-26,TMAX,92
CA008203405,2006-05-12,TMAX,180
CA008203405,2005-07-16,TMIN,106
CA008200558,2005-06-24,TMIN,92
CA008200558,2006-06-19,TMAX,142
CA008200558,2013-07-20,TMIN,144
CA008200558,2009-05-28,TMAX,106
CA008200558,2009-05-28,TMIN,60
CA008203405,2005-09-09,TMAX,256
CA008200558,2006-01-13,TMIN,23
CA008200558,2010-04-20,TMIN,23
CA008200558,2006-09-22,TMAX,152
CA008200558,2009-11-26,TMIN,81
CA008200558,2010-04-19,TMAX,68
CA008203405,2007-01-01,TMAX,85
CA008200558,2005-08-22,TMAX,190
CA008200558,2005-09-01,TMIN,179
CA008200558,2015-02-03,TMIN,-127
CA008200558,2009-01-11,TMAX,-18
CA008200558,2013-11-12,TMAX,98
CA008200558,2013-11-12,TMIN,-14
CA008200558,2011-03-21,TMAX,7
CA008203405,2005-08-10,TMIN,187
CA008203405,2007-01-01,TMIN,-98
CA008200558,2015-02-17,TMIN,-120
CA008200558,2005-09-01,TMAX,225
CA008200558,2005-10-05,TMIN,139
CA008200558,2006-05-11,TMIN,43
CA008200558,2014-04-20,TMIN,4
CA008200558,2006-11-03,TMAX,72
CA008200558,2012-08-22,TMIN,175
CA008203405,2005-07-10,TMIN,145
CA008200558,2005-09-10,TMAX,199
CA008200558,2014-05-12,TMIN,21
CA008200558,2014-07-24,TMAX,179
CA008200558,2014-07-24,TMIN,124
CA008203405,2006-03-23,TMAX,34
CA008203405,2006-03-23,TMIN,-9
CA008200558,2015-10-22,TMIN,50
CA008203405,2006-10-02,TMAX,180
CA008200558,2015-05-19,TMAX,98
CA008200558,2011-06-26,TMAX,132
CA008200558,2011-08-25,TMIN,166
CA008200558,2013-09-13,TMAX,176
CA008203405,2005-08-03,TMIN,165
CA008200558,2013-09-13,TMIN,125
CA008200558,2015-08-08,TMAX,149
CA008200558,2009-03-06,TMAX,43
CA008203405,2006-10-02,TMIN,119
CA008200558,2006-12-25,TMAX,68
CA008200558,2010-03-11,TMAX,40
CA008200558,2010-03-11,TMIN,-32
CA008200558,2015-11-09,TMIN,22
CA008203405,2005-01-12,TMIN,-164
CA008200558,2014-05-12,TMAX,68
CA008200558,2012-06-04,TMIN,89
CA008200558,2012-06-04,TMAX,104
CA008200558,2011-06-26,TMIN,96
CA008200558,2007-06-28,TMAX,158
CA008200558,2005-06-12,TMAX,101
CA008200558,2015-10-22,TMAX,148
CA008200558,2012-04-28,TMAX,50
CA008200558,2012-04-28,TMIN,24
CA008200558,2005-08-06,TMAX,226
CA008203405,2005-08-03,TMAX,268
CA008200558,2006-12-25,TMIN,26
CA008200558,2006-01-15,TMAX,109
CA008200558,2009-05-08,TMAX,107
CA008200558,2010-05-17,TMIN,50
CA008200558,2010-06-17,TMAX,120
CA008200558,2013-02-09,TMIN,-51
CA008200558,2014-01-24,TMIN,-125
CA008200558,2014-01-24,TMAX,-92
CA008200558,2009-11-24,TMAX,91
CA008200558,2013-01-04,TMIN,-112
CA008200558,2013-08-17,TMAX,155
CA008200558,2015-11-15,TMIN,37
CA008200558,2010-02-14,TMAX,15
CA008200558,2005-05-24,TMAX,51
CA008200558,2013-08-17,TMIN,121
CA008200558,2008-08-03,TMIN,177
CA008200558,2010-06-17,TMIN,98
CA008203405,2005-01-29,TMIN,-195
CA008200558,2015-11-15,TMAX,62
CA008200558,2014-04-07,TMIN,-2
CA008200558,2010-05-17,TMAX,117
CA008200558,2010-08-10,TMAX,197
CA008200558,2015-11-09,TMAX,102
CA008200558,2012-06-24,TMAX,147
CA008200558,2012-06-24,TMIN,128
CA008200558,2006-11-28,TMIN,27
CA008200558,2010-01-13,TMAX,-18
CA008203405,2005-08-31,TMIN,193
CA008200558,2005-09-10,TMIN,115
CA008203405,2005-08-31,TMAX,237
CA008200558,2011-06-20,TMAX,173
CA008200558,2015-02-18,TMIN,-89
CA008200558,2015-05-24,TMIN,38
CA008200558,2010-02-14,TMIN,-27
CA008200558,2015-05-24,TMAX,68
CA008200558,2014-04-02,TMIN,-9
CA008200558,2013-02-09,TMAX,-12
CA008200558,2010-01-13,TMIN,-71
CA008200558,2014-04-02,TMAX,29
CA008200558,2011-06-20,TMIN,96
CA008200558,2015-02-18,TMAX,-25
CA008203405,2005-07-10,TMAX,193
CA008200558,2009-03-06,TMIN,-63
CA008200558,2015-08-08,TMIN,116
CA008200558,2007-06-28,TMIN,110
CA008200558,2008-09-26,TMAX,166
CA008200558,2014-04-20,TMAX,89
CA008200558,2012-08-01,TMIN,171
CA008203405,2006-01-25,TMAX,38
CA008200558,2015-05-22,TMAX,72
CA008200558,2010-08-10,TMIN,145
CA008200558,2012-08-01,TMAX,201
CA008200558,2008-09-25,TMAX,159
CA008200558,2015-08-26,TMIN,172
CA008200558,2015-08-26,TMAX,186
CA008203405,2006-01-25,TMIN,2
CA008200558,2008-10-12,TMIN,74
CA008200558,2010-05-30,TMIN,71
CA008200558,2014-12-11,TMAX,85
CA008200558,2014-12-11,TMIN,59
CA008203405,2006-10-14,TMAX,178
CA008203405,2006-07-13,TMAX,204
CA008200558,2011-09-15,TMIN,159
CA008200558,2008-09-26,TMIN,145
CA008200558,2011-07-19,TMIN,120
CA008200558,2010-01-23,TMIN,-91
CA008200558,2010-01-23,TMAX,-41
CA008200558,2012-02-03,TMIN,-92
CA008203405,2006-07-13,TMIN,160
CA008203405,2005-07-30,TMIN,117
CA008200558,2012-11-01,TMIN,118
CA008200558,2006-11-28,TMAX,45
CA008200558,2015-05-22,TMIN,47
CA008200558,2009-09-23,TMIN,149
CA008200558,2009-09-23,TMAX,169
CA008200558,2012-11-01,TMAX,139
CA008200558,2011-07-19,TMAX,150
CA008200558,2006-01-14,TMIN,33
CA008200558,2009-08-19,TMAX,189
CA008200558,2009-01-09,TMAX,32
CA008200558,2009-01-09,TMIN,-49
CA008200558,2006-01-14,TMAX,78
CA008200558,2014-04-07,TMAX,55
CA008200558,2005-06-24,TMAX,136
CA008203405,2006-08-09,TMIN,153
CA008200558,2009-09-02,TMAX,169
CA008200558,2009-04-02,TMIN,12
CA008200558,2012-06-18,TMIN,87
CA008203405,2006-02-24,TMIN,-125
CA008200558,2010-05-10,TMAX,70
CA008200558,2005-08-06,TMIN,144
CA008203405,2006-10-14,TMIN,83
CA008200558,2005-05-24,TMIN,36
CA008200558,2009-04-02,TMAX,42
CA008200558,2014-08-28,TMAX,205
CA008203405,2006-11-01,TMAX,144
CA008200558,2009-10-18,TMIN,54
CA008200558,2006-01-15,TMIN,62
CA008200558,2008-09-25,TMIN,93
CA008200558,2009-09-02,TMIN,110
CA008203405,2005-11-18,TMIN,1
CA008203405,2005-01-29,TMAX,-80
CA008200558,2009-02-09,TMIN,-112
CA008200558,2010-05-30,TMAX,123
CA008203405,2005-01-12,TMAX,-10
CA008200558,2015-08-09,TMIN,139
CA008200558,2009-02-09,TMAX,-28
CA008200558,2006-11-16,TMAX,127
CA008200558,2012-06-18,TMAX,123
CA008200558,2006-11-16,TMIN,83
CA008200558,2011-09-15,TMAX,194
CA008203405,2005-11-18,TMAX,57
CA008203405,2006-02-24,TMAX,32
CA008200558,2010-06-12,TMIN,97
CA008200558,2005-06-12,TMIN,66
CA008200558,2014-08-28,TMIN,163
CA008200558,2013-05-13,TMIN,48
CA008200558,2015-08-09,TMAX,164
CA008200558,2013-05-13,TMAX,84
CA008200558,2006-11-29,TMAX,98
CA008200558,2008-10-12,TMAX,153
CA008200558,2011-03-25,TMIN,-27
CA008200558,2012-11-26,TMAX,37
CA008200558,2013-03-28,TMIN,-4
CA008200558,2009-10-18,TMAX,103
CA008200558,2013-05-29,TMIN,68
CA008200558,2006-08-30,TMAX,230
CA008200558,2011-04-02,TMIN,4
CA008200558,2012-10-13,TMIN,22
CA008200558,2012-10-13,TMAX,78
CA008200558,2011-04-02,TMAX,31
CA008200558,2013-11-08,TMAX,107
CA008203405,2006-11-01,TMIN,17
CA008200558,2011-04-12,TMAX,129
CA008200558,2013-12-09,TMAX,31
CA008200558,2010-11-20,TMAX,65
CA008203405,2007-01-12,TMIN,-96
CA008200558,2010-11-20,TMIN,-34
CA008203405,2007-01-12,TMAX,54
CA008203405,2006-07-11,TMAX,279
CA008200558,2011-04-12,TMIN,19
CA008200558,2013-01-10,TMIN,-3
CA008203405,2006-08-09,TMAX,234
CA008200558,2010-05-21,TMAX,141
CA008200558,2013-04-21,TMIN,-6
CA008200558,2013-09-16,TMAX,168
CA008203405,2006-04-27,TMAX,125
CA008200558,2011-11-03,TMAX,108
CA008200558,2009-05-08,TMIN,53
CA008203405,2006-04-27,TMIN,-27
CA008200558,2013-09-16,TMIN,103
CA008200558,2014-05-25,TMAX,104
CA008200558,2013-02-07,TMAX,-36
CA008200558,2005-07-10,TMAX,154
CA008200558,2013-05-07,TMAX,79
CA008203405,2006-02-23,TMIN,-105
CA008203405,2007-01-24,TMIN,-149
CA008200558,2006-11-03,TMIN,55
CA008200558,2013-02-07,TMIN,-174
CA008200558,2013-01-10,TMAX,56
CA008200558,2005-07-10,TMIN,135
CA008200558,2014-05-25,TMIN,38
CA008200558,2014-07-18,TMIN,98
CA008200558,2014-09-09,TMAX,197
CA008200558,2008-11-04,TMAX,104
CA008203405,2007-07-08,TMIN,110
CA008200558,2014-07-18,TMAX,142
CA008200558,2006-08-30,TMIN,156
CA008200558,2015-09-15,TMIN,158
CA008200558,2013-05-10,TMIN,59
CA008200558,2013-05-10,TMAX,91
CA008203405,2006-02-23,TMAX,15
CA008200558,2013-05-26,TMAX,95
CA008200558,2005-03-09,TMAX,63
CA008203405,2006-10-05,TMIN,96
CA008200558,2015-02-28,TMIN,-111
CA008203405,2005-05-13,TMAX,79
CA008200558,2012-11-26,TMIN,-8
CA008200558,2012-12-15,TMAX,30
CA008200558,2012-12-15,TMIN,-90
CA008200558,2012-08-22,TMAX,232
CA008200558,2011-08-25,TMAX,200
CA008200558,2005-03-09,TMIN,-59
CA008203405,2006-07-11,TMIN,118
CA008200558,2013-12-09,TMIN,-81
CA008200558,2014-07-08,TMAX,124
CA008200558,2015-05-13,TMAX,119
CA008200558,2015-05-13,TMIN,29
CA008203405,2006-10-05,TMAX,152
CA008200558,2007-10-15,TMIN,67
CA008200558,2013-05-26,TMIN,65
CA008200558,2010-04-20,TMAX,70
CA008203405,2005-12-18,TMAX,32
CA008200558,2008-11-04,TMIN,71
CA008200558,2012-08-18,TMIN,181
CA008200558,2012-08-18,TMAX,218
CA008200558,2007-04-27,TMIN,6
CA008203405,2006-10-03,TMAX,180
CA008203405,2006-07-30,TMIN,158
CA008203405,2006-07-30,TMAX,241
CA008200558,2014-09-09,TMIN,107
CA008203405,2005-05-13,TMIN,-4
CA008200558,2013-06-25,TMAX,163
CA008200558,2011-03-25,TMAX,30
