ID,Date,Element,Data_Value
UPM00033848,2008-02-23,TMIN,-5
UPM00033848,2009-06-07,TMAX,247
UPM00033848,2006-12-20,TMAX,37
UPM00033848,2006-12-29,TMIN,-16
UPM00033848,2006-02-01,TMAX,24
UPM00033848,2005-10-14,TMIN,64
UPM00033848,2007-07-18,TMAX,368
UPM00033848,2007-04-24,TMAX,142
UPM00033848,2007-02-08,TMIN,15
UPM00033848,2006-07-04,TMIN,120
UPM00033848,2008-01-28,TMIN,2
UPM00033848,2009-01-13,TMAX,49
UPM00033848,2006-02-01,TMIN,-14
UPM00033848,2005-01-20,TMIN,19
UPM00033848,2008-02-26,TMAX,113
UPM00033848,2006-01-04,TMAX,12
UPM00033848,2005-03-08,TMIN,-8
UPM00033848,2006-02-19,TMAX,63
UPM00033848,2008-02-26,TMIN,21
UPM00033848,2007-10-18,TMAX,181
UPM00033848,2008-02-23,TMAX,74
UPM00033848,2008-03-03,TMIN,21
UPM00033848,2009-03-12,TMAX,87
UPM00033848,2006-03-25,TMIN,-38
UPM00033848,2009-01-13,TMIN,-64
UPM00033848,2008-05-27,TMIN,117
UPM00033848,2007-02-11,TMAX,61
UPM00033848,2005-03-08,TMAX,38
UPM00033848,2006-04-14,TMAX,116
UPM00033848,2006-04-12,TMAX,142
UPM00033848,2008-10-17,TMIN,140
UPM00033848,2007-04-06,TMIN,28
UPM00033848,2006-05-12,TMIN,105
UPM00033848,2007-02-28,TMIN,-38
UPM00033848,2005-09-16,TMAX,269
UPM00033848,2007-03-30,TMIN,-14
UPM00033848,2005-04-12,TMIN,78
UPM00033848,2005-09-22,TMIN,125
UPM00033848,2009-02-18,TMIN,4
UPM00033848,2007-06-15,TMIN,199
UPM00033848,2005-09-16,TMIN,135
UPM00033848,2006-09-01,TMAX,204
UPM00033848,2007-05-16,TMAX,242
UPM00033848,2008-05-07,TMIN,108
UPM00033848,2008-11-22,TMAX,130
UPM00033848,2006-09-28,TMIN,154
UPM00033848,2005-10-20,TMIN,61
UPM00033848,2006-01-09,TMIN,-24
UPM00033848,2006-08-05,TMIN,184
UPM00033848,2007-06-15,TMAX,284
UPM00033848,2006-09-20,TMAX,241
UPM00033848,2008-07-26,TMAX,271
UPM00033848,2006-03-06,TMIN,14
UPM00033848,2007-07-26,TMIN,188
UPM00033848,2006-05-11,TMAX,143
UPM00033848,2007-07-20,TMAX,331
UPM00033848,2006-02-08,TMAX,-49
UPM00033848,2006-05-11,TMIN,103
UPM00033848,2005-01-13,TMIN,8
UPM00033848,2007-05-23,TMIN,189
UPM00033848,2005-09-22,TMAX,250
UPM00033848,2007-10-12,TMIN,52
UPM00033848,2007-05-26,TMIN,195
UPM00033848,2007-03-19,TMIN,46
UPM00033848,2005-04-26,TMIN,86
UPM00033848,2005-11-27,TMAX,100
UPM00033848,2007-01-31,TMIN,-74
UPM00033848,2008-07-26,TMIN,207
UPM00033848,2008-04-17,TMAX,130
UPM00033848,2008-01-12,TMIN,-53
UPM00033848,2007-02-10,TMIN,49
UPM00033848,2005-10-29,TMIN,17
UPM00033848,2005-09-26,TMAX,262
UPM00033848,2008-04-17,TMIN,86
UPM00033848,2007-01-31,TMAX,-12
UPM00033848,2007-06-21,TMIN,167
UPM00033848,2006-05-16,TMIN,110
UPM00033848,2007-03-25,TMAX,145
UPM00033848,2006-03-03,TMIN,-12
UPM00033848,2007-04-19,TMAX,116
UPM00033848,2007-02-14,TMIN,47
UPM00033848,2006-10-09,TMAX,203
UPM00033848,2007-02-11,TMIN,-1
UPM00033848,2009-06-16,TMIN,197
UPM00033848,2005-10-02,TMAX,252
UPM00033848,2008-02-05,TMIN,12
UPM00033848,2005-07-03,TMAX,285
UPM00033848,2005-04-26,TMAX,158
UPM00033848,2006-10-09,TMIN,62
UPM00033848,2006-09-01,TMIN,121
UPM00033848,2007-06-09,TMIN,166
UPM00033848,2006-01-04,TMIN,-4
UPM00033848,2007-02-22,TMIN,-82
UPM00033848,2006-12-29,TMAX,21
UPM00033848,2009-02-16,TMAX,28
UPM00033848,2006-12-13,TMIN,35
UPM00033848,2008-11-06,TMIN,114
UPM00033848,2008-09-22,TMIN,131
UPM00033848,2006-03-05,TMAX,54
UPM00033848,2005-10-20,TMAX,98
UPM00033848,2007-10-28,TMAX,149
UPM00033848,2007-06-19,TMIN,189
UPM00033848,2005-03-05,TMIN,-21
UPM00033848,2005-07-09,TMIN,154
UPM00033848,2006-09-07,TMIN,137
UPM00033848,2007-10-30,TMIN,76
UPM00033848,2006-09-25,TMIN,155
UPM00033848,2007-03-05,TMIN,39
UPM00033848,2009-05-25,TMIN,126
UPM00033848,2006-09-29,TMAX,204
UPM00033848,2007-11-11,TMIN,6
UPM00033848,2005-12-29,TMAX,75
UPM00033848,2006-06-18,TMAX,256
UPM00033848,2009-02-16,TMIN,11
UPM00033848,2006-09-15,TMAX,239
UPM00033848,2005-08-02,TMAX,328
UPM00033848,2006-09-29,TMIN,179
