ID,Date,Element,Data_Value
RSM00027653,2013-12-25,TMIN,-12
RSM00027653,2012-05-13,TMAX,242
RSM00027653,2015-08-27,TMAX,260
RSM00027653,2015-05-23,TMAX,276
RSM00027653,2012-06-10,TMIN,90
RSM00027653,2014-11-15,TMIN,-37
RSM00027653,2015-05-23,TMIN,104
RSM00027653,2013-03-26,TMAX,-45
RSM00027653,2012-04-17,TMAX,208
RSM00027653,2014-03-30,TMIN,-74
RSM00027653,2013-02-03,TMIN,-7
RSM00027653,2013-02-03,TMAX,10
RSM00027653,2014-11-18,TMAX,-50
RSM00027653,2015-02-22,TMIN,-24
RSM00027653,2015-04-08,TMAX,85
RSM00027653,2015-08-19,TMAX,149
RSM00027653,2014-03-06,TMIN,-161
RSM00027653,2015-04-10,TMIN,-18
RSM00027653,2014-01-03,TMIN,-82
RSM00027653,2015-06-21,TMAX,310
RSM00027653,2012-05-02,TMAX,108
RSM00027653,2012-07-25,TMIN,155
RSM00027653,2013-04-05,TMAX,76
RSM00027653,2012-05-02,TMIN,41
RSM00027653,2013-04-05,TMIN,-11
RSM00027653,2013-06-16,TMIN,147
RSM00027653,2015-12-13,TMIN,-33
RSM00027653,2012-12-06,TMIN,-100
RSM00027653,2015-08-19,TMIN,89
RSM00027653,2014-04-01,TMIN,-51
RSM00027653,2015-12-13,TMAX,-1
RSM00027653,2012-10-11,TMIN,43
RSM00027653,2012-04-17,TMIN,54
RSM00027653,2012-10-11,TMAX,115
RSM00027653,2013-05-20,TMIN,30
RSM00027653,2013-09-12,TMIN,80
RSM00027653,2015-11-27,TMIN,-66
RSM00027653,2015-10-05,TMAX,181
RSM00027653,2015-11-27,TMAX,-21
RSM00027653,2015-07-25,TMAX,240
RSM00027653,2015-10-05,TMIN,44
RSM00027653,2012-03-29,TMAX,13
RSM00027653,2014-03-15,TMIN,-13
RSM00027653,2014-12-08,TMIN,-75
RSM00027653,2012-12-06,TMAX,-20
RSM00027653,2015-01-10,TMIN,-122
RSM00027653,2012-06-20,TMIN,87
RSM00027653,2012-12-08,TMIN,-53
RSM00027653,2012-11-01,TMAX,28
RSM00027653,2013-12-27,TMIN,-66
RSM00027653,2015-01-11,TMIN,-22
RSM00027653,2013-02-06,TMIN,-54
RSM00027653,2014-03-11,TMIN,-25
RSM00027653,2013-02-06,TMAX,8
RSM00027653,2015-10-13,TMAX,56
RSM00027653,2014-06-27,TMIN,39
RSM00027653,2013-02-14,TMIN,-136
RSM00027653,2012-07-04,TMAX,286
RSM00027653,2012-10-02,TMAX,134
RSM00027653,2012-07-04,TMIN,181
RSM00027653,2014-05-30,TMIN,105
RSM00027653,2012-10-02,TMIN,17
RSM00027653,2012-10-05,TMIN,109
RSM00027653,2015-05-16,TMAX,145
RSM00027653,2013-11-05,TMIN,35
RSM00027653,2012-07-24,TMIN,107
RSM00027653,2012-07-24,TMAX,223
RSM00027653,2012-11-08,TMAX,31
RSM00027653,2013-03-21,TMAX,-6
RSM00027653,2013-02-14,TMAX,-66
RSM00027653,2015-02-12,TMIN,-64
RSM00027653,2012-03-28,TMAX,-12
RSM00027653,2015-08-04,TMAX,221
RSM00027653,2014-07-08,TMAX,260
RSM00027653,2012-12-19,TMIN,-212
RSM00027653,2015-08-26,TMIN,32
RSM00027653,2015-08-26,TMAX,226
RSM00027653,2012-07-17,TMAX,190
RSM00027653,2015-03-11,TMAX,52
RSM00027653,2013-03-18,TMAX,5
RSM00027653,2012-09-30,TMIN,12
RSM00027653,2012-09-30,TMAX,132
RSM00027653,2012-03-03,TMAX,-30
RSM00027653,2012-04-05,TMAX,-1
RSM00027653,2013-04-26,TMAX,93
RSM00027653,2012-04-20,TMIN,69
RSM00027653,2012-04-05,TMIN,-26
RSM00027653,2012-04-20,TMAX,194
RSM00027653,2012-12-09,TMIN,-3
RSM00027653,2013-01-24,TMAX,-124
RSM00027653,2012-12-09,TMAX,9
RSM00027653,2014-12-30,TMAX,-129
RSM00027653,2012-03-28,TMIN,-120
RSM00027653,2015-03-17,TMAX,61
RSM00027653,2014-05-30,TMAX,240
RSM00027653,2012-10-05,TMAX,169
RSM00027653,2012-11-06,TMIN,63
RSM00027653,2012-07-15,TMIN,140
RSM00027653,2013-10-16,TMIN,52
RSM00027653,2013-07-18,TMIN,104
RSM00027653,2015-12-12,TMIN,-42
RSM00027653,2012-07-08,TMIN,105
RSM00027653,2015-11-25,TMAX,8
RSM00027653,2012-10-10,TMAX,121
RSM00027653,2014-03-09,TMIN,-41
RSM00027653,2013-11-13,TMIN,-28
RSM00027653,2013-02-26,TMIN,-164
RSM00027653,2013-02-26,TMAX,-4
RSM00027653,2012-07-08,TMAX,247
RSM00027653,2014-10-13,TMIN,78
RSM00027653,2015-02-13,TMAX,4
RSM00027653,2013-02-21,TMIN,-217
RSM00027653,2012-10-23,TMIN,-15
RSM00027653,2015-09-11,TMIN,87
RSM00027653,2015-09-11,TMAX,144
RSM00027653,2012-07-15,TMAX,273
RSM00027653,2012-09-19,TMAX,181
RSM00027653,2015-03-28,TMAX,16
RSM00027653,2015-10-08,TMAX,33
RSM00027653,2013-10-28,TMIN,69
RSM00027653,2013-09-13,TMAX,144
RSM00027653,2013-12-01,TMIN,-102
RSM00027653,2015-06-01,TMAX,275
RSM00027653,2015-02-18,TMIN,-289
RSM00027653,2015-06-01,TMIN,157
RSM00027653,2013-01-13,TMIN,-276
RSM00027653,2015-12-12,TMAX,-18
RSM00027653,2012-06-11,TMAX,240
RSM00027653,2015-03-16,TMAX,48
RSM00027653,2014-11-06,TMIN,14
RSM00027653,2015-02-07,TMIN,-244
RSM00027653,2014-02-24,TMIN,-63
RSM00027653,2013-10-09,TMIN,77
RSM00027653,2013-01-15,TMIN,-97
RSM00027653,2013-01-15,TMAX,-58
RSM00027653,2014-11-20,TMIN,-134
RSM00027653,2013-07-18,TMAX,236
RSM00027653,2015-12-03,TMAX,2
RSM00027653,2015-03-28,TMIN,-71
RSM00027653,2015-03-17,TMIN,-109
RSM00027653,2012-03-03,TMIN,-66
RSM00027653,2013-10-05,TMIN,-12
RSM00027653,2012-11-09,TMIN,-10
RSM00027653,2015-08-05,TMIN,43
RSM00027653,2015-02-15,TMAX,-31
RSM00027653,2012-10-31,TMIN,-3
RSM00027653,2012-03-30,TMIN,-6
RSM00027653,2012-03-30,TMAX,41
RSM00027653,2015-03-27,TMIN,-81
RSM00027653,2015-03-27,TMAX,-1
RSM00027653,2012-03-23,TMIN,-186
RSM00027653,2012-03-23,TMAX,-8
RSM00027653,2012-05-11,TMAX,209
RSM00027653,2012-09-09,TMIN,71
RSM00027653,2012-09-09,TMAX,125
RSM00027653,2012-12-20,TMAX,-163
RSM00027653,2012-12-20,TMIN,-210
RSM00027653,2014-03-17,TMIN,-21
RSM00027653,2015-02-24,TMIN,-19
RSM00027653,2015-09-27,TMIN,78
RSM00027653,2015-07-16,TMAX,217
RSM00027653,2012-03-29,TMIN,-102
RSM00027653,2014-02-06,TMIN,-110
RSM00027653,2015-09-27,TMAX,283
RSM00027653,2012-05-11,TMIN,71
RSM00027653,2015-09-25,TMAX,293
RSM00027653,2015-09-14,TMIN,15
RSM00027653,2015-06-24,TMAX,285
RSM00027653,2015-09-14,TMAX,202
RSM00027653,2015-06-24,TMIN,167
RSM00027653,2012-09-25,TMIN,77
RSM00027653,2014-10-26,TMIN,-161
RSM00027653,2012-09-25,TMAX,98
RSM00027653,2015-02-23,TMIN,-20
RSM00027653,2013-08-08,TMIN,128
RSM00027653,2014-07-28,TMIN,94
RSM00027653,2012-07-13,TMIN,171
RSM00027653,2013-10-27,TMIN,53
RSM00027653,2013-06-09,TMAX,247
RSM00027653,2013-11-01,TMIN,4
RSM00027653,2013-06-09,TMIN,82
RSM00027653,2013-02-19,TMAX,-62
RSM00027653,2015-06-18,TMAX,199
RSM00027653,2015-06-18,TMIN,108
RSM00027653,2014-03-21,TMIN,-124
RSM00027653,2015-08-05,TMAX,228
RSM00027653,2012-05-26,TMAX,144
RSM00027653,2012-05-26,TMIN,83
RSM00027653,2015-09-23,TMIN,73
RSM00027653,2014-12-01,TMIN,-106
RSM00027653,2013-12-04,TMIN,-124
RSM00027653,2014-12-12,TMIN,-69
RSM00027653,2012-11-27,TMAX,-8
