ID,Date,Element,Data_Value
AJ000037925,2014-06-27,TMAX,329
AJ000037925,2013-10-28,TMAX,192
AJ000037925,2008-06-17,TMIN,204
AJ000037925,2011-12-04,TMIN,53
AJ000037925,2015-10-19,TMAX,213
AJ000037925,2008-10-26,TMAX,162
AJ000037925,2013-07-29,TMAX,306
AJ000037925,2015-02-19,TMIN,18
AJ000037925,2015-12-31,TMAX,60
AJ000037925,2011-04-16,TMIN,87
AJ000037925,2013-07-29,TMIN,226
AJ000037925,2015-10-07,TMIN,172
AJ000037925,2011-11-18,TMIN,61
AJ000037925,2008-10-26,TMIN,145
AJ000037925,2013-04-24,TMAX,124
AJ000037925,2015-06-03,TMAX,304
AJ000037925,2007-06-24,TMIN,205
AJ000037925,2012-05-12,TMAX,281
AJ000037925,2008-04-18,TMAX,154
AJ000037925,2012-09-07,TMIN,208
AJ000037925,2007-04-27,TMIN,98
AJ000037925,2015-09-24,TMIN,180
AJ000037925,2007-05-14,TMIN,173
AJ000037925,2014-05-03,TMIN,139
AJ000037925,2013-10-28,TMIN,73
AJ000037925,2015-08-07,TMAX,318
AJ000037925,2015-02-19,TMAX,39
AJ000037925,2012-09-07,TMAX,289
AJ000037925,2008-07-18,TMAX,311
AJ000037925,2013-04-24,TMIN,95
AJ000037925,2008-03-03,TMAX,151
AJ000037925,2007-11-06,TMIN,81
AJ000037925,2015-09-24,TMAX,296
AJ000037925,2015-07-21,TMIN,214
AJ000037925,2014-06-27,TMIN,225
AJ000037925,2008-03-21,TMIN,96
AJ000037925,2011-11-18,TMAX,104
AJ000037925,2014-08-30,TMAX,312
AJ000037925,2015-09-07,TMAX,299
AJ000037925,2013-11-13,TMIN,110
AJ000037925,2008-08-01,TMIN,221
AJ000037925,2011-10-06,TMAX,254
AJ000037925,2013-08-21,TMIN,216
AJ000037925,2007-06-25,TMAX,286
AJ000037925,2011-11-30,TMIN,31
AJ000037925,2008-03-26,TMIN,117
AJ000037925,2008-02-01,TMAX,26
AJ000037925,2013-02-09,TMIN,75
AJ000037925,2007-07-05,TMIN,216
AJ000037925,2013-08-21,TMAX,289
AJ000037925,2008-10-28,TMAX,162
AJ000037925,2012-09-30,TMIN,197
AJ000037925,2015-09-07,TMIN,215
AJ000037925,2008-08-01,TMAX,344
AJ000037925,2008-10-07,TMAX,245
AJ000037925,2015-12-03,TMAX,109
AJ000037978,2007-06-12,TMAX,307
AJ000037925,2013-06-17,TMAX,311
AJ000037925,2007-08-04,TMAX,328
AJ000037925,2008-02-15,TMIN,-25
