ID,Date,Element,Data_Value
AM000037711,2015-09-06,TMAX,290
AM000037711,2015-06-15,TMIN,136
AM000037711,2015-02-16,TMAX,95
AM000037711,2015-08-11,TMIN,169
AM000037711,2015-06-17,TMAX,285
AM000037711,2015-12-03,TMIN,5
AM000037711,2015-07-26,TMIN,196
AM000037711,2015-02-16,TMIN,-8
AM000037711,2015-05-22,TMIN,147
AM000037711,2015-11-04,TMIN,25
AM000037711,2015-11-04,TMAX,180
AM000037711,2015-07-26,TMAX,330
AM000037711,2015-08-11,TMAX,330
AM000037711,2015-12-03,TMAX,27
AM000037711,2015-11-20,TMIN,19
AM000037711,2015-04-13,TMIN,30
AM000037711,2015-09-06,TMIN,174
AM000037711,2015-03-10,TMIN,9
AM000037711,2015-06-15,TMAX,265
AM000037711,2015-05-22,TMAX,205
AM000037711,2015-04-04,TMAX,65
AM000037711,2015-04-13,TMAX,71
AM000037711,2015-06-08,TMIN,141
AM000037711,2015-03-10,TMAX,81
AM000037711,2015-11-20,TMAX,115
AM000037711,2015-11-09,TMAX,130
AM000037711,2014-12-15,TMAX,70
AM000037711,2015-08-08,TMAX,267
AM000037711,2015-01-06,TMAX,65
AM000037711,2014-12-19,TMAX,160
AM000037711,2015-05-16,TMAX,240
AM000037711,2015-05-16,TMIN,87
AM000037711,2015-11-22,TMAX,199
AM000037711,2015-04-12,TMAX,83
AM000037711,2015-04-12,TMIN,40
AM000037711,2015-06-23,TMAX,325
AM000037711,2015-05-27,TMIN,145
AM000037711,2015-05-27,TMAX,238
AM000037711,2015-03-04,TMAX,131
AM000037711,2015-10-11,TMAX,160
AM000037711,2015-04-22,TMIN,48
AM000037711,2015-06-23,TMIN,181
AM000037711,2015-04-22,TMAX,141
AM000037711,2015-09-23,TMAX,275
AM000037711,2015-09-02,TMIN,156
AM000037711,2015-09-02,TMAX,280
AM000037711,2015-04-16,TMAX,165
AM000037711,2015-11-05,TMAX,133
AM000037711,2015-11-05,TMIN,31
AM000037711,2015-02-08,TMIN,13
AM000037711,2015-04-16,TMIN,25
AM000037711,2015-03-04,TMIN,-12
AM000037711,2015-07-07,TMAX,265
AM000037711,2015-07-07,TMIN,193
AM000037711,2015-11-27,TMAX,200
AM000037711,2015-05-31,TMAX,285
AM000037711,2015-05-31,TMIN,145
AM000037711,2014-10-28,TMIN,37
AM000037711,2014-10-28,TMAX,66
AM000037711,2015-01-07,TMAX,101
AM000037711,2015-01-07,TMIN,-19
AM000037711,2015-01-25,TMIN,-9
AM000037711,2015-01-25,TMAX,30
AM000037711,2015-12-09,TMAX,110
AM000037711,2015-12-09,TMIN,11
AM000037711,2015-08-22,TMAX,230
AM000037711,2015-08-22,TMIN,168
AM000037711,2015-09-30,TMAX,240
AM000037711,2015-09-30,TMIN,145
AM000037711,2015-10-17,TMAX,120
AM000037711,2015-05-14,TMAX,146
AM000037711,2015-05-14,TMIN,97
AM000037711,2014-11-26,TMAX,50
AM000037711,2014-11-26,TMIN,3
AM000037711,2015-03-17,TMIN,-1
AM000037711,2015-04-28,TMAX,230
AM000037711,2015-04-28,TMIN,87
AM000037711,2015-09-23,TMIN,151
AM000037711,2015-11-06,TMIN,41
AM000037711,2015-02-08,TMAX,95
AM000037711,2015-11-06,TMAX,180
AM000037711,2015-08-17,TMAX,330
AM000037711,2015-08-17,TMIN,199
AM000037711,2015-06-06,TMIN,167
AM000037711,2015-02-02,TMIN,107
AM000037711,2015-08-03,TMAX,360
AM000037711,2015-08-03,TMIN,215
AM000037711,2015-06-06,TMAX,270
AM000037711,2015-09-10,TMAX,300
AM000037711,2015-11-29,TMIN,49
AM000037711,2015-11-29,TMAX,75
AM000037711,2015-09-10,TMIN,171
AM000037711,2014-11-13,TMIN,25
AM000037711,2014-11-13,TMAX,120
AM000037711,2014-10-14,TMIN,91
AM000037711,2014-10-25,TMAX,150
AM000037711,2014-10-25,TMIN,109
AM000037711,2015-07-11,TMAX,315
AM000037711,2015-07-11,TMIN,203
AM000037711,2015-01-26,TMAX,35
AM000037711,2015-11-14,TMAX,127
AM000037711,2015-10-19,TMAX,190
AM000037711,2015-09-29,TMIN,111
AM000037711,2015-09-29,TMAX,249
AM000037711,2015-04-01,TMIN,37
AM000037711,2015-12-24,TMAX,95
AM000037711,2015-04-01,TMAX,91
AM000037711,2014-12-09,TMIN,23
AM000037711,2015-11-23,TMAX,170
AM000037711,2015-02-21,TMIN,-7
AM000037711,2015-02-21,TMAX,60
AM000037711,2014-10-27,TMAX,55
AM000037711,2014-10-27,TMIN,25
AM000037711,2014-11-21,TMIN,52
AM000037711,2015-09-03,TMAX,295
AM000037711,2015-09-03,TMIN,137
AM000037711,2015-07-14,TMIN,169
AM000037711,2015-07-20,TMAX,280
AM000037711,2015-07-20,TMIN,137
AM000037711,2014-11-21,TMAX,65
AM000037711,2015-10-03,TMAX,250
AM000037711,2015-11-25,TMAX,200
AM000037711,2015-07-14,TMAX,265
AM000037711,2015-04-24,TMAX,86
AM000037711,2015-04-24,TMIN,1
AM000037711,2015-10-05,TMAX,143
AM000037711,2015-01-16,TMAX,106
AM000037711,2015-09-12,TMIN,179
AM000037711,2015-08-21,TMIN,207
AM000037711,2015-08-21,TMAX,271
AM000037711,2014-12-09,TMAX,146
AM000037711,2015-03-15,TMIN,64
AM000037711,2015-08-08,TMIN,169
AM000037711,2015-12-24,TMIN,-17
AM000037711,2014-10-15,TMIN,123
AM000037711,2015-11-07,TMIN,37
AM000037711,2015-07-01,TMAX,320
AM000037711,2015-11-07,TMAX,111
AM000037711,2015-12-31,TMAX,20
AM000037711,2015-05-30,TMIN,148
AM000037711,2015-10-16,TMAX,180
AM000037711,2015-10-16,TMIN,111
AM000037711,2015-01-28,TMAX,40
AM000037711,2015-09-01,TMAX,270
AM000037711,2015-03-19,TMIN,37
AM000037711,2015-05-05,TMAX,180
AM000037711,2015-03-19,TMAX,61
AM000037711,2015-06-25,TMAX,320
AM000037711,2015-06-25,TMIN,191
AM000037711,2015-06-22,TMAX,321
AM000037711,2015-01-08,TMIN,1
AM000037711,2015-01-08,TMAX,25
AM000037711,2015-06-22,TMIN,185
AM000037711,2014-11-16,TMIN,85
AM000037711,2015-12-23,TMAX,100
AM000037711,2014-11-16,TMAX,140
AM000037711,2014-12-25,TMAX,135
AM000037711,2015-09-01,TMIN,163
AM000037711,2015-05-05,TMIN,109
AM000037711,2015-09-27,TMIN,131
AM000037711,2015-06-07,TMAX,270
AM000037711,2015-05-01,TMIN,89
AM000037711,2015-01-17,TMIN,34
AM000037711,2015-01-17,TMAX,75
AM000037711,2014-12-23,TMAX,50
AM000037711,2015-06-18,TMAX,285
AM000037711,2015-09-19,TMIN,137
AM000037711,2014-10-20,TMIN,25
AM000037711,2014-10-20,TMAX,125
AM000037711,2015-05-01,TMAX,220
AM000037711,2015-07-22,TMIN,162
AM000037711,2015-07-22,TMAX,290
AM000037711,2015-12-04,TMIN,-29
AM000037711,2015-12-12,TMIN,-50
AM000037711,2015-12-04,TMAX,80
AM000037711,2015-06-18,TMIN,160
AM000037711,2015-09-19,TMAX,249
AM000037711,2015-09-11,TMAX,300
AM000037711,2015-09-11,TMIN,175
AM000037711,2015-03-02,TMIN,19
AM000037711,2015-03-02,TMAX,127
AM000037711,2015-09-27,TMAX,225
