ID,Date,Element,Data_Value
NTM00078988,2008-04-19,TMIN,255
NTM00078988,2006-07-22,TMAX,325
NTM00078988,2007-02-15,TMIN,246
NTM00078988,2006-12-07,TMIN,257
NTM00078988,2013-09-13,TMAX,321
NTM00078988,2009-03-02,TMIN,244
NTM00078988,2010-06-16,TMAX,328
NTM00078988,2009-04-06,TMIN,240
NTM00078988,2005-01-02,TMAX,295
NTM00078988,2005-11-05,TMAX,308
NTM00078988,2006-11-07,TMIN,264
NTM00078988,2010-01-27,TMIN,246
NTM00078988,2005-12-10,TMAX,299
NTM00078988,2015-03-21,TMIN,238
NTM00078988,2005-08-11,TMIN,257
NTM00078988,2013-03-12,TMAX,305
NTM00078988,2009-03-02,TMAX,296
NTM00078988,2013-03-01,TMIN,257
NTM00078988,2015-01-15,TMAX,316
NTM00078988,2005-11-05,TMIN,254
NTM00078988,2010-01-27,TMAX,312
NTM00078988,2011-01-28,TMAX,297
NTM00078988,2014-09-07,TMAX,330
NTM00078988,2009-08-15,TMAX,322
NTM00078988,2013-03-01,TMAX,307
NTM00078988,2005-05-06,TMAX,318
NTM00078988,2008-09-23,TMIN,270
NTM00078988,2005-04-12,TMAX,323
NTM00078988,2005-09-06,TMIN,264
NTM00078988,2014-09-07,TMIN,277
NTM00078988,2015-01-15,TMIN,244
NTM00078988,2011-01-28,TMIN,236
NTM00078988,2009-07-16,TMIN,264
NTM00078988,2005-11-08,TMIN,248
NTM00078988,2014-05-29,TMIN,259
NTM00078988,2008-06-15,TMAX,335
NTM00078988,2013-11-23,TMIN,250
NTM00078988,2012-05-25,TMAX,313
NTM00078988,2015-10-20,TMAX,326
NTM00078988,2012-08-24,TMIN,257
NTM00078988,2015-12-27,TMIN,242
NTM00078988,2005-11-08,TMAX,307
NTM00078988,2005-01-02,TMIN,233
NTM00078988,2014-08-18,TMAX,340
NTM00078988,2006-11-07,TMAX,321
NTM00078988,2008-08-09,TMAX,329
NTM00078988,2013-03-12,TMIN,259
NTM00078988,2007-10-05,TMAX,330
NTM00078988,2005-05-06,TMIN,250
NTM00078988,2005-09-06,TMAX,340
NTM00078988,2012-08-24,TMAX,310
NTM00078988,2008-09-23,TMAX,351
NTM00078988,2006-10-28,TMAX,326
NTM00078988,2011-05-02,TMAX,307
NTM00078988,2008-05-17,TMAX,321
NTM00078988,2006-12-07,TMAX,323
NTM00078988,2005-05-05,TMAX,338
NTM00078988,2006-12-14,TMIN,257
NTM00078988,2005-05-20,TMAX,302
NTM00078988,2006-10-28,TMIN,277
NTM00078988,2012-08-17,TMAX,321
NTM00078988,2010-07-24,TMIN,278
NTM00078988,2010-06-16,TMIN,260
NTM00078988,2013-09-13,TMIN,265
NTM00078988,2006-12-14,TMAX,306
NTM00078988,2009-10-02,TMAX,342
NTM00078988,2011-05-02,TMIN,241
NTM00078988,2009-08-15,TMIN,258
NTM00078988,2012-08-17,TMIN,270
NTM00078988,2010-10-03,TMIN,246
NTM00078988,2010-10-03,TMAX,310
NTM00078988,2013-07-22,TMIN,267
NTM00078988,2007-08-12,TMAX,345
NTM00078988,2013-07-22,TMAX,320
NTM00078988,2009-12-27,TMAX,318
NTM00078988,2008-06-15,TMIN,264
NTM00078988,2005-04-12,TMIN,254
NTM00078988,2007-02-25,TMAX,312
NTM00078988,2014-08-18,TMIN,268
NTM00078988,2009-04-06,TMAX,312
NTM00078988,2015-06-26,TMIN,266
NTM00078988,2008-05-17,TMIN,256
NTM00078988,2013-10-06,TMAX,322
NTM00078988,2015-03-21,TMAX,301
NTM00078988,2005-05-20,TMIN,248
NTM00078988,2014-05-29,TMAX,305
NTM00078988,2009-10-02,TMIN,276
NTM00078988,2009-12-27,TMIN,254
NTM00078988,2006-07-22,TMIN,256
NTM00078988,2007-02-25,TMIN,252
NTM00078988,2007-10-05,TMIN,257
NTM00078988,2014-03-31,TMIN,249
NTM00078988,2007-02-15,TMAX,320
NTM00078988,2010-03-08,TMIN,262
NTM00078988,2013-05-13,TMIN,261
NTM00078988,2008-02-04,TMAX,301
NTM00078988,2006-02-10,TMIN,229
NTM00078988,2012-11-12,TMIN,240
NTM00078988,2006-06-28,TMAX,318
NTM00078988,2006-02-10,TMAX,292
NTM00078988,2015-11-30,TMAX,314
NTM00078988,2008-01-03,TMIN,243
NTM00078988,2015-03-06,TMIN,237
NTM00078988,2015-03-06,TMAX,309
NTM00078988,2012-05-02,TMAX,311
NTM00078988,2015-11-30,TMIN,260
NTM00078988,2012-05-02,TMIN,261
NTM00078988,2006-02-28,TMIN,239
NTM00078988,2005-09-15,TMIN,265
NTM00078988,2005-09-15,TMAX,328
NTM00078988,2013-07-31,TMAX,320
NTM00078988,2008-07-05,TMAX,332
NTM00078988,2013-11-11,TMIN,259
NTM00078988,2006-08-05,TMIN,259
NTM00078988,2015-11-08,TMIN,255
NTM00078988,2006-07-17,TMAX,324
NTM00078988,2006-01-09,TMIN,230
NTM00078988,2012-11-12,TMAX,304
NTM00078988,2009-08-21,TMAX,321
NTM00078988,2015-12-29,TMIN,253
NTM00078988,2014-04-21,TMAX,303
NTM00078988,2007-03-11,TMIN,249
NTM00078988,2008-01-14,TMAX,310
NTM00078988,2009-02-08,TMAX,297
NTM00078988,2010-05-04,TMAX,326
NTM00078988,2010-05-04,TMIN,266
NTM00078988,2007-03-11,TMAX,310
NTM00078988,2011-01-24,TMAX,301
NTM00078988,2006-08-05,TMAX,334
NTM00078988,2005-10-06,TMIN,254
NTM00078988,2006-07-17,TMIN,259
NTM00078988,2015-04-20,TMIN,259
NTM00078988,2015-04-20,TMAX,313
NTM00078988,2011-01-24,TMIN,242
NTM00078988,2006-11-18,TMIN,250
NTM00078988,2006-11-18,TMAX,311
NTM00078988,2005-12-24,TMIN,236
NTM00078988,2005-11-09,TMAX,304
NTM00078988,2010-03-08,TMAX,313
NTM00078988,2005-11-09,TMIN,248
NTM00078988,2005-10-06,TMAX,320
NTM00078988,2015-12-29,TMAX,294
NTM00078988,2015-11-08,TMAX,311
NTM00078988,2013-11-11,TMAX,313
NTM00078988,2005-11-30,TMAX,295
NTM00078988,2008-07-24,TMIN,259
