ID,Date,Element,Data_Value
RSM00028806,2012-03-11,TMIN,-279
RSM00028806,2015-10-26,TMIN,7
RSM00028806,2015-05-03,TMIN,103
RSM00028806,2013-02-15,TMAX,-83
RSM00028806,2015-05-03,TMAX,254
RSM00028806,2012-07-16,TMAX,345
RSM00028806,2015-08-08,TMIN,83
RSM00028806,2012-05-27,TMIN,162
RSM00028806,2012-07-16,TMIN,176
RSM00028806,2015-11-21,TMIN,-123
RSM00028806,2013-08-08,TMIN,142
RSM00028806,2015-06-25,TMIN,180
RSM00028806,2013-04-25,TMAX,108
RSM00028806,2015-08-13,TMAX,273
RSM00028806,2015-01-09,TMIN,-284
RSM00028806,2015-09-15,TMAX,221
RSM00028806,2012-05-27,TMAX,312
RSM00028806,2015-12-11,TMAX,6
RSM00028806,2013-01-25,TMAX,-115
RSM00028806,2012-04-11,TMAX,254
RSM00028806,2015-08-13,TMIN,83
RSM00028806,2013-04-03,TMAX,102
RSM00028806,2015-12-07,TMAX,22
RSM00028806,2013-02-15,TMIN,-212
RSM00028806,2015-08-08,TMAX,252
RSM00028806,2015-06-25,TMAX,323
RSM00028806,2015-11-12,TMAX,8
RSM00028806,2015-03-30,TMIN,-131
RSM00028806,2013-09-02,TMIN,137
RSM00028806,2014-07-03,TMIN,139
RSM00028806,2015-03-30,TMAX,1
RSM00028806,2014-05-15,TMIN,119
RSM00028806,2015-09-15,TMIN,43
RSM00028806,2015-12-07,TMIN,5
RSM00028806,2015-11-21,TMAX,19
RSM00028806,2015-10-26,TMAX,61
RSM00028806,2012-06-21,TMIN,144
RSM00028806,2013-07-06,TMIN,130
RSM00028806,2012-02-09,TMAX,-102
RSM00028806,2012-08-25,TMAX,217
RSM00028806,2014-09-13,TMIN,32
RSM00028806,2014-09-09,TMIN,-6
RSM00028806,2014-09-25,TMIN,49
RSM00028806,2013-04-22,TMAX,243
RSM00028806,2014-07-06,TMIN,154
RSM00028806,2013-01-03,TMIN,-189
RSM00028806,2014-07-23,TMIN,132
RSM00028806,2015-11-17,TMIN,-75
RSM00028806,2014-12-13,TMIN,-47
RSM00028806,2015-01-19,TMIN,-104
RSM00028806,2015-01-19,TMAX,-36
RSM00028806,2015-05-08,TMIN,69
RSM00028806,2013-04-16,TMAX,125
RSM00028806,2013-04-16,TMIN,-43
RSM00028806,2012-09-06,TMIN,92
RSM00028806,2012-09-06,TMAX,236
RSM00028806,2013-04-08,TMAX,76
RSM00028806,2013-06-05,TMIN,71
