ID,Date,Element,Data_Value
CEM00043466,2014-07-20,TMIN,274
CEM00043466,2010-08-11,TMAX,303
CEM00043466,2012-11-11,TMAX,306
CEM00043466,2013-07-15,TMAX,302
CEM00043466,2011-06-20,TMAX,312
CEM00043466,2010-02-17,TMIN,248
CEM00043466,2011-09-04,TMAX,305
CEM00043466,2010-04-08,TMIN,252
CEM00043466,2014-08-29,TMAX,309
CEM00043466,2008-03-05,TMAX,309
CEM00043466,2010-08-11,TMIN,272
CEM00043466,2012-04-18,TMAX,317
CEM00043466,2011-02-24,TMIN,240
CEM00043466,2012-11-21,TMAX,323
CEM00043466,2015-12-22,TMIN,237
CEM00043466,2012-11-30,TMAX,304
CEM00043466,2009-08-29,TMAX,305
CEM00043466,2011-10-01,TMAX,312
CEM00043466,2012-02-20,TMIN,236
CEM00043466,2015-10-07,TMIN,254
CEM00043466,2010-07-20,TMIN,243
CEM00043466,2012-03-13,TMAX,306
CEM00043466,2007-11-02,TMAX,309
CEM00043466,2015-05-21,TMAX,320
CEM00043466,2014-07-20,TMAX,306
CEM00043466,2015-05-22,TMAX,318
CEM00043466,2015-04-05,TMIN,255
CEM00043466,2009-09-24,TMAX,303
CEM00043466,2012-07-19,TMIN,266
CEM00043466,2010-04-11,TMAX,325
CEM00043466,2015-03-03,TMAX,307
CEM00043466,2015-10-06,TMAX,310
CEM00043466,2010-12-05,TMIN,235
CEM00043466,2011-03-27,TMAX,311
CEM00043466,2011-08-08,TMAX,305
CEM00043466,2012-11-11,TMIN,227
CEM00043466,2014-08-24,TMIN,245
CEM00043466,2015-05-21,TMIN,272
CEM00043466,2008-08-26,TMAX,308
CEM00043466,2012-01-23,TMAX,312
CEM00043466,2010-03-07,TMIN,278
CEM00043466,2013-07-15,TMIN,266
CEM00043466,2012-02-25,TMIN,227
CEM00043466,2012-04-22,TMAX,305
CEM00043466,2011-08-20,TMAX,305
CEM00043466,2010-06-20,TMAX,310
CEM00043466,2013-06-23,TMIN,265
CEM00043466,2015-04-05,TMAX,327
CEM00043466,2009-09-24,TMIN,237
CEM00043466,2015-12-22,TMAX,335
CEM00043466,2014-09-13,TMAX,313
CEM00043466,2007-12-13,TMAX,290
CEM00043466,2010-12-05,TMAX,287
CEM00043466,2010-03-07,TMAX,324
CEM00043466,2013-05-27,TMAX,313
CEM00043466,2013-01-19,TMAX,318
CEM00043466,2014-06-02,TMIN,236
CEM00043466,2015-01-10,TMIN,219
CEM00043466,2012-01-09,TMAX,308
CEM00043466,2014-03-29,TMIN,254
CEM00043466,2011-02-27,TMAX,304
CEM00043466,2013-04-25,TMAX,325
CEM00043466,2012-03-03,TMIN,252
CEM00043466,2013-04-25,TMIN,266
CEM00043466,2014-05-10,TMIN,264
CEM00043466,2013-06-29,TMIN,250
CEM00043466,2010-05-28,TMIN,280
CEM00043466,2012-01-09,TMIN,237
CEM00043466,2014-12-06,TMAX,311
CEM00043466,2011-03-03,TMIN,248
CEM00043466,2011-03-03,TMAX,313
CEM00043466,2009-02-28,TMAX,314
CEM00043466,2012-07-31,TMAX,311
CEM00043466,2011-08-19,TMIN,268
CEM00043466,2014-08-14,TMAX,307
CEM00043466,2012-05-12,TMAX,318
CEM00043466,2015-05-22,TMIN,269
CEM00043466,2014-10-16,TMAX,309
CEM00043466,2011-08-19,TMAX,307
CEM00043466,2014-09-13,TMIN,271
CEM00043466,2015-10-07,TMAX,310
CEM00043466,2008-01-17,TMAX,317
CEM00043466,2014-08-14,TMIN,263
CEM00043466,2014-10-16,TMIN,238
CEM00043466,2011-09-04,TMIN,253
CEM00043466,2010-05-26,TMAX,311
CEM00043466,2012-06-09,TMIN,281
CEM00043466,2010-09-25,TMIN,241
CEM00043466,2013-06-23,TMAX,293
CEM00043466,2011-05-13,TMIN,270
CEM00043466,2015-01-10,TMAX,319
CEM00043466,2014-06-02,TMAX,287
CEM00043466,2010-10-30,TMAX,303
CEM00043466,2010-07-20,TMAX,297
CEM00043466,2013-05-12,TMAX,317
CEM00043466,2012-05-04,TMAX,316
CEM00043466,2012-11-30,TMIN,231
CEM00043466,2012-07-31,TMIN,271
CEM00043466,2012-03-03,TMAX,312
CEM00043466,2010-10-30,TMIN,241
CEM00043466,2010-09-25,TMAX,299
CEM00043466,2014-12-17,TMAX,303
CEM00043466,2012-05-04,TMIN,274
CEM00043466,2014-05-10,TMAX,318
CEM00043466,2012-06-29,TMAX,308
CEM00043466,2013-06-29,TMAX,295
CEM00043466,2010-08-27,TMAX,299
CEM00043466,2012-06-29,TMIN,269
CEM00043466,2009-09-27,TMIN,270
CEM00043466,2014-06-16,TMAX,313
CEM00043466,2015-09-27,TMAX,292
CEM00043466,2008-01-13,TMAX,293
CEM00043466,2015-03-03,TMIN,252
CEM00043466,2015-03-22,TMAX,313
CEM00043466,2013-06-09,TMAX,306
CEM00043466,2015-06-21,TMAX,316
CEM00043466,2012-05-05,TMAX,320
CEM00043466,2014-08-24,TMAX,303
CEM00043466,2015-06-27,TMAX,304
CEM00043466,2015-08-24,TMAX,308
CEM00043466,2013-10-27,TMIN,249
CEM00043466,2015-09-23,TMIN,258
CEM00043466,2009-06-20,TMAX,292
CEM00043466,2015-08-24,TMIN,248
CEM00043466,2014-04-30,TMIN,233
CEM00043466,2014-04-30,TMAX,322
CEM00043466,2015-06-27,TMIN,245
CEM00043466,2011-05-13,TMAX,311
CEM00043466,2009-02-20,TMAX,329
CEM00043466,2011-02-24,TMAX,306
CEM00043466,2010-03-24,TMAX,312
CEM00043466,2010-09-09,TMAX,309
CEM00043466,2012-02-25,TMAX,314
CEM00043466,2012-12-12,TMAX,305
CEM00043466,2011-07-09,TMAX,301
CEM00043466,2010-05-28,TMAX,314
CEM00043466,2011-02-27,TMIN,237
CEM00043466,2013-05-21,TMAX,310
CEM00043466,2014-03-29,TMAX,319
CEM00043466,2013-09-30,TMIN,268
CEM00043466,2013-12-09,TMIN,241
CEM00043466,2012-05-03,TMIN,254
CEM00043466,2015-05-24,TMIN,267
CEM00043466,2013-09-30,TMAX,311
CEM00043466,2015-09-23,TMAX,316
CEM00043466,2010-12-31,TMAX,312
CEM00043466,2013-05-29,TMIN,257
CEM00043466,2013-10-27,TMAX,306
CEM00043466,2013-05-29,TMAX,307
CEM00043466,2010-12-12,TMAX,301
CEM00043466,2011-08-25,TMIN,245
CEM00043466,2013-03-05,TMAX,316
CEM00043466,2015-07-01,TMIN,253
CEM00043466,2011-07-09,TMIN,274
CEM00043466,2012-05-03,TMAX,314
CEM00043466,2013-05-27,TMIN,263
CEM00043466,2014-06-16,TMIN,250
CEM00043466,2011-08-25,TMAX,299
CEM00043466,2011-08-20,TMIN,268
CEM00043466,2010-05-26,TMIN,268
CEM00043466,2013-06-09,TMIN,231
CEM00043466,2009-07-30,TMAX,298
CEM00043466,2013-12-09,TMAX,309
CEM00043466,2010-09-09,TMIN,257
CEM00043466,2012-05-12,TMIN,277
CEM00043466,2013-11-22,TMAX,309
CEM00043466,2012-06-09,TMAX,313
CEM00043466,2011-07-12,TMIN,270
CEM00043466,2010-10-20,TMAX,297
CEM00043466,2010-06-20,TMIN,245
CEM00043466,2007-10-20,TMAX,266
CEM00043466,2012-04-19,TMIN,231
CEM00043466,2014-01-19,TMIN,230
CEM00043466,2014-01-19,TMAX,326
CEM00043466,2010-11-11,TMAX,278
CEM00043466,2010-07-07,TMIN,259
CEM00043466,2014-03-15,TMIN,241
CEM00043466,2012-08-07,TMAX,315
CEM00043466,2014-07-03,TMAX,307
CEM00043466,2012-04-19,TMAX,311
CEM00043466,2014-07-28,TMIN,259
CEM00043466,2015-01-28,TMAX,319
CEM00043466,2013-02-28,TMAX,308
CEM00043466,2015-06-06,TMIN,241
CEM00043466,2013-01-26,TMAX,321
CEM00043466,2010-11-07,TMIN,263
CEM00043466,2009-11-21,TMAX,272
CEM00043466,2011-11-02,TMIN,237
CEM00043466,2014-11-01,TMAX,308
CEM00043466,2013-07-30,TMAX,301
CEM00043466,2010-12-02,TMAX,294
CEM00043466,2014-11-01,TMIN,235
CEM00043466,2012-11-09,TMIN,243
CEM00043466,2010-12-02,TMIN,228
CEM00043466,2009-06-07,TMAX,298
CEM00043466,2013-01-26,TMIN,236
CEM00043466,2013-08-09,TMAX,289
CEM00043466,2014-03-10,TMAX,322
CEM00043466,2013-01-04,TMAX,266
CEM00043466,2014-03-10,TMIN,249
CEM00043466,2009-01-28,TMAX,293
CEM00043466,2010-10-27,TMAX,301
CEM00043466,2009-04-24,TMAX,327
CEM00043466,2010-11-07,TMAX,303
CEM00043466,2011-06-24,TMAX,306
CEM00043466,2009-10-27,TMAX,308
CEM00043466,2013-01-04,TMIN,236
CEM00043466,2013-07-09,TMIN,260
CEM00043466,2015-07-15,TMAX,316
CEM00043466,2015-11-10,TMIN,250
CEM00043466,2011-08-24,TMAX,274
CEM00043466,2011-08-24,TMIN,231
CEM00043466,2012-01-16,TMAX,304
CEM00043466,2014-11-21,TMAX,310
CEM00043466,2010-04-28,TMAX,321
CEM00043466,2013-11-16,TMIN,240
CEM00043466,2015-07-15,TMIN,278
CEM00043466,2014-10-05,TMAX,311
CEM00043466,2013-03-10,TMAX,313
CEM00043466,2012-05-19,TMAX,326
CEM00043466,2012-05-19,TMIN,287
CEM00043466,2014-03-15,TMAX,315
CEM00043466,2013-07-09,TMAX,295
CEM00043466,2008-12-21,TMAX,324
CEM00043466,2014-11-16,TMAX,319
CEM00043466,2015-11-10,TMAX,311
CEM00043466,2013-11-16,TMAX,310
CEM00043466,2014-08-01,TMAX,311
CEM00043466,2011-06-24,TMIN,280
CEM00043466,2015-11-02,TMAX,307
CEM00043466,2013-05-07,TMAX,313
CEM00043466,2009-11-21,TMIN,238
CEM00043466,2010-10-20,TMIN,264
CEM00043466,2015-11-17,TMIN,246
CEM00043466,2013-07-30,TMIN,270
CEM00043466,2009-04-10,TMAX,301
CEM00043466,2009-09-27,TMAX,308
CEM00043466,2013-05-07,TMIN,244
CEM00043466,2015-12-17,TMIN,234
CEM00043466,2012-01-16,TMIN,217
CEM00043466,2008-11-11,TMAX,301
CEM00043466,2012-01-17,TMAX,301
CEM00043466,2011-04-18,TMIN,228
CEM00043466,2009-07-15,TMAX,307
CEM00043466,2014-04-15,TMIN,230
CEM00043466,2009-09-06,TMIN,247
CEM00043466,2009-09-06,TMAX,303
CEM00043466,2015-05-18,TMAX,321
CEM00043466,2015-12-10,TMIN,241
CEM00043466,2011-09-15,TMIN,266
CEM00043466,2015-05-24,TMAX,320
CEM00043466,2011-09-15,TMAX,303
CEM00043466,2009-12-17,TMAX,306
CEM00043466,2015-06-06,TMAX,318
CEM00043466,2015-02-15,TMAX,311
CEM00043466,2010-03-17,TMAX,318
CEM00043466,2013-07-24,TMIN,226
CEM00043466,2011-08-18,TMAX,304
CEM00043466,2011-08-18,TMIN,269
CEM00043466,2007-10-04,TMAX,306
CEM00043466,2010-04-27,TMAX,318
CEM00043466,2012-01-21,TMIN,227
CEM00043466,2012-05-23,TMIN,285
CEM00043466,2014-06-06,TMIN,280
CEM00043466,2015-03-13,TMAX,313
CEM00043466,2014-09-09,TMAX,304
CEM00043466,2015-11-29,TMIN,239
CEM00043466,2014-05-05,TMAX,306
CEM00043466,2014-06-07,TMAX,318
CEM00043466,2011-06-01,TMAX,307
CEM00043466,2015-02-05,TMIN,242
CEM00043466,2009-05-30,TMAX,304
CEM00043466,2012-01-07,TMAX,310
CEM00043466,2015-05-18,TMIN,260
CEM00043466,2007-09-29,TMAX,306
CEM00043466,2014-06-07,TMIN,281
CEM00043466,2009-03-19,TMAX,316
CEM00043466,2009-02-25,TMAX,310
CEM00043466,2012-01-07,TMIN,233
CEM00043466,2010-04-27,TMIN,244
CEM00043466,2014-06-26,TMAX,313
CEM00043466,2014-06-26,TMIN,279
CEM00043466,2012-07-17,TMIN,267
CEM00043466,2014-09-09,TMIN,236
CEM00043466,2011-10-08,TMIN,260
CEM00043466,2014-03-07,TMIN,237
CEM00043466,2014-03-07,TMAX,325
CEM00043466,2013-06-12,TMIN,240
CEM00043466,2007-10-24,TMAX,295
CEM00043466,2009-08-28,TMAX,307
CEM00043466,2012-10-15,TMAX,311
CEM00043466,2011-03-14,TMAX,315
CEM00043466,2010-07-07,TMAX,306
CEM00043466,2010-10-25,TMAX,307
CEM00043466,2011-03-14,TMIN,254
CEM00043466,2011-10-09,TMIN,260
CEM00043466,2011-04-06,TMIN,253
CEM00043466,2014-01-01,TMAX,332
CEM00043466,2013-06-12,TMAX,297
CEM00043466,2009-04-27,TMAX,314
CEM00043466,2009-10-27,TMIN,242
CEM00043466,2010-06-12,TMIN,240
CEM00043466,2013-08-26,TMAX,302
CEM00043466,2010-06-12,TMAX,302
CEM00043466,2013-12-02,TMIN,241
CEM00043466,2007-11-20,TMAX,307
CEM00043466,2014-06-06,TMAX,316
CEM00043466,2012-01-21,TMAX,295
CEM00043466,2013-03-17,TMAX,322
CEM00043466,2014-01-24,TMAX,312
CEM00043466,2013-12-02,TMAX,308
CEM00043466,2015-02-05,TMAX,316
CEM00043466,2014-01-01,TMIN,241
CEM00043466,2013-07-24,TMAX,295
CEM00043466,2010-04-11,TMIN,258
CEM00043466,2009-06-13,TMAX,300
CEM00043466,2012-07-17,TMAX,306
CEM00043466,2011-07-12,TMAX,306
CEM00043466,2012-05-23,TMAX,321
CEM00043466,2011-10-09,TMAX,316
CEM00043466,2015-11-29,TMAX,313
CEM00043466,2012-08-15,TMAX,309
CEM00043466,2015-11-17,TMAX,314
CEM00043466,2013-07-06,TMIN,274
CEM00043466,2013-03-10,TMIN,243
CEM00043466,2009-10-17,TMAX,309
CEM00043466,2011-07-18,TMAX,295
CEM00043466,2012-01-23,TMIN,231
CEM00043466,2010-02-07,TMAX,337
CEM00043466,2015-12-10,TMAX,297
CEM00043466,2013-07-01,TMIN,253
CEM00043466,2008-11-05,TMAX,325
CEM00043466,2011-08-06,TMAX,290
CEM00043466,2015-01-29,TMAX,322
CEM00043466,2015-10-10,TMIN,248
CEM00043466,2011-08-06,TMIN,244
CEM00043466,2009-10-09,TMAX,300
CEM00043466,2012-03-15,TMAX,301
CEM00043466,2012-07-23,TMAX,308
CEM00043466,2010-10-05,TMAX,306
CEM00043466,2011-07-18,TMIN,244
CEM00043466,2015-03-30,TMIN,248
CEM00043466,2008-07-15,TMAX,280
CEM00043466,2009-09-13,TMAX,305
CEM00043466,2014-12-30,TMAX,297
CEM00043466,2009-03-25,TMAX,318
CEM00043466,2013-06-17,TMIN,245
CEM00043466,2011-12-29,TMIN,217
CEM00043466,2010-12-13,TMAX,297
CEM00043466,2013-02-21,TMIN,235
CEM00043466,2011-05-31,TMAX,306
CEM00043466,2014-12-30,TMIN,238
CEM00043466,2010-10-05,TMIN,273
CEM00043466,2011-09-30,TMAX,315
CEM00043466,2007-11-09,TMAX,300
CEM00043466,2009-06-23,TMAX,305
CEM00043466,2009-09-08,TMIN,263
CEM00043466,2009-09-08,TMAX,302
CEM00043466,2011-07-16,TMIN,226
CEM00043466,2008-02-01,TMAX,304
CEM00043466,2013-04-27,TMAX,323
CEM00043466,2015-08-02,TMAX,318
CEM00043466,2013-01-05,TMAX,301
CEM00043466,2015-08-02,TMIN,273
CEM00043466,2015-02-07,TMAX,305
CEM00043466,2010-02-23,TMIN,254
CEM00043466,2013-05-11,TMIN,287
CEM00043466,2012-03-15,TMIN,236
CEM00043466,2013-05-11,TMAX,322
CEM00043466,2012-12-18,TMAX,285
CEM00043466,2011-08-08,TMIN,272
CEM00043466,2010-02-23,TMAX,320
CEM00043466,2012-05-11,TMAX,320
CEM00043466,2009-08-02,TMAX,302
CEM00043466,2014-01-07,TMAX,294
CEM00043466,2014-01-07,TMIN,243
CEM00043466,2013-04-10,TMIN,249
CEM00043466,2011-10-08,TMAX,312
CEM00043466,2012-09-22,TMAX,305
CEM00043466,2015-10-06,TMIN,244
CEM00043466,2011-04-18,TMAX,311
CEM00043466,2013-07-04,TMAX,305
CEM00043466,2013-07-04,TMIN,270
CEM00043466,2014-03-27,TMAX,329
CEM00043466,2011-07-30,TMAX,292
CEM00043466,2015-05-28,TMAX,320
CEM00043466,2015-02-15,TMIN,230
CEM00043466,2010-06-13,TMAX,296
CEM00043466,2014-09-24,TMAX,311
CEM00043466,2010-08-02,TMIN,269
CEM00043466,2009-10-17,TMIN,248
CEM00043466,2013-01-05,TMIN,237
CEM00043466,2010-06-13,TMIN,240
CEM00043466,2014-07-15,TMAX,312
CEM00043466,2011-10-20,TMAX,302
CEM00043466,2010-06-29,TMAX,305
CEM00043466,2011-10-20,TMIN,248
CEM00043466,2015-02-07,TMIN,229
CEM00043466,2014-10-12,TMAX,311
CEM00043466,2011-02-23,TMIN,237
CEM00043466,2015-03-30,TMAX,316
CEM00043466,2011-11-06,TMAX,311
CEM00043466,2010-01-09,TMAX,307
CEM00043466,2014-09-24,TMIN,254
CEM00043466,2010-03-28,TMAX,324
CEM00043466,2011-05-26,TMIN,277
