ID,Date,Element,Data_Value
CD000064751,2014-10-06,TMIN,172
CD000064751,2015-09-05,TMIN,191
CD000064751,2015-12-02,TMIN,139
CD000064751,2015-12-24,TMIN,95
CD000064751,2013-07-09,TMIN,212
CD000064751,2012-03-09,TMIN,208
CD000064751,2013-06-18,TMIN,261
CD000064751,2007-01-21,TMIN,140
CD000064751,2013-04-25,TMIN,287
CD000064751,2013-07-16,TMIN,248
CD000064751,2013-07-24,TMIN,273
CD000064751,2011-09-13,TMIN,210
CD000064751,2013-07-12,TMIN,278
CD000064751,2013-03-13,TMIN,200
CD000064751,2013-07-27,TMIN,240
CD000064751,2011-09-04,TMIN,230
CD000064751,2012-01-28,TMIN,177
CD000064751,2014-10-18,TMIN,165
CD000064751,2009-03-05,TMIN,170
CD000064751,2012-05-01,TMIN,300
CD000064751,2007-02-20,TMIN,184
CD000064751,2012-03-31,TMIN,199
CD000064751,2013-04-10,TMIN,233
CD000064751,2014-09-08,TMIN,190
CD000064751,2007-07-01,TMIN,290
CD000064751,2014-10-13,TMIN,200
CD000064751,2011-12-11,TMIN,80
CD000064751,2011-10-12,TMIN,217
CD000064751,2014-11-18,TMIN,159
CD000064751,2007-09-03,TMIN,225
CD000064751,2011-09-05,TMIN,229
CD000064751,2014-06-13,TMIN,263
CD000064751,2012-05-02,TMIN,275
CD000064751,2012-01-04,TMIN,153
CD000064751,2011-01-27,TMIN,182
CD000064751,2012-01-20,TMIN,165
CD000064751,2011-12-30,TMIN,186
CD000064751,2013-03-16,TMIN,242
CD000064751,2013-04-03,TMIN,253
CD000064751,2012-03-21,TMIN,195
CD000064751,2011-10-06,TMIN,197
CD000064751,2013-05-09,TMIN,240
CD000064751,2013-04-22,TMIN,302
CD000064751,2007-06-08,TMIN,270
CD000064751,2007-02-26,TMIN,203
CD000064751,2007-07-02,TMIN,289
CD000064751,2007-08-17,TMIN,246
CD000064751,2012-01-05,TMIN,154
CD000064751,2012-04-03,TMIN,225
CD000064751,2014-05-26,TMIN,241
CD000064751,2007-04-08,TMIN,248
CD000064751,2013-03-25,TMIN,264
CD000064751,2015-08-20,TMIN,174
CD000064751,2012-02-11,TMIN,200
CD000064751,2013-03-14,TMIN,215
CD000064751,2011-09-03,TMIN,257
CD000064751,2012-01-10,TMIN,144
CD000064751,2014-07-19,TMIN,231
CD000064751,2009-10-08,TMIN,245
CD000064751,2015-08-24,TMIN,160
CD000064751,2014-05-14,TMIN,236
CD000064751,2012-03-28,TMIN,210
CD000064751,2012-03-18,TMIN,212
CD000064751,2015-10-10,TMIN,190
CD000064751,2006-12-21,TMIN,118
CD000064751,2012-12-03,TMIN,195
CD000064751,2013-03-10,TMIN,206
CD000064751,2012-04-02,TMIN,237
CD000064751,2015-09-03,TMIN,190
CD000064751,2012-03-06,TMIN,198
CD000064751,2015-10-05,TMIN,185
CD000064751,2009-12-07,TMIN,173
CD000064751,2014-07-23,TMIN,236
CD000064751,2007-04-17,TMIN,263
CD000064751,2013-06-15,TMIN,288
CD000064751,2012-01-02,TMIN,163
CD000064751,2014-10-17,TMIN,201
CD000064751,2009-10-21,TMIN,240
CD000064751,2013-08-09,TMIN,234
CD000064751,2013-06-10,TMIN,284
CD000064751,2014-01-22,TMIN,125
CD000064751,2014-06-02,TMIN,265
CD000064751,2013-07-04,TMIN,254
CD000064751,2012-03-11,TMIN,257
CD000064751,2007-11-23,TMIN,159
CD000064751,2007-03-30,TMIN,243
CD000064751,2007-03-16,TMIN,224
CD000064751,2015-09-16,TMIN,188
CD000064751,2012-01-18,TMIN,134
CD000064751,2007-03-06,TMIN,185
CD000064751,2012-01-17,TMIN,124
CD000064751,2011-10-21,TMIN,195
CD000064751,2015-12-08,TMIN,90
CD000064751,2007-06-27,TMIN,231
CD000064751,2011-10-13,TMIN,177
CD000064751,2013-06-08,TMIN,295
CD000064751,2011-10-22,TMIN,192
CD000064751,2012-02-02,TMIN,170
CD000064751,2012-04-18,TMIN,294
CD000064751,2012-05-10,TMIN,269
CD000064751,2015-09-08,TMIN,178
CD000064751,2015-11-19,TMIN,145
CD000064751,2011-10-09,TMIN,184
CD000064751,2012-02-22,TMIN,200
CD000064751,2007-02-21,TMIN,215
CD000064751,2015-08-21,TMIN,209
CD000064751,2015-10-15,TMIN,200
CD000064751,2014-01-31,TMIN,175
CD000064751,2015-09-18,TMIN,196
CD000064751,2012-03-29,TMIN,206
CD000064751,2012-01-26,TMIN,144
CD000064751,2007-06-02,TMIN,274
CD000064751,2009-11-29,TMIN,169
CD000064751,2012-04-21,TMIN,314
CD000064751,2007-06-28,TMIN,286
CD000064751,2013-07-23,TMIN,275
CD000064751,2011-10-03,TMIN,196
CD000064751,2014-05-30,TMIN,246
CD000064751,2015-06-18,TMIN,252
CD000064751,2012-02-12,TMIN,200
CD000064751,2013-08-06,TMIN,200
CD000064751,2011-12-31,TMIN,176
CD000064751,2013-04-11,TMIN,256
CD000064751,2013-05-01,TMIN,286
CD000064751,2015-09-19,TMIN,190
CD000064751,2007-04-11,TMIN,271
CD000064751,2007-01-12,TMIN,114
CD000064751,2015-12-07,TMIN,110
CD000064751,2012-06-02,TMIN,266
