ID,Date,Element,Data_Value
CA002203341,2007-08-03,TMIN,43
CA002203341,2006-07-22,TMAX,142
CA002203341,2010-09-27,TMIN,-48
CA002203341,2009-11-17,TMAX,-167
CA002203341,2007-08-08,TMAX,36
CA002203341,2009-08-16,TMAX,143
CA002203341,2007-05-26,TMAX,-16
CA002203341,2006-08-31,TMIN,-6
CA002203341,2007-07-09,TMIN,84
CA002203341,2008-05-17,TMIN,-81
CA002203341,2009-09-07,TMAX,114
CA002203341,2006-07-17,TMAX,133
CA002203341,2009-09-07,TMIN,15
CA002203341,2008-05-17,TMAX,-28
CA002203341,2008-09-23,TMIN,-18
CA002203341,2009-06-28,TMAX,171
CA002203341,2007-08-03,TMAX,129
CA002203341,2007-10-08,TMAX,-89
CA002203341,2009-05-14,TMIN,-205
CA002203341,2010-09-24,TMIN,-118
CA002203341,2007-10-08,TMIN,-127
CA002203341,2007-05-26,TMIN,-38
CA002203341,2010-01-18,TMAX,-263
CA002203341,2009-09-27,TMIN,-52
CA002203341,2008-08-20,TMIN,0
CA002203341,2009-02-09,TMAX,-257
CA002203341,2008-08-20,TMAX,57
CA002203341,2009-09-30,TMAX,-73
CA002203341,2009-09-30,TMIN,-118
CA002203341,2009-02-09,TMIN,-277
CA002203341,2009-04-26,TMAX,-33
CA002203341,2009-08-16,TMIN,68
CA002203341,2009-04-26,TMIN,-107
CA002203341,2006-07-22,TMIN,42
CA002203341,2007-08-08,TMIN,6
CA002203341,2006-08-31,TMAX,82
CA002203341,2010-03-19,TMIN,-316
CA002203341,2009-06-30,TMIN,54
CA002203341,2009-06-28,TMIN,96
CA002203341,2009-03-12,TMIN,-418
CA002203341,2009-06-30,TMAX,178
CA002203341,2010-01-18,TMIN,-291
CA002203341,2010-09-02,TMAX,145
CA002203341,2010-09-23,TMIN,-96
CA002203341,2007-10-15,TMIN,-102
CA002203341,2010-07-23,TMIN,92
CA002203341,2009-04-23,TMIN,-231
CA002203341,2009-04-05,TMAX,-76
CA002203341,2009-04-05,TMIN,-198
CA002203341,2009-09-14,TMAX,66
CA002203341,2009-03-18,TMIN,-284
CA002203341,2008-07-10,TMIN,49
CA002203341,2006-07-17,TMIN,83
CA002203341,2010-09-30,TMIN,-86
CA002203341,2010-08-30,TMIN,35
CA002203341,2008-11-20,TMAX,-240
CA002203341,2009-04-23,TMAX,-140
CA002203341,2009-06-13,TMIN,-8
CA002203341,2008-07-10,TMAX,72
CA002203341,2009-03-15,TMAX,-269
CA002203341,2010-09-30,TMAX,-23
CA002203341,2009-06-13,TMAX,90
CA002203341,2010-06-13,TMAX,160
CA002203341,2010-03-30,TMAX,-90
CA002203341,2009-09-14,TMIN,11
CA002203341,2009-04-15,TMIN,-138
CA002203341,2010-07-24,TMIN,103
CA002203341,2009-04-15,TMAX,-75
CA002203341,2008-07-02,TMAX,179
CA002203341,2007-07-13,TMIN,106
CA002203341,2010-03-30,TMIN,-145
CA002203341,2008-07-02,TMIN,78
CA002203341,2008-11-20,TMIN,-270
CA002203341,2007-07-13,TMAX,191
CA002203341,2010-08-30,TMAX,105
CA002203341,2009-08-02,TMIN,59
CA002203341,2009-06-29,TMIN,61
CA002203341,2010-03-27,TMIN,-282
CA002203341,2009-08-02,TMAX,175
CA002203341,2010-03-27,TMAX,-175
CA002203341,2009-03-18,TMAX,-231
CA002203341,2010-06-13,TMIN,69
CA002203341,2009-06-29,TMAX,130
CA002203341,2010-09-23,TMAX,-43
CA002203341,2009-12-05,TMAX,-214
CA002203341,2006-08-21,TMAX,177
CA002203341,2006-08-21,TMIN,63
CA002203341,2010-09-24,TMAX,-26
CA002203341,2008-10-05,TMIN,-68
CA002203341,2010-06-23,TMIN,32
CA002203341,2010-03-05,TMIN,-168
CA002203341,2009-05-14,TMAX,-133
CA002203341,2006-07-23,TMAX,49
CA002203341,2010-05-12,TMAX,-78
CA002203341,2010-09-27,TMAX,-22
CA002203341,2009-09-27,TMAX,-28
CA002203341,2010-03-05,TMAX,-82
CA002203341,2009-04-07,TMIN,-230
CA002203341,2011-01-24,TMAX,-354
CA002203341,2009-04-07,TMAX,-133
CA002203341,2006-07-10,TMAX,165
CA002203341,2009-11-17,TMIN,-287
CA002203341,2010-07-23,TMAX,182
CA002203341,2006-07-10,TMIN,38
CA002203341,2006-07-23,TMIN,13
CA002203341,2007-10-15,TMAX,-79
CA002203341,2010-09-09,TMAX,75
CA002203341,2008-09-23,TMAX,-5
CA002203341,2006-08-02,TMAX,186
CA002203341,2006-08-02,TMIN,83
CA002203341,2009-12-05,TMIN,-268
CA002203341,2009-03-15,TMIN,-338
CA002203341,2011-01-22,TMIN,-354
CA002203341,2008-07-09,TMAX,105
CA002203341,2008-10-05,TMAX,6
CA002203341,2007-03-19,TMIN,-284
CA002203341,2010-06-23,TMAX,149
CA002203341,2010-03-08,TMAX,-116
CA002203341,2011-01-22,TMAX,-282
CA002203341,2010-03-08,TMIN,-217
CA002203341,2010-07-24,TMAX,203
CA002203341,2010-09-07,TMIN,-3
CA002203341,2010-09-07,TMAX,67
CA002203341,2010-05-12,TMIN,-176
CA002203341,2008-07-09,TMIN,70
CA002203341,2010-09-09,TMIN,9
CA002203341,2007-07-09,TMAX,213
CA002203341,2006-08-06,TMIN,113
CA002203341,2008-08-26,TMIN,5
CA002203341,2009-02-01,TMIN,-332
CA002203341,2009-02-01,TMAX,-306
CA002203341,2007-08-23,TMAX,105
CA002203341,2010-08-29,TMIN,24
CA002203341,2010-01-17,TMIN,-370
CA002203341,2009-02-15,TMIN,-208
CA002203341,2010-01-17,TMAX,-263
CA002203341,2007-04-26,TMAX,-97
CA002203341,2008-05-02,TMAX,24
CA002203341,2008-05-02,TMIN,-85
CA002203341,2010-08-29,TMAX,138
CA002203341,2009-06-22,TMIN,42
CA002203341,2008-05-18,TMIN,-99
CA002203341,2009-06-22,TMAX,169
CA002203341,2007-08-07,TMIN,26
CA002203341,2011-02-08,TMAX,-296
CA002203341,2007-02-11,TMIN,-275
CA002203341,2011-02-08,TMIN,-335
CA002203341,2007-04-26,TMIN,-192
CA002203341,2011-03-02,TMIN,-356
CA002203341,2007-04-11,TMAX,-72
CA002203341,2009-06-12,TMAX,31
CA002203341,2009-07-21,TMAX,149
CA002203341,2009-05-29,TMIN,-51
CA002203341,2008-12-25,TMIN,-301
CA002203341,2008-12-25,TMAX,-269
CA002203341,2009-06-12,TMIN,3
CA002203341,2011-03-02,TMAX,-312
CA002203341,2010-03-18,TMIN,-310
CA002203341,2009-10-02,TMIN,-80
CA002203341,2009-10-02,TMAX,-58
CA002203341,2007-08-16,TMIN,38
CA002203341,2007-08-16,TMAX,154
CA002203341,2007-08-06,TMAX,125
CA002203341,2010-03-18,TMAX,-166
CA002203341,2009-04-16,TMAX,-50
CA002203341,2007-08-06,TMIN,34
CA002203341,2010-09-22,TMAX,-33
CA002203341,2007-03-12,TMAX,-261
CA002203341,2007-03-12,TMIN,-308
CA002203341,2006-07-04,TMIN,30
CA002203341,2006-07-04,TMAX,91
CA002203341,2010-05-21,TMIN,-43
CA002203341,2008-12-17,TMAX,-227
CA002203341,2010-05-21,TMAX,59
CA002203341,2009-09-18,TMIN,12
CA002203341,2006-08-19,TMAX,139
CA002203341,2006-08-19,TMIN,33
CA002203341,2007-04-02,TMAX,-208
CA002203341,2008-06-23,TMAX,210
CA002203341,2007-08-25,TMIN,36
CA002203341,2009-04-02,TMAX,-70
CA002203341,2009-04-02,TMIN,-201
CA002203341,2007-07-17,TMIN,97
CA002203341,2007-07-17,TMAX,233
CA002203341,2009-08-03,TMIN,51
CA002203341,2009-05-20,TMAX,-16
CA002203341,2007-08-07,TMAX,71
CA002203341,2007-04-02,TMIN,-287
CA002203341,2007-06-24,TMIN,50
CA002203341,2010-01-08,TMAX,-188
CA002203341,2010-01-08,TMIN,-322
CA002203341,2009-04-16,TMIN,-121
CA002203341,2009-09-18,TMAX,61
CA002203341,2007-09-20,TMIN,-25
CA002203341,2008-08-10,TMAX,119
CA002203341,2009-02-15,TMAX,-133
CA002203341,2008-12-17,TMIN,-299
CA002203341,2010-05-16,TMAX,0
CA002203341,2010-05-16,TMIN,-49
CA002203341,2007-09-20,TMAX,-10
CA002203341,2009-01-20,TMAX,-166
CA002203341,2008-08-10,TMIN,41
CA002203341,2009-01-20,TMIN,-289
CA002203341,2009-05-20,TMIN,-91
CA002203341,2007-06-24,TMAX,178
CA002203341,2007-02-11,TMAX,-247
CA002203341,2007-08-25,TMAX,131
CA002203341,2007-04-11,TMIN,-130
CA002203341,2011-02-11,TMIN,-339
CA002203341,2008-11-25,TMIN,-212
CA002203341,2010-02-07,TMAX,-157
CA002203341,2010-02-07,TMIN,-203
CA002203341,2007-08-14,TMAX,116
CA002203341,2008-06-12,TMIN,36
CA002203341,2011-01-26,TMAX,-239
CA002203341,2008-11-25,TMAX,-135
CA002203341,2007-10-16,TMIN,-95
CA002203341,2011-01-26,TMIN,-319
CA002203341,2010-07-31,TMIN,40
CA002203341,2008-11-11,TMAX,-146
CA002203341,2006-10-08,TMAX,-54
CA002203341,2010-07-31,TMAX,133
CA002203341,2009-04-29,TMIN,-64
CA002203341,2009-04-29,TMAX,-20
CA002203341,2008-06-01,TMAX,58
CA002203341,2008-11-11,TMIN,-189
CA002203341,2010-09-08,TMAX,82
CA002203341,2008-08-11,TMAX,54
CA002203341,2008-08-11,TMIN,17
CA002203341,2008-09-03,TMAX,61
CA002203341,2009-05-03,TMIN,-175
CA002203341,2008-07-31,TMAX,109
CA002203341,2006-08-06,TMAX,243
CA002203341,2008-07-31,TMIN,14
CA002203341,2009-03-23,TMIN,-311
CA002203341,2008-09-03,TMIN,13
CA002203341,2007-10-16,TMAX,-52
CA002203341,2009-05-03,TMAX,-54
CA002203341,2010-05-28,TMIN,22
CA002203341,2007-06-28,TMIN,89
CA002203341,2007-08-14,TMIN,21
CA002203341,2007-06-28,TMAX,200
CA002203341,2010-05-28,TMAX,89
CA002203341,2006-09-02,TMAX,94
CA002203341,2006-09-02,TMIN,12
CA002203341,2009-03-23,TMAX,-201
CA002203341,2011-02-11,TMAX,-306
CA002203341,2010-09-08,TMIN,-1
CA002203341,2006-09-29,TMIN,-39
CA002203341,2010-05-20,TMAX,13
CA002203341,2009-02-21,TMIN,-327
CA002203341,2009-02-02,TMAX,-229
CA002203341,2009-02-21,TMAX,-184
CA002203341,2006-09-15,TMAX,52
CA002203341,2009-09-25,TMIN,-50
CA002203341,2006-10-08,TMIN,-141
CA002203341,2007-02-14,TMAX,-234
CA002203341,2006-09-15,TMIN,-21
CA002203341,2010-05-20,TMIN,-39
CA002203341,2009-05-30,TMIN,-32
CA002203341,2007-05-12,TMIN,-115
CA002203341,2009-08-28,TMIN,30
CA002203341,2007-05-12,TMAX,3
CA002203341,2008-06-12,TMAX,106
CA002203341,2009-08-28,TMAX,108
CA002203341,2009-05-30,TMAX,56
CA002203341,2008-06-01,TMIN,-43
CA002203341,2007-02-14,TMIN,-277
CA002203341,2007-08-19,TMAX,91
CA002203341,2006-09-29,TMAX,-20
CA002203341,2007-04-23,TMIN,-165
CA002203341,2008-05-07,TMAX,-63
CA002203341,2009-09-25,TMAX,-30
CA002203341,2008-05-07,TMIN,-116
CA002203341,2007-03-25,TMAX,-125
CA002203341,2007-04-23,TMAX,-45
CA002203341,2007-08-19,TMIN,39
CA002203341,2007-03-25,TMIN,-219
CA002203341,2007-07-28,TMIN,35
CA002203341,2007-07-28,TMAX,151
CA002203341,2009-05-29,TMAX,25
CA002203341,2007-05-17,TMAX,-120
CA002203341,2009-07-21,TMIN,21
CA002203341,2009-02-02,TMIN,-318
CA002203341,2010-09-22,TMIN,-68
CA002203341,2007-05-17,TMIN,-194
CA002203341,2009-09-11,TMIN,18
CA002203341,2009-08-03,TMAX,121
CA002203341,2008-05-04,TMIN,-107
CA002203341,2006-10-01,TMIN,-97
CA002203341,2009-08-21,TMIN,8
CA002203341,2008-04-13,TMAX,-90
CA002203341,2008-04-13,TMIN,-132
CA002203341,2009-08-21,TMAX,99
CA002203341,2010-01-12,TMIN,-325
CA002203341,2008-08-06,TMAX,85
CA002203341,2010-01-12,TMAX,-286
CA002203341,2010-07-16,TMAX,151
CA002203341,2010-07-18,TMIN,94
CA002203341,2007-05-22,TMIN,-81
CA002203341,2008-08-06,TMIN,23
CA002203341,2007-07-04,TMAX,162
CA002203341,2010-07-18,TMAX,158
CA002203341,2007-06-26,TMAX,212
CA002203341,2007-07-04,TMIN,49
CA002203341,2007-05-22,TMAX,-24
CA002203341,2006-07-26,TMAX,154
CA002203341,2007-03-27,TMIN,-273
CA002203341,2009-06-17,TMAX,52
CA002203341,2007-03-15,TMAX,-316
CA002203341,2007-04-03,TMIN,-262
CA002203341,2009-05-01,TMIN,-66
CA002203341,2006-06-18,TMAX,154
CA002203341,2007-03-15,TMIN,-388
CA002203341,2008-07-13,TMIN,57
CA002203341,2006-06-18,TMIN,31
CA002203341,2009-10-19,TMIN,-171
CA002203341,2007-08-30,TMAX,113
CA002203341,2006-09-08,TMAX,115
CA002203341,2007-08-30,TMIN,23
CA002203341,2007-04-03,TMAX,-185
