ID,Date,Element,Data_Value
IRM00040798,2014-12-01,TMAX,46
IRM00040798,2006-04-20,TMAX,226
IRM00040798,2015-08-04,TMIN,85
IRM00040798,2011-10-23,TMIN,-48
IRM00040798,2008-07-26,TMAX,328
IRM00040798,2007-02-03,TMIN,-36
IRM00040798,2008-08-14,TMAX,322
IRM00040798,2011-10-23,TMAX,204
IRM00040798,2006-12-03,TMIN,-30
IRM00040798,2007-06-30,TMIN,146
IRM00040798,2014-12-01,TMIN,-111
IRM00040798,2014-07-04,TMAX,302
IRM00040798,2012-01-15,TMAX,78
IRM00040798,2005-12-01,TMAX,162
IRM00040798,2012-05-02,TMIN,38
IRM00040798,2011-07-12,TMAX,326
IRM00040798,2015-04-07,TMIN,-20
IRM00040798,2013-02-23,TMIN,-112
IRM00040798,2005-09-24,TMAX,298
IRM00040798,2014-03-23,TMIN,-34
IRM00040798,2012-03-19,TMAX,110
IRM00040798,2005-02-13,TMIN,-158
IRM00040798,2013-04-21,TMAX,148
IRM00040798,2006-07-23,TMAX,312
IRM00040798,2006-04-20,TMIN,8
IRM00040798,2014-03-23,TMAX,142
IRM00040798,2011-07-12,TMIN,86
IRM00040798,2015-08-04,TMAX,311
IRM00040798,2005-09-24,TMIN,54
IRM00040798,2006-10-01,TMIN,32
IRM00040798,2006-06-08,TMAX,286
IRM00040798,2010-01-13,TMIN,-48
IRM00040798,2010-01-13,TMAX,144
IRM00040798,2006-07-23,TMIN,98
IRM00040798,2006-10-01,TMAX,262
IRM00040798,2006-05-23,TMAX,248
IRM00040798,2014-02-14,TMAX,105
IRM00040798,2007-04-17,TMAX,194
IRM00040798,2007-04-17,TMIN,18
IRM00040798,2011-04-13,TMIN,74
IRM00040798,2011-07-10,TMAX,320
IRM00040798,2006-10-15,TMIN,66
IRM00040798,2011-12-21,TMAX,126
IRM00040798,2011-06-17,TMAX,348
IRM00040798,2014-12-05,TMIN,-74
IRM00040798,2014-12-23,TMIN,-87
IRM00040798,2010-11-27,TMAX,160
IRM00040798,2011-07-10,TMIN,90
IRM00040798,2015-09-10,TMAX,292
IRM00040798,2006-10-15,TMAX,242
IRM00040798,2011-09-09,TMAX,324
IRM00040798,2010-11-05,TMAX,150
IRM00040798,2010-11-27,TMIN,-120
IRM00040798,2014-08-19,TMIN,100
IRM00040798,2014-02-14,TMIN,-107
IRM00040798,2008-01-29,TMAX,26
IRM00040798,2012-07-29,TMAX,306
IRM00040798,2013-05-17,TMAX,218
IRM00040798,2006-01-04,TMAX,52
IRM00040798,2014-08-19,TMAX,320
IRM00040798,2015-02-18,TMAX,90
IRM00040798,2006-01-04,TMIN,-100
IRM00040798,2011-06-17,TMIN,92
IRM00040798,2013-11-23,TMAX,104
IRM00040798,2010-02-17,TMIN,-4
IRM00040798,2015-09-10,TMIN,62
IRM00040798,2010-11-05,TMIN,-12
IRM00040798,2011-10-04,TMIN,-4
IRM00040798,2006-07-21,TMAX,306
IRM00040798,2007-07-02,TMAX,352
IRM00040798,2012-03-19,TMIN,-162
IRM00040798,2006-09-02,TMIN,74
IRM00040798,2007-05-10,TMIN,50
IRM00040798,2010-12-30,TMIN,-166
IRM00040798,2008-07-26,TMIN,168
IRM00040798,2011-09-23,TMIN,12
IRM00040798,2012-03-11,TMAX,98
IRM00040798,2007-05-10,TMAX,268
IRM00040798,2005-12-09,TMIN,-60
IRM00040798,2007-03-05,TMAX,144
IRM00040798,2010-02-17,TMAX,150
IRM00040798,2008-01-29,TMIN,-168
IRM00040798,2007-10-23,TMIN,8
IRM00040798,2006-05-23,TMIN,44
IRM00040798,2009-10-25,TMAX,175
IRM00040798,2006-09-02,TMAX,290
IRM00040798,2006-05-03,TMAX,212
IRM00040798,2006-05-03,TMIN,74
IRM00040798,2007-02-03,TMAX,66
IRM00040798,2005-08-28,TMAX,330
IRM00040798,2013-08-28,TMIN,82
IRM00040798,2013-08-28,TMAX,320
IRM00040798,2006-03-09,TMAX,190
IRM00040798,2006-07-21,TMIN,106
IRM00040798,2011-09-09,TMIN,56
IRM00040798,2011-09-27,TMAX,280
IRM00040798,2011-09-27,TMIN,38
IRM00040798,2012-12-30,TMAX,102
IRM00040798,2011-04-13,TMAX,150
IRM00040798,2012-12-30,TMIN,-94
IRM00040798,2008-07-27,TMIN,180
IRM00040798,2015-08-09,TMAX,344
IRM00040798,2012-01-15,TMIN,-128
IRM00040798,2009-06-22,TMIN,66
IRM00040798,2011-10-24,TMIN,-72
IRM00040798,2011-10-24,TMAX,208
IRM00040798,2007-10-05,TMIN,26
IRM00040798,2006-04-01,TMIN,-8
IRM00040798,2010-03-21,TMAX,158
IRM00040798,2011-03-06,TMIN,-104
IRM00040798,2008-02-08,TMIN,-171
IRM00040798,2006-04-01,TMAX,166
IRM00040798,2013-12-26,TMAX,84
IRM00040798,2008-07-18,TMAX,338
IRM00040798,2008-07-18,TMIN,106
IRM00040798,2012-05-03,TMAX,198
IRM00040798,2014-07-15,TMIN,124
IRM00040798,2011-06-16,TMIN,56
IRM00040798,2008-02-08,TMAX,64
IRM00040798,2007-05-16,TMAX,228
IRM00040798,2014-07-15,TMAX,338
IRM00040798,2007-05-16,TMIN,62
IRM00040798,2005-02-13,TMAX,32
IRM00040798,2006-03-31,TMAX,142
IRM00040798,2015-05-15,TMAX,222
IRM00040798,2015-05-08,TMIN,11
IRM00040798,2011-06-16,TMAX,334
IRM00040798,2013-12-26,TMIN,-130
IRM00040798,2006-03-31,TMIN,-14
IRM00040798,2009-06-23,TMAX,292
IRM00040798,2006-02-24,TMAX,64
IRM00040798,2010-06-05,TMIN,79
IRM00040798,2007-05-15,TMIN,82
IRM00040798,2007-05-15,TMAX,250
IRM00040798,2007-03-19,TMAX,102
IRM00040798,2012-08-22,TMAX,326
IRM00040798,2015-11-06,TMAX,180
IRM00040798,2010-02-25,TMAX,104
IRM00040798,2010-01-16,TMAX,140
IRM00040798,2009-02-10,TMAX,158
IRM00040798,2011-12-01,TMIN,-56
IRM00040798,2009-02-10,TMIN,-28
IRM00040798,2007-11-06,TMIN,-56
IRM00040798,2012-12-28,TMAX,54
IRM00040798,2011-11-28,TMAX,88
IRM00040798,2009-10-09,TMIN,2
IRM00040798,2007-06-30,TMAX,320
IRM00040798,2007-10-23,TMAX,212
IRM00040798,2012-07-26,TMIN,110
IRM00040798,2007-11-06,TMAX,198
IRM00040798,2011-09-05,TMIN,56
IRM00040798,2014-05-13,TMIN,29
IRM00040798,2015-01-11,TMIN,-39
IRM00040798,2012-05-04,TMAX,242
IRM00040798,2011-08-15,TMIN,110
IRM00040798,2011-08-15,TMAX,362
IRM00040798,2007-07-11,TMIN,148
IRM00040798,2014-09-10,TMAX,302
IRM00040798,2007-07-11,TMAX,346
IRM00040798,2011-03-06,TMAX,96
IRM00040798,2006-06-14,TMAX,306
IRM00040798,2012-08-22,TMIN,106
IRM00040798,2006-03-03,TMAX,156
IRM00040798,2006-06-14,TMIN,94
IRM00040798,2013-07-01,TMAX,334
IRM00040798,2007-03-19,TMIN,-64
IRM00040798,2011-11-28,TMIN,-88
IRM00040798,2008-03-13,TMAX,190
IRM00040798,2011-11-01,TMAX,124
IRM00040798,2009-06-22,TMAX,274
IRM00040798,2012-05-02,TMAX,238
IRM00040798,2007-08-17,TMIN,102
IRM00040798,2005-12-09,TMAX,154
IRM00040798,2008-07-27,TMAX,332
IRM00040798,2006-09-26,TMIN,42
IRM00040798,2007-09-21,TMIN,48
IRM00040798,2013-01-03,TMAX,72
IRM00040798,2007-09-01,TMIN,86
IRM00040798,2015-02-06,TMAX,146
IRM00040798,2006-09-26,TMAX,268
IRM00040798,2015-02-06,TMIN,-111
IRM00040798,2007-09-21,TMAX,294
IRM00040798,2015-08-09,TMIN,104
IRM00040798,2006-11-07,TMAX,210
IRM00040798,2007-07-02,TMIN,166
IRM00040798,2013-12-14,TMIN,30
IRM00040798,2008-03-13,TMIN,50
