ID,Date,Element,Data_Value
MAM00067023,2006-06-14,TMAX,286
MAM00067023,2005-01-18,TMAX,315
MAM00067023,2011-09-08,TMIN,166
MAM00067023,2012-05-18,TMAX,302
MAM00067023,2007-01-05,TMAX,314
MAM00067023,2014-11-25,TMAX,306
MAM00067023,2006-11-01,TMAX,285
MAM00067023,2014-12-20,TMIN,236
MAM00067023,2006-11-09,TMAX,300
MAM00067023,2009-06-18,TMAX,286
MAM00067023,2007-11-18,TMAX,292
MAM00067023,2014-03-07,TMAX,314
MAM00067023,2013-02-16,TMAX,334
MAM00067023,2005-02-18,TMAX,329
MAM00067023,2012-10-03,TMIN,170
MAM00067023,2014-09-18,TMIN,190
MAM00067023,2013-05-28,TMAX,302
MAM00067023,2010-07-25,TMAX,270
MAM00067023,2007-05-05,TMAX,298
MAM00067023,2006-02-19,TMAX,318
MAM00067023,2014-01-14,TMAX,298
MAM00067023,2010-12-05,TMIN,205
MAM00067023,2008-09-01,TMAX,278
MAM00067023,2009-07-21,TMIN,170
MAM00067023,2009-04-22,TMAX,312
MAM00067023,2010-07-21,TMAX,262
MAM00067023,2014-10-21,TMAX,302
MAM00067023,2010-12-27,TMAX,318
MAM00067023,2011-07-31,TMAX,272
MAM00067023,2005-01-06,TMAX,330
MAM00067023,2009-03-17,TMAX,310
MAM00067023,2009-11-12,TMAX,320
MAM00067023,2014-01-14,TMIN,217
MAM00067023,2011-09-25,TMAX,282
MAM00067023,2015-05-16,TMAX,320
MAM00067023,2010-06-12,TMIN,189
MAM00067023,2007-12-10,TMIN,200
MAM00067023,2014-11-09,TMIN,224
MAM00067023,2015-09-20,TMIN,186
MAM00067023,2014-07-25,TMAX,278
MAM00067023,2015-07-10,TMAX,276
MAM00067023,2013-05-13,TMIN,185
MAM00067023,2007-04-14,TMAX,304
MAM00067023,2013-04-30,TMAX,298
MAM00067023,2005-04-25,TMAX,312
MAM00067023,2015-05-16,TMIN,226
MAM00067023,2008-03-21,TMIN,216
MAM00067023,2015-07-31,TMIN,190
MAM00067023,2011-11-17,TMIN,210
MAM00067023,2015-09-21,TMIN,190
MAM00067023,2008-06-09,TMAX,284
MAM00067023,2011-05-26,TMIN,200
MAM00067023,2007-10-03,TMIN,206
MAM00067023,2006-01-10,TMIN,230
MAM00067023,2010-07-25,TMIN,166
MAM00067023,2015-03-05,TMAX,315
MAM00067023,2011-06-27,TMIN,180
MAM00067023,2012-05-27,TMIN,195
MAM00067023,2011-06-27,TMAX,290
MAM00067023,2010-09-06,TMAX,284
MAM00067023,2009-06-15,TMIN,196
MAM00067023,2014-05-17,TMAX,305
MAM00067023,2014-01-23,TMAX,315
MAM00067023,2014-05-16,TMAX,298
MAM00067023,2007-07-12,TMIN,158
MAM00067023,2012-05-27,TMAX,292
MAM00067023,2013-05-04,TMIN,200
MAM00067023,2012-01-26,TMIN,227
MAM00067023,2005-06-30,TMIN,175
MAM00067023,2014-08-03,TMIN,157
MAM00067023,2009-03-17,TMIN,226
MAM00067023,2007-01-05,TMIN,226
MAM00067023,2007-03-20,TMIN,245
MAM00067023,2009-07-08,TMAX,273
MAM00067023,2014-03-07,TMIN,215
MAM00067023,2011-11-17,TMAX,305
MAM00067023,2010-11-10,TMIN,196
MAM00067023,2006-09-07,TMIN,166
MAM00067023,2014-06-12,TMIN,175
MAM00067023,2007-07-12,TMAX,282
MAM00067023,2005-01-02,TMIN,226
MAM00067023,2015-12-26,TMAX,326
MAM00067023,2012-01-26,TMAX,315
MAM00067023,2013-02-16,TMIN,215
MAM00067023,2012-05-16,TMIN,198
MAM00067023,2013-09-17,TMIN,186
MAM00067023,2005-10-02,TMIN,196
MAM00067023,2010-07-21,TMIN,186
MAM00067023,2014-12-31,TMAX,337
MAM00067023,2005-02-21,TMIN,244
MAM00067023,2014-05-23,TMIN,166
MAM00067023,2010-12-05,TMAX,299
MAM00067023,2007-11-24,TMIN,184
MAM00067023,2011-12-07,TMIN,216
MAM00067023,2009-03-06,TMAX,320
MAM00067023,2012-12-15,TMIN,211
MAM00067023,2011-11-03,TMAX,295
MAM00067023,2005-02-21,TMAX,326
MAM00067023,2008-04-18,TMAX,305
MAM00067023,2006-07-24,TMIN,175
MAM00067023,2005-12-12,TMAX,310
MAM00067023,2005-12-18,TMIN,223
MAM00067023,2012-03-03,TMIN,206
MAM00067023,2011-12-07,TMAX,314
MAM00067023,2010-06-12,TMAX,282
MAM00067023,2011-08-04,TMAX,278
MAM00067023,2012-12-15,TMAX,308
MAM00067023,2006-11-15,TMAX,294
MAM00067023,2010-04-20,TMIN,220
MAM00067023,2008-09-06,TMIN,182
MAM00067023,2007-10-03,TMAX,278
MAM00067023,2006-12-04,TMAX,305
MAM00067023,2006-11-09,TMIN,226
MAM00067023,2008-01-23,TMAX,286
MAM00067023,2013-12-28,TMIN,215
MAM00067023,2009-04-11,TMAX,312
MAM00067023,2013-09-21,TMAX,278
MAM00067023,2015-09-08,TMAX,283
MAM00067023,2014-07-25,TMIN,170
MAM00067023,2009-12-22,TMAX,322
MAM00067023,2015-07-31,TMAX,282
MAM00067023,2007-06-28,TMAX,272
