ID,Date,Element,Data_Value
RSM00028615,2005-01-01,TMIN,-215
RSM00028615,2005-04-12,TMIN,-4
RSM00028615,2005-03-25,TMAX,-36
RSM00028615,2005-03-04,TMIN,-245
RSM00028615,2005-06-26,TMIN,130
RSM00028615,2005-04-25,TMIN,72
RSM00028615,2005-04-06,TMAX,61
RSM00028615,2005-04-30,TMIN,67
RSM00028615,2005-02-06,TMAX,-149
RSM00028615,2005-03-22,TMAX,-54
RSM00028615,2005-04-09,TMAX,81
RSM00028615,2005-03-26,TMAX,-32
RSM00028615,2005-03-29,TMAX,-65
RSM00028615,2005-02-12,TMAX,-110
RSM00028615,2005-02-23,TMIN,-315
RSM00028615,2005-06-12,TMAX,257
RSM00028615,2005-03-04,TMAX,-88
RSM00028615,2005-04-01,TMAX,-30
RSM00028615,2005-02-04,TMAX,-172
RSM00028615,2005-02-09,TMAX,-65
RSM00028615,2005-04-23,TMIN,122
RSM00028615,2005-04-17,TMIN,26
RSM00028615,2005-02-24,TMIN,-306
RSM00028615,2005-03-13,TMIN,-150
RSM00028615,2005-03-22,TMIN,-120
RSM00028615,2005-02-18,TMIN,-173
RSM00028615,2005-03-03,TMIN,-170
RSM00028615,2005-04-11,TMAX,110
RSM00028615,2005-01-03,TMAX,-28
RSM00028615,2005-02-07,TMAX,-118
RSM00028615,2005-03-19,TMIN,-190
RSM00028615,2005-05-22,TMIN,122
RSM00028615,2005-03-31,TMAX,-45
RSM00028615,2005-03-11,TMIN,-86
RSM00028615,2005-01-15,TMAX,-29
RSM00028615,2005-05-22,TMAX,268
RSM00028615,2005-02-24,TMAX,-131
RSM00028615,2005-02-19,TMAX,-40
RSM00028615,2005-04-02,TMAX,-20
RSM00028615,2005-04-06,TMIN,-25
RSM00028615,2005-04-26,TMAX,120
RSM00028615,2005-05-29,TMAX,160
RSM00028615,2005-02-14,TMIN,-310
RSM00028615,2005-01-09,TMAX,21
RSM00028615,2005-02-04,TMIN,-280
RSM00028615,2005-04-16,TMAX,170
RSM00028615,2005-03-09,TMIN,-90
RSM00028615,2005-02-19,TMIN,-100
RSM00028615,2005-04-08,TMIN,-25
RSM00028615,2005-02-27,TMAX,-107
RSM00028615,2005-06-28,TMAX,201
RSM00028615,2005-02-16,TMAX,-75
RSM00028615,2005-01-02,TMAX,-23
