ID,Date,Element,Data_Value
RSE00152340,2013-08-05,TMIN,87
RSE00152340,2013-02-18,TMIN,-14
RSE00152340,2008-09-24,TMAX,167
RSE00152340,2006-08-22,TMAX,282
RSE00152340,2008-09-20,TMIN,121
RSE00152340,2007-08-19,TMIN,109
RSE00152340,2006-12-01,TMAX,94
RSE00152340,2010-07-08,TMIN,162
RSE00152340,2008-03-28,TMIN,6
RSE00152340,2007-07-12,TMIN,122
RSE00152340,2009-08-25,TMIN,59
RSE00152340,2012-01-13,TMAX,6
RSE00152340,2006-02-08,TMAX,10
RSE00152340,2010-07-08,TMAX,266
RSE00152340,2010-12-11,TMAX,78
RSE00152340,2010-10-05,TMAX,105
RSE00152340,2005-01-10,TMIN,-58
RSE00152340,2010-12-14,TMIN,-35
RSE00152340,2012-02-25,TMIN,-120
RSE00152340,2006-12-01,TMIN,-50
RSE00152340,2005-05-25,TMAX,226
RSE00152340,2012-03-30,TMAX,136
RSE00152340,2012-12-01,TMAX,186
RSE00152340,2008-07-02,TMAX,210
RSE00152340,2006-04-16,TMIN,55
RSE00152340,2013-09-19,TMIN,80
RSE00152340,2009-09-03,TMAX,220
RSE00152340,2005-02-23,TMIN,-59
RSE00152340,2009-09-06,TMAX,226
RSE00152340,2009-09-21,TMIN,106
RSE00152340,2008-07-25,TMIN,136
RSE00152340,2012-07-22,TMAX,297
RSE00152340,2009-09-21,TMAX,151
RSE00152340,2013-09-06,TMIN,19
RSE00152340,2006-07-26,TMIN,163
RSE00152340,2005-09-20,TMAX,242
RSE00152340,2007-08-19,TMAX,265
RSE00152340,2012-02-25,TMAX,39
RSE00152340,2008-07-25,TMAX,324
RSE00152340,2013-02-18,TMAX,16
RSE00152340,2007-06-26,TMAX,233
RSE00152340,2005-01-10,TMAX,30
RSE00152340,2009-08-25,TMAX,235
RSE00152340,2006-08-22,TMIN,136
RSE00152340,2013-08-05,TMAX,214
RSE00152340,2010-08-20,TMIN,116
RSE00152340,2008-05-27,TMAX,191
RSE00152340,2012-07-22,TMIN,133
RSE00152340,2007-05-02,TMIN,60
RSE00152340,2010-01-14,TMIN,-13
RSE00152340,2008-09-24,TMIN,110
RSE00152340,2007-07-12,TMAX,295
RSE00152340,2005-10-29,TMAX,56
RSE00152340,2006-02-08,TMIN,-84
RSE00152340,2013-11-22,TMAX,169
RSE00152340,2013-11-22,TMIN,38
RSE00152340,2011-06-17,TMIN,106
RSE00152340,2008-01-06,TMAX,-4
RSE00152340,2009-08-03,TMAX,230
RSE00152340,2011-06-17,TMAX,229
RSE00152340,2007-10-02,TMIN,36
RSE00152340,2007-10-20,TMIN,-14
RSE00152340,2012-12-27,TMAX,131
RSE00152340,2010-08-13,TMIN,126
RSE00152340,2005-09-22,TMIN,87
RSE00152340,2012-12-27,TMIN,-69
RSE00152340,2007-10-20,TMAX,220
RSE00152340,2006-09-02,TMIN,127
RSE00152340,2010-04-03,TMIN,-11
RSE00152340,2008-06-26,TMIN,99
RSE00152340,2006-07-25,TMIN,108
RSE00152340,2011-10-16,TMAX,78
RSE00152340,2010-04-03,TMAX,103
RSE00152340,2007-03-19,TMAX,65
RSE00152340,2006-03-29,TMAX,147
RSE00152340,2007-06-26,TMIN,80
RSE00152340,2013-07-25,TMIN,98
RSE00152340,2006-03-29,TMIN,-22
RSE00152340,2011-10-16,TMIN,50
RSE00152340,2008-06-26,TMAX,243
RSE00152340,2008-10-29,TMAX,195
RSE00152340,2007-10-02,TMAX,215
RSE00152340,2013-12-21,TMAX,-2
RSE00152340,2013-03-11,TMAX,156
RSE00152340,2006-09-02,TMAX,296
RSE00152340,2010-08-20,TMAX,264
RSE00152340,2011-09-23,TMIN,63
RSE00152340,2007-12-18,TMIN,-127
RSE00152340,2013-01-21,TMAX,53
RSE00152340,2007-07-02,TMAX,232
RSE00152340,2009-10-26,TMIN,54
RSE00152340,2009-04-14,TMIN,-44
RSE00152340,2011-09-23,TMAX,244
RSE00152340,2007-03-04,TMAX,104
RSE00152340,2007-07-02,TMIN,119
RSE00152340,2009-11-13,TMAX,151
RSE00152340,2010-10-05,TMIN,52
RSE00152340,2013-01-21,TMIN,-69
RSE00152340,2006-01-22,TMAX,-25
RSE00152340,2008-01-06,TMIN,-169
RSE00152340,2008-05-08,TMAX,141
RSE00152340,2008-12-14,TMIN,-121
RSE00152340,2008-12-14,TMAX,-15
RSE00152340,2006-09-22,TMAX,232
RSE00152340,2007-12-18,TMAX,-19
RSE00152340,2006-09-22,TMIN,79
RSE00152340,2006-03-14,TMIN,-24
RSE00152340,2006-01-22,TMIN,-172
RSE00152340,2006-03-14,TMAX,182
RSE00152340,2009-10-26,TMAX,127
RSE00152340,2009-11-26,TMAX,60
RSE00152340,2005-04-02,TMIN,-53
RSE00152340,2005-06-03,TMAX,180
RSE00152340,2005-02-17,TMIN,1
RSE00152340,2009-11-13,TMIN,3
RSE00152340,2008-07-02,TMIN,105
RSE00152340,2013-03-11,TMIN,5
RSE00152340,2006-02-01,TMAX,5
RSE00152340,2007-04-21,TMAX,151
RSE00152340,2008-02-24,TMAX,40
RSE00152340,2006-12-04,TMAX,113
RSE00152340,2007-11-10,TMIN,-53
RSE00152340,2005-06-08,TMAX,252
