ID,Date,Element,Data_Value
MXM00076750,2008-04-01,TMAX,327
MXM00076750,2015-04-08,TMIN,243
MXM00076750,2014-07-19,TMAX,350
MXM00076750,2010-12-31,TMIN,209
MXM00076750,2006-09-05,TMAX,352
MXM00076750,2011-12-15,TMAX,295
MXM00076750,2015-01-23,TMAX,316
MXM00076750,2015-09-11,TMAX,355
MXM00076750,2007-08-02,TMIN,250
MXM00076750,2015-07-20,TMAX,344
MXM00076750,2006-12-28,TMAX,342
MXM00076750,2007-01-26,TMIN,210
MXM00076750,2009-10-16,TMAX,350
MXM00076750,2009-03-10,TMIN,191
MXM00076750,2005-11-09,TMAX,322
MXM00076750,2015-07-13,TMAX,350
MXM00076750,2006-05-09,TMIN,269
MXM00076750,2013-10-03,TMAX,358
MXM00076750,2006-09-05,TMIN,247
MXM00076750,2012-02-23,TMAX,328
MXM00076750,2007-03-04,TMAX,337
MXM00076750,2010-03-20,TMAX,322
MXM00076750,2013-10-18,TMAX,340
MXM00076750,2014-08-05,TMAX,363
MXM00076750,2007-10-17,TMIN,272
MXM00076750,2015-07-13,TMIN,236
MXM00076750,2014-08-05,TMIN,236
MXM00076750,2009-10-16,TMIN,236
MXM00076750,2015-04-07,TMIN,223
MXM00076750,2014-07-19,TMIN,255
MXM00076750,2006-07-13,TMAX,299
MXM00076750,2015-05-24,TMAX,344
MXM00076750,2010-05-14,TMIN,269
MXM00076750,2007-06-03,TMAX,352
MXM00076750,2008-05-20,TMAX,343
MXM00076750,2011-07-09,TMIN,249
MXM00076750,2015-03-19,TMIN,192
MXM00076750,2012-08-02,TMIN,233
MXM00076750,2012-08-25,TMIN,245
MXM00076750,2012-08-25,TMAX,361
MXM00076750,2007-09-03,TMIN,267
MXM00076750,2015-03-19,TMAX,331
MXM00076750,2012-10-14,TMIN,218
MXM00076750,2012-08-02,TMAX,351
MXM00076750,2011-03-14,TMAX,311
MXM00076750,2014-01-30,TMIN,185
MXM00076750,2006-08-30,TMIN,241
MXM00076750,2009-07-24,TMIN,255
MXM00076750,2009-07-24,TMAX,364
MXM00076750,2006-08-30,TMAX,345
MXM00076750,2011-06-09,TMIN,231
MXM00076750,2012-11-21,TMIN,180
MXM00076750,2012-11-21,TMAX,324
MXM00076750,2008-05-20,TMIN,270
MXM00076750,2009-11-13,TMIN,169
MXM00076750,2009-02-15,TMAX,310
MXM00076750,2010-12-25,TMAX,314
MXM00076750,2007-09-22,TMIN,229
MXM00076750,2009-11-23,TMAX,325
MXM00076750,2015-04-23,TMIN,268
MXM00076750,2007-01-05,TMAX,311
MXM00076750,2010-05-30,TMAX,340
MXM00076750,2014-09-21,TMIN,244
MXM00076750,2014-09-21,TMAX,343
MXM00076750,2013-01-29,TMIN,203
MXM00076750,2015-04-07,TMAX,334
MXM00076750,2007-12-29,TMIN,204
MXM00076750,2013-01-29,TMAX,312
MXM00076750,2014-03-07,TMAX,350
MXM00076750,2013-07-05,TMAX,338
MXM00076750,2009-01-05,TMIN,240
MXM00076750,2008-04-28,TMIN,254
MXM00076750,2013-07-05,TMIN,217
MXM00076750,2015-09-11,TMIN,266
MXM00076750,2007-10-14,TMIN,239
MXM00076750,2011-06-09,TMAX,364
MXM00076750,2014-08-02,TMIN,248
MXM00076750,2007-12-29,TMAX,313
MXM00076750,2012-12-11,TMAX,324
MXM00076750,2014-06-26,TMAX,346
MXM00076750,2014-06-26,TMIN,263
MXM00076750,2012-12-11,TMIN,189
MXM00076750,2014-03-07,TMIN,208
MXM00076750,2006-03-17,TMAX,338
MXM00076750,2005-05-23,TMIN,228
MXM00076750,2006-03-17,TMIN,210
MXM00076750,2013-08-18,TMIN,241
MXM00076750,2015-11-12,TMAX,330
MXM00076750,2015-07-19,TMIN,264
MXM00076750,2015-11-12,TMIN,223
MXM00076750,2010-03-31,TMIN,171
MXM00076750,2010-09-29,TMAX,348
MXM00076750,2015-01-23,TMIN,190
MXM00076750,2006-05-09,TMAX,347
MXM00076750,2015-07-19,TMAX,352
MXM00076750,2006-10-06,TMAX,331
MXM00076750,2011-07-27,TMAX,369
MXM00076750,2006-02-20,TMIN,172
MXM00076750,2011-07-27,TMIN,233
MXM00076750,2006-02-20,TMAX,310
MXM00076750,2011-02-20,TMAX,315
MXM00076750,2007-03-04,TMIN,216
MXM00076750,2010-05-04,TMAX,346
