ID,Date,Element,Data_Value
GLW00016504,2011-03-04,TMIN,-181
GLW00016504,2009-04-13,TMIN,-143
GLW00016504,2010-09-14,TMAX,78
GLW00016504,2007-03-27,TMIN,-182
GLW00016504,2011-04-22,TMAX,-90
GLW00016504,2008-01-05,TMAX,-202
GLW00016504,2006-01-25,TMAX,-133
GLW00016504,2006-10-27,TMAX,-75
GLW00016504,2007-03-03,TMIN,-272
GLW00016504,2005-02-02,TMAX,-152
GLW00016504,2005-06-16,TMIN,61
GLW00016504,2007-02-01,TMIN,-140
GLW00016504,2009-04-10,TMIN,-166
GLW00016504,2007-03-03,TMAX,-172
GLW00016504,2005-07-21,TMAX,204
GLW00016504,2006-12-29,TMIN,-185
GLW00016504,2007-03-27,TMAX,-2
GLW00016504,2009-04-10,TMAX,1
GLW00016504,2011-03-04,TMAX,-13
GLW00016504,2008-03-05,TMAX,-1
GLW00016504,2011-01-30,TMAX,-108
GLW00016504,2015-11-16,TMAX,-243
GLW00016504,2006-05-31,TMAX,167
GLW00016504,2014-05-26,TMIN,-5
GLW00016504,2005-10-05,TMAX,-1
GLW00016504,2009-04-13,TMAX,-12
GLW00016504,2007-04-26,TMAX,94
GLW00016504,2013-03-25,TMAX,-27
GLW00016504,2007-12-10,TMAX,10
GLW00016504,2013-01-13,TMAX,-184
GLW00016504,2010-09-14,TMIN,-27
GLW00016504,2015-11-16,TMIN,-288
GLW00016504,2012-04-02,TMAX,68
GLW00016504,2008-01-05,TMIN,-277
GLW00016504,2010-10-01,TMAX,46
GLW00016504,2006-05-31,TMIN,41
GLW00016504,2006-10-27,TMIN,-165
GLW00016504,2015-04-30,TMIN,-95
GLW00016504,2011-01-30,TMIN,-186
GLW00016504,2012-06-05,TMIN,47
GLW00016504,2005-07-21,TMIN,37
GLW00016504,2013-03-25,TMIN,-127
GLW00016504,2007-04-26,TMIN,-56
GLW00016504,2015-10-23,TMAX,-91
GLW00016504,2011-03-10,TMIN,-205
GLW00016504,2011-12-28,TMAX,-97
GLW00016504,2008-10-17,TMAX,3
GLW00016504,2007-03-31,TMAX,23
GLW00016504,2015-07-18,TMIN,48
GLW00016504,2011-03-03,TMAX,-172
GLW00016504,2015-02-11,TMIN,-228
GLW00016504,2006-07-07,TMAX,184
GLW00016504,2010-07-16,TMIN,40
GLW00016504,2008-08-09,TMIN,30
GLW00016504,2010-07-16,TMAX,156
GLW00016504,2008-10-17,TMIN,-43
GLW00016504,2005-04-29,TMAX,-2
GLW00016504,2011-12-28,TMIN,-152
GLW00016504,2008-04-24,TMAX,-30
GLW00016504,2012-09-19,TMAX,78
GLW00016504,2012-09-19,TMIN,17
GLW00016504,2011-03-03,TMIN,-288
GLW00016504,2007-06-08,TMIN,103
GLW00016504,2014-03-30,TMIN,-5
GLW00016504,2010-12-10,TMIN,2
GLW00016504,2012-06-13,TMAX,175
GLW00016504,2015-10-23,TMIN,-131
GLW00016504,2014-03-10,TMAX,-162
GLW00016504,2006-07-07,TMIN,76
GLW00016504,2005-01-08,TMIN,-243
GLW00016504,2010-12-10,TMAX,52
GLW00016504,2008-08-09,TMAX,165
GLW00016504,2005-12-14,TMAX,21
GLW00016504,2007-04-05,TMIN,-206
GLW00016504,2009-04-21,TMAX,-22
GLW00016504,2012-07-01,TMIN,75
GLW00016504,2012-07-01,TMAX,208
GLW00016504,2006-07-02,TMIN,58
GLW00016504,2006-07-02,TMAX,111
GLW00016504,2014-07-19,TMIN,65
GLW00016504,2014-03-30,TMAX,75
GLW00016504,2014-07-19,TMAX,201
GLW00016504,2011-09-02,TMIN,24
GLW00016504,2013-08-08,TMIN,44
GLW00016504,2009-12-04,TMAX,-165
GLW00016504,2013-08-08,TMAX,151
GLW00016504,2014-05-18,TMIN,0
GLW00016504,2005-10-22,TMIN,-111
GLW00016504,2012-10-07,TMIN,-69
GLW00016504,2012-06-13,TMIN,60
GLW00016504,2013-08-05,TMAX,196
GLW00016504,2015-07-18,TMAX,206
GLW00016504,2014-03-10,TMIN,-263
GLW00016504,2005-04-29,TMIN,-47
GLW00016504,2014-12-24,TMIN,-200
GLW00016504,2012-10-07,TMAX,8
GLW00016504,2014-12-24,TMAX,-26
GLW00016504,2009-12-04,TMIN,-289
GLW00016504,2005-10-22,TMAX,-12
GLW00016504,2013-08-05,TMIN,44
GLW00016504,2009-04-21,TMIN,-62
GLW00016504,2011-09-02,TMAX,77
GLW00016504,2014-02-05,TMAX,-140
GLW00016504,2014-05-18,TMAX,60
GLW00016504,2015-02-11,TMAX,-155
GLW00016504,2008-03-05,TMIN,-261
GLW00016504,2008-06-23,TMAX,189
GLW00016504,2006-06-12,TMIN,43
GLW00016504,2010-12-21,TMIN,-186
GLW00016504,2010-12-21,TMAX,-107
GLW00016504,2011-04-14,TMAX,-109
GLW00016504,2012-01-04,TMIN,-393
GLW00016504,2011-04-14,TMIN,-172
GLW00016504,2006-06-12,TMAX,159
GLW00016504,2006-01-31,TMAX,-165
GLW00016504,2013-01-13,TMIN,-330
GLW00016504,2012-10-04,TMAX,95
GLW00016504,2014-03-25,TMAX,-190
GLW00016504,2012-10-04,TMIN,16
GLW00016504,2006-12-29,TMAX,-112
GLW00016504,2013-01-20,TMAX,-70
GLW00016504,2007-02-01,TMAX,-126
GLW00016504,2015-04-22,TMIN,-134
GLW00016504,2011-10-08,TMAX,62
GLW00016504,2013-01-20,TMIN,-139
GLW00016504,2005-01-08,TMAX,-203
GLW00016504,2013-07-31,TMAX,204
GLW00016504,2005-10-05,TMIN,-66
GLW00016504,2011-04-22,TMIN,-242
GLW00016504,2014-08-16,TMIN,73
GLW00016504,2013-07-31,TMIN,100
GLW00016504,2014-02-05,TMIN,-215
GLW00016504,2007-03-31,TMIN,-69
GLW00016504,2009-07-02,TMAX,107
GLW00016504,2008-04-24,TMIN,-96
GLW00016504,2007-04-05,TMAX,-138
GLW00016504,2005-12-14,TMIN,-111
GLW00016504,2009-03-21,TMIN,-174
GLW00016504,2007-07-25,TMIN,65
GLW00016504,2012-10-24,TMIN,-66
GLW00016504,2012-10-24,TMAX,-13
GLW00016504,2008-01-11,TMAX,-271
GLW00016504,2010-03-28,TMIN,-43
GLW00016504,2011-10-13,TMAX,-30
GLW00016504,2008-01-11,TMIN,-322
GLW00016504,2012-07-07,TMIN,69
GLW00016504,2011-10-13,TMIN,-145
GLW00016504,2009-07-02,TMIN,39
GLW00016504,2007-07-25,TMAX,187
GLW00016504,2010-02-15,TMIN,-244
GLW00016504,2014-05-08,TMAX,43
GLW00016504,2009-03-21,TMAX,-82
GLW00016504,2012-07-07,TMAX,155
GLW00016504,2006-01-31,TMIN,-264
GLW00016504,2011-10-08,TMIN,-51
GLW00016504,2008-06-23,TMIN,33
GLW00016504,2005-04-28,TMAX,-21
GLW00016504,2005-04-28,TMIN,-108
GLW00016504,2006-01-25,TMIN,-213
GLW00016504,2010-10-01,TMIN,-28
GLW00016504,2014-03-25,TMIN,-299
GLW00016504,2010-02-15,TMAX,-173
GLW00016504,2012-06-05,TMAX,192
GLW00016504,2007-07-17,TMIN,68
GLW00016504,2012-01-04,TMAX,-335
GLW00016504,2007-01-14,TMIN,-405
GLW00016504,2007-01-14,TMAX,-328
GLW00016504,2005-03-04,TMAX,107
GLW00016504,2012-07-05,TMAX,186
GLW00016504,2005-04-15,TMAX,-103
GLW00016504,2008-12-28,TMIN,-230
GLW00016504,2013-01-19,TMIN,-245
GLW00016504,2013-01-19,TMAX,-80
GLW00016504,2005-04-15,TMIN,-135
GLW00016504,2006-08-03,TMAX,194
GLW00016504,2010-07-12,TMIN,47
GLW00016504,2006-08-03,TMIN,49
GLW00016504,2008-11-06,TMAX,-108
GLW00016504,2008-12-28,TMAX,-88
GLW00016504,2005-03-04,TMIN,-43
GLW00016504,2014-10-02,TMAX,17
GLW00016504,2006-05-04,TMIN,-69
GLW00016504,2006-05-04,TMAX,-15
GLW00016504,2010-07-12,TMAX,205
GLW00016504,2011-03-02,TMIN,-322
GLW00016504,2005-07-04,TMAX,188
GLW00016504,2011-03-02,TMAX,-169
GLW00016504,2013-01-24,TMIN,-6
GLW00016504,2009-02-25,TMIN,-293
