ID,Date,Element,Data_Value
RSM00034555,2013-08-13,TMIN,207
RSM00034555,2015-10-17,TMIN,12
RSM00034555,2014-08-12,TMIN,222
RSM00034555,2015-02-17,TMIN,-150
RSM00034555,2013-05-24,TMIN,192
RSM00034555,2014-02-14,TMIN,-16
RSM00034555,2012-09-02,TMAX,212
RSM00034555,2014-04-21,TMIN,102
RSM00034555,2015-12-22,TMAX,79
RSM00034555,2014-09-06,TMIN,125
RSM00034555,2015-11-16,TMAX,82
RSM00034555,2015-07-08,TMAX,360
RSM00034555,2014-12-19,TMIN,10
RSM00034555,2012-09-26,TMAX,233
RSM00034555,2012-09-02,TMIN,90
RSM00034555,2013-08-06,TMIN,183
RSM00034555,2013-12-06,TMIN,-23
RSM00034555,2014-09-18,TMIN,40
RSM00034555,2014-12-29,TMIN,-88
RSM00034555,2015-07-08,TMIN,205
RSM00034555,2013-06-12,TMIN,197
RSM00034555,2014-08-02,TMIN,201
RSM00034555,2012-09-26,TMIN,131
RSM00034555,2013-08-16,TMIN,218
RSM00034555,2015-10-29,TMAX,41
RSM00034555,2015-10-16,TMIN,10
RSM00034555,2015-02-02,TMIN,12
RSM00034555,2012-09-08,TMIN,112
RSM00034555,2015-12-09,TMAX,33
RSM00034555,2014-12-18,TMIN,-25
RSM00034555,2012-09-08,TMAX,215
RSM00034555,2012-12-28,TMIN,-3
RSM00034555,2012-10-08,TMIN,115
RSM00034555,2014-08-21,TMIN,193
RSM00034555,2015-11-16,TMIN,22
RSM00034555,2014-11-04,TMIN,-49
RSM00034555,2015-10-17,TMAX,101
RSM00034555,2012-12-28,TMAX,24
RSM00034555,2014-03-22,TMIN,-12
RSM00034555,2013-10-11,TMIN,83
RSM00034555,2013-07-16,TMIN,196
RSM00034555,2012-11-06,TMIN,94
RSM00034555,2014-05-11,TMIN,162
RSM00034555,2014-03-08,TMIN,-50
RSM00034555,2015-03-29,TMAX,23
RSM00034555,2014-10-20,TMIN,-28
RSM00034555,2013-06-22,TMIN,144
RSM00034555,2015-12-19,TMIN,-5
RSM00034555,2013-11-01,TMIN,38
RSM00034555,2013-02-28,TMAX,12
RSM00034555,2013-05-09,TMIN,115
RSM00034555,2013-12-12,TMIN,-98
RSM00034555,2014-07-01,TMIN,159
RSM00034555,2013-07-23,TMIN,164
RSM00034555,2015-03-09,TMIN,-41
RSM00034555,2014-09-05,TMIN,130
RSM00034555,2013-06-07,TMIN,156
RSM00034555,2012-12-31,TMIN,-88
RSM00034555,2012-11-10,TMAX,105
RSM00034555,2015-01-28,TMIN,-67
RSM00034555,2015-01-16,TMIN,-41
RSM00034555,2015-01-24,TMIN,-188
RSM00034555,2015-06-27,TMIN,193
RSM00034555,2012-11-10,TMIN,20
RSM00034555,2014-06-01,TMIN,175
RSM00034555,2013-01-15,TMAX,-102
RSM00034555,2014-06-05,TMIN,142
RSM00034555,2015-01-22,TMIN,-83
RSM00034555,2014-12-20,TMIN,13
RSM00034555,2014-04-15,TMIN,47
RSM00034555,2014-01-08,TMIN,1
RSM00034555,2012-12-31,TMAX,-42
RSM00034555,2014-06-25,TMIN,149
RSM00034555,2013-09-13,TMIN,127
RSM00034555,2013-01-21,TMAX,16
RSM00034555,2015-07-05,TMAX,320
RSM00034555,2015-11-15,TMIN,26
RSM00034555,2015-07-05,TMIN,195
RSM00034555,2014-09-16,TMIN,128
RSM00034555,2015-03-12,TMIN,15
RSM00034555,2015-03-12,TMAX,84
RSM00034555,2014-02-26,TMIN,-125
RSM00034555,2015-02-09,TMAX,13
RSM00034555,2014-06-21,TMIN,177
RSM00034555,2012-11-11,TMIN,-9
