ID,Date,Element,Data_Value
VE000080462,2013-06-19,TMIN,185
VE000080462,2013-09-29,TMIN,196
VE000080462,2013-11-12,TMIN,183
VE000080462,2013-04-22,TMIN,170
VE000080462,2013-04-27,TMIN,182
VE000080462,2013-06-10,TMIN,190
VE000080462,2013-06-26,TMIN,188
VE000080462,2013-07-03,TMIN,192
VE000080462,2010-03-19,TMIN,180
VE000080462,2009-02-18,TMIN,176
VE000080462,2009-02-25,TMAX,280
VE000080462,2013-05-04,TMIN,194
VE000080462,2013-04-12,TMIN,216
VE000080462,2013-05-07,TMIN,187
VE000080462,2013-04-23,TMIN,185
VE000080462,2013-06-27,TMIN,180
VE000080462,2013-06-20,TMIN,187
VE000080462,2013-07-07,TMIN,190
VE000080462,2013-09-20,TMIN,168
VE000080462,2013-11-19,TMIN,184
VE000080462,2013-05-10,TMIN,172
VE000080462,2013-07-19,TMIN,178
VE000080462,2013-07-04,TMIN,181
VE000080462,2013-06-07,TMIN,168
VE000080462,2013-06-13,TMIN,182
VE000080462,2009-03-03,TMIN,188
VE000080462,2013-07-10,TMIN,185
VE000080462,2013-05-29,TMIN,194
VE000080462,2013-05-06,TMIN,196
VE000080462,2013-07-27,TMIN,176
VE000080462,2013-05-14,TMIN,186
VE000080462,2013-05-18,TMIN,196
VE000080462,2013-04-26,TMIN,182
VE000080462,2013-07-12,TMIN,159
VE000080462,2013-06-25,TMIN,188
VE000080462,2010-01-29,TMAX,319
VE000080462,2009-03-01,TMIN,184
VE000080462,2013-04-19,TMIN,194
VE000080462,2009-03-04,TMIN,168
VE000080462,2013-04-24,TMIN,182
VE000080462,2013-05-22,TMIN,200
VE000080462,2013-10-11,TMIN,187
VE000080462,2013-04-25,TMIN,178
VE000080462,2013-04-16,TMIN,196
VE000080462,2013-04-30,TMIN,189
