ID,Date,Element,Data_Value
KZ000036639,2013-02-20,TMAX,-64
KZ000036639,2006-08-02,TMIN,148
KZ000036639,2010-03-26,TMAX,55
KZ000036639,2008-03-18,TMAX,34
KZ000036639,2007-11-20,TMAX,89
KZ000036639,2006-03-14,TMAX,59
KZ000036639,2008-03-01,TMAX,44
KZ000036639,2013-02-20,TMIN,-261
KZ000036639,2008-07-26,TMAX,298
KZ000036639,2012-12-21,TMIN,-404
KZ000036639,2011-11-01,TMAX,26
KZ000036639,2011-09-27,TMAX,225
KZ000036639,2014-10-03,TMAX,183
KZ000036639,2007-11-20,TMIN,-115
KZ000036639,2009-06-21,TMIN,90
KZ000036639,2012-08-14,TMAX,339
KZ000036639,2010-10-04,TMAX,260
KZ000036639,2009-10-18,TMIN,-44
KZ000036639,2005-03-27,TMAX,90
KZ000036639,2006-04-25,TMAX,211
KZ000036639,2008-03-01,TMIN,-182
KZ000036639,2009-03-22,TMAX,54
KZ000036639,2009-01-22,TMIN,-295
KZ000036639,2011-06-11,TMAX,303
KZ000036639,2009-10-18,TMAX,155
KZ000036639,2009-05-14,TMAX,228
KZ000036639,2011-10-13,TMAX,253
KZ000036639,2013-04-17,TMIN,27
KZ000036639,2008-05-28,TMAX,325
KZ000036639,2008-12-31,TMIN,-255
KZ000036639,2008-12-31,TMAX,-93
KZ000036639,2013-05-07,TMAX,215
KZ000036639,2014-10-10,TMAX,63
KZ000036639,2014-09-04,TMAX,239
KZ000036639,2010-05-05,TMIN,76
KZ000036639,2010-05-05,TMAX,256
KZ000036639,2013-01-08,TMIN,-203
KZ000036639,2008-05-10,TMAX,330
KZ000036639,2014-05-27,TMAX,307
KZ000036639,2006-08-23,TMAX,341
KZ000036639,2009-02-06,TMAX,-26
KZ000036639,2013-11-29,TMAX,110
KZ000036639,2011-10-13,TMIN,-23
KZ000036639,2006-12-09,TMAX,-45
KZ000036639,2014-05-27,TMIN,86
KZ000036639,2009-05-28,TMAX,274
KZ000036639,2013-01-08,TMAX,-50
KZ000036639,2009-05-28,TMIN,78
KZ000036639,2007-03-04,TMIN,-219
KZ000036639,2009-10-12,TMAX,126
KZ000036639,2008-08-10,TMAX,395
KZ000036639,2012-12-21,TMAX,-188
KZ000036639,2006-04-25,TMIN,18
KZ000036639,2007-07-17,TMAX,331
KZ000036639,2007-10-22,TMAX,105
KZ000036639,2007-10-22,TMIN,-11
KZ000036639,2006-08-23,TMIN,111
KZ000036639,2015-02-26,TMAX,-48
KZ000036639,2008-01-23,TMAX,-130
KZ000036639,2008-03-18,TMIN,-29
