ID,Date,Element,Data_Value
TUM00017069,2014-05-10,TMAX,195
TUM00017069,2013-12-21,TMAX,126
TUM00017069,2014-07-04,TMIN,180
TUM00017069,2015-03-10,TMAX,105
TUM00017069,2013-07-19,TMIN,207
TUM00017069,2014-07-04,TMAX,256
TUM00017069,2014-05-04,TMAX,253
TUM00017069,2015-03-07,TMIN,65
TUM00017069,2013-08-18,TMIN,215
TUM00017069,2015-06-20,TMAX,255
TUM00017069,2015-01-10,TMAX,21
TUM00017069,2013-08-18,TMAX,316
TUM00017069,2014-03-31,TMAX,209
TUM00017069,2014-08-10,TMAX,331
TUM00017069,2015-02-18,TMIN,-21
TUM00017069,2013-12-08,TMAX,76
TUM00017069,2014-08-10,TMIN,194
TUM00017069,2013-08-09,TMAX,312
TUM00017069,2007-04-26,TMIN,89
TUM00017069,2013-07-27,TMIN,188
TUM00017069,2013-08-08,TMIN,185
TUM00017069,2015-02-18,TMAX,26
TUM00017069,2015-02-17,TMAX,54
TUM00017069,2014-04-21,TMIN,127
TUM00017069,2015-11-24,TMAX,231
TUM00017069,2015-03-07,TMAX,92
TUM00017069,2015-03-10,TMIN,69
TUM00017069,2014-10-08,TMIN,140
TUM00017069,2013-08-08,TMAX,308
TUM00017069,2014-10-08,TMAX,239
TUM00017069,2015-09-26,TMIN,180
TUM00017069,2014-02-06,TMAX,111
TUM00017069,2015-07-02,TMAX,270
TUM00017069,2007-04-26,TMAX,164
TUM00017069,2014-02-06,TMIN,-6
TUM00017069,2013-06-19,TMIN,192
TUM00017069,2013-12-21,TMIN,21
TUM00017069,2013-07-19,TMAX,283
TUM00017069,2015-09-27,TMAX,282
TUM00017069,2014-08-16,TMIN,203
TUM00017069,2015-03-11,TMAX,100
TUM00017069,2014-05-10,TMIN,134
TUM00017069,2013-07-27,TMAX,292
TUM00017069,2015-09-27,TMIN,201
TUM00017069,2014-06-14,TMAX,328
TUM00017069,2014-08-16,TMAX,357
TUM00017069,2013-06-19,TMAX,291
TUM00017069,2013-12-08,TMIN,18
TUM00017069,2014-08-28,TMAX,316
TUM00017069,2013-11-21,TMAX,233
TUM00017069,2015-12-15,TMIN,24
TUM00017069,2014-03-02,TMAX,196
TUM00017069,2014-03-23,TMAX,237
TUM00017069,2014-12-25,TMAX,191
TUM00017069,2015-11-16,TMAX,175
TUM00017069,2013-06-03,TMAX,262
TUM00017069,2015-09-21,TMAX,297
TUM00017069,2015-09-26,TMAX,314
TUM00017069,2015-11-16,TMIN,53
TUM00017069,2015-09-06,TMAX,387
TUM00017069,2014-02-17,TMAX,230
TUM00017069,2015-03-01,TMAX,108
TUM00017069,2014-06-27,TMAX,331
TUM00017069,2013-11-24,TMAX,219
TUM00017069,2015-07-02,TMIN,192
TUM00017069,2013-11-24,TMIN,97
TUM00017069,2015-09-21,TMIN,184
TUM00017069,2014-03-30,TMIN,14
TUM00017069,2014-03-30,TMAX,113
TUM00017069,2015-08-29,TMIN,150
TUM00017069,2013-10-05,TMAX,98
TUM00017069,2007-05-03,TMAX,200
