ID,Date,Element,Data_Value
IC000004092,2005-09-16,TMIN,47
IC000004092,2005-08-17,TMIN,89
IC000004092,2005-04-15,TMAX,29
IC000004092,2005-05-19,TMIN,-36
IC000004092,2005-08-16,TMIN,54
IC000004092,2005-08-17,TMAX,116
IC000004092,2005-01-10,TMAX,-9
IC000004092,2005-06-24,TMIN,62
IC000004092,2005-03-21,TMAX,65
IC000004092,2005-05-10,TMAX,103
IC000004092,2005-03-16,TMIN,-41
IC000004092,2005-09-21,TMIN,0
IC000004092,2005-05-10,TMIN,47
IC000004092,2005-02-11,TMIN,-34
IC000004092,2005-08-04,TMIN,86
IC000004092,2005-10-15,TMAX,106
IC000004092,2005-06-08,TMIN,49
IC000004092,2005-04-05,TMIN,-27
IC000004092,2005-04-05,TMAX,20
IC000004092,2005-11-15,TMIN,-50
IC000004092,2005-07-29,TMIN,57
IC000004092,2005-11-21,TMAX,60
IC000004092,2005-12-21,TMAX,42
IC000004092,2005-01-11,TMIN,-17
IC000004092,2005-06-28,TMAX,168
IC000004092,2005-11-13,TMAX,98
IC000004092,2005-03-12,TMIN,-62
IC000004092,2005-04-21,TMIN,11
IC000004092,2005-04-15,TMIN,-65
IC000004092,2005-12-21,TMIN,-29
IC000004092,2005-11-13,TMIN,-48
IC000004092,2005-05-13,TMIN,35
IC000004092,2005-09-21,TMAX,66
IC000004092,2005-03-08,TMAX,47
IC000004092,2005-02-03,TMIN,12
IC000004092,2005-01-26,TMIN,12
IC000004092,2005-05-24,TMIN,-14
IC000004092,2005-01-28,TMAX,114
IC000004092,2005-10-05,TMAX,88
IC000004092,2005-11-03,TMIN,-10
IC000004092,2005-01-28,TMIN,6
IC000004092,2005-03-07,TMAX,52
IC000004092,2005-11-25,TMIN,-59
IC000004092,2005-06-27,TMIN,55
IC000004092,2005-01-26,TMAX,90
IC000004092,2005-11-02,TMIN,-5
IC000004092,2005-08-04,TMAX,146
IC000004092,2005-11-29,TMAX,-13
IC000004092,2005-01-04,TMIN,-66
IC000004092,2005-02-24,TMAX,40
