ID,Date,Element,Data_Value
MGM00044207,2012-07-01,TMIN,89
MGM00044207,2007-02-01,TMAX,-33
MGM00044207,2007-02-05,TMAX,-28
MGM00044207,2011-03-22,TMAX,-91
MGM00044207,2009-11-16,TMAX,-88
MGM00044207,2011-01-29,TMIN,-351
MGM00044207,2010-04-20,TMAX,19
MGM00044207,2014-06-09,TMAX,198
MGM00044207,2008-05-23,TMIN,-76
MGM00044207,2010-12-31,TMAX,-263
MGM00044207,2015-12-14,TMAX,-104
MGM00044207,2012-02-08,TMIN,-324
MGM00044207,2014-07-08,TMAX,160
MGM00044207,2006-08-24,TMAX,197
MGM00044207,2012-08-23,TMAX,122
MGM00044207,2008-10-01,TMAX,73
MGM00044207,2010-10-21,TMAX,-9
MGM00044207,2011-05-21,TMIN,-71
MGM00044207,2014-08-05,TMAX,206
MGM00044207,2015-09-24,TMIN,-72
MGM00044207,2011-11-10,TMAX,-42
MGM00044207,2008-09-23,TMIN,-34
MGM00044207,2008-04-23,TMIN,-81
MGM00044207,2010-04-20,TMIN,-148
MGM00044207,2007-01-25,TMIN,-294
MGM00044207,2005-12-25,TMIN,-231
MGM00044207,2012-11-17,TMAX,-25
MGM00044207,2012-10-18,TMAX,55
MGM00044207,2007-01-25,TMAX,-148
MGM00044207,2012-08-05,TMAX,211
MGM00044207,2015-07-12,TMAX,148
MGM00044207,2013-03-21,TMIN,-168
MGM00044207,2013-08-06,TMAX,190
MGM00044207,2013-03-21,TMAX,-7
MGM00044207,2014-03-07,TMIN,-240
MGM00044207,2012-10-12,TMAX,-25
MGM00044207,2007-02-01,TMIN,-203
MGM00044207,2012-12-23,TMAX,-255
MGM00044207,2012-07-01,TMAX,194
MGM00044207,2008-11-30,TMAX,-63
MGM00044207,2014-04-18,TMAX,24
MGM00044207,2011-05-21,TMAX,159
MGM00044207,2008-08-18,TMIN,23
MGM00044207,2005-09-20,TMAX,98
MGM00044207,2006-02-14,TMIN,-280
MGM00044207,2008-06-10,TMAX,239
MGM00044207,2006-08-31,TMIN,54
MGM00044207,2008-01-02,TMIN,-287
MGM00044207,2005-02-06,TMAX,-281
MGM00044207,2010-04-18,TMIN,-139
MGM00044207,2010-01-04,TMAX,-245
MGM00044207,2013-06-10,TMIN,-30
MGM00044207,2015-09-24,TMAX,58
MGM00044207,2007-11-17,TMIN,-254
MGM00044207,2009-07-23,TMAX,249
MGM00044207,2008-06-29,TMAX,193
MGM00044207,2012-10-08,TMAX,46
MGM00044207,2010-12-15,TMAX,-131
MGM00044207,2008-12-23,TMAX,-133
MGM00044207,2013-11-28,TMIN,-154
MGM00044207,2009-10-25,TMAX,-18
MGM00044207,2012-06-06,TMIN,4
MGM00044207,2007-01-14,TMAX,-151
MGM00044207,2011-05-11,TMIN,-109
MGM00044207,2009-10-25,TMIN,-162
MGM00044207,2013-11-19,TMIN,-173
MGM00044207,2015-12-17,TMIN,-223
MGM00044207,2008-09-18,TMAX,208
MGM00044207,2012-04-05,TMIN,-90
MGM00044207,2005-12-13,TMIN,-347
MGM00044207,2007-03-16,TMIN,-222
MGM00044207,2014-08-05,TMIN,19
MGM00044207,2011-05-11,TMAX,85
MGM00044207,2013-07-13,TMAX,190
MGM00044207,2006-05-31,TMAX,73
MGM00044207,2007-07-17,TMIN,39
MGM00044207,2013-07-21,TMIN,59
MGM00044207,2008-08-18,TMAX,204
MGM00044207,2008-01-06,TMIN,-276
MGM00044207,2013-01-16,TMIN,-310
MGM00044207,2015-12-23,TMAX,-219
MGM00044207,2007-01-10,TMIN,-304
MGM00044207,2007-01-14,TMIN,-288
MGM00044207,2015-05-26,TMIN,-38
MGM00044207,2012-04-05,TMAX,115
MGM00044207,2015-07-29,TMAX,234
MGM00044207,2015-05-14,TMIN,-54
MGM00044207,2013-05-16,TMAX,172
MGM00044207,2014-01-26,TMAX,-87
MGM00044207,2006-07-09,TMAX,89
MGM00044207,2012-10-01,TMAX,41
MGM00044207,2011-10-25,TMIN,-163
MGM00044207,2013-07-21,TMAX,210
MGM00044207,2008-12-07,TMIN,-179
MGM00044207,2013-05-16,TMIN,-62
MGM00044207,2013-10-16,TMIN,-93
MGM00044207,2015-04-18,TMIN,-117
MGM00044207,2007-09-08,TMAX,160
MGM00044207,2013-11-19,TMAX,-28
MGM00044207,2013-08-12,TMAX,204
MGM00044207,2013-09-06,TMAX,221
MGM00044207,2010-03-27,TMIN,-187
MGM00044207,2009-01-08,TMIN,-326
MGM00044207,2005-07-10,TMAX,327
MGM00044207,2015-01-05,TMIN,-277
MGM00044207,2008-12-23,TMIN,-276
MGM00044207,2012-05-07,TMAX,235
MGM00044207,2010-09-09,TMIN,29
MGM00044207,2007-11-17,TMAX,-58
