ID,Date,Element,Data_Value
FR000007630,2013-10-06,TMIN,137
FR000007630,2008-08-09,TMIN,139
FR000007630,2008-07-15,TMAX,273
FR000007630,2015-05-01,TMIN,136
FR000007630,2011-10-03,TMIN,115
FR000007630,2014-06-14,TMIN,177
FR000007630,2006-04-20,TMIN,85
FR000007630,2014-05-15,TMIN,57
FR000007630,2015-03-06,TMIN,0
FR000007630,2014-09-05,TMAX,263
FR000007630,2010-08-30,TMAX,241
FR000007630,2013-12-04,TMIN,-20
FR000007630,2006-04-09,TMAX,187
FR000007630,2014-04-27,TMAX,163
FR000007630,2013-12-04,TMAX,84
FR000007630,2006-04-20,TMAX,200
FR000007630,2006-07-08,TMIN,150
FR000007630,2006-07-08,TMAX,304
FR000007630,2014-09-05,TMIN,175
FR000007630,2005-12-04,TMAX,145
FR000007630,2013-10-06,TMAX,207
FR000007630,2011-10-03,TMAX,302
FR000007630,2007-05-20,TMAX,224
FR000007630,2005-06-29,TMAX,299
FR000007630,2005-08-27,TMIN,128
FR000007630,2006-10-24,TMAX,205
FR000007630,2006-02-09,TMAX,90
FR000007630,2015-06-20,TMIN,139
FR000007630,2014-10-29,TMIN,94
FR000007630,2006-09-16,TMAX,186
FR000007630,2014-10-29,TMAX,222
FR000007630,2006-09-16,TMIN,130
FR000007630,2011-05-06,TMAX,225
FR000007630,2015-06-05,TMIN,175
FR000007630,2008-03-09,TMIN,15
FR000007630,2007-06-17,TMIN,180
FR000007630,2008-11-17,TMAX,112
FR000007630,2015-12-07,TMIN,68
FR000007630,2006-06-05,TMAX,275
FR000007630,2008-07-15,TMIN,118
FR000007630,2011-05-06,TMIN,147
FR000007630,2008-11-17,TMIN,86
FR000007630,2006-04-01,TMIN,106
FR000007630,2010-08-08,TMAX,290
FR000007630,2014-09-27,TMIN,85
FR000007630,2012-05-01,TMAX,204
FR000007630,2014-02-13,TMIN,38
FR000007630,2014-02-18,TMAX,122
FR000007630,2012-05-01,TMIN,40
FR000007630,2009-03-25,TMAX,143
FR000007630,2012-03-03,TMAX,151
FR000007630,2007-11-30,TMAX,153
FR000007630,2009-03-25,TMIN,-3
FR000007630,2014-09-27,TMAX,261
FR000007630,2008-04-06,TMAX,163
FR000007630,2008-11-20,TMIN,69
FR000007630,2015-04-21,TMIN,79
FR000007630,2008-11-20,TMAX,124
FR000007630,2014-02-13,TMAX,141
FR000007630,2012-11-21,TMAX,122
FR000007630,2006-01-15,TMAX,102
FR000007630,2013-03-13,TMAX,80
FR000007630,2008-06-08,TMAX,169
FR000007630,2012-10-23,TMAX,223
FR000007630,2006-02-15,TMAX,110
FR000007630,2005-11-13,TMIN,85
FR000007630,2006-02-15,TMIN,23
FR000007630,2009-02-17,TMIN,-24
FR000007630,2015-09-22,TMAX,217
FR000007630,2014-01-11,TMAX,121
FR000007630,2007-07-29,TMIN,175
FR000007630,2009-02-17,TMAX,110
FR000007630,2011-05-27,TMIN,129
FR000007630,2015-01-05,TMAX,100
FR000007630,2010-10-22,TMAX,183
FR000007630,2013-10-25,TMIN,181
FR000007630,2015-06-08,TMAX,314
FR000007630,2015-05-27,TMAX,231
FR000007630,2006-08-04,TMAX,260
FR000007630,2011-05-27,TMAX,205
FR000007630,2010-10-22,TMIN,38
FR000007630,2011-01-18,TMIN,49
FR000007630,2015-03-21,TMIN,89
FR000007630,2012-12-15,TMIN,57
FR000007630,2011-01-18,TMAX,137
FR000007630,2012-10-23,TMIN,117
FR000007630,2010-08-08,TMIN,170
FR000007630,2006-10-18,TMAX,206
FR000007630,2013-07-15,TMIN,177
FR000007630,2007-09-26,TMAX,182
FR000007630,2014-11-16,TMAX,130
FR000007630,2007-11-30,TMIN,23
FR000007630,2014-11-16,TMIN,58
FR000007630,2007-06-17,TMAX,255
FR000007630,2015-05-27,TMIN,100
FR000007630,2013-07-15,TMAX,311
FR000007630,2012-12-15,TMAX,153
FR000007630,2009-04-27,TMIN,65
FR000007630,2012-12-03,TMAX,135
FR000007630,2005-04-25,TMIN,83
FR000007630,2006-06-05,TMIN,130
FR000007630,2012-01-22,TMIN,98
FR000007630,2011-11-11,TMIN,130
FR000007630,2011-11-11,TMAX,186
FR000007630,2005-09-03,TMIN,192
FR000007630,2008-09-14,TMIN,128
FR000007630,2005-12-25,TMIN,-27
FR000007630,2010-08-31,TMAX,266
FR000007630,2013-06-07,TMAX,264
FR000007630,2014-06-05,TMIN,97
FR000007630,2013-06-07,TMIN,139
FR000007630,2005-09-03,TMAX,351
FR000007630,2015-09-08,TMAX,252
FR000007630,2007-04-12,TMAX,182
FR000007630,2013-12-30,TMAX,95
FR000007630,2005-08-27,TMAX,202
FR000007630,2007-12-17,TMIN,-43
FR000007630,2010-01-19,TMAX,91
FR000007630,2008-10-11,TMIN,134
FR000007630,2006-08-13,TMIN,134
FR000007630,2012-08-17,TMIN,187
FR000007630,2005-12-07,TMIN,17
FR000007630,2010-10-29,TMAX,190
FR000007630,2015-09-08,TMIN,104
FR000007630,2015-06-20,TMAX,265
FR000007630,2007-10-24,TMAX,140
FR000007630,2012-10-13,TMIN,72
FR000007630,2005-12-25,TMAX,53
FR000007630,2010-03-29,TMAX,185
FR000007630,2012-10-13,TMAX,195
FR000007630,2007-06-02,TMAX,200
FR000007630,2007-04-12,TMIN,109
FR000007630,2015-02-25,TMAX,101
FR000007630,2010-03-29,TMIN,90
FR000007630,2007-02-25,TMIN,66
FR000007630,2009-02-19,TMAX,88
FR000007630,2005-12-07,TMAX,100
FR000007630,2008-02-10,TMIN,12
FR000007630,2008-02-10,TMAX,143
FR000007630,2012-08-17,TMAX,371
FR000007630,2011-12-04,TMAX,152
FR000007630,2012-06-10,TMAX,218
FR000007630,2012-02-04,TMAX,4
FR000007630,2013-12-11,TMAX,135
FR000007630,2007-03-14,TMAX,170
FR000007630,2007-09-15,TMAX,280
FR000007630,2013-03-20,TMAX,133
FR000007630,2015-02-02,TMAX,62
FR000007630,2013-12-30,TMIN,0
FR000007630,2008-06-08,TMIN,108
FR000007630,2013-01-13,TMAX,84
FR000007630,2007-03-14,TMIN,41
FR000007630,2013-01-13,TMIN,39
FR000007630,2013-07-21,TMAX,340
FR000007630,2013-09-13,TMAX,247
FR000007630,2008-03-18,TMIN,46
FR000007630,2012-06-10,TMIN,138
FR000007630,2013-09-13,TMIN,160
FR000007630,2008-03-18,TMAX,146
FR000007630,2010-10-29,TMIN,63
FR000007630,2013-12-11,TMIN,50
FR000007630,2012-02-04,TMIN,-64
FR000007630,2015-02-02,TMIN,6
FR000007630,2012-07-27,TMIN,196
FR000007630,2010-01-19,TMIN,28
FR000007630,2010-07-27,TMAX,292
FR000007630,2007-12-17,TMAX,62
FR000007630,2005-10-22,TMAX,233
FR000007630,2009-06-23,TMAX,262
FR000007630,2015-02-25,TMIN,37
FR000007630,2009-06-23,TMIN,113
FR000007630,2008-03-09,TMAX,104
FR000007630,2010-12-30,TMIN,64
FR000007630,2010-08-31,TMIN,94
FR000007630,2007-06-30,TMAX,312
FR000007630,2012-07-26,TMAX,374
FR000007630,2014-02-18,TMIN,45
FR000007630,2012-11-02,TMAX,194
FR000007630,2012-11-02,TMIN,87
FR000007630,2012-07-27,TMAX,319
FR000007630,2008-04-17,TMAX,137
FR000007630,2014-03-08,TMIN,14
FR000007630,2013-04-12,TMAX,184
FR000007630,2013-04-12,TMIN,84
FR000007630,2015-09-04,TMAX,210
FR000007630,2007-10-24,TMIN,15
FR000007630,2005-11-11,TMIN,23
FR000007630,2010-07-17,TMAX,287
