ID,Date,Element,Data_Value
USC00269168,2011-05-01,TMAX,100
USC00264527,2013-04-10,TMIN,6
USR0000NDRY,2010-07-28,TMAX,322
USW00024128,2005-07-24,TMIN,72
USW00024128,2014-03-07,TMIN,-27
USR0000NDRY,2007-05-21,TMIN,17
USR0000NDRY,2014-06-12,TMIN,111
USC00264527,2007-01-02,TMAX,150
USR0000NDRY,2009-08-20,TMAX,378
USS0018H02S,2013-09-22,TMIN,7
USC00269168,2009-01-17,TMAX,94
USR0000NDRY,2012-12-24,TMIN,-100
USC00269168,2011-05-20,TMAX,183
USW00024128,2014-05-01,TMAX,278
USC00264527,2010-07-23,TMIN,172
USW00024128,2014-05-01,TMIN,-21
USS0018H02S,2015-08-27,TMIN,88
USC00269168,2008-12-04,TMIN,-94
USS0018H02S,2014-11-15,TMAX,-8
USR0000NDRY,2006-08-18,TMIN,150
USR0000NDRY,2010-07-28,TMIN,156
USR0000NDRY,2009-05-19,TMAX,267
USC00264527,2007-01-02,TMIN,6
USC00264527,2006-11-10,TMIN,-33
USW00024128,2008-02-05,TMIN,-39
USC00264527,2015-11-05,TMAX,50
USC00269168,2014-05-02,TMIN,33
USW00024128,2009-09-18,TMAX,328
USC00269168,2010-10-25,TMAX,167
USW00024128,2005-07-24,TMAX,361
USC00269168,2015-05-19,TMAX,144
USR0000NDRY,2008-08-28,TMAX,306
USC00269168,2011-01-06,TMAX,33
USS0017J02S,2011-12-11,TMIN,-31
USR0000NDRY,2012-07-26,TMAX,344
USR0000NDRY,2007-07-20,TMAX,306
USS0017J02S,2012-07-04,TMAX,264
USW00024128,2005-08-05,TMAX,383
USR0000NDRY,2014-12-12,TMAX,56
USC00269168,2012-08-27,TMIN,117
USW00024128,2005-11-23,TMIN,-117
USC00269168,2014-12-29,TMIN,-61
USC00264527,2013-04-10,TMAX,189
USR0000NDRY,2013-12-10,TMIN,-183
USC00269168,2006-02-13,TMIN,-83
USR0000NDRY,2013-06-11,TMAX,256
USW00024128,2012-04-03,TMAX,194
USW00024128,2006-02-23,TMIN,-94
USW00024128,2013-01-07,TMIN,-217
USS0018H02S,2013-03-13,TMAX,138
USS0018H02S,2015-08-27,TMAX,237
USW00024128,2014-03-07,TMAX,122
USW00024128,2014-09-18,TMAX,272
USR0000NDRY,2012-10-12,TMIN,56
USC00269168,2007-05-22,TMIN,-11
USS0018H02S,2013-03-13,TMIN,54
USC00269168,2011-05-01,TMIN,-67
USR0000NDRY,2007-05-21,TMAX,156
